year,sentence,key_word
1919,PROPOSITION DE LOI Tendant à abréger en certains cas le délai de viduité imposé à la femme par les articles 2,abréger
1919,"ossi"" Le juge a le droit de l'abréger lorsqu'il n'est paS i DU ble que la femme soit enceinte des œuvres de son u* lorsque des époux divorcés se remarient ensemble",abréger
1879,"Je crois, dès lors, devoir abréger la durée du mandat qui m'avait été confié par l'Asselhblée nationale",abréger
1922,Louis Martin tendant à abréger en certa^ délai de viduité imposé à la femme par 185 Jtty. des 228 et 296 du Code civil,abréger
1879,et rechercher tous les moyens possibles pour abréger les pertes de temps et faciliter au,abréger
1943,abréger nos souffrances et gagner la Victoire au profit de la France,abréger
1890,"Ce délai sera concerté entre l’agent des postes embarque, le commandant e( l'agent local de la compagnie. Non. Le temps indiqué comme devant être passé en séjour dans les escales intermédiaires est un maximum que la compagnie conserve le droit d’abréger, d’un commun accord entre l’agent des postes embarqué, le commandant et l’agent loral de la compagnie, et qui ne peut être dépassé que s’il s’agissait de pourvuir à la réalisation d’une coïncidence(...)les escale» intermédiaires est un maximum que la(...)",abréger
1890,"intervalle est un maximum qui pourra être abrégé, d’un commun accord entre l'agent des poste» embarqué, le commandant et l’agent local de la compagnie, liant ce cas l’heure du départ sera concertée de manière à être rendue ferme et à permettre à l’agent des postes de lixer an bureau local un moment précis pour la remise de ses dépêches(...)Le temps indiqué comme devant être passé en séjour dans les escales intermédiaires est un maximum que la compagnie conserve d’abréger, d’un commun accord entre l(...)",abrégé
1890,"Le roi de Roumanie a posé la première pierre du pont railwav qui sera le plus long en Europe, à travers le Danube à Tcherml voda, pour abréger la route k la mer Noire",abréger
1865,abréger et de rendre plus certain un chemin que tous les bons professeurs s'efforcent comme M. Rahn d'abréger et de rendre plus certain,abréger
1865,"C'est propablement pour abréger le langage, que l'usage a toléré ces expressions de Do majeur, Ré majeur, Mi mineur, etc(...)",abréger
1943,"vne aiee matérielle à leurs épouses et à leurs parenté.. . , ■ Et. pour abréger leur captivité, redoublez i'ardeur dans la lutte contre I les boches et les traîtres",abréger
1893,"Sous prétexte d'abréger les tourments du chien, dont l'existence n'était plus qu'un long martyre, son maître lui donna la mort",abréger
1929,"Vu la nécessité d'abréger, en raison de l'urgence(...)",abréger
1929,"Vu là nécessité d'abréger, en",abréger
1917,Pour abréger la guerre Il y a deux moyens d’abréger la guerre,abréger
1917,"Voulons-nous abréger la guerre(...)C’est pour la France, c’est pour hâter la miséricorde, pour faire plus proche la victoire, pour abréger l’épreuve",abréger
1916,"NOS SOLDATS A LA GUERRE L'époque du jour de l'an nous procure de nombreuses lettres-, Nous voudrions pouvoir en reproduire davantage - nécessairement il faut abréger(...)",abréger
1937,"décisions ministérielles pourront abréger ces délais au cas où il deviendrait nécessaire de procéder à des amodiations amiables en dehors des périodes normales (art. 6, 2e alinéa(...)",abréger
1937,"En outre, dans l'avenir, des décisions ministérielles pourront abréger ces délais au cas où il deviendrait nécessaire de procéder à des amodiations en dehors des périodes normales",abréger
1863,"On sait aussi combien il importe, pour abréger le tailler, de suivre le sens des lames cristallines, en se réglant sur le parallélisme des facettes avec les joints naturels",abréger
1902,"Puis, pour abréger, on écrivit pro sequa et enfin pro sa",abréger
1902,il n'est pas permis de les abréger,abréger
1917,"D’abord l’unité de front chez les alliés, depuis si longtemps réclamée et qui eut pu, semble-t-il, abréger la durée de la guerre, paraît se réaliser",abréger
1916,"Purgatoire attend sa visite et s’entrouve pour lui donner les âmes qui, l’ayant aimée ici-bas, voient s’abréger pour elles la dure expiation(...)",abréger
1916,"la France, pour lui permettre d’arriver sûrement à la libération du pays et à la victoire finale Souscrire à l’emprunt, ce n’est pas prolonger la guerre, c'est t’abréger, c’est donc épargner le sang français",abréger
1873,"Nous vous supplions de croire, Nosseigneurs et Messieurs, qu'il n'est venu à la pensée d'aucun de nous de vouloir abréger le temps nécessaire à l'étude sérieuse de la révision de nos Règles",abréger
1917,"Enfin les commentaires, évidemment inspirés, de la grande presse, développent unanimement cette idée : l'intensification de la guerre sous-marine tend uniquement àabréger la guerre(...)Etats-Unis ne sauraient s'op- poser à une mesure qui se propose d'abréger la guerre(...)",àabréger
1917,"Elle intitule SOn article « Pour abréger la guerre » et crtt : « Ce n'est pas de galté de cœur que les Puissances centrales ont pris leur déci- sion, mais poussées par la nécessité de défendre leur existence(...)Usures de défense et en fait des actes humanité puisqu'elles tendent à abréger la gUrre, « Dans une telle situation, il ne saut y avoir de divergences et il n'y en a Pas, Nous ne pouvons qu'exprimer la ferme :8llrance que nos sous-marins répondront r' nQtre attente et que nos diplomates aussi(...)",abréger
1917,"efforts pour abréger la guerre, etc",abréger
1937,"Il est plutôt désiq, agir de manière à abréger la guerre de manière à abréger la guerre vUe(...)",abréger
1886,"Le temps indiqué comme devant être passé en séjour aux escales intermédiaires ëst'un'majd'mum que la compagnie conserve 1B droit d'abréger, d'un commun accord entra l'agent des postes embarqué, le 'capitaine et l'agent de la compugnie, et qui no peut 4tra dépasse que s'il s'agissait(...)",abréger
1886,"Le temps indiqué comme devant être passé en séjour dans les escales intermédiaires est un maximum que la compagnie conserve le droit d'abréger, d'un commun accord entre l'agent des postes(...)",abréger
