year,sentence,key_word
1870,"Le verbe abîmer, qui vient du subslantif abîme, signifie(...)Abîmer un chapeau, c'est le déformer, comme lorsqu'on lui donne ce que vulgairement on appelle un renfoncement(...)",abîmer
1870,"LE COURRIER DE VAUGELAS 109 Il s'est abîmé les yeux en voulant faire des remèdes à sa façon(...)Ma maison a été abîmée par l'ouragan, quelques parties ont été détruites(...)La grêle a abîmé le raisin, elle l'a toqué, elle en a endommagé les grains(...)",abîmé
1902,"même très peiué de l'abîmer, et je ferai tous mes efJorts, ensuite, pour qu'elle soit, par vos soins, promptement guérie",abîmer
1913,"Pour éviter un train de péniches, le comte de Lambert voulut faire un virage et s’accrocha dans les fils télégraphiques d’où il vient s’abimer sur le sol",abimer
1925,C’est une précaution des plus importantes si l’on ne veut pas foncer à chaque application et finalement abîmer la chevelure,abîmer
1925,"décolorée avec toutes les précautions indiquées ne peut pas s’abîmer, mais il ne faut pas essayer de décolorer trop rapidement et limiter exactement l’application du décolorant aux racines, ce qui est facile si les cheveux ne sont pas gras, et que, par conséquent, on n’a pas été obligé de les laver au préalable(...)A celles de vos clientes qui se décolorent elles-mêmes, vendez l’Oréal d’Or, décolorant très progressif qui n’abîme pas la chevelure",abîmer
1941,"H FUMIGATOR GONIN » lA ppronvé par le Conseil Supérieur d'Hygiène Publique lie FRANCE t -—— -— Autorisations Officielles ■ PROSTRÉ DISCRET, ÉCONOMIQUE N'ABIME RIEN N' 1 3 pour 15 ml 11,50 FUMIGATOR GONIN N° 4 pour 20 ml 13,95 Ne 6 pour 40 m' 23,50 Chacun a le droit d'exécuter par ses soins, ou de faire exécuter par un service privé, la désinfection de ses locaux, pouvu que ce soit à l'aide d'un procédé autorisé comme le « FUMIGATOR GONIN(...)",abime
1941,"LV 1 DÉSINFECTION RADICALE DE TOUS LES LOCAUX APRÈS MALADIES ÉPIDÉMIQUES par le FU MICA TOR CON lN SANS RIEN ABIMER DISCRÈTEMENT, ÉCONOMIQUEMENT Autorisations Officielles L N° 3 pour 15 m* 11,50 FUMIGATOR GONIN ) No 4 pour 20 me 13,95 ( N° 6 pour 40 ml, 23,50 PAPIER GOMMÉ - CRÉSYL GONIN - FLUOFORMOL GONIN Eohantillons sur demande — Prix spéciaux au Corps Médical LE FUMIGATOR GONIN, 60, rue Saussure à PARIS (XVIIe) - Tél",abimer
1893,"On obtient de la sorte un nettoyage parfait, économique, car une bobine de boixante-quinze centimes ou un franc dure un an et on n'a pas à craindre, comme avec la plume d'oie traditionnelle, de s'abîmer les gencives",abîmer
2005,Maurice a tellement peur de perdre ou d'abîmer sa carte qu'il préfère la laisser dans ce lieu où il vient manger,abîmer
1884,"En somme, ils pourraient abîmer les mouches que je leur passerais cette manie, mais comme ils semblent s’inquiéter uniquement d’abîmer les hommes, cela devient plus grave",abîmer
1885,"si exaspérée, que Lozère craignit de la voir s’abîmer sur leur tête(...)peuvent rugir et les forêts s’abîmer rite, elle se retira dans sa loge, attendant le moment d’entrer en scène",abîmer
1885,HUILE A BRULER Spécialement épurée pour avoir un bel éclairage et ne pas abîmer les lampes,abîmer
1836,l'autre infortunée essaya de s'abîmer dans une timbale avant de prendre la fuite,abîmer
1897,"et, pour ne pas abîmer la toile grise, des petits ronds de papier ont été glissés sous les pieds des fauteuils et des tables",abîmer
1897,"ELLE, vexée. — Tu préférerais peut-être quejem'abime la peau avec des horreurs de parfums fabriqués on ne sait comment(...)sur la chaise, , elle met un papier, afin de ne pas l'abîmer en montant dessus(...)",abime
1899,"un ancien forçat évadé, un colosse qui, pour ne pas être repris et renvoyé au bagne, n'a pas craint de s'abîmer la figure et se rendre méconnaissable en se faisant de nombreuses cicatrices",abîmer
1867,"Nous voilà bien embarrassés pour faire notrecompte-rendu, nous ne pouvons pas cependant trop nous abîmer, et notre devoir nous commande de dite la vérité",abîmer
1929,"L'ORÉAL, c'est vingt années entièrement passées à étudier la nature du cheveu, sa couleur, sa vie. l’Oréal dOr BLONDIT SANS ABIMER",abimer
1941,elle flatte l’homme pour l’abîmer,abîmer
1894,à trois cents lieues (quatre ou cinq heures de vol) que toutes les cataractes du ciel s'ouvrirent pour abîmer la terre nous crûmes un moment au déluge,abîmer
1939,"MOREINF ( suite .... et Fin ) bien acheté des skis,peaux do phoque,farts,lunettes,etc..etc. .. ,mais ,aucun cousin ,ou cousine ne peuvent se vanter de m’avoir vu sur les lattes, pas si bête de les abîmer",abîmer
1932,"3-) Le phosphate bicalcique est pratiquement neutre, donc conservation indéfinie en sacs sans les abîmer et, conséquence encore plus' importante, il n'acidifie oas les terres",abîmer
1933,Parce que je ne veux pas l'abîmer(...)Pourquoi es-tu si désireuse de ne pas l'abîmer,abîmer
1903,La plus grande prudence est ici de rigueur pour ne pas abimer la couche très fragile qui constitue l’image,abimer
1903,"Disons de suite qu’il y a bien des moyens d’abîmer les préparations photographiques, qu’on les connaît peu et que, par suite, on ne se met pas assez en garde contre les pratiques fâcheuses",abîmer
1915,"Certes, c'est un plaisir, par l'effet amoindri Pourtant, que voir des tours s'abimer dans les flammes",abimer
1915,"Fais-le. ressouvenir de ses devoirs trahis, Montre-lui l'horizon qu'il ferme à son pays Kl, l'abîme qu'il ouvre à la Grèce hésitante 1 A défaut de l'honneur que l'intérêt le tente(...)",abîme
1986,"La maladie, la souffrance physique ou morale, souvent plus grave encore, vous ont-elles abîmé ou détruit(...)En un seul coup se détachaient des morceaux aussi gros que trois ou quatre doigts, et tout proche du dessin tracé, si bien que s'il avait fait sauter un peu plus de marbre, il courait le risque de tout abîmer",abîmé
1986,"rien de tel pour abîmer le teint, donner des rides et... saboter complètement le moral(...)",abîmer
1937,elles vont à la fin s'abîmer dans la mer en mille cascades bourdonnantes,abîmer
1902,"Lorsqu'on cesse .d'appuyer, l'éteignoir retombe et éteint la première mèche, ce qui empêche le fil de platine, qui est au-dessus d'elle, de s'abîmer(...)",abîmer
1907,"La logique devra lui faire préférer la rédaction suivante : Employez"" LA CRÈME ASMODEE qui augmente et conserve la beauté et la fraîcheur du teint sans sécher ni abîmer la peau du vis»ge Les lectrices qui connaissent la signification du verbe ""corroder"" auraient toutes compris, en effet, qu'il était employé là comme synonyme du verbe ""abîmer(...)",abîmer
1947,Et il y a encore des parents qui pensent que de manger trop de bonbons et de sucreries peut abimer la dentition de leurs enfants,abimer
1897,"elle n'a, depuis 26 ans, fait que s'abîmer davantage(...)",abîmer
1932,"on ne doit pas les abîmer surtout(...)Glissant entre les herbes avec précaution, pour ne pas abîmer la laisse qu’il traînait toujours après lui, il fit d’abord le tour de la clairière, puis, apercevant un joli chemin de mousse qui semblait mener quelque part, il le(...)",abîmer
1918,"Si nous avons bonne volonté, Notre Dame, qui est mère, nous laissera, en souriant, abîmer sou bel Ave. — A force, dira-t-elle, il le chantera juste dans l’éternité",abîmer
1899,"peur de s'abîmer la vue, lorsqu'il ne dort pas, il ferme les yeux.g",abîmer
1863,"LA'- 11E VUE-PROGRAMME. mais tirer le shako — même au bon Dieu—à * seule fin de ne pas abimer la visière. — Le shako, oui, mais le képi, c'est différent",abimer
1870,"a quelques mois, quand la France semblait s’abimer en plein bas-empire, que nous allions reproduire les scènes de 92 et retrouver le souille de ces temps héroïques",abimer
1977,"On commence à s'abîmer, on traîne les bistrots pour avoir un semblant de camaraderie",abîmer
