year,sentence,key_word
1922,"Il faut s'accoutumer, disait-il,""a voir",accoutumer
1931,"accoutumer les peuples, surtout en régime démocratique, à considérer la loi comme une lettre morte",accoutumer
1997,"Pouvons-nous nous accoutumer à une horreur quasi quotidienne, ou à défaut, nous cantonner dans une indignation impuissante(...)",accoutumer
2003,"De plus, la mise sous haute sécurité du village était plus stricte qu'à Murcie en Espagne lors du FOJE 2001. ce dispositif de sécurité et le système d'accréditation sont très importants à l'heure actuelle, cela permet également à ces jeunes de s'y accoutumer",accoutumer
1889,"Accoutumer On a dit que l'habitude est une seconde nature(...)l'âme, rien n'est mieux que de s'y accoutumer",accoutumer
1894,"Son principal mérita aura peut-être été d'accoutumer les capitaux disponibles à prendre une initiative et une mobilité susceptibles (s'étr J de plus en pins mises à l'e v"" preuve",accoutumer
1883,"Considérant qu'il peut être utile aux enfants de nos écoles communales de les accoutumer de bonne heure à la connaissance des hommes, qui, par de profondes réflexions, de courageuses luttes(...)",accoutumer
1885,"Celui qui pense à ce qu'il lit, étudie avec intelligence,' écoute les leçons avec intérêt, et s'accoutume à agir et",accoutume
1885,Il est essentiel d'accoutumer les enfants à accentuer les mots'et à faire convenablement les repos que.le sens exige,accoutumer
1885,"259 — d'accoutumer les enfants à aimer la langue de l'Eglise, on leur fait réciter ces prières le matin en français et le soir en latin",accoutumer
1885,"Les accoutumer à jouer, à s'amuser beaucoup. '' MARS. — 1rD semaine. — Faire comprendre ce qu'il y a de honteux dans le vol(...)2""- semaine. — Accoutumer les enfants à ne jamais faire de dommage à personne. — Leur inspirer une grande délicatesse de conscience ù ce sujet",accoutumer
1885,"semaine. — Accoutumer les enfants à de petites mortifications les jours de jeune, à de petites pénitence par amour pour Dieu(...)4e semaine. — Prémunir les enfants contre la gourmandise. — Ne pas les accoutumer à manger à tout instant. — Expliquer aux plus grands qu'ils doivent prendre de la nourriture non pour satisfaire leur goût, mais pour",accoutumer
1885,"Accoutumer l'enfant, dès le début : 1° à prendre une bonne posture du corps(...)",accoutumer
1885,"Il faut les accoutumer à voir au delà, à soigner le corps comme serviteur et organe de l'âme",accoutumer
1912,"On peut, avec un jeu de cette sorte, accoutumer l'élève à reproduire les ensembles dont sa main seule ne peut lui fournir la connaissance, par exemple : une enceinte carrée formée de cubes superposés, et dans laquelle on ménage une ouverture pour la porle(...)",accoutumer
1912,"47 — genre sont les suivants : habituer les enfants à plier et à couper du papier, puis les accoutumer au maniement de quelques outils, couteau, ciseaux, tourne-vis, pinces, en leur faisant confectionner de petits objets à l'aide de carton, de bois tendre, de fils de fer",accoutumer
1866,Voulant s'accoutumer sans doute au beau langage,accoutumer
1880,"d'une façon progressive, on fait ce trajet lentement afin de s'accoutumer à la chaleur",accoutumer
1900,"à disparaître n'est pas le même si on opère avec une levure accoutumée ou non au galactose(...)Supposons que nous disposions de levures accoutumées ou non au galactose, mais dont la zymase a été détruite",accoutumée
1900,"nous avons répété l'expérience précédente en extrayant des levures, accoutumées ou non au galactose, la sucrase qu'elles contenaient: la quantité de sucre interverti était la même, quelle que soit l'origine de la sucrase",accoutumées
1900,"179 J'ai reconnu qu'on n'extrayait pas complètement la diastàse des cellules par ce procédé, et, pour comparer l'activité de la lactase dans les levures accoutumées ou non au galactose, je fais directement agir la levure de lactose séchée et tuée à 100° sur la solution de lactose et en présence de toluène",accoutumées
1900,remplaçant la solution de galactose par 5 c. c. d'une solution de glucose ne permet pas de différencier les levur-es accoutumées ou non au galactose,accoutumées
1900,"En introduisant sur une levure en masse, accoutumée ou non au galactose, une solution de lactose, on obtient une différence dans le commencement(...)",accoutumée
1900,"Sucre fermenté % Ballon renfermant eau de touraillons glucose 3,80 — — maltose 3,70 _ — galactose *,02 La levure en masse a pu se multiplier sur le fond du ballon et a permis aux cellules de s'accoutumer rapidement au galactose au point de rendre nulle l'influence de leur origine(...)Nous dirons que ces levures sont en partie accoutumées au galactose 1",accoutumer
1900,"La levure du tube 3 s'est donc accoutumée au galactose, celle du tube 2 a conservé une partie de ses anciennes propriétés, malgré la proportion assez grande de glucose que cette levure(...)Son temps mort est de 4 jours au lieu de 24 heures, mais ce temps est sans importance, cette levure s'accoutume encore",accoutumée
1900,"Ces deux exemples nous montrent donc que lorsqu'une levure accoutumée au galactose fait fermenter du glucose, elle perd en partie son acclimatation",accoutumée
1900,"si elle est accoutumée, elle devient seulement plus sensible à(...)",accoutumée
1900,"185 accoutumée ou non au galactose(...)Ainsi que l'expérience le vérifie, ce seront les diastases comme la lactase et la mélibiase dont l'activité augmentera chez les levures accoutumées au galactose",accoutumée
1900,"Les leucocytes qu'il renferme doivent s'accoutumer aux toxines, à certaines substances telles que le sulfure d'arsenic dans les expériences de Besredka, ou encore le sérum sanguin dans les expériences de Bordet(...)car on ignore même la nature de certains corps qui agissent et auxquels la cellule doit s'accoutumer",accoutumer
1900,"borique employée n'était pas suffisante pour empêcher toute fermentation alcoolique du glucose, elle est largement suffisante pour ne pas permettre à une levure de s'accoutumer au galactose(...)Avec une levure accoutumée au galactose, le rapport : T(...)",accoutumer
1900,Les levures de lactose habituées au glucose sont en partie accoutumées naturellement au galactose : aussi(...),accoutumées
1900,Voici quelques résultats obtenus avec une levure accoutumée au galactose(...),accoutumée
1900,"La levure non accoutumée, traitée comme nous venons de l'indiquer, et transportée dans l'eau de touraillons additionnée de galactose, ne peut se développer ni faire fermenter ce sucre",accoutumée
1900,"Pour lui rendre son activité, il suffit d'ajouter une trace de glucosequji redonnant la jeunesse aux cellules, les met dans les conditions nécessaires pour s'accoutumer au galactose(...)Les levures accoutumées soumises au toluène peuvent'très bien se développer dans l'eau de touraillons galactosée(...)zymase de ces levures résiste bien mieux que celle des levures non accoutumées",accoutumer
1900,"Si on fait agir une levure en masse, accoutumée, ou non au galactose, sur une solution de galactose ou de glucose, additionnée d'acide malique, on constate au bout d'un temps plus ou moins long, suivant que la levure est ou non acclimatée, un dégagement gazeux, qui cesse assez vite",accoutumée
1900,Avec une levure accoutumée nous avons obtenu les résultats suivants(...),accoutumée
1900,"En opérant avec la levure en niasse, j'ai pu me convaincre que non, et avec une levure non accoutumée la quantité de sucre était la même, que ce soit du glucose ou du galactose(...)Ainsi, dans la lutte contre les microbes, les phagocytes doivent s'accoutumer à leurs toxines",accoutumée
1900,"En faisant agir une levure de commerce forcément vieille sur du galactose impur, le glucose présent permettait aux cellules de se rajeunir et de s'accoutumer facilement au galactose",accoutumer
1900,"FERMENTATION DU GALACTOSE: 171 présence d'un mélange de glucose et de galactose, est capable de s'accoutumer rapidement à ce dernier sucre",accoutumer
1900,Mais nous voyons encore que la levure a pu s'accoutumer au galactose en présence du glucose,accoutumer
1900,"résultat nous indique que dans le ballon S la levure n'a pas eu encore Je temps suffisant pour s'accoutumer, tandis que dans les autres ballons la levure a pu s'accoutumer et faire fermenter le glucose et le galactose en proportions inégales, mais dont la somme S est à peu près constante pour tous les ballons(...)En résumé, en présence de glucose, lès levures peuvent s'accoutumer au galactose, ce corps favorisant même l'acclimatation pour quelques levures",accoutumer
1844,"y accoutumer plus tard et à la longue , de les identifier avec nous , de manière à ne former qu’un seul et même peuple sous le gouvernement paternel du Roi des Français",accoutumer
1940,"accoutumer la population aux règles nouvelles de la circulation, des contrôles spéciaux ont été faits sur la voie publique. f",accoutumer
1890,"v» Conséqueinment, il est indispensable d'accoutumer les enfants à faire des économies et à ne pas dépenser sottement tout l'argent qui leur tombe entre les mains",accoutumer
1889,Il faut donc conclure que c'est uniquement à l'absence des gros spéculateurs qui seuls peuvent imprimer un mouvement sérieux à la cote que l'on est redevable de cet état d'atonie auquel on doit s'accoutumer au moins pour plusieurs semaines,accoutumer
1906,"Il n'y a rien à quoi il ne puisse s'accoutumer : aux privations et aux ennuis, aux choses désagréables comme aux choses agréables(...)Par cela seul qu'il a à tout instant le danger devant les yeux, il peut s'y accoutumer assez pour n'y plus penser",accoutumer
1941,"Mais il faut s accoutumer à le lire et à 1 analyser(...)Mais il faut s’accoutumer à l’idée qu’elle traduit, ep(...)",accoutumer
1927,"Il .est bon d'accoutumer Tes filles dès Z 'enfance à gouverner quelque chose, à faire des comptes, à .voir la manière de faire les marchés de tout ce qu'on achète, et à(...)Faites pour la propretô comme pour l'économie : accoutumez les filles à ne rien souffrir de saie ni de dérangé : qu'elles remarquent le moindre(...)Nature et rôle des mots suivants : Il est bon d'accoutumer lis filles dès' Venfance à gouverner quelque chose.- ■:,.- 4(...)",accoutumer
1927,"accoutumer, v. à l'inf., suj. réel de est bon(...)filles, n. com., c. dir. d'objet de accoutumer",accoutumer
1822,"Mais appliquer à la raison les formes rigoureuses du raisonnement, accoutumer la",accoutumer
1822,"hommes, résolut de civiliser la grande espèce de singes » appelé Jacktcha ou Racktcha, d'introduire chez eux la « religion de Bouddha, et de les accoutumer à la pratique » des préceptes, ainsi qu'à l'observation des rits consacrés",accoutumer
1967,"Accoutumé à porter, à saisir Dieu, l'homme pourra entrer dans l'unité de Dieu, participer à son incorruptibilité",accoutumé
1967,"Christ ramène à lui dans l'Incarnation tout ce à quoi il s'est antérieurement accoutumé, tout ce qu'il a adapté à lui",accoutumé
1967,"THÉOLOGIE DE L'ACCOUTUMANCE CHEZ SAINT IRÉNÉE1 « Le Verbe de Dieu qui a habité en l'homme a été jusqu'à se faire Fils de l'homme, pour accoutumer l'homme à recevoir Dieu et accoutumer Dieu à habiter en l'homme, conformément au bon plaisir du Père » 2",accoutumer
1967,"Abraham, l'homme avait appris par avance et s'était accoutumé à suivre le Verbe de Dieu (In Abraham praedidicerat et assuelus fueral homo sequi Verbum Dei j : Abraham 12",accoutumé
1967,"Cependant, comme nous sommes en fait devant deux passifs (avait été enseigné; avait été accoutumé), il faudra se demander quel est le véritable sujet",accoutumé
1967,THÉOLOGIE DE L'ACCOUTUMANCE 13 Quel est le sujet réel 23 de l'action divine qui enseigne et accoutume l'homme en Abraham,accoutume
1967,"En l'éprouvant, Dieu l'accoutume à le suivre(...)Dès le principe, en effet, le Verbe de Dieu s'était accoutumé à monter et à descendre pour le salut de ceux qui étaient dans le malheur 26",accoutume
1967,"Le mouvement de descente et de montée auquel s'accoutume le Verbe, c'est donc le mouvement même du salut préparé par la sortie d'Égypte et le don de la Loi(...)Accoutumés à cette relation d'amour, les hommes pourront accueillir le Verbe et être sauvés",accoutume
1967,"Le choix divin porte sur des individus, mais ces individualités sont des figures universelles : « En Abraham, l'homme avait appris et s'était accoutumé à suivre le Verbe de Dieu » (5, 4(...)",accoutumé
1967,"Et le but de ces étapes progressives de l'économie est d'accoutumer l'homme à entrer dans la relation d'amour unissant les personnes mêmes de la Trinité(...)l'accoutumer non seulement à comprendre cette relation et à y entrer, mais encore à faire route avec le Verbe en se conformant à lui, et ainsi à parvenir à la « symphonie du salut » (consonanlia salulis 41(...)",accoutumer
1967,"22 PIERRE EVIEUX Dei, hereditas, futura, tout cela constitue un résumé de l'activité économique de Dieu, des modalités selon lesquelles Dieu accoutume son peuple au plan de salut(...)Par toutes ces interventions, Dieu exerce donc, accoutume sa part, son héritage, c'est-à-dire le peuple d'Israël considéré comme son bien propre 47",accoutume
1967,"THÉOLOGIE DE L'ACCOUTUMANCE 23 amour et de ses soins, il faut l'exercer, l'accoutumer, par les « dispositions de Dieu(...)",accoutumer
1967,"Pour cela, il lui faut passer par les mesures humaines, s'accoutumer à un langage, s'accoutumer à agir en l(...)Tout cela pour accoutumer l'homme à accueillir le Verbe, individu réalisant le salut de l'humanité entière, apportant un enseignement universel, règle de vie valable pour tout homme, divinisant en lui seul le genre humain tout entier, récapitulant en lui seul toute la création",accoutumer
1967,Dieu accoutume son peuple à le suivre pour être sauvé et s'accoutume lui(...),accoutume
1967,"voilà pourquoi cet Esprit est aussi descendu sur le Fils de Dieu devenu fils de l'homme, pour s'accoutumer à habiter dans le genre humain, à reposer parmi les hommes, et à habiter dans l'œuvre modelée par Dieu, avec lui, opérant dans(...)intimement uni au Verbe incarné et s'accoutume en lui à « habiter », et à « reposer(...)",accoutumer
1967,"C'est pourquoi, étant dans le Fils, l'Esprit s'accoutume à habiter avec lui dans l'homme en général, sa descente dans le Christ concerne le genre humain tout entier(...)L'Esprit ne s'accoutume plus seulement à habiter dans l'humanité, mais à demeurer dans les individus sauvés par la mort et la Résurrection du Christ",accoutume
1967,"Lui) donnant même (le pouvoir) de contenir (capere) le Père, le Verbe de Dieu, qui a habité dans l'homme, a été jusqu'à se faire Fils de l'homme 60 pour accoutumer 57",accoutumer
1967,"C'est d'abord l'homme qui s'accoutume à saisir Dieu : percipere(...)C'est Dieu, en second lieu, qui s'accoutume « à habiter 61",accoutume
1967,"l'accent est mis davantage sur l'Incarnation-Rédemption : Dieu s'accoutume à habiter dans l'homme, à s'unir à la chair de péché, pour sauver l'humanité entière(...)C'est ensuite l'humanité du Christ dans laquelle l'Esprit s'accoutume à habiter parmi les hommes",accoutume
1967,"En tant qu'ils sont nouvellement produits, ils sont de petits enfants, ils ne sont ni accoutumés ni exercés à la conduite parfaite (38,1) 65(...)de sa divinité), et nous étant accoutumés (è6Lcr6év't'e:ç; : assueti) par une telle lactation à manger et à boire le Verbe de Dieu, nous soyons rendus capables de retenir (xarao/etiv Suv7]0côpiev : continere possimus) en nous-mêmes le pain d'immortalité, qui est l'Esprit du Père (38, 1) 67",accoutumés
1967,Mais l'accoutumance implique la double limitation de la mesure et du temps : on s'accoutume à ce qu'on n'a pas encore la suffisance de contenir,accoutume
1967,"Mais, accoutumé aux chaînes de l'esclavage, il faut qu'il s'accoutume maintenant à la liberté",accoutumé
1967,Encore faudra-t-il qu'il s'accoutume à porter l'Esprit-Saint(...)est déjà exercée et accoutumée à porter la vie,accoutume
1967,"Il ne dit pas : quiconque s'est accoutumé (par la vie de la grâce) à la vie éternelle est capable de la recevoir, ce qui serait une tautologie, ou restreindrait du moins la portée de son argumentation(...)Il dit : toute chair est capable de recevoir l'éternité de la vie, puisqu'elle s'est accoutumée sur terre à la vie, donc à la vie en général, ou plutôt au sens absolu du mot",accoutumé
1967,"Quelqu'un s'accoutume à quelque chose qui lui est étranger par nature, qui lui est supérieur(...)En conséquence, le sujet qui s'accoutume devient objet accoutumé, puisque le bien qu'il participe exerce sur lui une activité qui a pour résultat(...)",accoutume
1967,"Il doit s'y accoutumer, parce que la nature humaine lui est étrangère(...)C'est en cela qu'il s'accoutume vraiment à habiter dans l'homme : parce qu'il s'assimile à l'homme, s'humanise",accoutumer
1967,"le Fils commence par s'assimiler à nous : il s'accoutume à vivre dans l'homme, en homme(...)il s'accoutume donc à vivre dans le Christ, et il est ainsi entraîné vers la vie immortelle",accoutume
