year,sentence,key_word
1912,"On ne peut plus, sans effroi précautions multiples, affronter la tra L'V ersée d e certains carrefours et",affronter
1875,c’est-à-dire qu’ils aimeraient mieux aller prendre l’autre trottoir à la Madeleine que d’affronter ce passage — le cap des tempêtes du boulevard,affronter
1864,S'il nous fait affronter L'abord du sombre empire(...)S'il nous fait affronter L'abord du sombre empire(...)S'il nous fait affronter L'abord du sombre empire,affronter
1864,S'il nous fait affronter L'abord du sombre empire,affronter
1926,"total et sincère du budget, Si nous pouvons, comme nous en avons la ferme conviction, compter sur la collaboration active et résolue des deux Assemblées, le pays pourra, lui aussi, affronter sans alarme les difficultés d'une restauration financière dont nous faisons l'objectif de tout notre effort",affronter
1943,prélèvements (d'autres diraient les VOLS) ^ffec- fer i^s par les pillards étaient absolument nor- - - - - - maux pour une armée victorieuse» HITLER qUi n'ose même plus affronter son peu II faut bien permettre au gros et grr,affronter
1943,HITLER a peur d'affronter le peuple d«-- France las de se laisser affamer,affronter
1914,"On voit, à l’heure la plus matinale, nombre de personnes affronter le froid très vif de la saison pour assister à la messe de la mission et à la première instruction du jour",affronter
1915,"Mais, après avoir étudié la question longuement et profondément, j'arrive à la conclusion que nous de nous devons affronter les dangers(...)Nous devons, principalement, les affronter parce que, même en ne participant(...)",affronter
1954,"Si la parole reste pour l'instant aux sélectionneurs qui auront tiré toutes les leçons de Malakoff, les « tricolores » retenus le l* r mai pour affronter l’équipe belge, sauront se surpasser et nous ramener un résultat digne de nos anciennes traditions(...)Qu'en pensent les « corporatifs » : U.S.A.P. de Marseille qui, le 24 avril, doit recevoir S.K.F. de Paris pendant que Carbone-Lorraine aura la lourde tâche d’affronter l’U",affronter
2001,"À l'occasion de cette tentative orale, il fait une conférence sur le fait même de faire une conférence et non content d'affronter le public, il se met en scène en train de l'affronter",affronter
1949,Mais Turpin n’en était pas moins un homme difficile à affronter par suite de sa connaissance approfondie de l’art défensif,affronter
1949,"peu lent au début mais qu’il lui était difficile de mieux conduire sa barque contre un adversaire nullement désireux de l'affronter franchement(...)Et c'est pourquoi je préfère affronter les boxeurs des Etats-Unis, la-bas, au moins, un homme n'a jamais peur",affronter
1944,"capable d’affronter les épreuves physiques et morales, ainsi que les vicissitudes dangereuses de celte existence(...)Jeunes camarades qui avez pris la première place au couinât sur les champs de bataille ou à l’intérieur même de la France métropolitaine, vous vous retrouverez avec nous» encore à la première place, pour refaire une France jeune et forte, capable d’affronter victorieusement ses nouvelles",affronter
1925,"La pince à affronter du docteur Frèze - dans la pratique obstétricale Par E. GAUJOUX (Nîmes(...)Il a trouvé le moyen de supprimer cette difficulté en réalisant une pince à affronter qui est, en somme, une pince à disséquer ordinaire",affronter
1925,"Si la pince à affronter du Dr FnÈZE (1) paraît devoir rendra des services au médecin-praticien et au chirurgien, elle n'est pas moins utile à l'accoucheur pour réaliser sans difficulté une périnéorraphie post partum ou pour obtenir après une épisiotomie une cicatrice régulière et(...)A ce double titre elle n sa place dans la trousse d'urgence de l'accoucheur. (1) Li pince à affronter du Dr FRÈZE a été fabriquée par M",affronter
1925,"En dehors de quelques cas exceptionnels, la myorraphie doit se limiter à affronter au maximum sur une étendue de 1/2 à 2 centimètres les bords des faisceaux pubo-prérectaux de l'élévateur dans sa portion juxta-anale et il ne faut jamais faire un affrontement(...)",affronter
1944,"pareillement demain devant les autres, et qu’il n’aura ni le droit ni la force de les affronter s’il ne s’est pas d’abord justifié dans celui d’aujourd’hui",affronter
1992,"Il a été rejeté Il y a toujours un recommencement possible, quels qu’aient pu être les drames que ces enfants ont déjà dû affronter. par sa mère(...)f tou iours un recommencement possible, quels t’aient pu être les dramesjjjj^^î^ ° nt déjà dû affronter",affronter
1920,"L'anarchie inconsiente dans laquelle il vit, son mépris inné des lois, son fatalisme implacable qui lui fait tout affronter, sont la résultante et lesefïets définitifs d'une misère centenaire qui pèse implacablement sur tout un peuple",affronter
1943,Je ne sens ''fort pour affronter la mort,affronter
1916,"e désir ardent d’affronter h-s dangers(...)us qu’un seul but, affronter le Teuton",affronter
1889,"condamnée à l'impossibilité de gouverner plus longtemps, la bourgeoisie va encore relever la tète et affronter vos suffrages",affronter
1889,"Socialiste-révolutionnaire convaincu, il se met au-dessus de vous et ne craint pas d'affronter la lutte",affronter
1888,"Grâce à mon énergie, et au manque d'expérience du public, vous pourrez carrément affronter la scène et vous débarrasser à jamais des émotions qu'elle produit sur tous les débutants(...)sera ensuite possible d'affronter hardiment des scènes plus importantes, car vous pourrez montrer comme pièces à convictions, les articles élogieux, que vous consacrera la presse locale, que j'ai eu soin d'accaparer",affronter
1833,Des soldats citoyens affronter la colère(...),affronter
1917,"enfants de la paroise Jeudi 10 Mai à 10 h Confirmation à Balbigny PAROLES de SOLDATS « Près du Christ le soldat puise la force de se bien battre, le courage d’affronter tous les sacrifices, la mort même s’il le faut pour la patrie(...)",affronter
1941,"Pour affronter ls puissance de l'URSS, HITLER a dû concentrer ses meilleures forces à l'Est",affronter
1975,"J'espère que l'on restera en contact aussi longtemps que possible et j'espère que dans pas longtemps, ce peuple oublié, enfoui, ramolli sera à armes égales pour affronter la vie normalement",affronter
1947,"Le torero est celui qui s’engage à affronter volontairement cette épreuve et à jouer quotidiennement devant les autres la tragédie de l’homme et de la mort(...)Il s’engage à affronter l'ennemi non seulement avec courage, mais —'^■■■ET L’ES P A GNE, r- .<W 9 PAR GEORGES",affronter
1917,"affronter les épreuves, furent sur leur demande, ajoutés à la liste : quatre d’entre eux ont été reçus : au total dix-sept élèves de l'Ecole Pozzo ont obtenu cette année leur Certificat d’études",affronter
1919,"Alors, les Congrégations religieuses peuvent avec uue assurance tranquille affronter le tribunal do la Paix du monde",affronter
1940,"abandonner vos foyers et vos modestes biens, quittant le sol natal et les vieux parents dont les forces ne pouvaient affronter les affres du calvaire",affronter
1896,"Elle consiste, avant d'affronter le feu de la rampe ou lea incertitudes du concert, à manger du thon salé ou des anobois",affronter
1916,NOUS SAVONS TOUS que nos aviateurs savent affronter tous les périls et toutes les morts(...),affronter
1876,"La direction est du reste en présence de difficultés fort grandes, les artistes qui peuvent se permettre d'affronter le verdict du public de la seconde ville de France sont actuellement pourvus d'engagements avantageux : où voulez-vous que l'on trouve les deux ténors légers, la forte chanteuse, la basse et le baryton de grand-opéra qui sont actuellement à remplacer",affronter
1876,"Elle avait fait ce sacrifice d'amour-propre — le plus grand que puisse faire une comédienne — d'affronter le public sans se sentir absolument maîtresse d'ellemême, sans être en pleine possession de ses moyens",affronter
1916,Si l'un de vous ose affronter la mort(...),affronter
1898,"dégage une situation nette, une situation que voua ne pouvez affronter une manquer à la dignité et aux obligations de la charge dont la confiance du gouvernement républicain vous a investii et dans cet ordre d'idées nous, vous posons la question suivante: * Entendez-vous encore guuverner le pays avec la coterie dont la politique est oppressive et contraire aux intérêts de la masse de la population, qui, dans tous les pays civilisés et démocratiques, mérite d'être plaeéeau premier rang(...)",affronter
1939,L'Allemagne ne se sent pas encore la force d'affronter une guerre prolongée,affronter
1939,Mais l'Allemagne II est pas encore en mesure d'affronter une lutte prolongée,affronter
1939,"en serons venus à bout, nous Urrôns affronter le bolchevisme fermeent et la conscience nette",affronter
1916,"En France, depuis dix-huit mois que se succède sans interruption le défilé dos blessés, partout dans notre beau pays ces « braves poilus » recevaient le môme franc et bon accueil : une bonne parole est un excellent réconfortant pour ceux qui, après avoir combattu pour libérer la France du joug allemand, auraient droit au repos, mais viennent ici affronter le climat Indochinois meurtrier pour la garde des vies françaises",affronter
1925,000 têtes de bétail et affronter ensuite de profondes forêts semées d'embûches,affronter
1914,il ne manquera rien au vaillant peuple qui n’a pas craint d’affronter le colosse allemand pour(...),affronter
1914,"Quel est ce vaillant, ce nouveau grenadier, c’est lin brave homme de Prunelli de Campile, qui pourrait continuer à vivre paisiblement au milieu des siens et qui tient à affronter les fatigues d’une guerre pour donner au déclin de sa vie la preuve vivante(...)",affronter
1889,"affronter la tabatière de la tante Coinchotte, les statistiques de M. Blagomard et la conversation gastronomique de M. Coquibus(...)",affronter
