year,sentence,key_word
1833,"L'anatomic comparée est teitement perfectionuée anjourd'hui qn'it suffit d'un os,~thnc dent ou même d'un seul fragment d'os fossile pour déterminer les genres et les espèces d'animaux aui(jue)< ils ont apparienu, et pour nous révéler qaeMes en furent les mœurs, les allures et jusqu'au pélage",anatomic
1833,"La connaissance de leur anatomie, des alimens dont ils se nourrissent, de leurs habitudes et de leurs modes d'existence, peut seule nous indiquer les moyens de porter remèdes aux maux qu'ils nous font",anatomie
1910,"CONSEIL MUNICIPAL DE PARIS 1910 VOEU tendant à la création d'une chaire d'anatomie chirurgicale et de thérapeutique expérimentale en faveur du docteur Doyen, PRÉSENTÉ PAR nvt(...)Mais j'ai pensé que la nouvelle méthode de démonstration inaugurée cette année par M. Doyen pour l'enseignement de l'anatomie et de l'histologie devait être vulgarisée et mise à la portée des étudiants et des praticiens si nombreux à Paris et si o 1.74L",anatomie
1910,"En effet, l'enseignement actuel de l'anatomie est l'enseignement d'une anatomie à deux dimensions, c'est-à-dire en surface, et encore les deux dimensions sont elles inexactes, par suite du déplacement(...)anatomie chirurgicale, a imaginé, avec la collaboration de M. Bouchon, un nouveau procédé de fixation qui permet de durcir les organes dans leur situation normale en conservant leur couleur, et un dispositif qui permet de faire en quelque sorte le plan du corps humain sur des coupes parallèles(...)",anatomie
1910,"l'anatomie microscopique et les principaux phénomènes de la défense cellulaire contre les microbes, qui ont été exposés dans sa seconde série de cours(...)Le titre de la chaire qu'il conviendrait de créer serait : « Chaire d'anatomie chirurgicale et de thérapeutique expérimentale",anatomie
1910,"5 — iV 174 garde de tous les progrès dans la science dans les arts, dans l'industrie, d'ouvrir une ère nouvelle à l'anatomie chirurgicale et à la thérapeutique expérimentale(...)Je vous prie, Messieurs, de vouloir bien adopter le vœu suivant : LE CONSEIL ÉMET LE VŒU : 1° Qu'une chaire municipale d'anatomie chirurgicale et de thérapeutique expérimentale soit créée à l'Université de Paris en faveur du docteur Doyen(...)",anatomie
1998,"t- Bulletin de l'association Les Amis des Hôpitaux Universitaires de Strasbourg Numéro 4 - Juin 1998 Pour la création d'un Musée hospitalier Notre troisième Assemblée Générale se tient le 23 juin dans le prestigieux Institut hébergeant à la fois l'Anatomie normale et l'Anatomie pathologique, érigé dans le moule de l'ancien ""Spithal Bollwerk"", notre pentagone, aussi nommé Petit Polygone au siècle dernier(...)L'action concrète de notre association peut sembler Assemblée Générale Mardi 23 juin 1998(...)",anatomie
1998,chaire d'anatomie date de 1652 avec la création d'une chaire d'anatomie et de botanique pour Johann Albert Sebitz,anatomie
1998,"3 enseignement de l'anatomie dont la notoriété se poursuit jusqu'au XXe siècle(...)Les différentes disciplines issues de l'anatomie strasbourgeoise sont alors individualisées, à côté de ceux d'Anatomie et d'Anatomie Pathologique sont crées les Instituts d'Histologie et d'Embryologie",anatomie
1998,"Assemblée générale L'assemblée générale de notre association a été fixée au mardi 23 juin 1998 et se tiendra à l'amphithéâtre d'anatomie(...)Le verre de l'amitié sera servi, par beau temps, dans la cour intérieure de l'anatomie où les(...)",anatomie
1998,Prof. Henri SICK : Evolution et transformation de la discipline anatomie normale et ses répercussions sur le bâtiment. - Prof. Jean-Marie VETTER : L'anatomie pathologique,anatomie
1885,"L'année dernière, nous avons exposé et discuté dans notre Journal international les (') Extrait du Journal international mensuel d'Anatomie et d'Histologie et du Bulletin scientifique du Nord, 1884-85, n» 4",anatomie
1885,Mais l'anatomie ne restreint pas ses champs d'étude aux formes extérieures du corps ou de ses parties constituantes(...)Méthode d'anatomie pure et simpie. — M. Sappey représente essentiellement ce qu'en Allemagne nous appelons l'anatomiste pur,anatomie
1885,"Ce sont : l'anatomie pathologique, l'anatomie microscopique ou l'histologie, l'anatomie comparée, l'anatomie du développement ou l'embryologie et la physiologie",anatomie
1885,"Tillaux a fait de l'anatomie topographique. une étude toute spéciale(...)La méthode génétique repose sur l'association de l'anatomie comparée et de l'embryologie pour élucider les faits nettement constatés, mais inintelligibles au premier abord, de l'anthropotomie",anatomie
1885,"L'anatomie comparée, qui, elle aussi, est l'histoire du développement non plus de l'individu mais des espèces, intervient alors pour projeter bien souvent sur la question la plus vive lumière(...)Une pareille association de l'anatomie humaine et de l'anatomie comparée est assurément susceptible de jeter un jour nouveau sur les variations qui ont été jusqu'ici si souvent négligées au point de vue tout au moins de l'anatomie génétique",anatomie
1886,"Archiv für pathologische Anatomie und Physiologie und fur klinïsche Médicin, novembre 1885.) LES MÉDICAMENTS EXPLOSIBLES. —La liste en est longue, mais l'auteur de ce travail, le Dr Murrell, appelle particulièrement l'attention de ses confrères sur certaines préparations que l'on est plus exposé à employer d'habitude",anatomie
1886,"il fut successivement professeur d'histoire natu- relle au lycée de Bordeaux, inspecteur d'anatomie et(...)Anatomie et physiologie. — Nabips (Barthélemy- Marie-Napoléon), né à Montaner (Basses-Pyrénées), le 15 août, 1860, ' docteur en médecine de la Faculté de Bordeaux",anatomie
1886,"Anatomie et physiologie. — Nicolas (Marie-Adolphe), né à Pont-à-Mousson (Meurthe), le 1er mars 1861, docteur en médecine de la Faculté de Nancy(...)Anatomie et physiologie. — Guinard (Marie-Aimé-Désiré), né à Saint-Etienne (Loire), le 8 mai 1856, docteur en médecine de la Faculté de Paris(...)Anatomie et physiologie. — Pinceteau (Laurent), né à SaintLoubès (Gironde), le 1er mai 1858, docteur en médecine de la Faculté de Bordeaux",anatomie
1921,à l'Amphithéâtre d'anatomie des hôpitaux de Paris(...)La durée des fonctions des aides d'anatomie est limitée à trois années(...),anatomie
1921,"Les épreuves du concours pour les places d'aide d'anatomie à l'Amphithéâtre d'anatomie des hôpitaux se divisent en épreuve d'admissibilité et épreuves définitives : I(...)Cette épreuve porte sur toutes les branches de l'anatomie descriptive sauf la splanchnoJogie, le système nerveux central et les organes des sens",anatomie
1851,"Le premier volume comprend un discours sur l'histoire de l'anatomie, l'ostéologie, l'arthrologie et les dents(...)médicales et vétérinaires, comprenant l'Anatomie, la Physiologie, la Pathologie générale, la Pathologie spéciale, l'Hygiène, la Thérapeutique, la Pharmaeologie, l'Obstétrique, les Opérations chirurgicales, la Médecine légale, la Toxicologie et les Sciences accessoires",anatomie
1851,"Prix. - 1-75 &.OBELT, professeur d'anatomie et d'anatomie pathologique à l'Université de Fribourg. —DE L'APPAREIL DU SENS GÉNITAL DES DEUX SEXES dans l'espèce humaine(...)ÉLÉMENTS D'ANATOMIE GÉNÉRALE, ou Description de tous les t tissus ou systèmes organiques qui composent le corps(...)",anatomie
1912,"UN MOT DU PROFESSEUR ALEZA1S Comme par extraordinaire, le professeur Alezais fit vendredi dernier une autopsie au laboratoire d’anatomie pathologique",anatomie
1912,"Anatomie Pathologique, de Achard et Lefert",anatomie
1912,"faits à leur époque contre le professeur d’anatomie(...)Notre professeur d’anatomie, dans les interviews des journaux — c’est par leur organe qu’il présente sa défense — déclare nettement qu’il est la victime des menées sourdement conduites contre lui par notre directeur, M",anatomie
1912,"résonner sous les voûtes de l’Institut d’anatomie(...)cours d’anatomie, nos protestations visent la façon dont sont organisés les travaux pratiques",anatomie
1912,"Comment se fait-il aussi que durant ce semestre d’été l’amphithéâtre d'anatomie, malgré les « occlusions » des tuyaux d’écoulement, soit dans un état de propreté satisfaisante(...)our suspendre les cours d’anatomie du professeur titulaire que nous nous refusons à subir désormais",anatomie
1912,"Sans ordre, et à voix basse, il traite, en général, tout autre sujet que l’anatomie(...)Lorsque maintenant, par hasard, il aborde une question d’anatomie, c’est pour troubler nos esprits par des erreurs grossières",anatomie
1912,"N. D. L. II.) Messieurs, L’anatomie est à la base, on peut le dire en quelque sorte de la médecine(...)Pour faire une opération il suffit de savoir l’anatomie.. .Les voyages forment la jeunesse et ils ne sauraient trop profiter au médecin... (Suit la narration d'une aqression sau- prenue dont(...)",anatomie
1912,"Nlagon Nos étudiants d’anatomie étaient tristes comme s’ils avaient accompli œuvre de chair(...)Les étudiants veulent des cours d’anatomie et M. Magon étant professeur d’anatomie, leur doit bien cela",anatomie
1928,"HISTOIRE DE LA CHAIRE D'ANATOMIE 27 Mais ils pressentent aussi tout ce que ce terrain à peine défriché peut livrer à l'activité d'une culture scientifique élevée et projettent d'étendre leur action à ce nouveau domaine(...)Sous sa direction, le laboratoire d'anatomie va recevoir une impulsion nouvelle et changer à la fois de méthode et de but",anatomie
1928,Les Discours sur l'Anatomie comparée contiennent la quintessence de ses doctrines(...)Il jette les premières bases solides de l' Anatomie comparative en commençant l'étude des modifications graduelles que subit un organe dans la série animale,anatomie
