year,sentence,key_word
1904,"mêmes vies infinitésimales et invisibles composent les atomes des corps de la montagne et de la Marguerite, de l'homme et de la fourmi, de l'éléphant et de l'arbre qui l'abrite du soleil",atomes
1904,"elle n'est pas constituée, comme on le pensait, d'atomes lancés par la cathode, traversant le tube et causant, là où ils frappent, la phosphorescence ou des rayons X: mais cette matière est constitués de quelque chose de plus petit que l'atome, fragments de la matière, corpuscules ultra-atomiques, choses minimes de beaucoup plus légères que les atomes, choses qui semblent être les novaux dont les atomes sont composés",atomes
1904,"Ils occupent l'atome comme des soldats occupent une contrée, c'est-à-dire qu'ils ne laissent aucune chose isolée(...)L'atome peut avoir une force moléculaire, qui est la cohésion(...)",atome
1865,"la benzine par l'addition à la molécule de celle-ci, composée de six atomes de carbone et de six atomes d'hydrogène, d'un seul atome d'oxygène, qui se place au centré",atomes
1865,"seulement re atomes d'azote É-^ 'pourraient se 11 sont dans la figure les .atomes «Toxyet réciproquement, ce qui indique un mérie(...)Avec un atome quelconque de plus ou de moins, il serait impossible de former un groupe symétrique",atomes
1936,"50 Ce Numéro contient le Supplément Economique L'INDEX DES INDUSTRIES DU CUIR ET DE LA CHAUSSURE SOMMAIRE Une nouvelle théorie du tannage — la théorie électronique — basée sur le concept moderne de la structure des atomes, par John Arthur WILSON La production de cuirs blancs de mouton et de chèvre, par Gabriel DESMURS (Suite et fin(...)",atomes
1936,"L'atome le plus petit est celui de l 'hydrogène, qui consiste en un proton et un électron(...)Un atome d'hydrogène pèse 1,662 x 10- -1 gr",atome
1936,"LE CUIR TECHNIQUE N° 14. — 2-7-1936 217 TABLEAU 1. — Distribution des Electrons dans les atomes de tous les éléments connus jusqu'à ce jour Nombre de l'orbite au dessus — Nombre de plans dans l'orbite en dessous N° Poids Symbole 1 2 3 4 5 6 7 ato- ato- ' ~ "" mique mique 1 1 2 1 2 3 1 2 3 4 1 2 3 1 2 3 1 15 31",atomes
1936,"L'atome Lithium le plus lourd des deux consiste en 7 protons et 7 électrons(...)Les atomes sont classés dans l'ordre de leur « nombre atomique », qui(...)",atome
1936,"les quatre atomes d'hydrogène tous les quatre électrons ont toute leur liberté de mouvement, tandis que dans l'atome hélium, deux des éiecirons se trouvent dans le noyau et ont subi de ce lait une perte sensible de leur vitesse de circulation, c'est pourquoi il n'est pas surprenant de trouver que l'atome hélium pèse un peu moins que quatre atomes d'hydrogène(...)atomes plus légers, ce qui se manifeste sous forme de radioactivité",atomes
1936,"L'atome instable du sodium devient ainsi un ion stable de sodium avec la configuration de l'atome stable du néon, et l'atome instable du chlore devient un ion stable de chlore ayant la configuration stable de l'atome argon",atome
1936,"Deux atomes d'oxygène s'unissent pour former et deux atomes de fluor se combinent avec un atome d'oxygène pour former le composé Nous avons insisté sur le manque d une configuration d'électrons parfaitement stable dans les atomes de certains composés parce que cette particularité joue un rôle important dans notre nouvelle théorie du tannage(...)l 'atome sodium à l'atome chlore formant ainsi deux ions, dont chacun a une configuration stable par soi-même sans avoir besoin de partager d'autres électrons",atomes
1936,Quatre atomes d'hydrogène y sont unis à un atome de carbone par association de paires d'électrons(...)l'atome de carbone en possède 8 et partage 2 avec chacun des atomes d'hydrogène,atomes
1933,"7 Effenne ) La levure de bière 11 Pharmaceutique. ( La structure de l’atome 15 Effenne \ Juridique I Les ven ^ es d’animaux domestiques “ sans garantie ” 22 fRANCE & COLONIES : le numéro, 1 fr",atome
1933,LA STRUCTURE DE L’ATOME Les conceptions actuelles sur la constitution de la matière admettent que celle-ci est formée d’atomes et que chacun d’eux est formé d’un noyau chargé d’électricité positive(...)Les atomes des différents éléments sont tous constitués par,atome
1933,particule a est constituée par un atome d’hélium qui est privé de ses deux électrons(...)Rutherford suppose l’atome composé d’une charge centrale concentrée en un noyau(...),atome
1933,"de préciser, suivant les atomes, le nombre de ces états stationnaires et de fixer pour chacun d’eux le nombre des électrons(...)le premier, avait constaté que, lorsqu’un atome émet un rayonnement X, ce rayonnement est d’autant plus pénétrant, ou, comme on dit habituellement, d’autant plus dur, que l’atome émetteur a un poids atomique plus élevé",atomes
1933,"il représente le nombre d’unités positives d’électricité contenues dans le noyau de l’atome et, par conséquent, le nombre d’électrons qui gravitent autour de ce noyau(...)Et nous en arrivons tout naturellement à essayer de représenter l’atome en tenant compte",atome
1933,"par conséquent, lorsque l’atome a plus de io électrons (2 pour la couche K et 8 pour la couche L), les autres doivent se ranger sur la couche M",atome
1933,L’atome d’Hélium est représenté par la fig. 4 dans laquelle on voit les deux(...)La figure 5 représente l’atome de lithium avec un électron sur le premier cube,atome
1933,21 - avec 4 électrons sur le premier cube et la figure 7 se rapporte à l’atome d’oxygène (6 électrons sur le premier cube) (1(...),atome
1933,"L’atome de mercure 11e diffère de celui de l’or que par une charge positive supplémentaire dans le noyau et par un électron de plus(...)D’autre part, il semble bien que l’atome de mercure soit métastable et que, sous l’influence de méthodes de désintégration énergiques, il n’apparaît pas impossible d’arriver à une transmutation",atome
1921,"intérieure de l'atome commence, en effet, à se laisser entrevoir, dont on essaye déjà de tirer des conséquences scientifiques et même philosophiques, que tous nos confrères seront certainement heureux de voir résumées ici(...)Thomson a pu briser des atomes par des moyens physiques, en les exposant à des décharges électriques, au bombardement(...)",atome
1921,"L'atome dont la structure est apparemment la plus simple qu'on puisse imaginer est l'atome d'hydrogène(...)Les atomes cellulaires, composés des mêmes éléments électroniques, se , comportent assurément de la même façon",atome
