year,sentence,key_word
1833,"LE BAZAR, JOURNAL DE L'AMEUBLEMENT, POUR MKasiasaTOaa & WAiHiasBiMBS» CONTEN A NT CH AQVE FOIS DEL'X GI\AV URli S COMMUEES jjour itteublcs, tapissiers, toitures et ÔeUeries, JÀ ¡P",bazar
1833,"15 MAI 1833. cl,EST unritable Bazar que nous ou - vrons pour reproduire toutes ces belles innovations qui constituent chaque corps d'état comme art, relief qu'aujourd'hui la plus petite industrie ambitionne(...)Le Bazar, en donnant à ses abonnés tout ce que Paris renfermera de modèles(...)",bazar
1833,L'éditeur du journal le Bazar recevra avec plaisir lés avis qui pourraient intéresser les classes d'abonnés auxquelles ce journal sera fidèlement consacré(...)Chaque gravure prise séparément de l'abonnement à l'administration du journal le Bazar sera vendue 75 cent,bazar
1930,"Bazar Terré F'aites vos achats au Bazar Terré, Pau",bazar
1932,conduisant au bazar et à l'ouest de ladite rue de Madras,bazar
1932,"4, sise audit lieu, Bazar, rang nord, an Fouest et a l'est des boutiques des parties-saisies, au- sud du> mané des mômes, parties-saisies- et au nord de Ta ruelle-noré: du bazar(...)6, sise audit lieu, bazar, rang nord, à. tfôùest et à-l'est des boutiques des parties-saisies, au sud",bazar
1932,"sise audit lieu, bazar rang nord, a l'ouest et à l'est des boutiques(...)24, sise audit lieu, bazar rang noi'd, à",bazar
1932,"28, sise audit lieu, bazar rang nord, à l'ouest et à l'est des boutiques des parties-saisies, au sud du Iriané des mêmes et au nord de la ruelle nord du bazar",bazar
1932,"ayant pour conseil agréé M0 Mohamed Housemané, demeurant à Yanaon, rue du Grand Bazar, sur le sieur SamatomLatchimi Narassaya, fils de feu Vincata Soubaraïdou, de caste télingay propriétaire,, demeurant à Yanaon, par procèsverbal en date des(...)",bazar
1932,"La maison en briques, partie argamassée-, partie coiiverld en tuiles^ sise à iNëllilopo, commune de Mo léliarpeth, rdé Royale alias rUe des Bazars, rang n-rd, au nord de ladite rue* à l'est du niag-isin actuellement en ruine échu pour la p(...)",bazars
1934,"4 Le Gérant S. K. RAMASSAMY, Imprimerie Sarasvady 58, Rue de Grand Bazar, Pondichéry",bazar
1891,G0 Bazar(...)465 Bazars(...),bazar
1891,"100 Conseillers d'Etat 66 Conserves alimentaires 493 Consignations (bazar do dépôts el), ( Ema.net Yèri) 466 Constantinople (divisionadministrative du vilayel de) 60 Consulats et agences consulaires de Turquie à l'étranger(...)505 Drogues (Bazar des(...)",bazar
1891,964 Àda-Bazar (Gaza d'Ismidt(...),bazar
1891,"Le Caza de Ada-Bazar (avec ses nahiés, Ikiazi et Chéihler(...)",bazar
1891,"37 Bortoli Frères, au lion Marche, Bazar(...)",bazar
1891,"Fezhydèr (H..)s Bazar Indien(...)84 BAZARS, «Allemand», Paluka(W(...)",bazar
1891,"ka(Willi.), bazar allemand",bazar
1891,"adjoint, Remzi Effendi, id. \Sous-inspecleur, Ihsan Effendi, à Ada Bazar. /Inspecteur en chef, Zuhdi Bey, à Andrinople",bazar
1891,"Dépendante de la direct, générale de la Dette Publique Ottomane), à Baleh Bazar, Galata",bazar
1891,"Couvent des PP. Dominicains et Paroisse de St-Pierre, rue Perchembè Bazar, Galata",bazar
1891,"ÉreeChurch of* Seotland's dewïsh Mission, Rué Perchembê Bazar(...)",bazar
1891,"Des i ailes 1 » Grande Rue de Péra (an Bazar Allemand de M 1' Paluka). aux lettres-.\ » "" » (à ^ff d,e }^; ■ .. v, 1 » » » (au;Club de Gonstantinople(...)",bazar
1891,"Radeglia (Jean), 1°* commis de la succursale, rue Baleh Bazar, 6, (Baghlché Capou), Stamboul",bazar
1891,"DIRECTION GENERALE, Tidjaret Han, Perehembé Bazar, Galata, DIRECTEUR GÉNÉRAL, M. FRANK AUB0YNEAU",bazar
1891,"117 ANNONCES DES VILLES DE TURQUIE Table par Ordre Alphabétique. - BROUSSE - pages, Brotte (V™ Auguste), hôtel 117 Calionian (0. B.), négociant 118' IplikdjianFrères (Bogh. et Ohân.), étoffes 118 Kourdikian Frères(JacquesS.),<2ro5'wisïes 118 Lacaze (Vv° Claude), bazar",bazar
1891,"Yaghlikdjilar, 139, au Grand Bazar, S. Abadjian (B.), conl'ect. pr dames, R. Fcsdjiler Djaddessi, 78, au Grand Bazar, S(...)60, au Grand Bazar, S. Abadjian (Hampartz.), avocat, Djeferié Han, _",bazar
1891,"1 .Bazar, S.: Abdullah Ahmed,- cuirs, R.. ïerlikdjiler, 44(...)Bazar, S. Abdullah Béy, lieutenant au 701' corps d'armée, aide-de camp honoraire de S. M.I: le Sultan",bazar
1891,"Aïnadjilar, 29, au Grand Bazar, S. Adoud E(ï'ehdi,.R.. Adji Tchéchmé',: au Gd Bazar, S. . ; ;; , * Aboud' Mehmed Effendi, membre de' la chambre de commerce de Cônstantino-: pie et de la: caisse(...)",bazar
1891,"zirdjiler, 6, au Gd Bazar, S. Achdjian (Ohan.). libraire, R. Merdjian Tcharchi, 33, S. Achdjian (Sérkis),gazes, Djeférié Han,13,S(...)Réissoglou, 35, au Grand Bazar, S. Adjémian (D.), médecin oculiste, R. Bayram, 38, P. Adjémian (J. V.), bureau de traductions(...)",bazar
1891,"Sandal Bezesten, 13, au Ga Bazar, S. Afthentopoulos (Minas), rédacteur du journal grec(...)R.:.kara-, manogiou, 31, au grand Bazar, S. ' Agapéguian (Ma'rgos(...)",bazar
1891,"114, au Grand Bazar, S. Agopian (Baghdassar), odubachi de Essad Effendi Han, S, Agopian (Baghdassar), odabachi de Tchoukour Han, S(...)Bazar, S. Agopian (G. der), R.-Hamam, 11, à Couroutchechmé",bazar
1891,"au Grand Bazar, S. Ahmed, broderies orientales, R. Yaghlikdjilar, 169, 174, au Grand Bazar, S. Ahmed, tailleur, R. Yorgandjilar, 178, G. Ahmed, tuyaux pour narguilés, R",bazar
1891,"mm 204 — ■' AHME Ahmed, tentés, R. Bit Bazar, 28, au Grand Bazar, S. Ahmed, tentes, R. Bit Bazar, 57, au Grand Bazar, S(...)7, au Grand Bazar, S. Ahmed Ahmed, fruits secs, R. Limondji, 91, S. Ahmed Ahmed Agha, fruits secs, R. Limondji, 106, 108, S",bazar
1891,"Ahmed Ibrahim, cierges, R. Balek Bazar, 285, S. Ahmed Ismaïl, brocanteur, R. Sol Ikindji Ada, 10, 11, au Grand Bazar, S",bazar
1891,"Grand Bazar, S. Ahmed Moustapha, curiosités orientales, A R. Sagh Ikindji Ada, 37, 38, 39, 40, S(...)Balek Bazar, 81, S. Ahmed Tefik Bey, colonel, membre delà 3mc section du département de l'étatmajor généivl (ministère de la. guerre",bazar
1891,"A'idjian (A. P.), courtier de Change, R.Balek Bazar, 33, S. Aïgheusteli (Youvaii), chaussures, Grande Rue de Galata, 292(...)Aktaridis (Yanko), manufactures, R. Yagli-- likdjilar, 102, au Grand Bazar, S. Aktchikian (M.), R, Kasandjilar, 68, P",bazar
1891,"Alboyadjian (Assadour), éloffos, R. Yaghlikdjilar, 66, au Grand Bazar, S.- Alcalaï (Moïse), employé chez J. Camondo et C"".— Dom: R. Camondo, au-dessus de la poste française, G(...)Alekian (Jacques), pharmacien, R. Balek Bazar, 43, S.— Droguerie, R. Baghtehé Capou, 6, S. Alokian (N.), dentiste(...)",bazar
1891,"si, 45, aiiÇd Bazar,..S. I':\.:'..:.'r-\ Ali,.chaussures, R.i:Golandji1ar, BaehiylO,. an G* Bazar, S",bazar
1891,"Ali Effendi, brocanteur, R. Bit Bazar, 112, au Grand Bazar, S. Ali Effendi, matelassier, R. Yorgandjilar, 17, au Grand Bazar, S",bazar
1891,"Balek Bazar,275,S. Ali Mehmed, fabricant de tabourets, R. Balek Bazar, 306, S. Ali Mehmed, débit de tabacs, R. Raghtché Capou, 13, S",bazar
1891,"Ali Riza, calottes turques, R. Ouzoun Tchar'■'■■:-.. chi, 29* S. - Ali.Riza, fruits secs, R, Balek Bazar, 232, S(...)Aliauakian Frères, madapolams, R. Pe'-i'- dah.dji Ha-jié, 40, an Grand Bazar, S. Alianakian (Krikor), membre de rassemblée nationale et du comité d'instruction du patriarcat arménien",bazar
1891,"AllahveEdioglou ,(Hatehik), Yaghdji Han,, Taouk Bazar, S, Allaïmbi, rentier, R. Dervich, 13, P. Allalemdjian (K.),: pelletier(...)Sépahi, 19, au Gd Bazar, S. Altmansfer (Achille), rentier, R. Bouyoukdéré, 2, Pancaldi",bazar
1891,"Calpakdjilar, 62, 64, au Grand Bazar, S. * Ananiadi (A. et G.), cotons et manufactures, Ananiacli Han, 1, 2, 3, 6, 7, S(...)Ananiadis (Gonst.), soieries, R. San dal ' Bezesten, 38, au Grand Bazar, S. Ananiadis (Vassilaki(...)",bazar
1891,"Balek Bazar, 211, S. Anastassiadès (D.), avocat, R. Bouyoukdéré, 15, Pancaldi(...)Sol Birindji Ada, S, 6, au Grand Bazar, S. Andon (C), gargotier, R. Gueumruk(...)",bazar
1891,"Tadjilar, 22, au Grand Bazar, S. Audonopoulos (A. D.), Grande Rue de Slôliia, 7, Sténia(...)14, au Grand Bazar, S. Angeliki (V*0), chambres à louer, R. Anadolou, 3, -P. Angelis (G. de),employé chez l'avocat Mizzi",bazar
1891,"21 et R. Balek Bazar, 83, S. - Antoniàdès et Constahtinidis, fleurs artincieltes, R. Marpoutdjilar, 30, S. Antoniàdès (J.) Efféridi, directeur de(...)Balek Bazar, 38, S. Apel (Saak), R. Hadji Mahak, 21, àNichantache",bazar
1891,"Apostolidis (Yorghi), fromages, IL Balek Bazar, 182, S. Apostolioii (V(...)Aprahamian (Gar.), changeur de monnaies, R. Balek Bazar, 48, S. Aprahamian (Kev(...)",bazar
1891,"djilar, 49, au Grand Bazar, S. Arabian (Serkis K.), commissionnaire, Yarom Han, 12(...)128, au G'i Bazar, S. Arcadis (Ph.), tailleur, R. Kurekdjiler,26,G(...)Divrik, 8, au Grand Bazar, S. Archarouni (R. P.'Ohannès.),: membre de l'assemblée nationale dupatriarcat- arménien(...)",bazar
1891,"Arhondi (Manol), tailleur, R. Bit Bazar,98, au Grand Bazar, S. Arié (Avram), rabbin de la synagogue de Sigri Selanikio, à Balata",bazar
