year,sentence,key_word
1865,"vocation qui le poussait et qui, déjà, faisait bruire dans son'esprit tous ces excellents personnages, qu'il devait créer un jour et faire sortir de son cerveau tout affublés, de leurs(...)",bruire
1892,"Où grâce au clair de lune J Vis s’avancer ma bruire, Jusque là gnia pas d’mal",bruire
1919,"MM. ( JÉNOUVRIER. — OOT. 1 er BRUïRE~A.UT HPRVEY. , V Alexandi-e BÉRARD. j 1 Jean GODET. ) Lucien HUBERT",bruïre
1944,"Voilà commet lo Gouvernement noua apprend à ro— oonr bruire la Franco*, 'otcôt l11. conclusion à lour",bruire
1884,"Imprimerie Nationale (nos 3107 et 3167 annexe. M. Bruire, rapporteur(...)",bruire
1897,"Et ce fut drôle de voir les souliers à boucle battre la cadence avec les sabots de bois, les jambes sacerdotales se croiser avec les mollets de la charbonniers, la soutane bruire en môme temps qup la robe féminine",bruire
1864,"Et Samuel laissa bruire un long éclat de rire entre ses lèvres minces et sardoniques, et il ouvrit la porte du-cabaret. , — Mon garçon, dit(...)",bruire
1889,"Depuis , il a vu bien des gens, fait bien des métiers, mais toujours en entendant bruire en son cerveau le carillon de la forge comme la chanson de la nourrice au nourrisson qu’elle endort",bruire
1887,"Viens, sous les rameaux régne un charmant babillage Si bien que l'on croirait Entendre des baiser bruire sous le feuillage De la verte forêt : C'est l'heure des amours, c'est l'heure ou la nature Chante l'hymne éternel Des hymens consacrés sous sa voûte si pure Qu'elle semble un autel",bruire
1879,"Et dans les airs chargés d'odeurs délicieuses, J'entends l'été bruire et ses choeurs variés : La demoiselle bleue aux ailerons striés, Voletant des ruisseaux au sommet(...)",bruire
1899,"Mais il ne sentait plus l'odeur douce des marjolaines, il n'entendait plus les insectes bruire, et ses yeux navrés n'avaient plus de regard",bruire
1854,"Entendez-vous là-bas bruire mon premier : C'est l'heure du saint sacrifice, L'heure de l'Angelus ou celle de l'office",bruire
1942,voilà ce que fait bruire dans un rayon de soleil l'innombrable essaim des éphémères,bruire
1916,"Cette nuit sera la dernière a dit le gros fermier en bottes, alors les clochettes se sont mises à bruire, à bruire si divinement que les étoiles égarées retrouvent leur route pour aller dire à Madame",bruire
1832,"J'eriterïàaïs sonupàéiaire h bruire l'herbe sèche... la bise sifflait, le ciel était tout à fait noir, et rester seul à cette heure dans un cimetière , avec cette fantastique vision(...)",bruire
1856,"non.... écoute, ami.... ce son mystérieux Qui vers nous vient bruire(...)",bruire
1834,"Et sans cesse son nom vient bruire à mon oreille, Comme un nom d'ami généreux(...)",bruire
1838,mais plus tard les bravos du théâtre vinrent bruire à son oreille(...),bruire
1804,L'Hermiu de la Bruire,bruire
1867,"Depuis que la bougie avait été éteinte, une sorte de bourdonnement n'avait cessé de bruire à mes oreilles",bruire
1896,le rà. t e mage ininterrompu des oiseaux sautillant dans les hautes branches que la brise fait - bruire doucement... tout cela vous prend £ r(...),bruire
1929,"énormes semblent bruire autour âde I bons 'géants rabelaisiens, tandis que I des",bruire
1836,"Contemple ses soldats , les appelle, les oomfCt» Las ronge par tribus , fait bruire à loisir De eoufbses(...)",bruire
1869,"tourner et à bruire, et le pauvre Ixion remonte ' son quartier de rocher. — Je commence à vous plaindre",bruire
1892,"court par la salle, pareil, dans sa douceur louangeuse, au frisson léger que le vent printanier fait bruire dans les jeunes feuilles des forêts",bruire
1854,"le sable s'affaissait en criant : chaque pas, chaque secousse faisait bruire et rire la moisson blonde",bruire
1875,Elle laissa bruire un frais éclat dé rire entre ses lèvres : — Plaignez- Vous(...),bruire
1875,"Il entendit bruire de nouveau la robe de l'inconnue. — Tu sais, Amaury, mon mignon, que je té ferais fouetter jusqu'au sang si",bruire
1913,"Après l'écho, la plainte transpiia, très affaiblie, et seule, comme"" s, pour la vénérer,'le reste du monde se fût airôté de bruire",bruire
1898,"Embellir, entrer, sortir (125), agrandir, charger (2), dépouiller, soutenir (12345), placer (3), distancer, égaliser, allonger (1), régner (1), tenir, pâturer, tomber, hausser, engranger, battre (15), loger, édifier (2), sentir (125), fourrager, appartenir, habiter, bruire, presser, lever (1), régir, domestiquer, coucher, Sous les verbes faire mettre les chiffres indiquant, à quels temps ils doivent être conjugués(...)verbe bruire",bruire
1835,"ieou dans son gousset, où il fait rouler et bruire son argent, si vous avez le malheur de lui avouer que vous êtes à sec",bruire
1869,"Et M. Cabibel restait sourd comme un Terme, ou donnait une réponse évasive à cette question parlée ou écrite, qui ne cessait de lui bruire aux oreilles : ■« A QUAND LES BALS",bruire
1894,"Il n'est, pour rêver, de lieu plus favoralJle que les abords de la rivière dont les eaux glissent lentement entre ces rives riantes, heureuses de s'attarder, faisant bruire par la fraîcheur de leur haleine les feuilles luisantes des peupliers",bruire
1897,Un souffle de doute fit bruire la galerie,bruire
1835,"verbe bruire, des difficultés, il dit : ce verbe n'est en usage qu'à l'infinitif et aux troisièmes personnes de l'imparfait : bruire, il bruyait, ils bruyaient",bruire
1912,"Et dans le vent large, frais, embaumé, sonore, il semblait que sans cesse, on entendit bruire, grandes ouvertes, les ailes de la Liberté",bruire
1870,"Kntends-tu , ma belle irisée , Entends-tu , du ciel où tu luis , L'herbe , les fleurs et la rosée , Bruire au temps des belles nuits",bruire
1833,"légère lettre , ou tenter le plus petit voyage, sans entendre bruire le charivari à ses oreilles , ou voir briller à ses yeux articles et caricatures(...)",bruire
1891,"car j'ai entendu ce petit chuchotement flatteur qui court par la salle, pareil, dans sa douceur louangeuse, au frisson léger que le vent printanier fait bruire dans les jeunes feuilles des forêts",bruire
1844,"Napoléon , qui honorait toutes les gloires, donnait le premier l'exemple de l'empressement à les admirer, et les bravos du spectateur impérial faisaient encore bruire les échos du Théâtre-Français, lorsque les nobles soutiens de Louis XVIII, apportaient à Talma, à Mademoiselle Duchesnois et à Mademoiselle Mars leur tribut d'admiration, leur or et leurs bravos",bruire
1890,"Puis, l'oeil s'égare à travers les colonnes des péristyles jusqu'aux reflets du golfe, une fille passe en chantant, une brise douce fait bruire les grands pins et l'on s'éloigne emportant(...)",bruire
1896,On entend bruire la cime des pins ut l'on continue paisiblement la promenade habituelle,bruire
1898,J'entendais bruire sa voix à mes oreilles j et l'intonation même de sa voix me semblait de bon augure(...),bruire
1898,Il me semblait entendre les voix bruire à I mes oreilles... ■ Les silhouettes passaient devant mes(...),bruire
1947,"Craintive, entends-tu bruire une abeille(...)",bruire
1923,"Pensez au vers homérique, où vous entendez bruire les feuilles sèches au soleil, et au rythme de la poésie ou de la musique occidentales",bruire
1822,"Giraud et Gusem, n- bruire, boubvard Montmartre, n° 23, près le passage des Panoramas, Mongie, libraire(...)",bruire
1942,"circonstances, j’ai dû me décider à donner l’ordre à l’armée allemande de traverser immédiatement la zone non occupée jusqu’à l’bruire a et i utile et de",bruire
1869,"Lise m'a fui, mais je veux l'excuser :■ N'entends-je pas bruire à mon oreille, Avec son pas qui n'osnit s'aecuser, Comme un écho de son premier(...)",bruire
1894,"Le trombone ne coassait plus, et l'on entendait seulement bruire des abeilles accompagnant un chœur de séraphins qui murmuraient une mélopée idéale dont la dernière note s'évanouit en soupir d'amour",bruire
1853,"A voir ce troupeau d’enfants, à entendre bruire comme une mer agitée, d’aucuns auraient pensé qu’il(...)",bruire
1892,Fais à mon oreille bruire Leur ruissellement qui m’inspiré T.es rythmes chers: Epands ton rire Comme topazes et rubis,bruire
1938,faits solidement établis on pourrait bruire l'édifice selon un plan clair,bruire
1894,"Le samedi 10 février 1894, à une heure et demie du soir, il sera procédé publiquement, au Tribunal'de commerce (salle des séances du Conseil de préfecture), à l'adjudication, par voie de soumissions cachetées, suivant maximum de prix, de la fourniture de l'huile à bruire nécessaire, pendant une année, aux divers services de la préfecture de la Seine",bruire
1805,"Bouto, tonneau ...... de /Sv^àï, fond, proBrounzi, bruire, résonner, fondeur. a rapport. ........ à ^povrn, tonnerre",bruire
