year,sentence,key_word
1839,"2° Le cadeau mesquin et qui ne coûte que fort peu(...)cadeau passif, parce qu’au lieu de coûter il rapporte",cadeau
1904,"Un Cadeau. — Tu vois c^.que le petit No,el mettra dans ton soulier, si lu me trompes... un paquet de verges(...)",cadeau
1904,Seriez-vous assez aimable pour accepter ce petit H cadeau(...),cadeau
1914,"LE CADEAU D'AUGUSTE i ,“ Le cadeau que le parrain d'Auguste lui envoyait chaque année arriva comme d'habii tude entre Noël et le jour de l'An",cadeau
1914,cadeau de son parrain était le seul cadeau vrai qu'il recevait,cadeau
1986,"II - Belgique : Bruxelles, 10 avril : les enfants délégués de tous les Tapori de Belgique apportent un cadeau à l'Unicef(...)III - Etats-Unis : New-York, 15 avril : douze enfants délégués de tous les Tapori des Etats-Unis apportent un cadeau pour aider l'Unicef à secourir tous les enfants du monde",cadeau
1914,_ A — Le Petit Cadeau de Geneviève Ce mali,cadeau
1914,"Et vous apporter mon petit cadeau, continuait l'aimable visiteuse. — Voire petit cadeau... mais(...)",cadeau
1914,"Au reste, il accepta avec un indescriptible enthousiasme le divin cadeau et, pour le mieux apprécier, l'emporta immédiatement et avec vénération dans le sanctuaire d'amour",cadeau
1882,"Un joli cadeau : Un certain vicaire cultivait une certaine comtesse, dont les faveurs à son endroit se traduisaient en cadeaux de toutes sortes, d’ustensiles aux besoins de son eu",cadeau
1905,"Le Ciouvernement français avait 'envoyé en cadeau au duc de Connaugth, ardent philatéliste (à"" l'exemple du Prince de Galles probablement), la collection complète des timbres de France depuis 1849 et pour que le cadeau fût plus princier, il y avait ajouté la collection également complète de nos timbres coloniaux",cadeau
1905,"Remarquez que d'après l'entrefilet ce cadeau avait déjà été fait à d'autres personnes démarqués telles que la reine d'Italie(...)sais si le Gouvernement a fait vraiment un cadeau, mais en ce cas on .peut être assuré que la collectionnes Colo- (1) Pour les journalistes tous les timbres coûtent 35",cadeau
1905,"La France leur a fait un cadeau princier, un beau cadeau de deux cents francs",cadeau
1872,"Quéqu’vous vouhz que j’y fasse. biniers. homme à la jeune femme, voici monsieur qui a bien voulu se déranger pour t’apporter mon cadeau de fête(...)Je vous le laisse, et vais faire cadeau du cachemire à ma femme",cadeau
1894,"se dit, un peu Inquiète « Mais, je n'y vois pas encore le cadeau de l'oncle de Contran(...)Où trouver demain, 1"" janvier, dans une course rapide, les cadeaux qui pourront convenir à tous ces assiégeants",cadeau
1894,"CADEAUX DE NOËL & ÉTRENNES 1895 LE GJRAJVjD SUCCES DE L'ANNÉE L ENTRAtNEUR AUTOMADQUE est un indicateur de vitesse et non uncompteur kilométrique indispensable aux cyclistes et adopté par tous nos grands coureurs et par tous nos routiers(...)Nous offrons cet appareil comme cadeau de Noël et de Jour de l'An à un prix inférieur à celui auquel il a été vendu jusqu'à ce jour(...)Nous offrons cet appareil comme, cadeau de Noël et de Jour de l'An à un prix inférieur à celui auquel il a été vendu jusqu'à ce jour",cadeaux
1888,"Les catholiques allemands envoient de Lourdes une bouteille d'eau bénite à leur Kronprinz gui, très flatté mais n'en laissant rien voir, s'empresse de faire cadeau du liquide à nous ne savons quel couvent de nonnains",cadeau
1904,"DEUX MAGNIFIQUES CADEAUX À t""0US NOS LECTEURS N* 37 (Voir à la 4e page de la couverture) ÎO Centimes v 2 Juin 1904",cadeaux
1904,"Afin que nos lecteurs conservent un souvenir de notre journal, chacun d'eux aura droit gratuitement à DEUX MAGNIFIQUES CADEAUX consistant : i° En Une superbe broche, véritable bijou artistique créé spécialement pour nous(...)La tige solidement fixée e-1 faite d'un métal très résistant qui offre l'avantage dé ne pas se plier en l'enfonçant dans la cravate: Ce double souvenir accordé à la même personneaura pour avantage de plaire à tous, puisqu'il s'adresse à tous, et permettra à son heureux titulaire(...)",cadeaux
1904,"DEUX MAGNIFIQUES CADEAUX A TOUS NOS LECTEURS (Voir à là 4e': pagre .""-de la couverture",cadeaux
1904,conservent un souvenir de nôtïe journal chacun d'eux aura droit gratuitement ii DEUX MAGNIFIQUES CADEAUX con^xxn y(...)titulaire de faire un gracieux cadeau,cadeaux
1909,"UN CADEAU A FAIRE Un cadeau £ faire à un ami, cadeau qui renouvelle(...)",cadeau
2001,"Des cadeaux non désirés, ce n’est pas une nouveauté(...)Le premier cadeau de Noël a reçu un accueil mitigé, et pourtant, il était magnifique",cadeaux
2001,auauf un p auAno t s unæa un no jnoiuod auuai vj uns isa xnaja sap ajuod rrj » : uoptijos Sommaire 119 e année -N° 5955 Du 24 décembre 2001 au 6 janvier 2002 L'espérance en contrebande 1 Un cadeau non désiré,cadeau
1915,"Leur cadeau est un encouragement qui nous arrive et qui nous aidera à supporter toutes les petites misères du métier militaire(...)Pas un de nous ne sera insensible à pareil cadeau, je suis sûr, et tous nous comprendrons le sentiment qui vous anime en pensant ainsi à chacun de nous",cadeau
1985,L'histoire cachée des cadeaux Lettre d'une mère de famille(...)On choisit ce cadeau par rapport à la joie de l’enfant,cadeaux
1985,Bordeaux : une dame apporte 11 cadeaux,cadeaux
1888,Mais les Edjous (esprits) peuvent se laisser attendrir par un cadeau fait au bouéti du village et ce cadeau varie suivant la gravité de la faute à punir,cadeau
1888,"auquel il fait un cadeau et qui administre à la coupable une drogue, produisant une es(...)A toute fête de famille, naissances ou autres, le futur est convié et tenu d’apporter un cadeau à ses beaux-parents",cadeau
1896,"oui, le, cadeau... (Après un-silence.) Tu crois bien nécessaire de faire un cadeau à Emma(...)",cadeau
1889,"Le sieur Cadeau reprocha, à haute voix, devant la mairie, à l’un de ses géreurs, le sieur Cliàlon, d'abandonner les électeurs(...)que le sieur Cadeau a reproché au sieur Chàlon, l’un de ses géreurs(...)",cadeau
1920,"Fresquito au deuxième essai Applaudissements discrets, cadeau du comité. ' Le troisième de Lope^Plata devi.se bleu céleste et blanche, numéro 15, noir soutaché de blanc, est bien armé et bien roulé(...)Ovation, cadeau du comité, fleurs, sans, compter l'oreille offerte(...)",cadeau
1920,"musique et cadeau). - La corrida se: termine, au milieu d'une enthousiaste ovation, par un tour de piste - fait par les matadors et leurs peones(...)un cadeau du charmant ganaderô Aléas",cadeau
1967,"Et je n'ai pas de sous pour aller la voir, pour lui envoyer un cadeau(...)Avec Mme J., parmi les cadeaux que nous avions reçus, nous avons choisi une belle poupée. - Vous devriez aussi lui écrire une petite lettre, cela lui ferait plaisir* - C'est qub(...)",cadeau
1967,"y - On ne m'a jamais fait do cadeaux à moi, Je n'avais meme pas de parents, et toi,, tu on as(...)Toi, TAPORI, tu peux l'aider à savoir s'il est aimé, en aidant ses parents à ""lui offrir un cadeau pour NoSl",cadeaux
1941,"Je renonce à mon cadeau Et vais lui chercher du pain(...)Le soir, de la ville revint Tout chargé de cadeaux, Très heureux, Jeannot Lapin, Et les offrit aussitôt",cadeau
1941,six francs qu’elle a économisés pour acheter à sa mère un cadeau à l’un des beaux étalages(...)Elle avait combiné ce cadeau depuis si longtemps et il y avait si longtemps qu’elle économisait,cadeau
