year,sentence,key_word
1896,"La calèche canadienne. (I, X, 98.)—Sylva Clapin, dans son DICTIONNAIRE CANADIEN-FRANÇAIS, donne le mot CALÈCHE comme un néologisme canadien",calèche
1896,"ITURES DU PAYS.CHARUETTES OU CALÈCHES, QUI SONT COMME NOS CABRIOLETS, CONDUITES PAR UN SEUL CHEVAL (JOURNAL DE MONTCALM, P. p-60,61.) Il est évident que Montcalm no savait point que les petites calèches du Canada qu'il appelait des cabriolets portaient aussi le nom de calèches dans(...)",calèches
1896,"11 est certain, pourtant, qu'il y avait alors des calèches dans la colonie(...)Quant à la coiffure que l'on appelle ici CALÈCHE elle était parfaitement connue en France",calèches
1896,"SOMMAIRE LE SATJLT MONTMORENCY PIERRE-GEORGES BOY JEAN BOURDON IT LA BAIE D'HUDSON J. -EDMOND ROT PRISE DE POSSESSION D'UNE CURE.J.-E. R. LA CALECHE CANADIENNE J.-E. R. LE CURÉ DOSQUE HORACE TÊTU Nos COEURS A LA FRANCE, NOS(...)",caleche
1881,"mais, franchement, il ne pouvait venir à personne l’idée d’arrêter cette calèche(...)En ce moment, la calèche était arrivée déjà devant le débouché de la rue de Chaillot",calèche
1881,"Tout ceci s’était passé en quelques secondes, et, entre temps, Orsini avait donné des ordres aux hommes à lui, accourus et pressés autour de la calèche(...)calèche",calèche
1877,"Mais on ne saurait te voir, au fond de celte calèche, puisque calèche il y a",calèche
1849,"Le socialiste à calèche est une nouvelle variété de l’espèce(...)Depuis 1 invention des calèches, jamais voiture n’obtint un pareil succès que celle du rédacteur en chef de la Presse(...)",calèche
1849,LE CHAîUVAttl gratis en public dans une calèche decouverte. — Dans le fait il ferait mieux de ne se laisser contempler que dans son cabinet de rédacteur en chef et seulement par les abonnés d’un an,calèche
1859,"Voilà une Calèche à grand train qui révèle un constructeur de goût, — me dit mon ami en me désignant un élégant échantillon de ces aristocratiques voilures(...)Pourquoi ne m'est-il donné de présenter à nos abonnés futurs ces Coupés, ces Berlines, ces Calèches qui nous passent devant les yeux, qui paraissent s'entrelacer pour se désunir, qui mêlent ensemble pour un instant leurs couleurs sombres ou éclatantes, qui confondent leurs lignes, qui s'arrêtent, se dépassent et disparaissent au trot élancé de(...)",calèche
1859,"11 s'agit à présent de lui donner un titre En ce moment, et comme nous étions près du rond-point des Champs-Elysées,,une élégante Calèche en descendait l'avenue au grand trot de quatre fringants chevaux conduits àlaDaumont(...)Et quand passent devant vous ces équipages galonnés, dorés, armoriés, vous ne pouvez, doué de la fibre artistique, vous défendre d'une certaine émotion, si l'Art, le bon goût, se trouvent empreints sur cet attelage, lequel n'est lui-même qu'une partie de ce que l'on nomme(...)",calèche
1859,Les calèches à grand-train sont fort à. la mode(...)Je donne un .dessin de calèche à cqffre.break,calèches
1859,"Cette calèche doit être construite dans les proportions convenables pour y atteler exclusivement deux chevaux(...)Sa forme est sérieuse, elle remplace la Calèche à grand-train",calèche
1846,"la calèche royale, passa presque tout entière sous les yeux du chevalier de Rohan, qui, restant enfin seul danis le carrefour, éperonna Sélim, et disparut bientôt dans une des sombres allées de la forêt(...)Arrivé au carrefour des Bruyères noires, ls roi arrêta sa calèche, et les officiers ou gentilshommes qui l'entouraient,, reculèrent assez leurs chevaux pour que le roi eût la liberté de s'entretenir a>ec les femmes qui étaient dans son car rosse, sans être entendu",calèche
1846,"La calèche, ^ue le roi conduisait fort vite, très mal suspendue, comme toutes les voitures d'a lors, était d'une horrible dureté(...)Lorsque la calèche fut à vingt pas du carrefour, Louis XIV(...)",calèche
1868,"9 — CALÈCHE DU PRINCE IMPÉRIAL. (Le Prince Impérial et son précepteur(...)11 — CALÈCHE DES PERSONNALITÉS ÉTRANGÈRES, (de Bismark, Ambas. de Prusse et Sir Cowl, Ambas. d'Angleterre(...)12 — CALÈCHE DES PERSONNALITÉS LOCALES. (Préfet, Jules Labat, Député, Maire de Bayonne et Prosper Mérimée(...)",calèche
1868,L’Empereur et l’Impératrice montèrent en calèche découverte,calèche
1855,"Elle raffole de la gloire militaire , et rien au monde ne lui plaît tant que d'aller au bois, en calèche découverte, à côté d'uni",calèche
1855,"La calèche s'élance comme un oiseau , et sillonne - bientôt les vertes allées du bois de Boulogne. - Le ciel était pur(...)La calèche passait tout près , et l'homme ne s'éreîllait pas. - Comme il dort",calèche
1828,"La calèche a fui , je la vois à peine , elle se dérobe Ù mon oeil , cachée tantôt par la demi-fortune d'un gros médecin , tantôt par le haquet d'une marchande de légumes(...)ô vous, qui fuyez dans cette calèche jaune , que déjà je ne vois plus , vous comprenez(...)",calèche
1841,il vit s'arrêter itne calèche traînée par deux magnifiques chevaux et conduite par(...)La calèche part au grand trot et se rend à l'église du village,calèche
1860,"SOMMAIRlî : Chronique. —N° 711, Calèche à 8 ressorts et à flèche à gueule de loup : Dessin, tableau des mesures et texte descriptif",calèche
1860,CALÈCHE A 8 RESSORTS ET A FLÈCHE A GUEULE DE LOUP,calèche
1860,"Calèche à huit ressorts A FLÈCHE DROITE ET A SIEGE DE COCHER SUSPENDU AVEC LA CAISSE(...)C'est ce qui nous a décidé à donner aujourd'hui ce modèle avec les changements faits à la caisse depuis ce laps de temps, époque à laquelle une calèche du même genre a été publié par le Mercure, sous le(...)",calèche
1860,Calèche à S ressorts,calèche
1860,"AUTRE de vingt calèches diverses à pincettes, à huit ressorts, à cols de cygne en fer, etc(...)",calèches
1840,"A calèche occupe, comme chacun sait, un rang important parmi les innombrables variétés de l'industrie du carrossier(...)Notre calèche fait le plus grand honneur au talent el au bon goût de son constructeur, M. Alexis-Robert, rue Cadet, n° 11, et rue Neuve-Vivienne, n° 43, dans les ateliers duquel il nous a été permis d'en prendre copie",calèche
