year,sentence,key_word
1916,"Laisse mon chant câlin caresser ton berceau,i: Comme le vent du soir berce les nids d'oiseau(...)Laisse mon chant câlin caresser ton berceau, Comme le vent du soir berce les nids d'oiseau .oseph VASSIVIÈRE.- ÇI) Extrait d'« A Fleur d'Aile», volume en préparation",caresser
1858,"PREMIER RÉVEIL Pour dompter le cheval, ainsi qu'une maîtresse , Il faut presque toujours employer la caresse, Pour dompter le journal, même du plus haut ton, Il faut toujours, et fort, employer le bâton",caresse
1858,"Il faut bien caresser le cheval glorieux , Sur le nez, sur la queue, et la tête et les yeux(...)",caresser
1858,"Pour forcer le cheval à caresser son chef, Il faut lui prodiguer le sucre derechef",caresser
1901,H me semble que ce ri est pas l'espoir seulement qu'il vous tardait de caresser 1... — Peste,caresser
1874,"Les plus grandes merveilles Vont charmer nos coeurs, caresser nos oreilles. fïÏATll"" 11 îillIllilP-lillIfâll : IROGRAMME DO IPICTACLB DC 26 $ANV(...)",caresser
1833,"Tu peux, sans caresser l'étendard du plus fort, Ecouter la raison et cingler droit au port",caresser
1809,Ils feignirent de caresser les Bavarois(...),caresser
1879,Une petite fille voulait caresser un perroquet,caresser
1881,"puis, leur besogne terminée, ils vont caresser saint Antoine, et lui font comprendre que pour leur salaire ils réclament sa bénédiction. % Saint Antoine s'exécuta",caresser
1880,"Us sont reçus au salon où se trouve un perroquet très familier que le maître de la maison tient sur son doigt po ur le caresser(...)L’enfant, plein dfc vivacité, s’approche avec empressement pour caresser aussi l’oiseau. — Prends garde, Paul, il pourrait te mordre. — Mais il ne vous mord pas, vous",caresser
1881,"enfin de caresser le serpent qui nous dévore, jusqu'à ce qu'il nous ait mangé le coeur",caresser
1936,"Tcut ce petit cercle de célibataires n'était pas sans caresser quelques arrières pensées- La jeune veuve montrait à tou= une égale sympathie, un peu plus franche peut-être à I égf rd d'Antoine, que les autres ne regardaient pas comme un rival à craindre(...)Tout le monde s ingéniait autour d'elle à caresser sa douleur pour en adourc'r les am :rtum",caresser
1935,"Victor Hugo je crois a dit : ""Dieu créa le chat pour procurer à l'homme le plaisir de caresser le Tigre",caresser
1885,Enfin elleme trouva et me consola par ses caresses,caresses
1885,"MON JOURNAL Je voyais une petite fille venir caresser ma mère(...)Elle aurait voulu me caresser, moi aussi, mais j'étais trop mutine",caresser
1885,Elle ne voulait plus ni jouer ni se laisser caresser,caresser
1876,"ménagerie, Veriturelli, en donnant des explications au public, eu la malheureuse idée d'introduire le bras dans ■ la cage des lions et d'en caresser un, tout(...)ouvrit un wagon dans la gare de Vaise et voulut. ■ caresser le lion Sultan, l'atiimal furieu»4*oya le bras de l'imprudent, qui mourut trois j otHte""après",caresser
1864,il attend en silence que mes mains aillent le caresser(...),caresser
1836,"Ce n'est pas assez : il a fait fondre trois énormes cloches, les a suspendues dans sa propre maison, et passe ses jours comme Quasimodo à caresser leurs croupes sonores et bondissantes",caresser
1941,"caresser les autres, pourrait très bien servir pour lui: Qu^il ne sera pas cabot toute sa vie2 'et ce jour là nous verrons ses capa- cités de pousseur de charge",caresser
1833,"8) Dussè-je, eii prince bon apôtre, Caresser le peuple et la loi, Dussè-je régner comme. .... un autre",caresser
1914,"quelques, années, nous entendions parler du Cornet et l'idée d'en faire partie était Un f.êvè que nous n'osions pas caresser(...)Heureusement nous étions jejinés et il nous restait d'autres choses à caresser",caresser
1836,Aussi bénissaient-ils le ciel de grand coeur et voyaient-ils avec joie le vent doré de la faveur souffler sur eux et caresser leur nouvelle prospérité(...),caresser
1836,"feuille tremblante Onle venait, joyeux,, frémir,— se balancer — Et les parfums du soir viendraient le.caresser",caresser
1934,"soleil doré était venu caresser sa figure maussade(...)Ce n’est pas la peine de lui parler, il faut simplement caresser son nez",caresser
1925,"étrange, d'une beauté sauvage, fiévreuse 1, avec deux grands yeux fauves dans un pâle visage pointu, toujours prêt à caresser ou à mordre",caresser
1887,"intitulé : l'Egalité, caresser complaisamment la grotesque et sale manie de la bourgeoisie opulente qui forme la clientèle du journal des gens bien élevés, en ayant l'air de croire que l'Egalité telle que la rêvent ceux qui s'en occupent consisterait à couper les tamboursmajors en deux pour que tous les citoyens soient de la même taille",caresser
1861,"Il est caustique mais sans aigreur, rit d'ailleurs facilement, et a sans cesse sur les lèvres ce refrain qu'il semble caresser avec amour et qu'il fredonne machinalement: Ah",caresser
1944,"Édité par la Région Normande du Mouvement National des Prisonniers de Guerre et des Déportés Pour la France et pour nos Captifs Mamans, sœurs, femmes, fiancées de prisonniers et de déportés, nous allons pouvoir enfin caresser l'espoir du retour, combien ardemment désiré de tous nos chers captifs",caresser
1834,"Et Antonio continua ses caresses à ses joyeux enfans qui se disputaient un siège et sur les espérances que l’on peut concevoir pour l’avenir(...)Diégo ne songeait point à tout cela, mais il regardait Antonio caresser ses joyeux enfans aux rayons blancs de la lune",caresses
1913,"Et un vigoureux, coup dé- fouet vient caresser les côtes de la bêle(...)",caresser
1890,"puis aussi pour les parents, qui aimeraient mieux caresser leurs enfants autrement",caresser
1917,"Si un étranger faisait mine de vouloir caresser sa femelle, il la poussait doucement de côté et se plaçait entre elle el l'intrus dont il se méfiait",caresser
1917,il se laissait caresser et c'était la douceur même,caresser
1916,"Laisse mon chant câlin caresser ton berceau, Comme le vent du soir berce les nids d(...)Laisse mon chant câlin caresser ton berceau, Comme le vent du soir berce les nids d'oiseau(...)Laisse mon chant câlin caresser ton berceau, Comme le vent du soir berce les nids d'oiseau(...)",caresser
1916,fort du vieux Wat ter résiste à mes caresses(...),caresses
1917,So U YC t) O S H t) o (xs Le soleil qui descend vient caresser la treille Et le vieux banc de mousse est chaud sous ses rayons(...),caresser
1879,"caresser les feuilles des arbres, ils rêvent courants d'air, passent leur temps à fermer les portos et les fenêtres",caresser
1904,"Et comme nous voulons nous borner iei à dire quelques petites vérités, en ■.- laissant a d'autres le soin de caresser t(...)Aujourd'hui, l'horizon s'éclaircit et nous pouvons enfin caresser le rêve de notre génie national étendant son ac-^ tion bienfaisante sur le Môglireb 5 v",caresser
1834,"75 Amans , pourquoi fuir vos maîtresses , Et vous confondre en vains soupirs , Lorsqu'au prélude de caresses , Un non répond à vos désirs(...)",caresses
1834,"laissez-moi caresser nia chimère, Puisqu'ici bas tout n'est qu'illusion(...)laissez-moi caresser ma chimère , Puisqu'ici bas tout n'est qu'illusion(...)laissez-moi caresser ma chimère, Puisqu'ici bas tout n'est qu'illusion(...)",caresser
1834,"laissez-moi caresser ma chimère, Puisqu'ici bas tout n'est qu'illusion",caresser
1829,Les caresses De l'amour(...)Et sans cesse ma main brûle de caresser Tous les trésors dont l'amour t*a pourvue,caresses
1829,"O positivement sûr d'avoir la fièvre. Oh! tant mieux), et que sans cesse sa main brûle de caresser tous les trésors 1 dont l'amour l'a pourvue",caresser
1903,"La bonne enseigne, (bis) Par son aspect doit caresser",caresser
1903,"Foin des enseignes ridicules, De tous ces modèles affreux, Et par de nouvelles formules, Tâchons de caresser les yeux",caresser
1854,"Éve essuya ses pleurs pour le caresser(...)J'tve pour le caresser, essuya ses larmes de joie",caresser
1919,La chose pouvait et dut paraître étrange au premier abord: à moins qu’elle ne fût que l’expression de cette psychologie familière aux vieillards qui les fait s’arrêter volontiers à caresser un enfant,caresser
1897,"COIN DES POÈTES Aubade Lorsque l'étoile va s'éteindre, 0 chère, je voudrais l'élreinaTe, Car me lire un baiser au salin De la joue, un moment sans voile, Ce serait caresser l'étoile, La blanche étoile du malin(...)Serait caresser l'aube rose Oui devance l'astre du jour",caresser
1914,"Allez caresser de vos douces mains leurs fronts brûlants, comme l’oiseau va caresser de son aile le front de l’innocent(...)",caresser
1917,"Un sanglier, capturé jeune par nos soldats en Champagne et élevé dans une ambulance, se laisse doucement caresser",caresser
1917,"Un sanglier, capturé jeune par nos soldats en Champagne et élevé dans une ambulance, se laisse doucement caresser",caresser
1917,"Avaient-ils peur ces petits enfants de la Judée et de la Galilée qui se jetaient dans ses liras et qu’il fallait contraindre de s’éloigner, mais qu’il rappelait, Lui, pour les embrasser et caresser encore(...)",caresser
1916,"cette poitrine où bat un si grand cœur, seulement une main pour caresser mes cheveux qui ont blanchi, seulement cette bouche pour parler et sourire, si l'œil est fermé 1 » ne comptez pas reprendre et garder, débile comme aux jours de l'enfance, votre bien-aimé : l'amour aussi veille et attend, pour vous disputer le beau blessé aux pas hésitants, l'amour aussi âpre que vous-mêmes, et tout aveuglé par les rayons de la gloire",caresser
1826,"forces et dans leur intelligence font Te charme de leur auguste aïeul, qui Jie manque jamais d'encourager de quelque faveur e (es p us tendres caresses les témoignages qu’ils donnent de leur émulation dans leurs jeux, aussi bien que de leur application à l’étude(...)Il y a peu de temps que M.gr le duc de Bordeaux ayant a sa portée unbuste en marbre qui le représente, se plaisait a caresser de la main sa jeune ressemblance que Ruthxiel a si heureusement reproduite(...)",caresses
1888,"Alors, il s 'en échappe aussitôt une magnifique oie rouge qu'elle veut caresser, mais sa main reste attachée à la bête",caresser
1888,"Oui, certes, un peu gris, à le voir avancer incertain et vague — mais plus sûrement encore poète à le voir, à chaque passage de rue, caresser du bout de sa canne la bordure du trottoir, comme pour en extraire la rime rebelle",caresser
1905,"7 Il Il1 - "", - , » Je viens, dans les parfums mystérieux du soir, caresser la vision d'un rêve qui s'endeuille",caresser
1830,"je n’aurais pas la liberté de caresser un animal qui m’appartient(...)IIÉlle le fait venir dans sa chambre , lui donne à manger, le caresse , le baise",caresser
1864,"bien heureux, mes jeunes drôles, de n'avoir autre chose à faire que rire, boire, chanter st caresser de la main les épaules frémissantes de ces belles enfants",caresser
1882,"Viendrez-vous réveiller tout un monde endormi, Et caresser encor l'image d'un ami(...)",caresser
1889,"Veuillez vous pénétrer de ce renseignement, partager nos inquiétudes, et caresser notre espoir, que ces sorties ne seront pas brusquement interrompues",caresser
1931,"11 continuait bien à venir à notre appel, mangeait dans la main, se laissait encore caresser machinalement sans paraître en éprouver de joie, et brusquement donnait des coups de cornes(...)Essayer de le caresser eût été dangereux",caresser
1915,"il aime à voir à caresser de ses mains durcies par le dur labeur de la guerre, la tablette de chocolat, le paquet de(...)",caresser
2000,"D’emblée, elle se met à caresser la joue de la malade et lui prend l’autre main(...)Tenir une main, caresser une joue, c’est tellement réconfortant pour elles",caresser
1822,Rien ne me plaît et ne m'amuse Comme de caresser ma muse(...),caresser
1822,"Aimé , caressé des fillettes, Voilà, voilà comme j'étais",caressé
1822,"Dans le feu de sa double ivresse, Gaîment.il caresse Bouteille et maîtresse",caresse
1822,"Jeunes beautés ne pouvant plus vous... plaire , J'aime à caresser ma bouteille et mon verre, Caresser ma bouteille et mon verre",caresser
1822,"Mauvais chanteur, n'ayant plus l'art dcl plaire, J'aime à caresser ma bouteille et mon verre, Caresser ma bouteille et mon verre",caresser
1822,"J'aime à caresser ma bouteille et mou verre, Caresser ma bouteille et mon verre",caresser
1822,"Et si j'obtiens une caresse, Tout l'univers, mes amis, est à moi(...)Et si j'obtiens une caresse Tout l'univers mes amis est à moi(...)",caresse
1822,"J'aime à caresser ma bouteille et mon verre, Caresser ma bouteille et mon verre(...)J'aime à caresser ma bouteille et mon verre, Caressser(...)",caresser
1822,"Ainsi que vous, j'ai reçu des caresses, Vos grand'-mamans diront si je leur plus(...)",caresses
1880,"ces sortes de caresses l'irritent et l'impatientent(...)ne jamais non plus, quand on le caresse sur les yeux, le faire en frottant, comme nous l'avons",caresses
1880,"Mais on ne mettra pas pied à terre sans avoir fait faire quelques pirouettes ordinaires et renversées, puis on fera aussi des flexions latérales à droite et à gauche, en ayant soin de bien caresser le cheval sur les(...)",caresser
1880,"De sorte que, chaque fois qu'on entre dans son box ou dans sa stalle, le cheval vienne tourner sa tête pour recevoir des caresses sur les jeux",caresses
1880,"Quand vous mettez pied à terre, caressez le cheval sur les yeux, laissez glisser votre main sur l'encolure et le long de la hanche, ensuite levez la queue, ainsi que nous l'avons indiqué plus haut",caressez
1880,"il suffit de caresser le cheval sur les yeux, de bien ajuster les rênes du file t, de mettre le pied à l'étrier, de s'enlever franchement p our arriver légèrement en selle(...)le caresser sur les yeux, puis remonter et continuer jusqu'à ce qu'il reste complètement immobile",caresser
1926,"rencontrerez le beau marin I Jean Beaupuy, aimé des dames. s S'il se permet de vous caresser le c menton, donnez lui un bon soufflet, t Respect aux garçonnes I c Visitez le passage Thiers(...)bleuâtre, violacé des pins chevelus. i Çà et là reluisent, tels des douars > rompant l'interminable perspective ' du désert, ces petits villages d'aspect langoureux caressés d'une douce lumière, voilés dans la brume, les jours de beau temps, comme des hétaïres dans la gaze des harems, sertis comme le seraient(...)",caresser
1903,"Caresse-le donc(...)me dit la commère qui, elle, ne croyait pas aux sorciers ni même à l’incarnation d’un diable dans la peau des chats, caresse-le(...)",caresse
1903,"journal, Berna vint, pour signer le pacte de paix sans doute, frotter comme l’autre jour sa maigre échine contre mes jambes et, comme l’autre jour, ne voulant pas repousser cette avance, j’essayai de le caresser",caresser
1935,"Alors resteriez-vous dans ce stade de l'enfance où l'on risque à tout bout de champ de se caresser assez souvent le cassis, avec la seule différence <jue dans l'eau la chose tourne plutôt au tragique",caresser
1885,"A ma voix il bondissait, prêt à me caresser, ou à obéir à mon commandement, à un geste(...)C'est... qu'elle... aussi avait su captiver son dévouement, son attachement parses caresses et les morceaux de sucre, et diverses friandises dont monsieur en recherchait les douceurs",caresser
1885,"Sidi, lui, poussait un aboiement, venait caresser son maître, puis reprenait sa placé bien aimée auprès d'elle(...)",caresser
1855,"cadre anglaise de la mer Noire vienne caresser de ses batteries les côtes de Naples pour me mettre à la raison(...)pointe, un tricorne légèrement diabolique incliné sur l’oreille, il brandit à la main une longue béquille dont il s’amuse à caresser les gens qu’il rencontre avec des moustaches retroussées en croc et des chevelures garibaldiques",caresser
1854,"caresser les Reclamations, r",caresser
1891,"d'une femme et à la'.caresser doucement, fait partie des profits journaliers de la profession",caresser
1891,"Moins audacieux bien qu'également sceptique, en se risquant à caresser les jolies femmes, Steen n'eut jamais l'aplomb d'invoquer la fièvre pour excuse ni le clystère pour menace",caresser
1866,"Pendant que le mari bénissait la bonté du ciel envers lui, il vint un petit garçon d'environ trois ans, caresser sa mère. —A qui cet enfant demanda le mari",caresser
1884,la main po-- telée de la jeune femme ne daigna pas même une seule fois caresser mes touches,caresser
1918,il nous arrive même de caresser des rêves fous(...),caresser
1930,"Montsoreau à Douai-la-Fontaine : « Les deux plus grandes joies de l'homme sont de caresser les jolies femmes et de boire un verre de bon vin, » M",caresser
1930,Qu'aimez-vous le mieux caresser(...),caresser
1940,"cette semaine deux grandes nouvelles : le führer de toutes les Allemagnes '♦ci. de toutes les Tchéquies va peut-être déclarer la guerre à la Norvège dont il n’a jusqu’à maintenant que caresser les côtes et rasé les villages(...)Or, caresser et raser ne sont point opérations de guerre(...)",caresser
1902,Un rayon vint la caresser sans faire jaillir d'elle l'éblouissement qu'Eudes attendait,caresser
1867,"El lorsqu'elles viendront, ces belles boucles blondes, Caresser de vos fronts les soucis passagers Vous sentirez en vous de ces choses profondes Qui rajeunissent l'être et font les coeurs(...)",caresser
1872,"Pinpin prit la cruche et rétablit darislamarrh'te l'équilibre qu'il avait rompu. - ' Et le feu se remit à caresser le ventre noir de la marmite, et celle-ci recommença sa jolie- chanson, cette chanson si agréable(...)",caresser
1891,"Et le chaud soleil qui sur tout ruisselle Et met son baiser, Dans le clair azur, plus pur, étincelle, Pour te caresser",caresser
1898,"La mer faisait entendre de vagues et doux murmures et semblait caresser les rares barques dont on apercevait de temps en temps les feux à moitié éteints et du Pigno, descendait, comme un doux zéphir, la brise légère et caressante du soir",caresser
1864,"Voudrais être brise légère Voltigeant sous l'aile du soir, Être un encens plein de mystère Qui s'échappe de l'encensoir, M'en irais caresser ta vie, N'embaumerais jamais que toi, Parfumerais tonte ta vie, Pour que ton coeur n'aime que moi",caresser
1886,"Son état maladif exige quelque soin, Mais la mère occupée à caresser son homme Ne pense qu'à son vice ignoble qui l'assomme",caresser
1886,"La part de l'hystérie est faite avec largesse, La femme perd la tête alors qu'on la caresse(...)",caresse
1895,"Le témoin : J’étends la main pour caresser ma chienne, attendu que je ne connais pas d’autre moyen de la faire taire(...)Je rentre chez moi, je me couche, mon chien aboie, je veux caresser mon chien pour le faire taire(...)",caresser
1891,"caresser, donner la(...)",caresser
1875,"La fleur me donne bien ses parfums les plus doux, Faites comme la fleur, vierge chaste et divine I J’entends comme un écho votre voix argentine, Fou de crainte et d’espoir je suis à vos genoux, Laissez-moi caresser votre main blanche et fine, Laissez-moi vous aimer à rendre Dieu jaloux(...)",caresser
1930,"caresser, de la main et du regard, , Une belle poupée toute de soie habillée et un gros sabot de fin chocolat(...)Un instant, elle se remit à caresser",caresser
1905,"Mais, de la foule qui nous environnait,.des jeunes gens qui nous entouraient, une atmosphère de sympathie s'éleva qui vint caresser nos âmes",caresser
1863,"Elle passe alors à l'état de femme à la mode, .et peut ouvertement caresser les chimères d'un mobilier splendide et d'une toilette éblouissante(...)Elle se loge volontiers dans les environs de l'Hôtel-Dieu, parce qu'au premier symptôme de maladie, elle sera toute portée poui occuper un lit dans cet asile du malheureux, ce qui ne l'empêchera pas de caresser mainte illusion gigantesque",caresser
1889,"Tout ce petit cercle de célibataires n'était pas sans caresser quelques arrières-pensées(...)Tout le monde, autour d'elle, s'ingéniait à caresser sa douleur pour en adoucir les amertumes",caresser
1889,de caresses,caresses
1889,"et quand bonne maman voudra caresser bébé, elle mettra de côté sa tabatière. — « C(...)",caresser
1892,"où le soleil ne fait plus que caresser de ses rayons obliques la grève encore humide des baisers de la Vigne(...)Quelquefois, une i une, plus osée que les autres, dépasse la ligne ordinaire et vient amoureusement caresser les petits pieds qui passent devant elle",caresser
1868,"Le second, comme une bête moutonnière qui viendrait vous caresser de sa laine, après s'être roulée sur un monceau d'aiguilles dont beaucoup, n'étant pas sorties de sa toison, entreraient dans votre peau — d'âne, qui résonne moins qu'un tambour, ô vous qui raisonnez comme une paire de baguettes(...)",caresser
1903,"Sa gentille petite figure chiffonnée qu'il pomponnait si adroitement, ses yeux bal tus et vaguement tristes (c'était le grand genre!) et qui ne semblaient, devoir s'ouvrir que pour faire des moissons de béguins, sa petite moustache blonde, toute, petite et fine, caressée de deux doigts avec un geste fort distingué (il le prétendait du moins), ses vêtements de coupe rare, moulant, de leur ouate savante les muscles trop faibles, en faisaient un petit mannequin très coté dans le monde chic(...)a garder(...)",caressée
1937,"Elle les fait jaillir de la harpe, telles des gerbes d'étincelles, sous ses doigts qui semblent caresser les cordes et elle nous montre(...)",caresser
1913,"Il y a de ces beaux lis blancs, éclos du matin, e\ qu'on ose à peine caresser du regard, de peur de les ternir",caresser
1881,"Il n'y a que la femme qui sache caresser caresser de la main, caresser de la voix, caresser du regard(...)La caresse qui ne vient pas de la femme est une voie de fait 1 Voyons le sport",caresser caresser
1937,Aucun souffle ne vient caresser la lumière Les jeux de fards qui masquent(...),caresser
1871,"Une odeur fade, indéfinissable, qu’au premier abord, je pris pour l’odeur du sang, mais que je reconnus plus tard être le parfum de la soupe à l’oignon, vint douloureusement caresser mon odorat, La porte s’ouvrit tout-à-fait",caresser
1880,"Des meilleurs parents elle a la tendresse Elle en est l'espoir, l'unique souci, Mais, reconnaissante, elle rend caresse Pour caresse et dit au bon Dieu : merci(...)",caresse
1880,"Vois ces formes magiques Qui, flottant près de toi, viennent te caresser(...)",caresser
1928,"Un monsieur polisson qui ,voulant caresser la croupe d'une jolie femme, recevrait dans les doigts une décharge électrique, hésiterait certainement à recommencer. p Ou alors, c'est le cas de dire, il pren- i drait des gants pour renouveler son geste, d L'adultère, dans de telles conditions, q deviendrait(...)",caresser
1861,"Et comme conséquence logique de cet examen, l'on se voit contraint de s'avouer que l'artiste, à force de caresser son idéal et de vouloir l'ennoblir, en arrive fatalement à méconnaître les conditions-même les plus élémentaires de l'art de peindre(...)",caresser
