year,sentence,key_word
1886,"Mouriès, chalet Chavert M. Salle et sa famille, de Nimes, chalet Mar¬ celin Molle",chalet
1894,"Quatre pièces de ce chalet sont occupées par un garde du service des Promenades, chargé de la surveillance de la porte voisine du bois de Boulogne(...)dernière, afin de remédier à ce double inconvénient, demande' l'autorisation d'établir à proximité de ce chalet une construction comprenant un logement pour le garde, dont le service nécessite la présence à proximité de la- (1) La 1"" Commission (Finances —■ Contentieux) est composée de MM",chalet
1894,"Ces arbres, tous transportables, seront reportés sans difficulté aux frais de Mme Grossetête à des emplacements désignés par l'Administration, où ils amélioreront les abords du chalet",chalet
1894,"PROJET DE DÉLIBÉRATION LE CONSEIL, Vu le mémoire, en date du 11 juillet 1894, par lequel M. le préfet de là Seine lui soumet une demande formée par Mme Grossetête, concessionnaire du chalet-restaurant de la Porte-Maillot, au bois de Boulogne, tendant à obtenir : 1° L'autorisation d'augmenter le périmètre de sa concession actuelle, afin d'élever de nouvelles constructions 2° Une prolongation de bail de neuf années(...)chàlet-restaurant de la PorteMaillot, et sera soumise, outre les conditions de ce(...)",chalet
1941,Quand Jean vint au chalet « Quand Jean vint au chalet là-haut sur la montagne(...),chalet
1941,"Il s’est juré de rebâtir le chalet plus beau qu’avant(...)Si Jean a pu rebâtir de ses seuls bras de Jeune « le vieux chalet plus beau qu’avant », c’est parce qu’on lui avait appris à manier la pioche et la tiùelle",chalet
1885,"CHALET A LOUER Le jeune Rotibal vient de débarquer à Blague- ville, une jolie petite station de bains de mer très fréquentée par le monde élégant(...)ensuite il faut que ledit chalet soit habité par une délicieuse jeune fille tendre et innocente dont il se chargera(...)",chalet
1856,"Mais pourquoi mon chalet ne serait-il pas flottant(...)J’adosserai mon chalet aux dolmens et aux menhirs de la sauvage Bretagne, je l’installerai sur les collines de la Provence d’où l’on voit la mer en écoutant l’harmonie(...)",chalet
1883,"Boudou, de Rodez, châlet Chaverot.^ Andrieux, de moptpellier, châlet Andrieux",châlet
1886,"Chalet Westphal.— MM. Castelnau, ban¬ quier, et sa famille.— Lavit, propriétaire à Canet. — Crassous(...)Chalet Treille.— Docteur Vialla, de Nar¬ bonne.— Mme Baux, de Milan.— Servière fils, de Lansargues(...)Chalet Balestier (rive gauche). — MM. Laporte, du Vigan.— Baurin, de Ganges",chalet
1886,"un imitateur-instrumentiste poul¬ ie 1er octobre, et Mlle de Briège, pour le 13 du même mois. + Mme Duparc vient d'être engagée pour dix repré¬ sentations au concert des Trois-Chalets, à Bordeaux, dans de brillantes conditions, que lui méritent d'ailleurs(...)",chalets
1938,5° Droit de priorité et de séjour dans les chalets-hôtels du Touring-Club de France ouverts et gardés pendant l'hiver (voir liste et renseignements dans le Guide de Route du T. C(...)8° Avantages consentis dans certains chalets et refuges du Club Alpin Français et(...),chalets
1938,"Le Touring-Club a accompli l'an dernier un effort considérable pour V équipement hivernal de ses chalets(...)Deux fois par mois, dans un chalet T.C.F. un moniteur vous attendra",chalets
1938,"Le chalet d'ARVIERES est une charmante maison forestière située dans l'extrême sud du Jura, près de Lochieu (arr. de Belley(...)Le chalet confortablement chauffé (chauffage central) compte 30 lits",chalet
1938,"Le nouveau chalet que le T. C. F. est en train d'aménager pour l'hiver à SAINT-ETIENNE-EN-DEVOLUY (1.267 m.) promet d'être très sympathique lui aussi(...)Le chalet a aussi le mérite d'être situé dans cette région encore si peu connue qui s'appelle le Dévoluy et dont une tournée d'étude, récente, des représentants du tourisme officiel, a révélé les aptitudes remarquables à la pratique du ski",chalet
1938,"C. F. Jean CLERMONT, Autres Chalets T. C. F. ouverts : Vosges(...)Chalet du col de la Madeleine ( 984 m.) Alpes-Maritimes(...)",chalets
1938,"pour m 'en a-ller que n'ai-je, que n'ai-je 'Un petit chalet perdu dans la neige Sous de hauts sapins",chalet
1938,12-19 février : Semaine Pyrénéenne (chalet du Marcadau(...),chalet
1901,"Le Chalet Suisse sur socle Régence, F. Barthélémy(...)GRAVURE: Le Chalet Suisse sur socle Régence",chalet
1901,"Le Chalet Suisse sur Socle Régence(...) 1) N confectionne assez souvent les chalets, comme pièces de confiserie(...)",chalet
1901,"Les patrons, pour préparer le chalet, comprennent : 1° d'abord un grand carré destiné à former deux des côtés carrés de la carcasse du chalet",chalet
1901,"LE CHALET SUISSE SUR SOCLE REGENCE (Pièce-montée de Confiserie(...)dresser le chalet, on commence par former la carcasse du chalet en collant ensemble avec du sucre cuit les quatre côtés",chalet
1901,"20 LE JOURNAL DES CONFISEURS, GLACIERS, CHOCOLATIERS .: Pour le chalet : étendre avec le rouleau, du nougat brun préparé en faisant fondre, sans eau, du sucre auquel on incorpore le même poids d'amandes hachées(...)Poser le chalet sur le socle et finir de le décorer au cornet avec de la glace royale",chalet
1913,"LAFONT, Propriétaire BRIDES-LES-BAINS LE GRAND HOTEL ET CHALET CLOTILDE Premier ordre. — Restaurant. — Garage(...)BRIDES-LES-BAINS Châlet Simond Pension de famille. — Cuisine de ménage, depuis 6 francs par jour. — Electricité dans toutes les chambres. — Belle vue sur le massif de la Vanoise",chalet
1913,"SARGÈS, Directeur Châlet Mathilde Duchesne (Mme et M.) famille et personnel(...) Montargls Châlet du Parc Dessain (Mlle) 1 cuisinière Paris Châlet La Cascade Pointurier (M. Mme) et famille Bray- sur-Seine Pension de la Source Fitz-Gérald (Mme) Paris Vriloington (Miss) » Cottard (M.) Siotta Petit (Mlle) Ain Vuillermet (M. et Mme) Paris Fontaine (M e ) » Villa Les Clématites Barrai (Mme et M(...)",châlet
1913,"LA SAVOIIi THERMALE PRALOGNAN CHALET EDELWEiSS Dans une ravissante situation(...)Guide breveté de l re classe, Membre du C. A F. et du T. C. F. I n\/CT Chalet-Hôtel du Club mUPl l'dUVt I Alpin Français",chalet
1876,"Comtesse de Rrandelot, grand chalet de l'Amirauté Caolet, vilU Félix(...)Bosquet, chalet Woll Biron da Lo&tang«, villa St-Arnaud",chalet
1884,"CHALET A \MMk Le jeune Rotibal vient de débarquer à Blagueville, une jolie petite station dp bains de mer très fréquentée par le monde élégant(...)il faut que ledit, chalet soit habité par une délicieuse jeune fille tendre et innocente dont il se chargera de faire le bonheur",chalet
1884,"Tout en causant, les deux amis étaient arrivés devant le petit chalet habité par Rotibal(...)Et Rotibal entraîna son ami dans le chalet",chalet
1899,"Chalet, Veirès, Famille Servent (le Montpellier ; Chalet Tessier : Familles Ballot, de Millau ; Gihert, de Soumiièivs ; Encontre, de Montpellier(...)Chalet Fellieux : Famille Nègres, de (N'ilium. Chalet Augé : Famille Estève. de Lansargues. Chalet Teissier : Famille Denis Bedos, de Montpellier",chalet
1899,"Montpellier le coquet chalet, aménagé si gentiment avec les différentes essences de la région, qu'il avait édifié à 1 Exposition, et dont il a fait don à la ville",chalet
1865,"CHALET IDALIE (bois de Vincennes). — Bal les dimanches, lundis et jours de fête(...)Tous les soirs, ce charmant petit théâtre se rempli jusqu'au comble d'un public avide de prouver à M. Robin, par ses applaudissements chalet roux, combien il lui sait gré de",chalet
