year,sentence,key_word
1927,"2° Prolongement jusqu'à la porte de la Chapelle de la ligne N 8 actuellement limitée : Porte d'Orléans-Châtelet, DÉPOSÉE PAR 3VI A ugustin B E2 A(...)52, du dernier tramway service normal de la ligne n° 8, en direction de la porte d'Orléans, la relation entre le Châtelet et Montrouge est assurée par le service de nuit N 8 qui effectue les départs suivants, au tarif unique de 2 fr",châtelet
1927,"porte de Charenton, gare de Lyon, Châtelet, gare de l'Est, gare du Nord, porte de Pantin(...)2° Prolongement, jusqu'à la porte de la Chapelle, de la ligne N8 actuellement limitée : Porte d'Orléans–Châtelet",châtelet
1927,"RAPPORT FAIT Au nom de la Commission de Varmée1, chargée d'examiner le projet de loi, ADOPTÉ PAR LA CHAMBRE DES DÉPUTÉS, portant déclassement de la batterie du Châtelet à Belfort, PAR M(...)MESSIEURS, Le projet de loi portant déclassement de la batterie du Châtelet à Belfort a été voté par la Chambre le 9 juillet 1925. (1) Cette Commission est composée de MM",châtelet
1927,"La batterie du Châtelet, à Belfort, abandonnée bien avant 1914, ne figurait pas dans l'organisation de la place de Belfort au moment de la dernière guerre et son utilisation n'est pas prévue dans l'organisation défensive future(...)La batterie du Châtelet (Belfort) est déclassée et rayée du tableau de classement des places de guerre. (1) Voir nos rapports 441 de 1926 et 391 de 1927* ftto",châtelet
1860,5 LES MYSTÈRES DES PRISONS LE GRAND Chatklkt : Les Mystères sur la place du Chatelet en 1431. (Page 34(...),chatelet
1860,"Le grand Chàtelet, le seul dont nous voulons nous occuper quant(...)La basoche du Châtelet, qui s'intitulait elle-même basoche régnante en titre et triomphe d'honneur, se composait de tous les cleres de la cour aux gages des notaires(...)",chàtelet
1860,La défense du grand Châtelet était confiée aux archers de la prévôté(...)Le Châtelet seul en contenait plus de quinze cents,châtelet
1860,"Il semble que remplacement sur lequel s'élevait le Châtelet fût prédestiné au rôle sinistre qu'il était(...)Châtelet, il en est, disje, qui ont laissé dans les fastes criminels de la prévôté de Paris la trace de leur sanglant passage",châtelet
1860,"BIBLIOTHEQUE m DIMANCHE, - 37 Cent ans après Jourdain de Lisle, le Châtelet envoyait aux mêmes fourches de Montfaucon un autre chef de brigands qui, pour être de moins bonne maison, n'en faisait pas moins grandement ses affaires(...)Appréhendée au corps et déposée dans les prisons du Châtelet, Mme Tiquet nia très ênergiquement qu'elle fut l'auteur du crime",châtelet
1945,"proposition de MM. Berlemont et Emmanuel Fleury tendant à faire respecter, par la direction du théâtre du Châtelet, le cahier des charges la liant à la Ville de Paris(...)le Préfet de la Seine à faire respecter, par la direction du théâtre du Châtelet, le cahier des",châtelet
1939,973 29 août. — Classement et alignement de la villa Lefebvre et du passage Châtelet(...),châtelet
