year,sentence,key_word
1837,"Ivre de joie et de bonheur , cet habile et profond chimiste a bien voulu mettre le Ménestrel dans la confidence de son procédé, en attendant qu'il s'occupe d'adresser à l'Institut un rapport détaillé sur cette surprenante découverte",confidence
1914,"Il pourait même— je vous le dis en confidence— provoquer de très graves incidents diplomatiques que nous avons le devoir d’éviter à tout prix(...)Eh bien, confidence pour confidence",confidence
1877,"Alors elle consulta sa camériste, qui, de confidence en confidence, réussit à lui éclairer l'esprit",confidence
1902,"ce dernier jour seulement, elle se décida à une confidence sur la nature de laquelle il ne me convient pas d'insister",confidence
1983,We need to help each other in our trials and difficulties and to regenerate the confidence in each other to work as a group who are happy with whatever means we might get through our own efforts,confidence
1983,I am trying to regain the confidence of the parents and relatives that these young people hâve(...)I also re-install confidence in the young people that they are still wanted back in their various families as full members of the families with the same respect and love like any other children in the family,confidence
1915,"M. Barzilaï, avec raison, rapproche cette confidence de la phrase suivante de l'avant-propos du Livre blanc allemand, qui fut distribué au Reichstag le 4 août 1914 : « Nous étions bien conscients qu'une action militaire éventuelle de l'Autriche-Hongrie contre la Serbie mettrait la Russie en cause et pourrait, nous(...)octobre 1915) de démentir la conversation rapportée par M. Barzilaï, comme elle avait démenti naguère une confidence analogue faite le 23 juillet 1914 au ministre de France à Munich, M",confidence
1931,Confidence Folio Macaroni S. Excellent-» Brunhild Voila LE MATIN(...)Confidence Nantua Ziani ' Son Excellence Brunhild Moisan NEW-YORK HERALD(...)CONFIDENCE vient de finir derrière Pearl Cap et Brûlette(...),confidence
1863,"Mais je veux vous mettre dans la confidence. —- Madame est bien.bonne. v — Je compte sur votre discrétion. . — C'est une de mes grandes qualités(...)Aussi m'a-t-elle bien recommandé de ne dévoiler cette confidence à personne, et j'ai tenu ma promesse. —r Je le vois",confidence
1863,Malheureusement lé public n'est pas dans la confidence,confidence
1859,"Sur notre réponse affirmative, il tendit la main et continua : -Je vous ferais bien une confidence si vous vouliez. mais je craindrais de me compromettre(...)Comme il tendait toujours une main, comme pour nous faire comprendre qu'il fallait lui payer sa confidence, je lui remis une pièce de cinq francs",confidence
1890,"narines une notable quantité de tabac et répondit en baissant la voix, comme s'il s'agissait d'une confidence étonnamment mystérieuse : — Figurez-vous que l'ami de mon neveu s'appelle Charles Longueval et qu'il est officier du Gobelet",confidence
1905,Confidence,confidence
1905,LE NU ARTISTIQUE (25) CONFIDENCE (Propriété exclusive du Nu Artistique(...),confidence
1802,"Belval imagine de îendre à Belcour frayeur pour frayeur , et confidence pour confidence(...)",confidence
1919,"Il vous apportera la petite causerie, l’exhortation, la lettre hebdomadaire du Curé à ses paroissiens, la confidence de ses soucis, et de ses joies dont les bons paroissiens ne peuvent pas se désintéresser puisque ils en sont eux-mêmes l’objet",confidence
1844,"que les confidences faites à un avocat dans son cabinet sont une sorte de confession, et que la loi du secret est un point de reli",confidences
1844,il peut donc et il doit s'abstenir encore de déposer des faits dont il a reçu la confidence dans l'exercice de ses fonctions,confidence
1938,"He explains that this is to be “a concrète expression of our confidence.” ""Idle capital means idle labor”, said the head of this great enterprise(...)I believe that if capital and labor face the future with confidence and unafraid, they will find the nation willing to back them",confidence
1880,"so great deal of confidence in the probity and the capacity of an artist, no doubt, has not found many imitators, and we do not hesitate, sorhewhat on account of that, to describe it, in the midst of thèse curtailed lines",confidence
1900,"j LE mm SJIÊ M mm — Monsieur, je vais vous faire une confidence.': je më nomme Moïse l.évy et je suis juif(...)tenez... confidence pour confidence : moi, je suis bossu",confidence
1885,les confidences scabreuses sont la moitié de notre vie. — Permettez-moi un petit préambule : cela me rendra(...),confidences
1926,"Véra ne s'est pas montrée insensible à la confidence amoureuse de Julien, sa fortune lui donne toute(...)",confidence
1882,Il a reçu la confidence de l’attentat plusieurs jours avant qu’il fut commis(...)Tout indique que la confidence du crime projeté ne lui fut pas faite alors,confidence
1830,"d’Azara , quand IM. de T.... fut sorti , ne douta pas que la confidence n’eùt été une fausse confidence, et que même il n’eût été trompé par un agent à deux fins dans les documens uqu'il s’était procurés",confidence
1954,"Les Quatrains répondent à une exigence lyrique : ils sont d'abord confidence, soulagement, nécessaire détente",confidence
1954,"L'abord en est déconcertant, l'interprétation difficile : il s'agit d'une œuvre presque hermétique, d'une confidence très personnelle et Péguy l'a si bien senti qu'il semble avoir(...)Leur richesse poétique n'empêche pas la sincérité tragique de la confidence, sa haute portée morale et spirituelle",confidence
1954,"Mais c'est maintenant — parce que la confidence se fait moins intime, parce qu'elle s'élève à des thèmes assez généraux — c'est maintenant seulement qu'il songe à en faire un Cahier(...)Les Quatrains au contraire sont, à la même époque, la confidence amère, douloureuse, la confidence authentique",confidence
1954,"Les vers ont été pour lui, au début du moins, un délassement 11 et la confidence n'en est que plus directe parce",confidence
1954,Le projet de Péguy est de livrer passage à une confidence douloureuse et très intime,confidence
1997,"It's confidence in yourself and in others, respect, listening and sharing",confidence
1997,"It gives me confidence, because when I look for work, I often don't hâve confidence in myself",confidence
1864,"Dis toujours, je te promets de bien recevoir ta confidence",confidence
1828,Comment ont-ils reçu la confidence(...),confidence
1828,"Toute l'action du deuxième acte consiste dans la double confidence de Malvina à son cousin et de celui-ci au négociant Dubreuil(...)L'épouse de Barentin n'a plus la force de se soutenir, elle va mourir de douleur sous les yeux de son père mais en ce moment Arwed entraîne son oncle, et c'est derrière le rideau qu'il achève la confidence",confidence
1834,"Après la confidence du duc, on(...)",confidence
1834,"Il voudrait lui faire épouser un vieux cousin à elle, auquel la confidence de la fatale aventure ferait peu d'effet sans doute",confidence
1811,"C~ft< Confidence, la jS~x~<°, la /V& ~a.t",confidence
1811,"ic. profUts~~h Gerva) :nec dédit Verseuit fait confidence à Gervat qu'H est marie: scréte(...)On ne ~ent en conscience se dispenser d<t faire confidence à fauteur de t'extréme medittcutë de ce petit act<t~, et cette confidence n'est ni un mensonge ni une catomnic",confidence
1882,Il a reçu la confidence de l’attentat plusieurs jours avant qu’il fut commis(...)Tout indique que la confidence du crime projeté ne lui fut pas faite alors,confidence
1864,"Ma généalogie, par .Théodore.Légère. — Une confidence, par Alexis Cardon. — CHANSONS rOPUI.AlitES v J'ai du bon tabac— Vaut bien(...)",confidence
1864,UNE CONFIDENCE Paroles d'Alexis Cardon,confidence
1904,une confidence(...),confidence
1904,"Et puis, écoute, tu m'as fait une confidence, je vais t'en faire une aussi",confidence
1869,"De confidence en confidence, Cécile avoue à sa more. qu'elle aime Maxime et qu'elle serait heureuse de s'appeler Mme de Turgis, oh",confidence
1846,"Hector de Biron, à l'affût de toutes les intrigues, et caché un jour dans un bosquet, parvient à surprendre une confidence faite par M"" 1 de Solanges à la plus intime de ses amies, MUe Berthe de Simiane(...)Cette confidence concerne précisément Olivier, que M11* de Solanges, comme nous l'avons déjà dit, aime de l'amour le plus pur",confidence
1892,"mais un doute en surgissait aussitôt : « Avait-il bien le droit d'expliquer une pareille confidence(...)Usez personnellement de ma confidence, et gardez-la comme un secret de pénitent",confidence
1918,"A quelqu’un qui l’interrogeail, M. Clémenceau répondait ces jours derniers : « Je me refuse énergiquement à vous faire pour le moment une autre confidence que celle-ci : Çà ira très bien, très bien(...)",confidence
1877,"Populaire, 9 mai mai 1847, sous le titre de GRANDE CONFIDENCE, il fait un appel à ses disciples pour aller avec lui réaliser Icarie(...)L'effet produit par cet appel, par celte grande confidence, est indescriptible",confidence
1949,ET ARTISTIQUE /vW Passer une heure auprès de vous Et vous faire une confidence(...)Passer une heure auprès de vous Et vous faire une confidence(...),confidence
1827,"La confidence de Mme Dorbeval en est à ce point, et nos deux amies s’observent avec inquiétude, lorsque l’on apporte une lettre adressée à la femme du banquier(...)Pendant toutes ces brouilles , ces raccommodemens, ces longues confidences, ces assauts de générosité, ces allées et venues, Dorbeval, muni de la procuration de Poligny, a acheté la charge d’agent de change",confidence
1827,"Cette prétendue comédie, dont le véritable titre serait : Confidences sur confidences , ne brille pas davantage par la peinture des caractères",confidences
1992,"Thus, this extraordinary network of exchange was created where everyone can learn from each others’ expériences as well as draw confidence and courage from them",confidence
1992,These joined those of other children from throughout the world to show their agreement with Father Joseph’s message of confidence : «Children can make the world a happier place(...),confidence
1884,"Cela tombait à merveille el préparait admirablement le terrain pour une confidence(...)Mais, point initiée encore a la souffrance, à la douleur, inhabile à'discerner l'apparence de la réalité, elle attendait tranquillement que la confidence se produisit",confidence
1826,"pourquoi n'a-t-il pas ""V même prononcé son nom avant cette confidence si dramatique que réclame M. Lemercier(...)si la confidence est un emV îrunt, ■ elle emporte de droit avec elle ta scène de la sinature, et-alors que reste-t-il M",confidence
1918,"vous, qui avez choisi pour confidence de vos miséricordes une humble enfant, afin de manifester plus clairement votre tendresse maternelle et de rendre nos cœurs plus confiants(...)",confidence
1864,"pas, son masque si intelligent en fait la confidence immédiate au public ravi(...)",confidence
1943,I look forward with confidence to co-operation with His Excellency towards fulfilment of our common object,confidence
1834,"M. Raffet voulait seulement lui révéler un mystère dont il venait de recevoir la confidence, à(...)Le docteur qui reçoit aussi la confidence de Mlle Félicité se trouve placé entre deux poupons futurs qu’il faut légitimer par deux unions",confidence
