year,sentence,key_word
1929,"Page 27, lignes 21 et suivantes : Au lieu de : à contourner les rapides de Kénié et à assurer ainsi la liaisoni permanente du bief guinéen, allant de Kouroussa à Bamako, le seuill de Manambougou, etc(...)Lire : à contourner les rapides de Keine et à assurer ainsi la liaison permanente du bief guinéen allant de Kouroussa à Bamako avec le bien soudanais allant de Manambougou à Assongo",contourner
1927,"Le piéton qui se dirige vers le centre de la place Moncey ou qui en provient ne peut franchir cette zone hérissée d'obstacles, et les refuges disposés comme un chapelet d'îlots pour faciliter la circulation demeurent inemployés parce que l'obligation de contourner l'extrémité orientale du terre-plein du boulevard des Batignolles, rejette impitoyablement les piétons vers les trottoirs trop étroite et encombrés à l'excès que limitent les rues Biot et de Pétrograd",contourner
1972,"poursuivre plein est pour contourner par le nord un piton rocheux, puis remon",contourner
1972,"De ce col, on peut remonter plein nord vers le pic ou contourner ce dernier par' :l(...)1 h 05 La route arrive devant une grande cuvette herbeuse qu'elle contourne par la gauche(...)",contourner
1972,5 h 25 Le sentier laisse la pierraille et remonte un peu sur l'herbe laissant à gauche l'étang de Soubirans 2330 afin de contourner par le sud un mamelon rougeatre qu'il me semblerait plus élégant de contourner par le nord en suivant le fil des lacs(...)11 pourra aussi contourner le cirque du Freser par les crêtes (pic d'Enfer ; Géant,contourner
1972,On peut encore — si les champs sont fauchés — partir S.-E. pour contourner par l'est le mamelon rocheux dominant la D(...)5 h 10 Sorte de second col : monter très légérement pour contourner le pic d'Eyne par le versant Espagnol (vague sente,contourner
1972,"5 h 22 Monter, toute crête ou quelques mètres à gauche pendant au moins dix minutes avant de contourner le sommet du Noufonts 2864 m par les éboulis de son flanc sud",contourner
1972,on peut gravir ce sommet ou le contourner par le nord (sentes(...),contourner
1972,"On surplombe au N.-E. un petit étang sans déversoir, véritable puits de neige en début d'été : on peut contourner cet entonnoir soit par la crête à gauche soit par le rebord sud, ce qui fait descendre un petit peu plus mais semble plus facile car moins rocheux",contourner
1917,"lequel s'opèrent les tassements : le mieux est d'élablir une piste pour contourner les entonnoirs, ou même des chevalements pour les franchir",contourner
1917,"La solution immédiate et simple a consisté à les contourner d'abord d'un seul, puis des deux côtés",contourner
1917,Alors que la confection d'une piste permettant de contourner un entonnoir demande de trois à cinq heures,contourner
1917,"à contourner les entonnoirs au moyen de pistes rudimentaires, à établir des ponts provisoires pour le franchissement des cours d'eau (bateaux, chevalets, pilots légers, etc(...)",contourner
1917,"nature peu accidentée du terrain, qui a presque toujours permis aux troupes et aux convois, y compris l'artillerie de campagne, de les contourner",contourner
1916,"Les Allemands essayant de nous contourner, il se dressa tout debout pour tirer mieux à son aise et cela malgré un feu des plus violents",contourner
2002,"Ils doivent aller contourner les plots avant de faire chacun une action spécifique(...)Consignes : les deux joueurs doivent partir au même moment, contourner les plots de l'intérieur vers l'extérieur",contourner
2002,"Contourne le plot central en dribblant pour venir nxer vers la ligne des 6,25 m ( v °ir figure 1(...)",contourne
2015,"Dribbler contourner le plot, sauter les obstacles pieds joints (ballon dans les mains) enchaîner un tir une main 4(...)Dribbler main gauche, changer de main pour contourner le plot(...)",contourner
2015,"Dribbler contourner le plot, sauter les obstacles pieds joints (ballon dans(...)Dribbler main gauche, changer de main pour contourner le plot, arrêt simultané, tir à une main",contourner
2015,"Les joueurs démarrent au signal, doivent aller contourner un plot avant de pouvoir tirer (il faut tirer jusqu’à marquer le panier), puis traverser le terrain pour aller marquer dans le panier à l’opposé",contourner
1935,Contourner un vallon d'éboulis avant de s'élever E. S.-E,contourner
1935,30. — Contourner la rive gauche de l'étang de Médocourhe,contourner
1935,Contourner le lac de la Coma Pedrosa par le N. pour rejoindre le contrefort S. de la Coma Pedrosa qu'on gravit au N,contourner
1935,"On contourne un sommet, on arrive à un autre col dominant le plateau de Cap Nesté (1600 m(...)15 Cap Nesté est contourné à flanc est en direction de la cabane dont le toit émerge à peine de la neige",contourne
1935,Monter N. pour contourner un contrefort(...)Contourner l'étang Fourcat par l'O. Sentier,contourner
1935,"Le sommet du pic de l'Areng (2081 m.) est contourné à cinquante mètres en contre-bas 14 h(...)00 Le col de Py est laissé sur la gauche, le Templa (2123 111.) contourné",contourné
1935,Contourner l'étang Fourcat par l'O,contourner
1935,Il y a plusieurs orrhys à l'O. et au S. Contourner l'étang par la rive droite(...)5 heures. — Contourner le petit étang Fourcat par l'O. (2350 m(...),contourner
1902,"La longueur d'onde étant /plus grande, la diffraction devient notable^ d'oùi.lapassibilitè de contourner les obstacles(...)dé contourner, Jarottondite terrestre(...)",contourner
1931,De superbes boulevards permettent de contourner La Rochelle sans y pénétrer(...)Il nous suffira de la contourner en passant toutefois devant sa gare monumentale,contourner
1902,3 fers à contourner assortis(...)1 fer à contourner,contourner
1990,Pour contourner cette difficulté notre analyse de stabilité repose sur des estimations « faibles » de quadrature ne faisant pas intervenir de dérivées de la fonction intégrée,contourner
1913,au village des Rousses qu'il doit contourner,contourner
1891,le derrière se terminait en volant pour contourner le bas de la jupe,contourner
1920,"rive gauche puis longer la berge jusqu'à Ban Boun. traverser ensuite sur la pointe Sud de Don Keumao, longer cette île jusqu'au village de Ban Houey Don, de là s'écarter légèrement pour contourner le grand massif rocheux accolé à la berge de Don Iveumao (le chenal est limité à gauche par un ilôt de Kokaies(...)",contourner
1920,"Gouverner sur la rive gauche de façon il contourner le massif rocheux (sur lequel existent des hauts Kokaies) accolé il la berge, puis se diriger sur le voyant sur la rive gauche et de ce voyant traverser sur le voyant placé sur la rive droite, en aval du massif de l'échelle(...)Contourner ce massif rocheux comme pour les hasses-eaux",contourner
1920,S'éloigner à 150 ou 200m environ de la berge pour contourner un massif rocheux qui ne découvre jamais,contourner
1920,Contourner le banc de sable amont à 50 ou 60 m. et couper sur l'amont de B. Pak Ho pour passer à 25 ou 30m,contourner
1920,"Si les deux balises noires en amont sont couvertes, venir il R, (1. après avoir contourné le grand massif de roches aval des balises — Longer la berge(...)écheHe de Taphan contourner le massif de l'échelle — Longer la R. G. S'en écarter de 30 il 10111 au massif rocheux semé de Cockaies à l'aval du K",contourné
1920,"1), pour contourner un haut massif de roches qui prolonge la pointe de la crique — Ensuite, R",contourner
1920,"Contourner le grand rocher de ce rapide et ceux attenants à la beige au coude du Cong-Luong(...)E. jusqu'à Huon Hin. (11 Tous les massifs à contourne!' découvrent ou brisent à cette crue, (2) La ligne de navigation lorsqu'il y a 22 lU 'Jj à l'échelle de Taphan) s'eipbrancflc à ce point",contourner
1920,"Prendre le large (300,,, environ de la berger pour contourner un massif rocheux accolé à R. G, qui ne découvre jamais",contourner
1920,"contourner à 30 mètres environ, puis gouverner sur un second massif très haut également accolé à la berge (R. G.) en passer à 30 mètres environ (à 15 mètres des roches il y a bon tond où la passe à 40 mètres de large(...)",contourner
1920,"De la balise 124 se diriger sur l'entrée de la Sédone contourner la pointe à 40 mètres environ pour aller à l'accostage, PAKSÉ A BAN-KOUM",contourner
2005,"vient alors ""contourner"" le bloc du pivot. ➟ AR : -tirer après la prise de bloc, - rejouer avec le pivot en lachant la balle dans l'espace et non pas sur le pivot, - décaler le DC, - se replacer externe",contourner
2005,"Les 2 joueurs assis derrière la ligne médiane, l'animateur tient la balle à 2 mains, signal de l'animateur avec balle dans une main qui désigne l'attaquant, chacun contourne le plot de son côté, l'animateur transmet la balle à t'attaquant, le défenseur ferme l'angle de tir(...)médiane, l'animateurtient la balle à 2 mains, signal de l'animateur avec balle dans une main qui désigne le plot à contourner, l'attaquant doit franchir le plot avant d'être toucher, si OK l'animateur lui donne le ballon et tir(...)",contourne
2005,"b) Au 1 er top : se pousser en se tenant face à face par les épaules, au 2ème top se lâcher et contourner le plot opposé(...)1 er top : combat de coqs, au 2ème top se lâcher et contourner le plot opposé",contourner
2005,"aller contourner le 2ème : pour droitier (à inverser pour gaucher) de la droite vers la gauche appui zéro D puis G/D/G, de la gauche vers la droite appui zéro double appui et G/D/G(...)c) 1 balle chacun, 1 colonne centrale, lancer sa balle devant soi, la récupérer et après fixation sur un plot au centre en double appui attaquer du côté indiqué par le gardien de but, contourner le plot placé à 6m (dans le couloir de tennis) avec 3 appuis, ne déclencher qu'au dessus de la zone s'écarter, retarder et se(...)",contourner
2002,"Afin de contourner les freins de mobilité, de disponibilité et de proximité, elles doivent s'implanter notamment sur les lieux d'études et être ainsi en phase avec leurs emplois du temps et leur mode de vie",contourner
1890,"M""'« Hériot, ne parviendra jumuis à contourner, quelque habile qu'il soit en affaires de ce genre Mni9 c'est aussi pourquoi, celte grosse QLICSTION subira toutes les* foormes pratiquées(...)",contourner
1913,"tu vas partir d’ici et tu tâcheras de contourner le plus vaste espace qu’il te sera possible(...)Arrivé à l’extrémité du vaste champ qu’il voulait contourner, il vit, en re^ gardant au loin le clocher de l’église(...)",contourner
1913,"Si tu t’étais borné à contourner un champ plus modeste, tu serais arrivé à temps(...)De plus, comme dans le détour qu’il t’a fhllu faire, tu as entièrement contourné un autre petit *errain, sis de l’autre(...)",contourner
1944,"Mieux vaut essayer de le contourner, ce sera plus long, mais plus sûr Il repart Quelques coups de feu éclatent encore, de ci, de là",contourner
1903,"Après six reprises courageuses, mais vaines, lourds, la digestion difficile et l'œil mi-clos, Us se décident enfin à contourner fobstacle",contourner
1950,"Sinon, le contourner par la gauche, derrière l'arête, et remonter par une petite cheminée lisse où l'on se rétablit sur un bloc coincé (délicat(...)",contourner
1950,"Contourner versant Badet, sous une suite de lames détachées, surplombantes, mais solides, en évitant de s'engager à droite sur des rochers pourris, voie qui, a priori, semblerait plus évidente(...)Contourner un doigt croulant par le versant Estaragne",contourner
1950,"Attaquer à la base, remonter dans l'axe jusqu'à un surplomb noir, très délicat (46 degré supérieur) que l'on peut contourner par la droite par une escalade déficate, menant au-dessus d'un deuxième surplomb semblable au premier",contourner
1950,"Du sommet de Cap de Pales, descendre de suite la pente est et rejoindre le val des Prés par la Cabane en passant au pied d'un premier piton qu'on contourne par la droite",contourne
1950,"S'élever en écharpe vers la gauche, franchir ou contourner une croupe descendant de la crête et obliquer franchement vers le sud-est pour atteindre la brèche des Six Pics",contourner
1905,Il nous revient (lue ces jours-ci l'immense grillage qui doit contourner tout le parc a été déjà commandé et des(...),contourner
1896,"tu:bes contournés, qui' seront illuminés par les décharges l'apides et violentes de la bobine",contournés
1896,"La figure est encadrée de deux grosses tresses noires en poils de chameau, qui partent du front, pour contourner les oreilles, auxquelles pendent deuxgros anneaux qui pourraient servir de bracelet à une enfant",contourner
1923,"il faut contourner, à présent, le versant méridional de l'Ankarafantsika, qui court dans la direction de l'Est jusqu'à la rive gauche de la Manajamba, (1) Voir les a""s du Phare des 25 Février et 11 Mars 1922",contourner
1901,elle ne doit pas contourner la percussion et s'étendre au delà,contourner
1903,"Un texte de loi monstreux bâillonne la presse, la réduit au silence, rend dérisoire la prétendue liberté de l'écrivain, c'est ce que le public ignore et ce que tous les journalistes devraient lui faire connaître, car ce texte de loi permet à des filous, à des bandits, à des gens sans aveu, à toute la gamme des crapules, d'exploiter les bons citoyens ou de contourner la loi en ge cachant dans le fameux maquis de la procédure et sous le masque de l'hypocrisie",contourner
1929,"pu entendre la satisfaction générale , de voir l'Ethiopie munie des grands oiseaux d'acier , d'une puissance de plusieurs centaines de chevaux, pouvant louvoyer sur les plus hautes montagnes , contourner les(...)",contourner
1929,"E. S. E., j'ai songé à marcher vers le N. E. dans l'espoir de contourner le nuage vers Ankober(...)400 mètre et je tente la direction Ouest qui m'aurait conduit à Addis-Abeba. mais ce sont encoie des nouveaux nuages que j'essaie de contourner au Nord",contourner
1939,En effet la prise de Sarrebruck permettra aux troupes françatses de traverser la Sarre dans de biei meilleures conditions que si ces troupes devaient contourner la ville et passera travers des blockhaus de la ligne Siegfried,contourner
1953,"Contourner un petit contrefort et monter un couloir, éboulis et herbes, pour arriver à la 4 heures 50 : Brèche du Pourtet de Hèche (2485 B. ?), blocs énormes",contourner
1953,"Le 19 juillet, nos chasseurs se décidèrent à contourner la montagne et à l'attaquer par son versant méridional(...)",contourner
