year,sentence,key_word
1992,LE DINDON ETHNOZOOTECHNIE N° 49,dindon
1992,LE DINDON JOURNEE D'ETUDE DE LA SOCIETE D'ETHNOZOOTECHNIE 4 AVRIL 1992 MUSEUM NATIONAL D'HISTOIRE NATURELLE SOUS LA DIRECTION DE François POPLIN C SOCIETE D'ETHNOZOOTECHNIE 1992 - ISBN - 2-901081-33-0 Gravure de couverture in BARRAL et SAGNIER Dictionnaire d'Agriculture,dindon
1992,N° 49 LE DINDON 110F,dindon
1992,"SOMMAIRE F. POPLIN PANORAMA DU DINDON DU NOUVEAU MONDE A L'ANCIEN Sa place dans notre bestiaire 1 C. MOURER-CHAUVIRE ORIGINE ET EVOLUTION DES DINDONS 15 C(...)95 J. GOLDBERG ETHOLOGIE DU DINDON 103 B. DENIS RACES, ELEVAGE ET ALIMENTATION DU DINDON 107 COMPTINES, CONTE ET FABLE 125 INDEX DES AUTEURS 129",dindon
1992,"1 PANORAMA DU DINDON DU NOUVEAU MONDE A L'ANCIEN Sa place dans notre bestiaire François POPLIN Quand le 500e anniversaire de la découverte du Nouveau Monde a commencé à se manifester sur les écrans, sur les ondes et dans la presse, l'idée m'est venue que la Société d'Ethnozootechnie pourrait fêter l'évènement à sa manière en mettant à son programme de 1992 un animal venu de là-bas, de ces Indes que l'on s'évertue à nommer occidentales pour tâcher de dissiper une confusion née de leur rencontre(...)",dindon
1992,"Trois candidats étaient en lice, le Lama, le Cobaye et le Dindon(...)moins intégré à notre culture que le Dindon, dont la participation à la table festive, celle de Noël en particulier, marque au plus haut point combien il est bien reçu chez nous",dindon
1992,"alors que dans Dinde et Dindon, qui perçoit encore l'origine d'Inde(...)Dinde et dindon sont maintenant perçus comme des noms à part entière",dindon
1992,"Cette intégration réussie au point que l'on n'entend plus l'Inde dans le nom du Dindon est à l'origine d'une méprise qui mérite d'être rapportée ici parce qu'elle est exemplaire(...)Une nouvelle restauration, en 1936-1937, a surenchéri en remplaçant les renards par quatre nouveaux dindons",dindon
1992,"Pour apprécier la réussite d'une intégration telle que celle du Dindon, il convient de juger des dispositions naturelles(...)La découverte du Dindon et son introduction ne sont pas faciles à saisir, ceux qui les ont réalisées ayant rarement été des zoologistes(...)",dindon
1992,"Elles mettent en évidence que la diffusion a été large et rapide, comme avancé plus haut à propos de l'affaire de Schleswig, et elles font une claire analyse du jeu du Dindon et des autres grands oiseaux de consommation (Cygnes, Paon, etc.) dans le bestiaire de la table(...)L'histoire culturelle du Dindon est pour beaucoup une affaire de cuisine, du moins en France où cette activité brille au plus haut rang",dindon
1992,"La confusion de genre est manifeste, puisque Jules Renard, sous ""elle"", nous décrit le dindon (mâle(...)Ainsi se dessine un réseau de rapports où le Dindon apparaît comme l'animal second de ses devanciers dans notre culture",dindon
1992,Il s'agit du dindon à l'état de repos,dindon
1992,"Le dindon et la pintade sont en bonne place, et celle-ci suit celui-là comme dans Jules Renard(...)crèche (le Dindon fait-il partie des santons ?) et bien d'autres",dindon
1992,"La réponse d'ensemble pourrait être que le Dindon a été bien accueilli, qu'on lui a fait un peu de place en changeant le statut de certains autres grands oiseaux, comme le Paon (j'aimerais en savoir davantage à propos de la Grande outarde(...)celui de dindon aurait sans doute donné moins de représentations ""pour la bouche"" Sur les 28 animaux figurés vifs, bien peu se présentent véritablement comme des dindes",dindon
1992,"De manière générale, il traîne sur le dindon un discours du sauvage qui mérite de retenir l'attention(...)Que le dindon se trouve rapporté au sanglier peut sembler étonnant(...)",dindon
1992,"Le dindon, au contraire, peut s'en donner à coeur joie en toute liberté, presque de façon sauvage (7(...)Il faut remarquer que dinde et dindon sont utilisés pour dénommer les deux sexes : on mange de la dinde quel que soit son sexe et l'on parle de l'espèce dindon",dindon
1992,"dindon est son habitude fréquente de se pavaner et de faire la roue(...)Le Dindon et la Pintade, dans ce dispositif, se montrent comme faisant couple au même degré que le coq et la poule. (5) Il y signale lui-même cette évolution : ""Je regarde enfin les bêtes pour contrôler mes Histoires naturelles"" (26 août 1901(...)",dindon
1992,Place des Dindons par rapport à l'ensemble des Galliformes Pour mieux saisir la place qu'occupent les Dindons au sein des Galliformes il est nécessaire de rappeler ici quelques notions de systématique,dindons
1992,"Cailles de l'Ancien Monde, Perdrix, Faisans, Paons) dans tout l'Ancien Monde mais sont particulièrement nombreux et diversifiés en Asie du Sud-Est, les Numidinae (Pintades) sont limités à l'Afrique et les Meleagridinae (Dindons) se rencontrent seulement en Amérique du Nord et Amérique centrale",dindons
1992,"Dans ces gisements, datant du Pléistocène supérieur, on a trouvé une espèce éteinte de Dindon, Meleagris californica, de taille nettement inférieure à celle de M(...)comparable à celle de la forme actuelle M. ocellata, le Dindon ocellé",dindon
1992,"ocellata, le Dindon ocellé : - Meleagris gallopavo, le Dindon sauvage(...)Le Dindon ocellé Agriocharis ocellata (Cuvier. 1820) (Fig. 2) Il est le plus petit des deux espèces, les mâles dépassant rarement un mètre de longueur et leur poids étant d'environ cinq kilogrammes",dindon
1992,"D'une façon générale, le Dindon sauvage (Meleagris gallopavo) est un animal qui affectionne les forêts claires et qui. dans son aire de répartition méridionale, habitait jusqu'à 3000 m d'altitude (Grzimek, 1972-75(...)domestication du Dindon est difficile à faire à partir de la documentation disponible en France",dindon
1992,"28 Fig. 2 : Agriocharis ocellata , Dindon ocellé",dindon
1992,"30 Fig. 4 : Localités où les dindons étaient élevés en Mésoamérique au XVIème siècle (d'après Schorger, 1966",dindons
1992,"D'après lui, les premiers os de dindons domestiques apparaissent dans des couches datées de 180 av J.C(...)Ceci est le premier témoignage de dindon domestique dans la séquence de Tehuacan""1",dindons
1992,"Un corps desséché de dindon a été retrouvé et daté de 250 ap(...)J.C, il semblerait que les dindons étaient capturés et maintenus en enclos",dindon
1992,"36 Fig. 8 : Dindon fossile désséché trouvé en 1959, dans le site de Long-House, Mesa Verde National Park, Colorado, daté de 250 ap",dindon
1992,"III - UTILISATION ALIMENTAIRE DU DINDON Le dindon est la plus grosse volaille du continent américain, et à ce titre, il est normal qu'il ait été un gibier privilégié des occupants du Nouveau Monde(...)le Dindon dans l'économie alimentaire des peuples d'Amérique du Nord",dindon
1992,"38 Fig. 9 : Pionnier chasseur de dindons (Harper's Weekly, 1884, dans Schorger, 1966",dindons
1992,"Le Dindon, aliment des Indiens Il existe deux attitudes relatives à la consommation alimentaire du Dindon : certaines tribus le mangent de façon courante, d'autres refusent de le consommer pour diverses raisons(...)Le Dindon, aliment des pionniers européens Le Dindon a joué un rôle important dans l'économie des(...)",dindon
1992,"40 Fig. 10 : Tubes en os supposés avoir été utilisés comme appeau à dindons sauvages par les premiers indiens Pueblo (d'après Jeançon, 1923 dans Schorger, 1966(...)11 : Guerrier Minnetaree avec une coiffure en plumes de dindon (Charles Bodmer, in Schorger, 1966",dindons
1992,Le Dindon dans l'aire maya S'il existe de nombreux ouvrages sur la splendeur de la civilisation(...)Le Dindon dans l'aire aztèque Les sources rapportant la consommation du Dindon par les Aztèques sont beaucoup plus nombreuses,dindon
1992,"A ces occasions, le Dindon occupe une place d'honneur, et est présenté sous diverses formes : rôti, en pâté, ou encore accomodé avec du chili (Sahagun, 1582(...)En Amérique du Nord Les plumes de Dindon ont largement été employées par les Indiens d'Amérique du Nord pour confectionner des manteaux, des robes ou des couvertures (divers auteurs cités par Schorger, 1966(...)",dindon
1992,V - LE DINDON DANS L'ART ET LA PENSEE Peut-être plus encore(...)Le Dindon figure aussi dans l'art des Indiens d'Amérique du Nord sous forme de peinture ou de sculpture,dindon
