year,sentence,key_word
1922,"0' q#P dessus sera fyit de suite et sans divertir à tutr.. ciption, d cas que le testateur ne puisse signer l'acte de sus",divertir
1897,"jolie avec cela, vive, naturelle, primesautière et pleine d'imaginations charmantes pour divertir ses invités(...)divertir ""ses hôtes, je le sais bien(...)",divertir
1999,cultiver et vous divertir grâce à tous les moyens mis à disposi(...),divertir
1931,"il est simple : vous aider, Vous divertir, servir de trait d’union entre tous ceux qui, sans se connaître, exercent la même noble et utile profession : la Peinture(...)C’est ce qui explique la deuxième partie de notre programme : vous divertir",divertir
1904,"quand il pleut : quel que soit le temps, chacun prendra un vif plaisir à le feuilleter, à se divertir des types qu’il contient",divertir
1885,"Us s'approchent donc d'Aglaé, qui n'avait pas non plus l'air de se divertir prodigieusement, mais à laquelle , heureusement",divertir
1833,"que tout est bon à dire et à montrer La Bruyère criait aux romantiques de son époque : Il Il peut y avoir un ridicule si bas, si grossier, ou même si fade et indifférent, qû 'il n est ni permis aux poètes d'y faire attention, ni possible aux spectateurs de s'en divertir",divertir
1833,"Hartmann va bien nous divertir, dit Stolback à la comtesse(...)Il On se prépare à se bien divertir",divertir
1887,"C’est égal, ils ont une drôle de manière de se divertir en 1930. — Remarque la forme des bocks(...)",divertir
1917,"une insouciance honteuse de ce qui se passe, et surtout que je ne songe qu’à me divertir, comme avant(...)",divertir
1840,"Il existe, à Paris surtout, une foule de braves gens qui se donnentun mal infini pour se divertir pendant le carna val(...)mais voici la méthode qui est suivie le plus ordinairement pour bien se divertir dans ce temps de folie",divertir
1859,"Ainsi tous ceux qui s'y trouvent, S3 portant bien, sont en état de songer à se divertir(...)soit effectivement ou pour être longtemps belles ou du moins pour se divertir, car un des préceptes de ceux qui ordonnent ces bains est de bannir toute sorte de 'mélancolie, durant qu'on les prend, et de se réjouir autant qu'on peut",divertir
1928,"Il ne faut pas être bien vieux pour se rappeler les parties dé jeux qui faisaient des estaminets de l'Epeule les coins les plus recherchés pour se divertir à peu de frais, en bonne(...)",divertir
1903,"Il faut bien se divertir, S'payer un* bonn* parti' d'plaisir. , H Les calicots crâneurs, Les poches bien pleines, Délurés, cascadeurs(...)Il faut bien se divertir, S'payer un' bonn' parti' d'plaisir",divertir
1924,"Du moment que ce n'était pas pour une œuvre de bienfaisance, mais bien pour se divertir gaiement, les personnes sollicitées accueillirent fort bien la demande, et le Comité reçut la modeste somme de 12",divertir
1924,Ils daignent et désirent se divertir,divertir
1916,"Il s’indigne contre les familles qui font ripaille, contre les viveurs qui sont parvenus à se faire dispenser du service et ne songent qu’à se divertir",divertir
1833,On rire à divertir Satan dans son cratère(...),divertir
1925,Nous espérons qu'il continuera à divertir la-jeunesse,divertir
1864,"De plus, pour votre première page, sachez trouver le moyen de nous divertir",divertir
1966,"Se divertir est le contraire de travailler et pourtant l'attitude de l'homme dans ces deux occupations est la même(...)Se divertir et se reposer, c'est la même chose et pourtant l'attitude de l'homme dans(...)",divertir
1905,"excuser, soit pour vous divertir, Ne vous permettez pas la plus faible imposture. (MOREL DE VlNDÉ(...)",divertir
1893,"Chaque soir, le savant naturaliste se rendait dans sa cuisine pour se divertir avec ses amis à quatre pattes",divertir
1881,"Madame, lui dit-il, vous savez que les filles, et surtout les princesses, ont besoin de se divertir",divertir
1900,nous sommes dans un tems de carnaval: il est permis de se divertir(...),divertir
1917,"stSD POUR SE DIVERTIR Uu journal vient de publier le chiffre des recettes effectuées en 191s par les théâtres, cinémas, music-hall, cafés-concerts",divertir
1887,ils ont tous la disposition à s'amuser et à se divertir(...)Il faut peu de chose aux enfants pour se divertir : la liberté des mouvements et quelques(...),divertir
1901,"ques, publiées ici l'autre jour, ayant paru i divertir nos lecteurs, — ainsi que quel(...)",divertir
1944,"pas perdre de vue qu'après 10 ou 11 heures de présence à l'usine, u équipier i^anque d'entrain, même pour se divertir",divertir
1884,"Auteur dramatique Ce qui suit m'arriva la dernière semaine : Le récit que j'en fais, pourra vous divertir , En vous le dédiant j'espère qu'à ma peine Votre esprit bienveillant daignera compatir",divertir
1899,"Une Panthère de Java, comédie-vaudeville de MM. Montjoye et Charles de la Rounat avait commencé par nous fort divertir avec MM. Froger, Labrot, Leroux, M"" 1"" Louisa-Denise et Gabrielle Gérard comme interprètes",divertir
1867,"Conclusion philosophique : Autrefois, on faisait combattre les animaux, pour divertir les hommes(...)aujourd’hui, les gens d’esprit se combattent pour divertir les sots",divertir
1933,"Après le passage des projections et la critique immanquable, — j'allais dire impitoyable —, d(s épreuves, une présentation de cinéma d'amateur devait nous divertir pendant près d'une heure",divertir
1862,"3, Je dois aussi vous avertir Que je serai peu satirique, Voulant surtout vous divertir",divertir
1895,"uno des plus importantes qui aient jamais été publiée dans tout l’art caricatural do ce siècle, procurera quelques bons moments d’csclaffo- ment au public, et les caricaturés oux-mômesmeront les premiers à se divertir des étranges rapprochements imaginés par ce rieur aimable et cet excellent dessinateur",divertir
1902,"194, — Logogriphe Prendre sur soi, sept pieds — et six pieds, divertir",divertir
