year,sentence,key_word
1977,Est-ce le moment de décevoir ceux qui nous observent(...),décevoir
1957,"Pour tous ces hommes, pour leurs familles, il n'a pas été question de vacances, leur espoir c'est en nous qu'ils l'ont mis, nous ne pouvons le décevoir",décevoir
1916,"ITALIE : Le succès de M. Salandra à la Chambre italienne va profondément décevoir la presse allemande, dit le « Matin », et les effets des délibérations qui vont être conduites au Grand Conseil des Alliés, démontreront que ce sera en vain, désormais, qu’on escomptera la moindre fissure possible dans le bloc solide de la Quadruple-Entente",décevoir
1919,"Nous atteignons pourtant 20.000 francs. - Nous traversons des temps si durs, que ce chiffre, loin de nous décevoir, nous semble très 'encourageant",décevoir
1933,Un grand Américain disait : On peut décevoir une partie du peuple tout le temps(...)Mais on ne peut pas décevoir tout le peuple tout le temps,décevoir
1943,vous pour ne pas décevoir les immon- sos espéranocs que sa reconstitution a fait nuîtro,décevoir
1943,"Il n’tat pas question de bavardages sur la «révolution"" et le « socia'isme » en général, il s’agit de ne pas décevoir les espoirs de ceux qui combattent, de ceux qui tombent",décevoir
1930,"Ils ont des ambitions aussi larges*., que leurs espérances* îonons soin do no décevoir ni los unes, ni los autros",décevoir
1964,Le Secours Populaire ne doit pas décevoir,décevoir
1925,Ce serait les décevoir que de ne pas leur(...),décevoir
1954,Peur de décevoir... les familles qui nous ont abandonné un peu de leur autorité et de leur responsabilité(...)Peur de décevoir... les dirigeants qui œuvrent avec nous(...)Peur de décevoir... l'Union comtoise et la Fédération auxquelles nous avons l'honneur d'appartenir,décevoir
1944,"Ce fut aussi le point de départ d’un large rassemblement qui devait faire naître de vastes espoirs, apporter d’importantes réalisations sociales en 1939 et décevoir ensuite ceux qui en furent ses partisans les plus désintéressés(...)Comme l’a dil notre camarade Albert Gazier dans le débat sur la Constitution, à Alger, il faut au pays, pour ne pas décevoir le peuple de France : 1° Une véritable démocratie politique basée sur la volonté populaire(...)",décevoir
1800,C'est vainement que l'art prétend nous décevoir : Ce qu'on doit à son imposture Ne fait que mieux appercevoir Ce qu'a refusé(...),décevoir
1937,"Si son Cabinet est ian*me sur les projets qui vont être 1.1ne flS Il peut très bien décevoir encore llne fois les espérances de ses adversaires, et cer un degré de confiance susceptiéVent(...)Avec un cabinet qui forme bloc derrière lui, il pourrait bien à nouveau décevoir les espoirs de ses adversaires et rétablir une confiance suffisante pour délier la bourse de ceux qui peuvent prêter",décevoir
1942,il ne doit pas décevoir son attente,décevoir
1944,La jeunesse héroïque qui a repris te» artmes attend beaucoup dé ses maîtres : veillons à ne pas tes décevoir,décevoir
1899,"le pren 1 er soin de M. do Freycinet a été Je « décevoir Gambetta(...)décevoir » maintenant, il le fit do main de maître",décevoir
1899,"Que M. Du- puy tombe, un de ces matins et vous verrez les naïfs dos deux côtés réclamer la succession pour M. de Freycinet, chacun des deux partis restant convaincu qu’il ne la prendra que pour « décevoir » le parti opposé(...)Son habitude, en pareil cas, est de «décevoir» les deux à la fois",décevoir
