year,sentence,key_word
1884,"En u(n mot, l'épidémie statuesque allant toujours grandissant, un' jour* viendra où les personnes du sexe, désagréablement frappées plar toutes ces figures grotesques, ne manqueront pas d'enfanter d'affreux moutards qui n'auront certainement pas, grand'chose de la beauté proverbiale des anciens Grecs",enfanter
1910,de subtilités métaphysiques qui n'ont servi qu'à faire enfanter d'énormes volumes et qu'à dégoûter le jugement,enfanter
1916,"Tuileries, il y a quelques mois, fêté tour à tour les Anglais et les Belges, mais c'est aux Serbes que sont allées hier nos plus chaleureuses acclamations, car à l'heure décisive où la victoire change de camp, ils représentent à un dégré inégalé tout ce qu'un peuple aussi petit mais aussi grand, peut enfanter de courage et d'héroïsme",enfanter
1914,"Chez les Maîtres la patience et la fougue sont également propres à enfanter de grandes choses : l'une opère en emportant les hommes et violentant les choses, l'autre en lassant les uns et les auties, en les subjuguant à l'aide du temps et de l'occasion",enfanter
1864,"Ses engins et les vôtres peuvent, en s'associant, enfanter des produits dignes des snffrages de tous, depuis la Loge infernale jusqu'au Paradis",enfanter
1903,"On a toujours vu les serpents enfanter des serpents, les taupes enfanter des taupes, la pourriture enfanter la pourriture",enfanter
1880,"Qui croirait que la sublime religion du fils de Marie, a pu servir à enfanter des religions comme celle de ces moines(...)",enfanter
1862,"Même sans qu'on puisse y songer, Peut enfanter Lamartine Ou bien un nouveau Béranger. (bis(...)",enfanter
1835,"Les évènemens merveilleux de notre siècle qui se heurtent et se pressent, ne permettent pas à la poésie d'enfanter des oeuvres de longue haleine",enfanter
1907,"appliqué à de plus nobles sujets que la charcuterie et autres phssetemps de gueule, aurait chance d'enfanter de grandes choses et de grands citoyens, le jour où les cambrésiens s'aviseraient de s'élancer hors de leur domaine de contemplation intérieure(...)",enfanter
1907,"Combien un tel éclat d'àme, appliqué à de plus nobles sujets que la charcuterie et autres phssetemps de gueule, aurait chance d'enfanter de grandes choses et de grands citoyens, le jour où les cambrésiens s'aviseraient de s'élancer hors de leur domaine de contemplation intérieure(...)",enfanter
1888,"La femme est un être transitoire destiné à enfanter... elle a été créée pour donner à l’enfant la chair, comme l’homme a été créé pour lui donner l’esprit",enfanter
1840,"C'était bien la peine de vivre douze mois pour enfanter tant de misères Allons, toi, son successeur, prends garde",enfanter
1863,"Voilà pourtant quels graves désordres chronologiques peut enfanter une transposition de chiffrés, excusable, après tout, quand on sait avec quelle rapidité se confectionnent les journaux",enfanter
1917,"Il fallait étouffer les manœuvres hostiles, Enfanter le progrès fût-ce dans la douleur, Et, sous la botte russe écrasant les reptiles, Broyer les conseillers de proie et de malheur(...)",enfanter
1857,"frappés de la justesse de nos appréciations, et se mettront bientôt à l'oeuvre pour enfanter une de ces productions gigantesques et terribles du même genre qui ne laissera rien à désirer sous le rapport des crimes et des châtiments effroyables",enfanter
1857,"à enfanter un roman en dix-huit volumes, ou un drame en autant de tableaux",enfanter
1916,"N’avons-nous pas dit, récemment, à la suite de critiques qui nous étaient parvenues sur un de nos arti- j des : « nous devons enfanter des(...)Nous devons donc, de notre côté, enfanter % des géants,pour combattre les athlètes de von der Gollz",enfanter
1823,"Désespérée de la mort de son époux, indignée contre son assassin , Eudoxie, dans sa fureur , invoque la Nuit, et la supplie"" de lui enfanter \\n vengeur(...)malheur, Ne peux-tu dans ton ombre enfanter un vengeur(...)",enfanter
1900,"L'action nous présente le magicien Zametti à la recherche de la création de l'être parfait et dont les travaux n'aboutissent qu'à enfanter un monstre, repoussoir de l'humanité",enfanter
1869,"Puis la nourriture divine Peut enfanter un Béranger, Donner un fécond Lamartine(...)",enfanter
1823,"peuples modernes , nous verrons les belles provinces du midi de la France enfanter des ménestrels et des troubadours qui cliantaient la gloire et la beauté, plutôt que les charmes de la terre natale et les plaisirs de la vie champêtre",enfanter
1823,"On dirait que l'esprit humain, comme le cerveau, de Jupiter, ne peut enfanter qu'avec violence",enfanter
1899,"sublime que seul peut enfanter le cerveau d'un poète et reflet vibrant de toutes les âmes Françaises(...)j'eusse préféré'comme bien"""" d'autres que notre vaillant chef eut laissé l'armée en dehors du débat, qu'il ne se fut fié qu'à ses Ligueurs et à Paris, toujours prêt à saluer les nobles pensées et à enfanter des actes d'héroïsme(...)",enfanter
1872,"désordres que pouvait enfanter dans son cerveau son imagination enfantine :: il tirait la queue du chien, jetait le chat dans le feu, léchait lés- pots de confiture et faisait une guerre en règle aux provisions",enfanter
1924,"Notre concitoyen Daniel Auschitzky, bien connu en littérature sous son pseudonyme de : Guy de Pierrefeux, a réuni en lui seul ces trois personnes lorsqu'il produisit une oeuvre qu'il était seul capable d'enfanter, car i 1 y fallait une imagination fertile, une plume alerte, une connaissance approfondie des usages Iocau* et et des moeurs de ses habitants",enfanter
1898,"Car:Te cérveiau de Panadère,. activé par Pair plus : > vif, venait d'enfanter: (pourquoi Lui et pas Elle!)vurr projet miinfitiue,, mistigrisànt, mirobolant(...)",enfanter
1908,"Suivant le 1 récepte biblique, les hommes devraient travailler à la sueur de leur front et les femmes enfanter dans la douleur(...)Malheureusement, beaucoup d’hommes ne font rien et le sort d’une multitude de femmes qui continuent à enfanter dans la douleur, est de peiner durement",enfanter
1870,"Paz n’a jamais élevé la prétention d’enfanter des génies par le gymnase, quand il est prouvé que le baccalauréat n’en enfante même pas",enfanter
