year,sentence,key_word
1863,que penseraient-ils de cette escapade(...),escapade
1913,"000 3 Escapade 5 Gaillard 2.500 6 Espoir-Nouveau 1.000 7 Erentia 2.000 8(...)Escapade, 2.600(...)Escapade, 2.600",escapade
1913,"Jalon et Joli- Diamant semblent barrés par Hortensia, qui trouvera des adversaires peut-être plus sérieux en Escapade et surtout en Gaillard, si le cheval est encore à même de fournir ses vitesses de la Métropole(...)Simian, Froger et Holden ont rétrocédé à M. A. Holden, de Bqpfarik, la jument de demi-sang Escapade, noire, Agée, par Uncle-Sam el Nacelle",escapade
1913,"Escapade, qui trotte fort, commet une grosse faute à quelques mètres du dernier tournant(...)Escapade, qui avait fourni une course admirable,suivait Carillon II à une quinzaine de longueurs",escapade
1897,"A mesure que le dîner s’avançait, je me prenais à plaindre ce pauvre petit prince, dont les yeux flambaient et qui allait être obligé de s’en aller tristement, car l’aaistère maréchal n’aurait pas toléré la moindre escapade",escapade
1897,"minutieusement l'emploi du temps des nobles voyageurs, racontait à mots couverts l’escapade du prince, l’arrivée tardive du maréchal, promettait l’exposition de la photographie ainsi que celle de Diane et annonçait le départ pour Le Havre par l’express de huit heures du matin",escapade
1882,"Cette petite escapade lui était déjà arrivé au mois d’avril rue Saint-Benoît, qui a dû en être scandalisé",escapade
1863,Un mauvais point de plus à l'élève Dorante pour cette escapade poétique(...),escapade
1904,"11 ^ ENTRE COUR ET JARDIN PALAIS-ROYAL : L'Escapade, comédie en trois actes de M. Georges Berr(...)Ce projet une fois arrêté, César prémédite une escapade",escapade
1903,Sommaire : Chronique de Paris (Jean de Gaili.ox)- — Notes d'actualité : Les Revenants (René GitouaÉ). — Contes du Dimanche : L’Escapade (Gaukieu(...),escapade
1903,en 4 0ine page : L’Escapade f par Gabrielle Cavellier,escapade
1903,"mais il paraît possible que dans un temps donné, nos savants manient le fluide de la volonté humaine aussi facilement qu’ils manient aujourd’hui la foudre, et que les enfants des écoles primaires étudient la théorie des fantômes comme ils apprennent à cette heure celle de cet autre mystère qu’on appelle la photographie, «ROUO* CONTES DU DIMANCHE L'escapade Ce dimanchc-là, comme midi sonnaient à toutes les horloge* de la Charité-sur-Indre, Gobillot et Pitanchard, fusiliers à la",escapade
1991,"Enfin cette petite escapade loin de la grande ville et de ses angoisses nous a incités, nous résidents,à nous rapprocher les uns des autres",escapade
1991,"Rien ne manqua à l'agrément de notre escapade, pas même l'attente d'une comtesse(...)",escapade
1895,"dont les yeux flambaient et qui allait être obligé de s'en aller tristement, car l'austère maréchal n'aurait pà^ toléré la moindre escapade",escapade
1895,"Le lendemain, le Quotidien Illustré rendait compte de l'arrivée à Paris du jeune prince de Carinthie voyageant avec son précepteur a dans le plus strict incognito », donnait minutieusement l'emploi du temps des nobles voyageurs, racontait à mots couverts l'escapade du prince(...)",escapade
1922,"La Folle Escapade est une pièce charmante, qui a obtenu à Toulouse un énorme succès, ce qui n’a rien de surprenant(...)Une ingénieuse mise en scène due à notre régisseur très expérimenté, M. Azéma, assure à La Folle Escapade un cadre séduisant et parfaitement adapté",escapade
1895,"Le pari mutuel n’a fonctionné que dans la première course, où Escapade a rapporté 13 fr(...)400 mètres, cinq inscrits, trois partants : 1 er , Escapade, 4/6, à M. L. Léglise (Ribes(...)",escapade
1875,"Escapade a pris cinq longueurs d’avance sur Gribowski, second, Margote venait ensuite à deux longueurs(...)entre les deux derniers tournants, Escapade était battue et Margote devenait seconde à une longueur de Gribowski qui conservait(...)",escapade
1912,L’ESCAPADE Arlette,escapade
1912,Mais je serais encor plus content si L’ESCAPADE il Je n’avais pas quitté mon bonnet(...),escapade
1912,"d’une heure L’ESCAPADE A vous livrer ces choux et ces gâteaux au beurre, Parce que, grâce encore à cela, revenant Noir comme le petit ramoneur ramonant, Mon patron va me mettre aussitôt à la porte",escapade
1931,"3e 150 Escapade, j. bb., 5 ans Jacques Escarra F. de Rovira. jt(...)Escapade, j. bb., 5 ans Jacques Escarra F. de Rovira. .je 250 P' b , L P 't ille v J 1 0 f) 250 Poupée, j",escapade
1931,Roger de La Croix J. Jonquères d'Oriola. pf 6 300 Escapade,escapade
1931,"Escapade, 5 ans, bb., Jacques Escarra de Rovira. =je 850",escapade
1931,"Escapade, 5 ans, h. bb(...)PUISSANCE CIVILE MM. MM. 1er i 350 f Poupée, j. b Paul de La Croix Mlle de La Croix. ex-fflq. , 350 + 400 Escapade, j",escapade
1884,"Et pour cette magnifique escapade,l'Église en a fait une sainte et une vierge i Une sainte, passe encore",escapade
1895,"Escapade arrive première au poteau, après avoir meDé le train de bout A bout, et aux applaudissements de la foule qui fait une longue ovation au sympathique jockey Kibes qui le pilotait(...)Placée : Escapade, 12 lr., Hernani 16 fr.j Isère 13 lr",escapade
