year,sentence,key_word
1911,"207 Fagot(...)204 Blanchier 196 Divers 3 MM. Guillier, Vaguat) Jénouvrier, Gravin, Couyba, Catalogne, Fagot et Blanchier, ayant obtenu la majorité absolue des suffrages exprimés, sont",fagot
1911,Fagot,fagot
1906,Fagot (Georges Clémbncsau(...),fagot
1906,"1 :58 \5» : ,: 1 L'EGLAT DE RIRE ,,' JACQUES FAGOT ';' La maison de Jacques Fagot était la plus vieille bâtisse du village vendéen",fagot
1906,"Jeanne Fagot, qui fut renommée au temps de mon grand-père sous le joli nom de Fleur de froment, est maintenant déplorable à voir(...)Le miracle est que Jacques Fagot croit finir quelque chose qui n'a pas commencé",fagot
1906,Jacques Fagot ne dit(...)Jacques Fagot passa,fagot
1840,"ces fagots deviendraient entre nos mains des chai bons ar- dens, et pourraient être, à notre dam, taxés d’incen diaires(...)Ces deux fagots se ressemblent en plus d’un point, en cela surtout que tous les deux sont le contraire de la vé r ité",fagots
1910,"190 — MM. Guillier, Jénouvrier, Vagnat, Gravin, Catalogne, Fagot, Couyba et Blanchier, ayant obtenu la majorité absolue des suffrages exprimés, sont proclamés secrétaires du Sénat pour l'année 1910(...)Secrétaires : MM. Guillier, Jénouvrier, Vagnat, Gravin, Catalogne, Fagot, Couyba et Blanchier",fagot
1902,Àrtiqle 3 Les cou de balai qu'on donne vulgairemen dan la cheminé son pas des fagot d'épine(...)Articles 5 Les père sonne qui nen naurait pas trouveron des fago d'épine très bon pour le ramonage ché moi a 3 sou le fago,fagot
1902,Artiqle 3 Les cou de balai qu'on donne vulgairemen dan la cheminé son pas des fagot d'épine(...)Articles 5 Les père sonne qui nen naurait pas trouveron des fago d'épine très bon pour le ramonage ché moi a 3 sou le fago,fagot
1902,Artiqle 3 Les cou de balai qu'on donne vulgairemen dan la cheminé son pas des fagot d'épine(...)Articles 5 Les père sonne qui nen naurait pas trouveron des fago d'épine très bon pour le ramonage ché moi a 3 sou le fago,fagot
1917,"COURRÉGELONGUE, VERMOREL, Oit ^NËL' Juleq I)EVELLEI, i)p, LAS'CASES, FAGOT, GOMOT, SEIIVANT, T , DEVELLB, DE LAS CASES, FAGOT, GOMOT, SERVANT(...)",fagot
1907,"saisit le fagot pour le mettre sur son dos(...)A sa granue stupéfaction, le fagot s'enleva tout seul",fagot
1907,"LES BELLES IMAGES 7 LE FAGOT ENCHANTÉ (Fin) Il rentra vivement chez lui et ferma la porte(...)A ces mots, le fagot s’enleva soudain dans les airs et conduisit Jacques dans un endroit de la forêt où l’herbe était remplacée par de beaux légumes, et où les arbres portaient des fruits(...)",fagot
1913,"elle trame un fagot voisin, monte sur lui, et ses doigts trop maigres restent trop bas(...)Les gamins gambadent et se moquent.-' La pauvre aïeule se laisse tomber sur le fagot de bois mort, et les -coudes aux genoux, le visage dans ses mains, se meta pleurer",fagot
1913,"Tous deux émus, un peu maladroits, portent le fagot devant l'àtre",fagot
1899,"41 — Avenue Rapp, 25. — M. L. FAGOT, architecte",fagot
1899,"Rue Sédillol, 5. — M. FAGOT, architecte",fagot
1892,"entre Ducrocq et Fagot des conventions synallagmatiques aux termes desquelles Fagot prenait emploi dans la maison de Ducrocq, à des conditions déterminées et pour une durée de 5 années(...)",fagot
1892,"qu'il échet, par suite, d'admettre Fagot au passif de la faillitte pour la somme de 4,733 fr",fagot
1892,"PAR CES MOTIFS, Déclare Fagot mai fondé en sa demande en admission par privilège, l'en déboute(...)Déclare Fagot mal fondé en le surplus de sa demande, l(...)",fagot
1892,Sur l'indemnité réclamée pour rupture du contrat : Adoptant les motifs des premiers juges : Et considérant que Fagot justifie qu'il avait quitté un emploi avantageux pour s'engager avec la maison Ducrocq(...),fagot
1909,"000 fr. à Fagot, le 10 juin 1899, une série d'escomptes de valeurs de(...)Atlendu qu'il a bien existé un traité entre Carde et Fagot, aux termes duquel Carde promettait de souscrire 2.500 actions de la société Aux Dames de France, alors en formation, à condition qu'il exécuterait, comme entrepreneur général, un milion de travaux(...)",fagot
1909,"Ire PARTIE. — JURISPRUDENCE 389 jamais n'a fait sien le traité Fagot(...)qu'il n'y a pas lieu d'ajouter au premier de ces éléments les 2,500 francs de la commission versée par Fagot au courtier d'Escures pour(...)",fagot
1909,"Attendu que Fagot a été en réalité l'unique fondateur de la société Aux Dames de France(...)que c'est Fagot qui, après avoir pris lm-même_ ce titre de fondateur, a accompli toutes les démarches e fait, tous les actes qui s'y rattachaient",fagot
1909,"Attendu, sans doute que, par lettre du 29 mai 1899, ils avaient accepté en principe d'être administrateurs statutaires se fiant aux indications générales que leur avait données Fagot spécialement sur l'organisation financière de l'entreprise(...)Attendu qu'ils allaient plus loin et que, par lettres à Fagot des 27 et 28 juin 1890, ils déclinaient,-non moins expressément, toute candidature aux fonctions d'administrateur, basant leur refus précisément sur l'existence de souscriptions irrégulières et sur(...)",fagot
1909,"cinquième grief dirigé contre les administrateurs et plus spécialement contre Fagot lui-même consiste dans Je l'ait d'avoir opéré ou toléré des achats excessifs de marchandises soit avant, soit après l'ouverture des magasins, dans la période de février à juillet 1901(...)que, vainement, Fagot a cherché à se décharger sur certains chefs de rayon qui auraient, d'après lui, outrepassé ses instructions, mais que certains faits isolés ne dégagent pas sa responsabilité",fagot
1909,"Attendu que Fagot ne cessa de protester et de résister aux injonctions du conseil(...)que celle de Fagot, relative aux achats exagérés de marchandises, a été couverte au moins implicitement, en tout cas d'une manière non douteuse, par les actionnaires(...)",fagot
1909,"que l'appel de Fagot doit être, au contraire, admis(...)taisant droit à l'appel de Fagot, réforme Ken ce qui le concerne(...)",fagot
1909,"Attendu qu'il n'est pas douteux que la période de formation et d'organisation de la société n'ait été difficile et laborieuse : que, malgré la publicité qui avait été prodiguée et les multiples démarches de Fagot, fondateur, et des personnes qui l'avaient assisté(...)En ce qui touche Villedary : Attendu que Fagot, en sa qualité de fondateur, avait passé avec lui un traité portant la date apparenie du 5 mars 1899, aux termes duquel, moyennant une rétribution forfaitaire de 60",fagot
1909,"protestations de la part de Fagot, et qu'on peut dès lors à bon droit les considérer comme l'expression de la vérité par le rapprochement même des circonstances où elles se sont produites(...)Attendu qu'on voit précisément Fagot verser le 20 juin 48.500 francs à M0 Castéja, couvrant ainsi, non seulement le premier versement incombant à Villedary, mais encore lui incombant à lui-même et au-delà, ce qui semble bien confirmer les indications de la notification Muller",fagot
1909,"I*' PARTIE. — JURISPRUDENCE 385 de la cession de leurs baux, aurait été augmentée de 50.000 francs par convention nouvelle avec Fagot du 8 juillet suivant, et cela uniquement par complaisance et pour les rémunérer d'une souscription supplémentaire de 1(...)que, sans doute, la Société Aux Dames de France a. remboursé à la Société Bordelaise les 65.000 francs que celle-ci avait prêtés à Maubourguet et Maisonneuve pour leur souscription, d'ailleurs sans intervention prouvée de Fagot ou de la société",fagot
1909,"se proposait d'occuper, et que, suivant traité du 2juin 1899, Fagot, toujours en sa qualité de fondateur, lui avait promis une indemnité de 50(...)mais qu'il n'en est pas moins vrai que, de concert avec le fondateur Fagot, il a fait une souscription que l'un et l'autre savaient pertinemment, dès le jour où elle était faite, ne pouvoir être couverte",fagot
1909,"que l'on conçoit que Fagot, et aussi d'autres administrateurs, se soient(...)que c'est Fagot qui a versé pour lui la somme nécessaire, ainsi qu'il résulte de la lettre de celui-ci du l6r décembre 1902 et qu'il a libéré les autres quarts, ce qui, d'ailleurs, était licite, par compensation avec dés honoraires d'architecte",fagot
1908,"proposition du directeur Fagot, fixait à 850(...)Attendu que Fagot émit alors l'opinion que la dépense engagée serait couverte par le montant des ventes, sans recourir à aucun capital",fagot
1908,"Attendu que les achats inconsidérés qui ont précipité cette suprême mesure sont Jm pu tables à Fagot, qui, jusqu'à l'assemblée du 23 juillet, exerçait ses fondions comme directeur-administrateur statutaire, et a constamment lutté pour s'affranchir de(...)que, vainement, Fagot a cherché à se décharger sur certains chefs de rayons qui auraient, d'après lui, outrepassé ses instructions, mais que certains faits isolés ne dégagent pas sa responsabilité",fagot
1908,"Attendu que Fagot ne cessa de protester el de résister aux injonctions du conseil(...)Attendu que l'acceptation de la démission de Fagot, dans les termes et dans les conditions qui viennent d'être(...)",fagot
1908,"mais qu'un incident de procédure, dû à une tierce opposition des sieurs Fousset, Lacroix, Fagot, retarda l'adjudication",fagot
1908,"que celle de Fagot, relative auxachais exagérés de marchandises, a été Couverte au moins implicitement, en tout cas d'une manière non douteuse, par les actionnaires(...)qu'elle se trouve éteinte par les mêmes molifs spécialement au regard de Fagot par la décharge donnée à ce dernier, les créanciers ne pouvant agir(...)",fagot
1908,"453 timés sur appel de Fagot, tels que le groupe Destribois, Colson ou autres représenté par Me Maze, le groupe Robert Collongues et autres représenté par Me Labourdetle, le groupe Mondet représenté par M0 Blay, s'en remettent à justice, sauf que ces derniers demandent confirmation du jugement contre Fagot",fagot
1908,"Fagot, Société anonyme Aux Dames de France,. Négrié, Quintin et autres c",fagot
1908,"2° appel incident'des mêmes, tendant à faire déclarer Fagot, fondateur et ancien administrateur, solidairement responsable, non seulement des fautes de gestion, comme l'a décidé le tribunal, mais encore de toutes les autres relevées par les liquidateurs, et notamment aussi des vices de constitution qui ont pu affecter la Société(...)3° appel principal de Fagot, tenr dant à le faire décharger de toutes condamnations et intimant toutes autres parties et spécialement(...)",fagot
1908,"que, malgré la publicité qui avait été prodiguée- el les multiples démarches de Fagot,, fondateur, et des personnes qui l'avaient(...)",fagot
1908,"même de Villedary et de Fagot, à compléter la souscription des actions de la Société Aux Dames de France' el qu'elle a servi à payer le premier quart d'un certain nombre d'actions souscrites soit par Villedary, soit par Fagot lui-même, soit enfin par d'autres souscripteurs",fagot
1908,"Attendu que les significations précilées ont été reçues sans protestations dé la part de Fagot, et qu'on peut dès lors à bon droit les considérer comme l'expression de la vérité par le rapprochement même des-circonstances où elles se sont produites(...)Attendu qu'on voit précisément Fagot verser le 20 juin 48.500 francs à Me Castéja, couvrant ainsi, non ""seulement le premier versement incombante Villedary, mais encore lui incombant",fagot
1908,"Société bordelaise les 65.000 francs que celle-ci avait prêtés à Maubourguet el Maisonneuve pour leur souscription, d'ailleurs sans intervention prouvée de Fagot ou de la Société^mais, que ce remboursement apparaît ici comme normal(...)",fagot
1908,"Eh ce qui touche Deville: Attendu que sa situation était semblable à celle de Maubourguet et Cie, qu'il était, comme eux, locataire d'immeubles que la Société en formation se proposait d'occuper, et que, suivant traité du 2 juin 1899, Fagot, toujours en sa qualité de fondateur, lui avait promis(...)",fagot
1908,"que l'on conçoit que Fagot, et aussi d'autres administrateurs, se soient employés pour faire rétrocéder les aclions Deville, afin de parer à cette insolvabilité, dans l'intérêt de la Société sans, d'ailleurs, qu'il en résulte aucun engagement de celle-ci vis-à-vis de Deville",fagot
1908,"que c'est Fagot qui a versé pour lui la somme nécessaire, ainsi qu'il résulte de la lettre de celui-ci du 1er décembre 1902 et qu'il alibéré'les autres quarts, ce qui(...)Attendu que le versement du premier quart, ainsi effectué-à sa- décharge par Fagot, n'était pas non plus illicite en soi, et'qu'on n'en peut conclure la fictivité de cette souscription parce qu'il n'est pas établi que ledit Fagot y ail consacré des fonds de l'emprunt Villedary, comme l'allèguent les appelants",fagot
1908,"qu'ils produisent, pour en justifier, une note du IivredecaissedeBussyénumérantjàla suiled'un versement en numéraire de 2.000 francs à Fagot, le 10 juin 1899, une série d'escomptes de valeurs de cette dale au 15 février 1900(...)que, seulement, si on rapproche celle note du reçu délivré à Bussy par Fagot, le 14 juin 1899 et reproduit dans le mémoire des liquidateurs, on en peut conclure que ce dernier avait pu avancer le montant en espèces desdites valeurs qui leur étaient personnellement remises(...)",fagot
1908,"Attendu qu'il a bien existé un traité entre Carde et Fagot, aux termes duquel Carde promettait, de souscrire 2.500 aclions de la Société Aux Dames de France, alors en formation, à condition qu'il exécuterait, comme entrepreneur(...)que ladite stipulation n'était pas opposable à la Société, qui jamais n'a fait sien le traité Fagot",fagot
1908,lieu d'ajouter au premier de ces éléments les 2.500 francs de la commission versée par Fagot au courtier d'Escures pour l'emprunt Muller,fagot
1908,"Atlendu que Fagot a été en réalité l'unique fondateur de la Société(...)que c'est Fagot qui, après avoir pris lui-même ce titre de fondateur, a accompli toutes las démarches et fait tous les actes qui s'y rattachaient",fagot
1908,"Attendu qu'ils allaient plus loin et que, par lettres à Fagot des 27 et 28 juin 1899, ils déclinaient, non moins expressément, toute candidature aux fonctions d'administrateur, basant leur refus précisément sur l'existence de souscriptions irrégulières et sur des changements apportés au plan financier(...)que c'est bien le sens qu'il leur faut reconnaître, si on se réfère à là déclaration de Fagot à(...)",fagot
1908,"Attendu que Labrouché, Félix Labat et Brière ont au conlraire accepté avec Fagot les fonctions de premiers administrateurs à l'assemblée générale(...)Attendu que cet abandon de toute action vis^à-vis d'eux est absolu et qu'il profite à Fagot lui-même, en raison de la solidarité légale qui l'unit sur ce point aux autres administrateurs",fagot
