year,sentence,key_word
1882,"frein à air comprimé, le frein à vide, le frein à chaîne-, le frein électrique sont successivement soumis a l'expérience, et tantôt rejetés, tantôt adoptés définitivement",frein
1882,Frein continu à double conduite. — Le système de frein continu(...),frein
1882,"il est absolument maître de son frein, et sent dans sa main l'intensité del'action qu'il produit(...)18-16, représente l'installation du frein sur le train d'un véhicule",frein
1882,"42780 Un deuxième fourgon, avec frein à vis, non muni dufrein continu, du poids de 6600 Le poids total inactif était de(...)ESSAI BU FREIN A AIR COMPRIMÉ WENGER, ENTRE PARIS ET BRÉTIGNY, LE 17 NOVEMBRE 1881",frein
1882,"Frein continu à une seule conduite. .-—- Le frein Wenger, tel que nous venons de le décrire(...)frein, faisant office de réservoirs secondaires, se fait par la même cond",frein
1925,"quant au frein de sécurité, il est tombé, sans pouvoir ralentir(...)il a freiné trop tai(! ; la machine n'avait pas de limiteur de vitesse à l'arrivée aux recettes (du moins, le dispositif de Fives-Lille à force centrifuge et à came comprimant le ressort du(...)",frein
1925,"Il convient d'avoir des freins puissants et bien réglés(...)nécessaire de calculer le frein de telle sorte qu'il puisse résister au moins au moment statique de la cage chargée descendante et de la cage vide montante en tout point du puits, mais le coefficient de frottement pendant le mouvement est variable avec l'état des surfaces en contact, et le coefficient do sécurité admis dépend des constructeurIl varie le plus souvent entre 1 et 1,5",freins
1925,"le contrepoids du frein de sécurité met un temps appréciable à franchir les quelques centimètres qui lui sont nécessaires pour appliquer les .sabots sur la jante, d'autant plus qu'il ne tombe pas en chute libre et que le plus souvent, un dash-potou l'air comprimé (reine sa course afin de diminuer la brusquerie d'action. Finalement la pression totale de freinage n'est exercée par le frein de sécurité que deux ou trois secondes après l'apparition(...)",frein
1925,"Or,la rapidité d'action du frein de sécurité est déjà le plus souvent modérée par un dashpot ou par le laminage de l'air comprimé qui le soutenait(...)La Sous-Commission des machines d'extraction a du reste sagement décidé qu' « en aucun cas, le couple du moteur ne sera en opposition avec le couple de freinage du frein de sécurité(...)",frein
1925,"Cependant on est naturellement porté à utiliser le contre-courant avec le moteur asynchrone pour éviter l'usure des sabots de frein, pour avoir une marche plus souple et un freinage plus régulier et tout aussi puissant(...)d'autre part, une usure prématurée des sabots peut dérégler les freins",frein
1925,Ce dispositif très simple est constitué simplement par un circuit relais à 40 v. qui actionne un interrupteur dans le circuit de l'électro-aimant du frein de sécurité(...)ce circuit provoque la chute du frein de sécurité,frein
1925,"Maintien de la commande directe des freins de service et de sécurité par l'air comprimé, par l'action directe du levier de frein ou de l'armature de l'électro-aimant du frein de sécurité sur les soupapes d'admission et d'échappement de l'air comprimé",freins
1925,"LÊVÈQUE 544 Seconde tendance. — Réduction de la commande par air comprimé au strict minimum, savoir: le serrage du frein de service et le relevage du frein de sécurité(...)cependant avantageux de conserver l'air comprimé pour le frein de service, à cause de la simplicité de commando et de la sûreté de fonctionnement liée à la robustesse des organes",frein
1925,"1° Frein de service puissant à air comprimé agissant soit parla pression de l'air comprimé, soit par l'action d'un contrepoids normalement soulevé par ce fluide (Jeumont(...)Levier de frein. ~- — Distributeur d'air comprimé (freinage gradué, brevet Jeumont(...)",frein
1925,"Le frein de service peut être à action graduée (Jeumont, Alsacienne), mais cela n'est pas indispensable pour le groupe Léonard(...)2° Frein de sécurité à contrepoids n\n\\\. tenu soulevé, soit par l'air comprimé, son par cliquet solidaire de l'armature de l'électro(...)",frein
1925,"Le déclenchement du frein de sécurité a toujours pour effet de provoquer la rupture progressive du circuit d'excitation de la génératrice, ce qui s'effectue le plus souvent par le rappel au zéro du levier de manoeuvre(...)Dans ce dernier cas, on ne peut serrer le frein à bloc quand le courant d'excitation est mis, et on ne peut mettre que très peu de courant grâce aux ressorts quand le frein n'est pas partiellement desserré",frein
1925,FREIN DE SÉCURITÉ Treuil de 430 ch. — Relais de sécurité supplémentaire(...)1 — Circuit de l'électro aimant du frein de sécurité,frein
1925,"Le levier de frein du mécanicien agit au contraire sur(...)Lors du fonctionnement du frein de sécurité, les trois cylindres sont mis simultanément à l'échappement et les sabots viennent tous exercer leur action",frein
1925,Statistique Dix remarques : 1) Construction et réglage des freins. '2) Rapidité de fonctionnement du frein do sécurité(...)Moteurs asynchrones : 1) Frein gradué. i) Limiteur de vitesse,freins
1914,"MINERAIS Le poids mort des wagons doit être au maximum de ib tonnes pour les wagons tombereaux sans frein à vis, de 15 tonnes 5 pour les tombereaux munis de frein à vis et de 16 tonnes pour les wagons tombereaux munis de frein à vis à 16 sabots",frein
1922,"4, * 4 L’ÉTRANGER SOMMAIRE: Étude technique du Salon. — Freins sur roues avant et freinnge intégral. — La nouvelle, 20 HP, 6 cylindres Rolls-Royce",freins
1922,1° Les partisans du frein avant commande par servo-frein(...)2° Les partisans du frein avant mais en même temps adversaires du servo-frein,frein
1922,"frein leur a toujours donné pleine satisfaction sur les voilures de la clientèle aussi bien que sur celles d’essai(...)Le frein AV, qui en est encore à disputer sa place au soleil, l’y trouvera un jour prochain",frein
1922,"COUPE DU FREIN DE Dans la suspension des voitures Excelsior, nous trouvons le stabilisateur Adex, composé de bielles articulées qui relient le pont arrière au châssis(...)D’autre part le stabilisateur freine les mouvements dus au moment d’inertie autour de l’axe longitudinal de la voiture, il freine le roulis et réduit les périodes d’oscillations",frein
1922,"Rendons hommage à Delage, à Hispano et à Elizalde qui, les premiers je crois, ont monté les freins AV en grande série(...)Parmi les servo freins, il y a ceux d’Elizalde, de Farman, d’Hispano, de Hallot, etc",freins
1922,"Birkigt créa le servo-frein, afin de tirer le maximum d’efficacité du freinage intégral pour la voiture rapide(...)opposition à l’expression frein de mécanisme, avec lequel le freinage est obtenu sur les roues arrière, par l’intermédiaire de la transmission, du différentiel et des arbres d’entraînement latéraux",frein
1922,D (Photo Heymann.) V. — D HT A ILS DU FREIN DE CENTItE BROUI.I1IET Nous le retrouvons auiour- d,frein
1922,"Le frein de centre Broulhiet est un intermédiaire nouveau entre le pneumatique et l’essieu(...)séparés par pistons freinés au moyen d’un compensateur hydraulique, on obtient une flexibilité du ressort variable avec la vitesse",frein
1922,9010 14 (Photos Heymann.) QUELQUES DISPOSITIONS DE FREINS SUR ROUES AVANT,freins
1922,"Il faut faire un essai d’une voiture ainsi équipée pour comprendre le rôle effectif du frein de centre(...)Broulhiet ne s’en est pas tenu là, après avoir stabilisé la suspension classique par ressorts à lames grâce à son contraccélérateur, réduit le choc à l’essieu grâce à son frein de(...)",frein
1922,"servo-frein est généralement un embrayage à glissement qui est entraîné par un renvoi prenant son mouvement sur la transmission(...)Le servo frein Ilallot est adopté notamment par Bignan, Chenard-Walcker, Georges Irat, sur les châssis desquels il est très élégamment conjugué(...)",frein
1922,"Les deux freins, traités sur les mêmes principes que ceux de la 40/50 HP, sont tous deux dans les roues arrière",freins
1901,"Roues libres, freins, changements de vitesse(...)",freins
1901,"Aéro-frein Roux. gles dd fixées par les colliers aa aux tubes horizontaux de la fourche arrière(...)Le frein reste ainsi en action, de lui-même, sans que le cycliste ait aucun effort à faire",frein
1901,"Le frein Collet est un frein au pied, qui ne peut s'adapter qu'aux machines munies d'une roue libre(...)2° Freins à collier ou à tambour. — Nous avons déjà(...)",frein
1901,"Frein sur jante Bowden, avec commande par la poignée. qu'on agit sur ce levier, le fil T tire sur le fer à cheval F, et les patins PP viennent frotter sur la jante(...)frein demeure en action aussi longtemps que le cycliste le désire, sans qu'il ait aucun effort à faire pour cela",frein
1901,"Le frein sur jante est le plus puissant des freins actuellement en usage pour la bicyclette(...)4° Freins de moyeu intérieurs. — Moitié par un reste de l'ancien préjugé contre les freins et pour avoir un frein invisible, moitié",frein
1901,"L'embrayage est commandé par la pédale P', disposé de façon que le débrayage fait agir un frein F qui arrête l'arbre, et évite le déroulement du fil",frein
1929,"seul, le bras d'attache du frein G (fig. 76, A , et B) le distingue des moyeux habituels, mais, dans l'intérieur, il possède un mécanisme permettant d'obtenir la roue libre, par l'arrêt des pédales, et le freinage progressif ou instantané, par le contre-pédalage sur une fraction de tour(...)du côté du levier de frein, nous enlevons la rondelle bombée a(...)",frein
1929,frein (ou ëncliquetage) E et l'on peut examiner le frein proprement dit F avec ses segments / que l'on peut changer si on le juge utile,frein
1929,"de frein, le corps du moyeu, le corps du frein cylindrique, la came conique, le propulseur C avec ressort à bande et ses cinq alvéoles pour les petits(...)frein G' tandis que de l'autre l'expansion es' . commandée par le petit cône sur lequel agit le manchon C(...)",frein
1929,"Il comporte un frein à tambour latéral et possède plus dé petites pièces que les autres . moyeux (fig. 83 et 86(...)Demontage-Remoettage: —■ Enlever le bras de frein G et le mécanisme du frein eu desserrant de gauche à droite l'axe i comportant une tête carrée sur l'extrémité, côté pignon",frein
1880,"mécanisme de pointage latéral, un frein de manœuvre placé sur l'arbre de la manivelle gauche",frein
1880,"Le tracé du 25 avril 1879 remplace le linguet-arrêtoir de levier de frein par un linguet à ressort analogue à ceux des affûts de 14 cent(...)Le tracé du 23 juin 1879 a prescrit de faire en acier le boulon antérieur des grandes lames de frein, et de raccourcir ce boulon aux deux bouts pour permettre son démontage(...)",frein
1880,"il est muni d'un tampon à ressort, pour amortir le choc lors de l'arrivée en batterie, et d'un frein central, à huit lames, avec levier de serrage sur",frein
1880,"Cette entretoise, après laquelle se fixent les lames de frein, porte deux douilles en fer de cheville ouvrière(...)elle sert à l'attache des lames de frein et porte, en dessous, une douille fixée par dix rivets et munie, autour de l'œil, d'un rebord encastré dans la tôle",frein
