year,sentence,key_word
1862,Le château de la Favorite et la princesse Sibylle (suite). — Bade. — De la politesse et de la galanterie en France,galanterie
1862,FÉLIX MORNAND. de la politesse et De la galanterie en France(...)La discrétion était un des caractères de la galanterie,galanterie
1862,"La galanterie était un plaisir à la cour de Henri IV(...)La galanterie était à cette époque partagée entre la cour et la ville(...)La galanterie de la cour était noble, décente, peut-être même un peu cérémonieuse",galanterie
1862,"La galanterie à cette époque n'eut, plus rien de commun avec l'amour, pas même le désir d'une possession à laquelle on attachait beaucoup moins de prix qu'au scandale qui pouvait en ré- sultel on se servit de ce mot amour pour exprimer un caprice de la vanité, un lien fragile, tissu d'une soie si légère , qu'il se rompait quelquefois a l'insu de ceux qui lavaient forme(...)Que sont devenus la politesse et la galanterie, ces. qua- lités aimables et douces(...)",galanterie
1862,"C'est que l'esprit humain, la politesse et la galanterie sont sujets à de fréquenteset singulières variations(...)A quelle cause attribuer le peu de politesse et de galanterie des hommes du dix-neuvième siècle",galanterie
1804,"4) Le goût et la galanterie qui présidaient à la toilette, ne régnaient pas moins dans la couleur, dans la forme et dans 1 ajustement des habits(...)dans cet arrangement résidait la plus fine galanterie : il laissait la partie supérieure de l'épaule à découvert, et les galans romains ne se lassaient point de porter leurs regards curieux sur le bras d'ivoire et les épaules de neige des belles",galanterie
1864,"La galanterie française, passée en proverbe, a plus d(...)",galanterie
1864,"L'ÉCRIN dire, que le reflet artistique de l'hommage des anciens Gaulois, et de la galanterie chevaleresque(...)A côté de la galanterie qui pare, il ne faudrait pas oublier la justice qui protège, surtout quand cette protection a pour objet la faiblesse et ses droits les plus sacrés",galanterie
1880,"LA GALANTERIE DES HOMMES LEURS OPINIONS ÉCRITES SUR LA FEMME(...)L'épitaphe que Piron a composée pour sa femme prouve autant de galanterie que de bon cœur, la voici : « Ci-git ma femme",galanterie
1880,"Les législateurs du code actuel ont été moins galants encore que ceux du moyen âge, tout en parlant sans cesse de la chevaleresque galanterie des hommes de France",galanterie
1873,La modestie est la feuille de vigne du talent. * * * Sur la galanterie : — La galanterie est l'art de dire poliment aux femmes le contraire de ce que l'on pense à leur égaid,galanterie
1826,"Nous citons ce trait historique de galanterie , d'après le Petit dictionnaire des anecdotes de 1 '(mîout-, que viennent de publier les frères Laisné, éditeurs, rueSaint-André-des-Arts, n° 5t(...)n'en est pas moins du domaine de la galanterie",galanterie
1902,"que pour excuser, auprès de gens trop pointilleux sur te chapitre de la galanterie, la brusque façon dont je lAcbal Virginie, c'est l'affection profonde, inaltérable que j'ai vouée à ce brave guerrier(...)Autrement vous me forceriez à déclarer que la galanterie no vaut pas un pet. T",galanterie
1876,Une preuve à l’appui de cette galanterie : Une dame cherchait une robe habillée,galanterie
1876,Comment les fiancés américains entendent la galanterie : — Que désirez-vous,galanterie
1872,La galanterie est l'art de dire poliment aux femmes le contraire de ce que l’on pense à leur égard(...)La galanterie est un jeu où tout le monde triclie(...),galanterie
1920,"S,""t e :E:Et' É:EI ""'(:J FI.:E CONSEILLER MUNICIPAL Messieurs, Vous assistez journellement aux heures d'affluence de la foule dans le Métropolitain et le Nord-Sud à des prises d'assaut des compartiments, où souvent la force des biceps l'emporte sur la galanterie proverbiale française(...)",galanterie
1901,"La galanterie ne tend qu'au mensonge, au déguisement de la pensée et outrage de la femme sans la hausser jamais(...)galanterie a un vocabulaire masculin qui n'apprend rien et n'apporte rien à la femme",galanterie
1850,citez-moi un seul trait de galanterie du peuple français(...)Appellerons-nous galanterie le sentiment qui fai sait trouver du plaisir à Louis XV à s’entendre appe 1er : la France(...),galanterie
1896,"Ce n'est dono pas sans une douce surprise qu'on a entendu, dans la dernière réunion de ce groupe, discuter et répudier bautoment toute idée de galanterie, et enjoindre au sexe fort de s'abstenir désormais envers l'autre sexe de cette(...)N'allez pas croire que les dames du groupe de fa Solidarité soient l'objet quotidien de fastidieuses galanteries, et que la mesure proposée et votée tende précisément à les débarrasser des obsédantes et courtoises attentions dont elles seraient les victimes révoltées",galanterie
1896,"non seulement cette galanterie effrontée qui est un outrage à la délicatesse féminine, mais cet hommage particulier que nous adressons à la femme., cette tleur de chevalerie qui avait survécu à tous les orages des mœurs et de la mode(...)Guerre à la galanterie",galanterie
1854,RÉSURRECTION DEM GALANTERIE EMPÏSË 1 Derfais longtemps p&rMutè ïrê ipëftsii pîus à <- la galanterie française,galanterie
1854,mais les gens qui veulent ..< m'imposer une galanterie factice me font l'effet rei d'une bande de claqueurs acharnés,galanterie
1874,"la galanterie française m'impose, d'ailleurs, le-devoir de guider un fils d'Albion qui a, sans hésitation, abandonné, pour se rendre au milieu de nous(...)",galanterie
1850,"Galanterie est un mot jinv, nté par Prud'homme(...)Voilà la galanterie au XIXC siècle.. - Vous avez tort de penser ainsi(...)",galanterie
1881,"La galanterie française est un vieux cliché qui a fait son chemin dans le monde(...)Désabuséesur le compte de la galanterie française, la femme cherche une consolation dans ce qu'on appelle la gcnlilezza ou la çorlesia italienne",galanterie
1896,"Car la galanterie au sens badin du mot est exclusivement une qualité — ou un vice, suivant le point de vue où l'on se place et le degré de moralité —- de la femme(...)La galanterie, au contraire, dans le sens sérieux et noble du mot. est exclusivement une qualité— ou une faiblesse de l’homme",galanterie
