year,sentence,key_word
1913,"qui glisse et me voilà... — Toute nue devant lui, petite. — Non, dans ses bras et quand je -songeai à le gronder(...)je liens à le gronder encore. — Ne le.gw'nde:pa& trop... ilu4e,rfalJâReEais(...)",gronder
1935,on se fait gronder et on est souvent puni(...)Que c’est donc ennuyeux de gronder et de punir tous les jours,gronder
1885,Voulez-vous bien ne pas le gronder,gronder
1879,"Par conséquent, on ne peut supprimer qu'il a vu devant gronder : on ne le peut, faire que devant élever, parce que là le que de qu'il a(...)vu remplit la fonction de régime comme celui de la même expression devant gronder",gronder
1874,"dit le plus scrupuleux. — Non, reprit l’autre après une courte hésitation, tu ferais gronder le garçon. —o— — Fais-moi peur",gronder
1944,"Intervenons partout, h tous les moments, dans les plus petites circonstances, ooiiine dans les gronder. -Protégeons les ec abat cane ■■ français et allies, aidons les ravitaillons les, abritons",gronder
1926,"à son insu dans une formidable entreprise de spoliation, dénonce publiquement les louches manoeuvres de Boland et use immédiatement de toute son autorité sur les Indiens pour rétablir le calme daais les esprits et faire régner la justice là où l'émeute allait gronder",gronder
1856,"Je me grondais donc comme ça tout bas d'avoir cassé le cou à quelques bonnes vieilles bouteilles en compagnie de moimême, quand voilà que j'entends gronder tout haut dans mes mollets(...)Il y avait de quoi attraper un rhume de cerveau, et je songeais aux moyens à employer pour me tirer de là au plus vite, lorsque j'entends de nouveau gronder dans mes mollets",gronder
1903,adresse alors au patron et lui ordonne de gronder la patronne qui ne veut pas chasser la bonne qui ne veut pas cirer ses bottines(...)Laflemme va trouver les autres voyageurs et leur conseille de quitter l’hôtel du patron qui ne veut pas gronder la patronne qui ne veut pas chasser la bonne qui ne veut pas cirer ses bottines,gronder
1833,"présence Et mériter un jour toute sa confiance, Au port, loin des écueils, fais gronder tes canons",gronder
1941,"Partout redoublons de vigilance pour le3 sauver de la mort ou de la prison, '^ue les juges et leurs maîtres de Vichy sentent grondér la colère' prolétarienne qui monte partout des psiries",grondér
1905,"Depuis lors endormi ou éveillé, il entendait saris cessé piafl'er les chevaux, siffler les balles et gronder les oanons j et plus d'une fois, seul dans sa petite chambre, il se fit en pensée acteur do ce grand drame militaire",gronder
1917,Papa intervenait pour gronder(...),gronder
1834,"quelquefois avec tant d'ardeur à ses improvisations de fantaisie, qu'il oubliait tous les besoins de la vie, et que sa mère était toujours obligée de le gronder eu l'appelant en vain pour le dîner et pour le souper",gronder
1941,"C^u. de Baillet, Gennevillierr. ou Vouzeron ^ Tu 'avais aussi bien, gronder avec douceur Qu'on». r les yeux des(...)",gronder
1833,"Et l'émeute au bras noir, au front échevelé, Viendra gronder autour de ton trône ébranlé(...)",gronder
1901,Maman va joliment me gronder(...)Mais comme vous ne.serez pas grondée davantage pour l'heure tout entière,gronder
1891,"qu'effrayé : son imagination d'enfant ne se rendait pas bien compte dé la mort. — Mon enfant, dit Marîus en posant sur la tête embroussaillée du blondin ses doigts calleux d'ouvrier déjà raidis par l'agonie, mon enfant, je vais mourir- Je ne veux pas te gronder à cette heure, mais tu as encore manqué la classe aujourd'hui",gronder
1920,"Lopôre averti, voulut gronder à son tour(...)",gronder
1917,Les passions déicides qui doivent élever la croix sur le Calvaire commencent à gronder,gronder
1883,"Et quand je regarde le monde Qui gx'ouillo, qui piaille et qui gronde, J’entends un bruit ahurissant : C’est le Présent(...)Il m’est impossible de gronder mes enfants(...)",gronde
1918,sait^que trop s’adresser des reproches et gronder,gronder
1885,"l'orage commençait à gronder et le tonnerre accompagnait, plus rapproché, les éclairs qui déchiraient les nuages sombres",gronder
1885,peux gronder... je t'em Tous les misérables secoués par des événements extravagants,gronder
1882,Je sens gronder en moi les mornes désespoirs C'est pour cette raison(...),gronder
1938,"Vilain enfant, je devrais te gronder(...)",gronder
1862,Bien assez tôtsque^Stirrta-i tête iil. gronder(...),gronder
1919,"A vingt ans, c’est souvent l'âge où ceux qui ont une religion sincère la supportent impatiemment, parce que les passions commencent ferme à gronder en leurs cœurs",gronder
1944,On entend gronder la colère d'une France qui veut déverser le venin accumulé depuis des années' en souffrances et de vexations,gronder
1889,"aucun de vous non plus ne faiblirait devant des menaces extérieures, s'il nous était réservé d'en entendre gronder, un jour, à notre porte",gronder
2007,Mayra est surprise et elle s'attend à se faire gronder(...),gronder
1835,"Et que même elle allait jusqu'à gronder sa mère, Quand sa mère osait la gronder",gronder
1877,"monsieur, ma tante va bien me gronder demain 1 dit M 110 Marie. — Et la mienne, mademoiselle",gronder
1943,"tond s'effondrer avec- fracas ses alliances, entend gronder la haine dos peuples opprimes. ot entend meme monter au fond do l’Allemagne, Los premiers murmures d’un peuple abêti et sac ri»- fie",gronder
1850,"II était évident qu'Une sourde tempête S'apprêtait à gronder Un conseiller parfait S'étant enfin levé, dit qu'il est satisfait, Et qu'il veut bien, ma foi, que le diable l'emporte, S'il repasse jamais le seuil de cette porte(...)",gronder
1915,"Je devrais vous gronder, mais je n'en ai. pas le courage, car je suis'louché jusqu'au plus profond do l'âme par rattachement persistant que vous me témoigne(...)",gronder
1836,"Jusqu’à présent, le plaisir de gronder sa femme de chambre, de lire et relire sa correspondance, bien languissante, à ce qu’elle dit, et , de temps en temps, celle de son mari",gronder
1836,"Allons, n’allez vous pas la gronder encore, celte pauvre petite",gronder
1919,"celui qui désobéit sans cesse est souvent repris, souvent grondé : il est malheureux, il est triste et supporte avec peine une discipline qui est très douce pourtant à ses petits camarades",grondé
1919,"gronder, réprimander, punir s’ilje faut(...)",gronder
1902,"il te gronde, dit celle-ci, avec un coup d’œil vers la « vilaine maison », viens encore dîner avec nous demain(...)grondé ou non, je viendrai certainement remercier ta maman",gronde
1902,"je sais... vous m’avez dit l’autre jour... vous n’aimez pas les poules mouillées, et je pensais que vous alliez me gronder(...)Mon oncle, fit-il avec élan, je vous remercie, parce qu’au lieu de me gronder ou de vous moquer de moi, vous m’apprenez à devenir",gronder
1861,"ami, Pour cette fois seulement je consens à ne pas te gronder(...)Vous n'allez pas me gronder(...)pas me gronder",gronder
1871,"Elle va me gronder tout en m'embrassant(...)Et c'est toi, méchante fleur, qui me feras gronder",gronder
1849,"Les paisibles habitants des provinces, éloignés du foyer des intrigues, occupés naguère de leurs affaires, de leurs routes, de leurs canaux, de leurs écoles, c'est-à-dire de leur bienêtre actuel et de celui de leurs enfants, entendent déjà gronder l'orage autour(...)",gronder
1898,le droit de me gronder encore,gronder
1857,"Ninon feignait-elle de vouloir prendre du nectar prohibé, notre petit Sangrado se mettait à la gronder(...)",gronder
1857,"Ninon feignait-elle de vouloir prendre du nectar prohibé, notre petit Sangrado se mettait à la gronder",gronder
1874,"Ses bourreaux peuvent accourir, Sans peur, il voit gronder l'orage(...)",gronder
1829,"Passe pour gronder ceux qui font professic») de foi contre leur conscience , ceux qui ne respectent aucune loi, lorsqu'il s'agit de leurs intérêts(...)Le Grondeur.— Et si je gronde avec justice, que pourra-t-on me reprocher",gronder
1858,"Je laisse au loin gronder cette ardente démence, Tourbillon infernal qui déjà vous punit",gronder
1970,On s'est fait gronder(...),gronder
1887,gronder par elle(...),gronder
1887,"mais les femmes en riaient et la politesse parisienne se contentait de gronder, mais n'allait pas au-delà Autrefois l'on ne pouvait voir, aujourd'hui l'on ne saurait entendre",gronder
1890,"Le père, qui comprend, se prépare à gronder(...)",gronder
1823,"On dit que c'est vous qui accaparez les denrées coloniales pour en fitire hausser le prix: je devrais vous gronder de cette petite es- n piéglerie(...)mais je ne vous cotonUtepSi dite"" ZI &Ùr V°US gronder de Gelte Petite esvous n'avez eu d'autre iutention que de jouer un tour au gOinernement",gronder
1917,La révolution commence à gronder Une dépêche d’Athènes annonce que le peuple bulgare est las de la guerre et que plusieurs manifestations en faveur de la paix ont eu lieu À Sofia et dans d’autres villes on signale de nouvelles émeutes(...)la révolution commence à gronder. mimi nn iMBBWwew(...),gronder
1920,"mais leur idylle renouvelée se termine en 'drame, Jean de""Raimon.dis tuant en duel Amédée Privaz, juste au moment où la déclaration de guerre fait gronder sa foudre sur 1' « île heureuse » et met fin brutalement a l'illusion dans laquelle nous vivions en égoïstes et en aveugles",gronder
1891,"Je ne veux pas te gronder à cette heure, mais tn as encore manqué lavcîasse aujourd'hui",gronder
1896,"expressions souvent, Soit au sermon ou bien au prône, Il savait n’offusquer personne Et gronder sans ménagement",gronder
1878,"Bien assez tôt ell'me rencontrera, Pour gronder, me battre, et coetera",gronder
1878,SOPHIE. — C'est pourtant Henriette que me fait gronder,gronder
1878,"HENRIETTE. — Mon tuteur I Je n'ose pas y aller, j'ai les yeux rouges, M""' VILET, — D'où vient donc que vous avez pleuré, 'tandis que votre compagno que je viens de gronder a l'air si souriant",gronder
1901,Tu vas encore me gronder(...),gronder
1915,Le canon commence à gronder(...)Le canon gronde toujours(...),gronder
1848,"Déjà ses noirs limiers font gronder la menace, Il traite nos bras nus de vile populace, El, par delà les mers consultant(...)",gronder
1871,"pan 1 ra- Citoyens de la Commune, le Père Fouettard est aussi obligé de vous gronder très fort, Et de fouetter à tour de bras un bataillon de vos fidèles",gronder
1877,je vais pouvoir aimer mes petits-enfants sans être obligé de les gronder(...),gronder
1884,"Ils avaient mangé ensemble des pieds de mouton, chez Thomas, à Montmartre. — Faut pas gronder, la bourgeoise, dit le zingueur(...)Bien sûr, non, elle ne songeait pas à gronder, elle se sentait trop gênée",gronder
1884,gronder(...),gronder
1919,les passions commencent ferme à gronder en leurs cœurs,gronder
