year,sentence,key_word
1904,i 2 » » » » » » » » 3 Folie morale » » » » » » » » » » » Idiotie et imbécillité i » » » » » » » » » 1 Non aliénée » » » » » » » » » » » Totaux 32 13 3 î 2 2 1 » » » 54,imbécillité
1904,1 » » 1 » » » i » 3 Folie morale » » » » » » » » » » » » » Idiotie et imbécillité(...),imbécillité
1904,"Deux malades, atteintes l’une de folie morale, l’autre d’imbécillité, ont été, au mois de décembre, admises par transfèrement, venant des asiles publics de la Seine",imbécillité
1904,"Folie hystérique » » » » » » » » » » 1 1 Imbécillité » » » » » » » > » » » » > Démence vésanique » » > » > » » » » » » » » Totaux » » » » » » » » » » » 1 1 = = S ■J"" — — Sorties pour autres causes(...)1 » » » » » » » » » > 1 » 1 1 Folie morale » » » » » » » » » » » 1 1 Imbécillité » » » 1 J> » » » y> » » » 1 Démence sénile et organique(...)",imbécillité
1904,hystérie 4 4 » 8 ( épilepsie 8 » 1 9 Folie toxique (alcoolique) 5 3 » 8 Folie morale i » 1 2 Idiotie et imbécillité 19 1 l 21 Non aliénée » » » » Totaux T57 54 5 210 Les admissions se répartissent ainsi dans les divers mois de l’année(...)1 » » 1 2 2 1 » » » 1 » 8 Folie morale » » » » » » » » » » » 2 Idiotie et imbécillité » 2 2 » 5 2 3 1 1 1 3 1 21 Non aliénée » » » » » » » » » » » » » Totaux 12 22 17 10 23 31 24 12 10 19 17 13 210,imbécillité
1904,2 ‘S a> VI ue O) ’S Ph <D W Folie toxique (alcoolique) Folie morale Idiotie et imbécillité Non aliénée TOTAUX Ramollissement cérébral 2 î » 3 » » 3,imbécillité
1904,Folie morale Idiotie I et imbécillité. j,imbécillité
1904,1 » » » 2 2 » » » » » » 5 Folie morale » » » » » » » » » » » i il Idiotie et imbécillité » 2 2 » 4 2 3 1 1 1 3 » 19 Non aliénée » » » » » » » » » » » » » Totaux 7 15 12 13 19 20 17 8 7 15 12 0 157,imbécillité
1904,La démence et l'idiotie ou imbécillité figurent dans le tableau des entrées pour une forte proportion(...)E f )ilepgie 3 1 » » 4 6 2 )) » 8 Folie toxique (alcoolique) 1 4 » » 5 Folie morale 1 » » » 1 Idiotie et imbécillité 19 » » 19 Non aliène'e » » » » » Totaux 70 64 21 2 157 - Toutes ces malades se répartissent ainsi au point de vue de l’âge,imbécillité
1904,DURÉE DU SÉJOUR A L’ASILE Manie .2 O O fl fl Tcu S Folie périodique Folie systématisée Confusion mentale Démence vèsanique Démence sénile et organique Folie paralytique Hypochondrie j Folie vrosiqu ’S S Epilepsie j Folie toxique (alcoolique) Folie morale Idiotie et imbécillité j Non aliénée xnvxox Moins d’un mois 2 2 » » i » 2 2 » » » î » » » 10 Moins d’un an(...),imbécillité
1904,"33 ""c3 '<33 S ~o O Directe i ss* IULTIPL <33 S ""3 .ï * * 1=1 O O Collatérale Totaux Vésanique 7 8 » 2 3 20 Névropathique 11 2 » 1 » 14 Alcoolique 2 » » » » 2 Vésanique et névropathique » » » 1 1 2 Alcoolique et vésanique » » i 1 2 4 Cérébrale 2 » » » » 2 Totaux 22 10 i 5 6 44 Cette hérédité a donné naissance chez les descendants qu’elle a atteints aux formes suivantes d’aliénation mentale : Imbécillité(...)",imbécillité
1904,"8 — L'hérédité similaire a été retrouvée plusieurs fois, notamment dans les cas d’imbécillité",imbécillité
1897,10 > 109 \ ( Intermittentes. 17) Affaiblissement Í Par intoxication 36 intellectuel Par névrose 9 Débilité Imbécillités simples 21 congénitale Démences précoces(...),imbécillités
1897,Imbécillité(...)Imbécillité prononcée,imbécillité
1897,12 ans. — - Imbécillité(...)Imbécillité prononcée,imbécillité
1897,"142 — ' Admissions pendant l'année 1897 ENTRÉES XR MTRPTT ç par suite NATURE DE LA MALADIE EN S de rechutes TOTAUX - pour la lr° fois ou de réintégrations Dégénérescence mentale 90 9 99 Débilité mentale 88 6 94 Imbécillité(...)si à ce chiffre on voulait ajouter les idées délirantes de nature triste qui viennent si souvent et si facilement se greffer sur les états de dégénérescence mentale ou d'imbécillité, au nombre de 198, la mélancolie sous toutes ses formes serait représentée par un chiffre bien(...)",imbécillité
1897,Imbécillité(...)Imbécillité(...)Imbécillité,imbécillité
1897,O Dégénérescenee mentale .3 4 14 12 17 16 15 7 5 4 2 » 99 Débilité mentale .8 8 12 11 8 15 6 17 4 3 2 » 94 Imbécillité 2 2 » » » 1 » » » » » » 5 Folie névrosique (hystérie) » 1 1 » » » » » » » » » 2 — (épilepsie(...),imbécillité
1897,"Imbécillité(...)Imbécillité. \ Passé aux adultes, 5e, lro, le 25 novembre(...)",imbécillité
1897,36 34 70 Imbécillité 4 3 7 Paralysie générale(...),imbécillité
1897,Imbécillité(...)Imbécillité(...)Imbécillité,imbécillité
1897,Imbécillité(...)Imbécillité(...)Imbécillité,imbécillité
1897,"Imbécillité(...)Imbécillité avec perversion des ins- Réclamée par sa mère, le 25 mai(...)",imbécillité
1897,Imbécillité,imbécillité
1897,"quant aux femmes, la déséqui- libration mentale compte 104 cas, la débilité 138, l'imbécillité 26 et l'idiotie 26",imbécillité
1897,"51 — Imbécillité 8 28,672 744 Somme S P(...)34 — Imbécillité 35 36,552 21,951 — S. P",imbécillité
1897,2 1 3 Folie toxique 7 2 9 Folie morale 2 1 3 Imbécillité,imbécillité
1897,"10 Imbécillité ' * + 11 Démence organique sénile 12 Démence vésanique(...)93.i 14 Imbécillité + ^ 15 Démence vésanique -f- 16 - + 17 Imbécillité 18 — 19 20 — 21 — , 22 - 23 - +' 24 + - 25 Démence vésanique 26 Imbécillité -)- 27(...)",imbécillité
1897,"Célibataire Imbécillité 56 37,712 22,921 — S. P(...)Imbécillité 64 38,255 38,287 Seine-et-Marne Fleuriste 39 — Démence vésanique(...)",imbécillité
1897,"Imbécillité père, 80 an 08 64 Démence vésan. précoce + + + 65 Folie systématisée g,-m.,80s08 66 Démence vésan. précoce + + + 67 Folie périodique 68 Imbécillité père, 80 ar",imbécillité
1897,"60 — Au point de vue de leur affection, ces 200 entrants étaient atteints de: Folie simple (manie, mélancolie, folie systématisée, névrosique, impulsive) 69 Folie par intoxication (alcool, absinthe, morphine) 53 Démence (vésanique et organique) 10 Folie paralytiquè 64 Imbécillité et idiotie 3 Épilepsie 1(...)",imbécillité
1897,"Imbécillité 104 39,380 53,411 Gard Couturière 51 Mariée Folie systématisée 105 39,471 i5,1 Saône-et-Loire S. P(...)Imbécillité 127 39,814 66,24 Pas-de-Calais S. P",imbécillité
1897,"108 Imbécillité 109 Folie systématisée l'Io Démence vésanique(...)1 Imbécillité x 113 114 __ + 115 Mélancolie + Dém. vésanique précoce Folie systématisée Folie périodique 119 Manie chronique 120 Folie systématisée - 121 Imbécillité 122 Folie systématisée 123 Folie périodique ^ Manie chronique 125 "" ^ Imbécillité(...)",imbécillité
1897,4 Manie chronique 33 Mélancolie 140 Délire de persécution 21 Débilité mentale avec manie 32 — avec mélancolie 50 Alcoolisme chronique 15 Paralysie -générale 12 Démences diverses 43 Imbécillité et idiotie 6 Épilepsie et hystéro-épilepsië 15 Total(...),imbécillité
1897,"24 — Imbécillité 168 40,208 78,246 Saône-et-Loire(...)24 Célibataire Imbécillité 179 40,305 12,355 Seine - Couturière(...)",imbécillité
1897,_ 169 Imbécillité 170 Démence organique + 171 Démence vésanique + + + 172 Démence organique 173 Démence vésanique 174 Folie systématisée 175 Imbécillité - 176 Folie systématisée 177 Démence organique 178 Imbécillité 179 Folie systématisée + 180 Folie toxique 181 Folie systématisée _j_ 182(...),imbécillité
1897,"36 — Imbécillité 206 40,507 53,98 Seine-et-Oise S P(...)66 — Imbécillité 229 40,620 61,39 Manche S. P",imbécillité
1897,i 193 Folie systématisée 194 Imbécillité ' 195 — + + I 196 Démence organique sénile 1 197 Imbécillité(...),imbécillité
1897,"8 mai 1897 5 mois 243 40,539 Htes-Pyrénées Employée 38 — Imbécillité — 25 oct. 1896 » 8 janv(...)1897 » 1 an 4 mois 265 40,506 Bas-Rhin Religieuse (1) 35 Célibataire Imbécillité — 8 juin(...)",imbécillité
1897,82 Idiotie 2-1 Imbécillité(...),imbécillité
1897,210 — Débilité mentale 50 Imbécillité,imbécillité
1897,"La forme qui domine dans notre section est l'imbécillité qui comprend sous ce nom l'idiotie, le crétinisme, l'arrêt ou le développement lent des facultés et la débilité mentale",imbécillité
1897,14 » » 14 Débilité mentale 6 4 » 10 Imbécillité 9 » 10 19 Idiotie » » » » TOTAUX(...),imbécillité
1897,3 4 3 » 4 » » » 14 Débilité mentale » » 5 5 » » » » 10 Imbécillité 111 3 2 » » » » » 19 Idiotie » » » » » » » » 1) TOTAUX(...),imbécillité
1897,"6 6 Délire des persécutions - 4 9 13 Folie toxique (alcoolisme) 5 , 18 23 Dégénérescence mentale « » 5 5 Débilité mentale » 7 7 Imbécillité » 4 4 TOTAUX(...)",imbécillité
1897,"43 — Imbécillité — » x 22 3,822 31,464 Seine S. P(...)36 — Imbécillité — 2 Vauclujh 28 4,214 35,064 Seine-et-Oise Cordonnier 44 — Folie névrosique — » « 29 4,943 35,942 Seine S",imbécillité
1897,_ 27 Imbécillité + + + + 28 Folie névrosique 29 Imbécillité 30 — 31 — 32 Mélancolie 33 Folie systématisée + 34 Aux deux blli: 35 Folie névrosique _,imbécillité
1897,"Imbécillité — » 5e 40 01 54 5,849 46,493 Saône-et-Loire Chapelier 55 Marié Folie systématisée — 2 Ville-Évranv 1 55 5,920 51,112 Seine Mécanicien 35 Célibataire Démence précoce — 3 1) « 56 5,981 51,526 Paris S(...)24 — Imbécillité — » 5e 4e S 78 6,687 60,491 Paris — 38 — — P. V",imbécillité
1897,"Folie névrosique 2 3 5 Folie toxique (alcoolisme) 9 2 11 Folie morale et impulsive » 1 1 Imbécillité, 18 5 23 Idiotie 1 » 1 TOTAUX(...)",imbécillité
1897,1 » » » » » 1 Imbécillité 6 12 1 3 1 » » » 23 Idiotie » 1 » » J) » » » 1 TOTAUX(...),imbécillité
1897,j- 59 — + 60 Folie névrosique 61 — + 62 Imbécillité 63 Démence précoce + -f- 64 Imbécillité 65 Folie systématisée + + 66 Folie névrosique + 67 Imbécillité -j- 68 — + 69(...),imbécillité
1897,14 3 17 Démence sénile et organique 63 11 74 Paralysie générale 62 13 75 Folie névrosique 5 » 5 Folie toxique (alcoolisme) 1'1 » 11 Folie morale et impulsive 1 » 1 Imbécillité 14 9 23 Idiotie(...),imbécillité
