year,sentence,key_word
1885,"ouré-dè-GorBavy'tPyrénées-OHentalës), est-aussi' un vobiscum qui se croit investi,-de .par. sa.tonsurej du droit, d'insulter impunément un magistrat municipal(...)sii maintenant'il n'est, plus permis aux pauvres prêtres de campagne d'insulter les maires de léur",insulter
1904,Tu n'as pas honte de te laisser insulter par une pauvre petite femme comme moi,insulter
1903,"Est-ce insulter un type que lui dire : « vous êtes une fripouille administrative(...)Est-ce insulter un type que lui dire : « vous êtes un ignoble usurier », lorsque je prouve(...)Est-ce insulter un type que le traiter de sectaire(...)",insulter
1903,"quelques jours une campagne d'insultes CONTRE LES RRRRRÉPUBLICAINS de Sétif, les Nouvelles se promettent (quel courage !.) d'ExÉcuTER M(...)Je ne pensais pas si bien faire en écrivant hier mon article : « Insultes(...)",insultes
1902,"P.-S. — N'èsl-il pas logique que les théories antimilitaristes des Loges engendrent des faits comme c> lui-ci : Le 28 octobre dernier, les nommés ('.oui ol, Gallois, Guény, l.abone, Couard et Lamouche, qui étaient ivres,"" rue Montmartre, se mirent à insulter des sousol'liciers et leur portèrent des coups, cherchant à leur arracher leurs sabres",insulter
1944,avec ordre d’insulter les prisonniers et de leur cracher au visage,insulter
1882,"C'est insulter quelqu(...)et c'est insulter encore que de dire à un tiers, étranger au déliât : « Je suis sûr que c'est vous qui êtes l'auteur de",insulter
1882,"Insulter quelqu'un, c'est vite fait et ça(...)Donc, il m'insulte : je lui envoie deux amis, et je choisis le pistolet(...)",insulter
1882,"Combien vous a-t-on payé pour m'insulter, moi qui ne vous ai rien dit ni rien l'ait(...)Vous m'avez insulté : vous tremblez devant la réparation et vous m'offrez de payer l'amende",insulter
1833,"Sais-tu qu'en offensant ce roi plein de vaillance, Ses nobles défenseurs, c'est insulter la France(...)",insulter
1849,on ne m'accusera pas d'insulter à l'idole que j'avais encensée,insulter
1916,"la guerre, et un de ses jeunes paroissiens qui non seulement n’aimait pas son curé puais s’étaitpermis plusieurs fois de l’insulter",insulter
1818,"les statues révérées, se peut-il qu’un folliculaire ose insulter à la mémoire de Louis XIV(...)",insulter
1818,Et l’on ose insulter à un tel Monarque(...)qui vous a donné le funeste mandat d’insulter à Louis-le-Grand qui étonna le monde par sa puissance(...),insulter
1914,"Il ne fait pas lion insulter le lion Dieu 11 y a quelquesannées, racon(...)bravos femmes, qui avaient en- ’ entendu son blasphème, disaient en se signant : — Il ne fait, pas bon insulter le \ bon Dieu",insulter
1895,Le respect et l'ambition que j'ai pour mon pays ne me permettent pas d'admettre qu'on puisse insulter chaque jour les meilleurs serviteurs,insulter
1882,"nier s'oublia jusqu'à m'insulter, mais il en fut sévèrement puni. r Cette trêve dans mes infortunes(...)",insulter
1864,"Vous qui faites prouesse D'insulter ma détresse, Abrité par votre grandeur, Tout haut je le déclare : Vous n'êtes qu'un lâche, seigneur",insulter
1864,"Opposant à l'indigence La science, Sans insulter au malheur, Quand il était en déroute Sur ma route, Je ranimais son ardeur",insulter
1882,"L’insulte de l’anonyme, du lâche(...)",insulte
1882,"Elle serait là comme une insulte, comme une menace(...)République ne se laissent pas insulter et menacer et disent: Halte-là",insulte
1882,"Insulter une femme, la frapper, l’outrager sans l’entendre est, en effet, l’habitude de ces êtres méprisables qui vivent de la prostitution, et à voir vos agissements, on peut en conclure que c’est dans ces bouges infects que vous allez apprendre l’espèce de morale que vous mettez ensuite en pratique(...)insulté celle-là pour prouver à quel degré de bassesse vous étiez descendus",insulter
1868,Ces hommes s'amusaient d'insulter cette femme,insulter
1868,"IV Ces gens qui s'égayaient d'insulter une fille, n'osaient seulement pas approcher des blessés(...)",insulter
1871,"Laissez-vous insulter, calomnier même, et ne conservez qu’un seul droit contre le mensonge : Celui de le confondre, Mais, avant toute chose, - * Rendez la liberté aux citoyens que vous conservez comme otages",insulter
1901,"Autorisé par notre câline, par notre respect, le syndicat international payé par la juiverie, non content de nous insulter, de nous diffamer, de traîner l'Algérie et les Algériens dans la boue, veut nous forcer d'approuver toutes les infamies qu’il vient de débiter sur notre compte(...)vos libertés,qui vous a lavés des insultes dont vous étiez l’objet(...)",insulter
1901,"Vous laisserez vous insulter, diffamer par la presse juive et voterez-vous ensuite les yeux fermes pour les candidats qu elle vous présente(...)Colon, souvenez-vous qu’après vous avoir fait insulter par Rouanet, ces gens qui viennent vous demander vos voix",insulter
1901,"D un autre cAté, celte même feuille continue d'insulter Morinaud, qui ne se trouve jamais où l’ Inde pendant voudrait le voir",insulter
1963,"reposer la responsabilité des violences sur les organisateurs de la manifestation et les manifestants eux-mêmes, n'hésitant pas à insulter les victimes",insulter
1820,"Hampton, Virginie, 12 Juin 1819, Monsieur, J'ai appris à Norfolk, que vous aviez dit, que vous pouviez m'insulter impunément ou quelque chose de semblahle(...)",insulter
1820,"Quelque soit ce que j'ai pensé ou dit sur votre conduite, dans plusieurs conversations que j'eus à ce sujet, ja suis fermement assuré de n'avoir jamais, dit que je pouvais vous insulter ni qui que ce soit impunément",insulter
1820,"Je vous déclare donc et vous saurez, que j'ai voulu seulement désavouer l'expression particulière et l'objet de votre messive : c'est-à-dire que je pouvais vous insulter impunément tant ce qu'aux motifs a",insulter
