year,sentence,key_word
1889,"N°' TOUR LISIÈRE MASSIF 9 64 195 170 10 35 90 60 II 60 - 10° 40 12 32 180 100 13 5° 3° 3° 14 57 160 100 Haut(...)N"" TOUR LISIÈRE MASSIF 15 57 160 100 16 29 40 40 17 58 160 130 18 44 40 o 19 52 550 450 20 60 130 60 23 40 200 60 Haut",lisière
1889,"plus accusées sur les lisières exposées à l'Ouest, comme on peut en juger par les chiffres suivants : TOUR LISIÈRE MASSIF 83 320 110 , 75 250 100 80 300 10(...)",lisières
1889,r SUR LA LISIÈRE 1 A 3m DE LA LISIÈRE A 5W DE LA LISIÈRE TOUR LISIÈRE MASSIF TOUR LISIÈRE MASSIF TOUR LISIÈRE MASSIF 67 1I0 40 52 60 38 70 50 ° 40 75 20(...)MASSIF LISIÈRE SUD-OUEST 70 106 120 140 86 100 130 143 87 60 » 100 Voici encore quelques exemples qui montrent combien est puissante l'influence de l'exposition O,lisière
1889,"TOUR LISIÈRE MASSIF N0"" TOUR LISIÈRE MASSIF 1 40 225 200 4 45 130 100 2 32 100 70 5 36 103 30 3 48 160 80 Hauteur moyenne du rhytidôme pour les 5 arbres 143 96 Différence, , , , 67",lisière
1892,"Ces lisières ne sont pas toujours tout unies, quelquesunes sont coupées de grosses pastilles de deux tons dégradés dans la même gamme que la teinte générale, et donnent aux toilettes un cachet très original",lisières
1874,III. - Lisière delà vieille forêt de la Teste(...),lisière
1905,"d’une lisière M. Auguste Gaigue, d’autre lisière M. Des- marest-Collier, d’un bout le fossé, d’autre bout les héritiers Gillet- Leroux",lisière
1804,"on la ploie en six doubles ""d'environ 2 pouces et demi, comme on ferait six an. neaux de nœud de ruban , en observant de conserver les lisières un peu plus courtes, afin que choque agneau bombe du milieu(...)",lisières
1804,"on forme, l'un après l'autre, six anneaux de ruban à chaque, une épingle un peu longue passe d'une lisière du ruban à l'autre lisière , de façon que l'étoffe est contenue comme par une agraffe ou coulisse(...)",lisière
1920,Darmannes (bois Sirgent). — Chassigny (lisière du bois du Rouillot(...)Circgea Lutetiana L. (Circaea major L.). — Marault (lisière ouest du bois de la Voivre(...),lisière
1920,Gentiana germanica Willd. (G. amarella Vill.). — Poissons (coteaux au sud). — Saint-Urbain (lisière du bois de la Rippe). — Annéville (sud) - Buxières-Ies- Vi Ilier (.;ud-est(...)Brunella alba Pall. — Saint-Urbain (lisière du bois de la Rippe). — Chaumont (près des magasins militaires). — Marnay (tunnel(...),lisière
1920,Bidens cernuus L. et Bidens tripartitus L. — Chassigny (lisère du bois du Rouillot(...),lisère
1920,"Molinia cænÛea Mœnch (M. altissima Link, Enodium cæruleum Gandin, Festuca cœrulea D. C., Melica cserulea L.). — Annéville (lisière du bois de la Voivre). — Marault",lisière
1920,"Bab. (C. pallens Rich., C. lancifolia Coss., Serapias grandiflora L.., S. lancifolia Mun., Epipactis pallens Wild., E. lancifolia D. C. ou E. ochroleuca Saint-Lag.). — Sarcicourt et Meures (lisière du bois Basmont(...)",lisière
1920,Annéville (sud). -- Sarcicourt (lisière du bois Basmont). — Braux (plateau au sud). - Foulain (nord-est(...)Ophrys muscifera Huds. (0. myodes Jq.). — Rouvroy (lisière des bois à l'ouest). — Sarcicourt (bois Basmont(...),lisière
1892,"des Bailles, tenant d'une lisière, au midi, à Jeanne Lautrichet, de l'autre à M. Verseau, d'un bout du levant au chemin(...)37° Un quartel aux Bailles, tenant d'une lisière, au midi, à Jacque Menus, de l'autre à Baron et autres, d'un bout, au couchant, à Jean Grégoire, de l'autre à Made Hubigneau(...)39° Un quartel aux Heullons, tenant d'une lisière, au midi, à Jean Vitout, de l'autre à M. Deforges, d'un bout, au levant, à Jean Menus, de l'autre à M",lisière
1892,"41° Un quartel, à la Marlière, chemin de Solmont, tenant d'une lisière, au nord, à N.- A. Tellier, de l'autre à Velaine, d'un bout, au levant, à J(...)42° Un jaloi, aux Trois buissons, tenant d'une lisière, au nord, à",lisière
1892,"44° Cinq pugnets, au-dessus du chemin vert, tenant d'une lisière, au levant, à Claude Proisy, de l'autre(...)45° Un jaloi, à l'Epine ronde, tenant d'une lisière, au levant, à François Clin, de l'autre à François Lautrichet et autres, d'un bout, au nord, à Claude Charlet, de l'autre au territoire de Haution",lisière
1892,"50° Un jaloi, au fossé Damenet, à prendre dans une pièce de deuv jalois tenant d'une lisière, au levant, à Moïse le Clerc, d'un bout, au nord, à Claude Faroux, de l'autre au fossé(...)51° Cinquante verges, lieu dit la Saule Charme, tenant d'une lisière, au midi, à Nicole-Anne de Lannois, de l'autre aux hoirs Martin Prévôt, d'un bout, au levant, à Sainpère, de l'autre à Charle Aubcrt",lisière
1892,Vrevin tenant d'une liziere aux héritiers Guill,liziere
1892,"Culée, tenant d'une lisière, au nord, et d'un bout, au levant, presque en pointe, à la rivière et au chemin, de l'autre lisière à lî",lisière
1892,"des Curés tenant de toutes parts aux héritiers « de l'eu le sr Divoury et autres » plus trois quartels de pré en deux pièces dont l'une contiguë d'une lisière à la Terre des Curés et d'autre lisière à la rivière le tout loué par Mes Thomas Le Cointe et Thiery Gobinet à Anthoine Gobinet, marchand bourgeois à Vervins, pour neuf ans, moyennant une redevance annuelle de « dix jallois de bled metail », aux termes d'un acte du 18 mars 1642",lisière
1892,"3° Un pugnet, aux prés tortus, tenant de lisière, au nord, à ClaudeFaroux, de l'autre lisière à Claude CharJet, d'un bout, au midi, au pré des religieux de Clairefontaine, de l'autre à Claude Pagnon",lisière
1892,"42"" Vingt verges aux fosses Matons, tenant d'une lisière, au nord, et d'un bout, au levant, aux terres des religieux de Clairefontaine, de l'autre lisière à Nicolas Maillard et autres, de l'autre bout à Landouzy(...)buisson Loup ou la Terrière, tenant d'une lisière, au nord, à Adrien Teliier, de l'autre à Claude Charlet, d'un bout, au levant, à Claude Michelet, de l'autre au chemin de Haution",lisière
1892,"Beaurin. (A la garenne, C, 646.) 3° Deux jalois, à la Terrière, tenant d'une lisière, au midi, à L(...)3"" Trente-deux verges et demie, au Gravier, entourées de haies vives, tenant d'une lisière, au levant, et d'un bout, au midi, à la rivière, de l'autre lisière à Charles Landouxy, de l'autre bout, au nord, à Claude Charlet",lisière
1892,"70 Un quartel, aux Vuatines, tenant d'une lisière, au nord, et d'un bout, au levant, aux biens de l'église, de l'autre bout, au couchant, à N(...)14° Un quartel, au pré Morbo, tenant d'une lisière, au midi, à Claude Charlet(...)",lisière
1892,"une lisière, au levant, à Louis Desvallier, d'un bout, au midi, à M(...)20° Un quartel, aux fosses Matons, tenant d'une lisière à Fr",lisière
1892,"Sept jalois trois pugnets « lieudict la thuillerie n, tenant d'une lisière au chemin de la Verte-Vallée, estimés trente-neuf livres le jaloi(...)cailloux », tenant d'une lisière au chemin qui conduit de la Verte-Vallée à la croix, alias croisette, de Thenailles, estimés vingt-quatre livres",lisière
1892,"lisière, au midi, à F. Clin, de l'autre à Mulet et autres, d'un bout, au levant, à Touss(...)lisière, au levant, à Quentin Chevalier, de l'autre aux biens des pauvres et autres, d'un bout, au nord, à Martin Gaudrit, de l'autre à Chevalier",lisière
1892,"Trois quartels de terre « lieudict ponceaux crauette «, tenant d'une lisière au sieur de Lislet, estimés quarante-huit livres les trois quartels(...)Deux jalois de pré « lieudict le prez de Bilay », tenant d'une lisière au sieur de Chausse (2), d'autre à la rivière, estimés cinquante-quatre livres le jaloi",lisière
