year,sentence,key_word
1884,le vobiscum accourt obséder le malade,obséder
1921,"a Il ne faut pas », écrit M. Thaller (Faillites en droit comparé, t. II, n° 146), « que la loi se « laisse aller trop facilement à présumer le mensonge et « les desseins ténébreux : cette idée finirait par l'obséder",obséder
1900,"Nous vous engagerions à leur écrire et leur demander si tout cela esc vrai, mais chacun comprend que ces magistrats sont déjà accablés de demandes de renseignements et qu'il ne serait pas convenable do les obséder davantage(...)",obséder
1918,Quel affreux cauchemar doit l’obséder(...),obséder
1905,"Depuis, je ne sais quel démon astucieux à m'obséder de corps féminins s'ingénie",obséder
1924,"an milieu de ces préoccupations majeures et qui devraient obséder uniquement le cerveau de M. Herriot '— qui le croirait — la première pensée, le but qu'il faut poursuivre, toutes affaires cessantes, c'est la suppression de l'Ambassade du Vatican",obséder
1986,Obséder(...),obséder
1804,"et comme elle obsède le roi ou le fait continuellement obséder, elle a encore le moyen d’empêcher ce prince de don(...)",obsède
1916,"Voulez-vous de brèves lignes sur une sorte de ""fâcheux"" que souvent j'ai maudits, que vous avez vous-même, maintes fois, j'en suis sûre, envoyés à tous les diables et qui, même dans votre camp doivent vous obséder encore de leur sottise",obséder
1902,"Le choeur des sacs, en particulier, et le morceau final ont été des triomphes, et vont obséder bien des mémoires",obséder
1857,"pour les fous et les impies qui demandent des réformes dans l’administration romaine : — Prenez garde, s’écria-t-il un jour, si vous continuez d’assaillir le saint-siège de vos réclamations, de l’obséder de vos plaintes, il pourrait bien vous abandonner à votre destinée, quitter Rome et l’Europe pour aller s’établir à Jérusalem",obséder
1839,"Quand elle le saura malade , elle ne . pourra, pas nous accuser de paresse et nous reprocher de l'obséder. .. .Oh(...)",obséder
1945,"livres dont la lecture laisse des ombres, de bals, de cinémas, qui viendraient de leurs souvenirs malsains, obséder votre imagination",obséder
1945,"Dans cet ordre d'idées, n'est-il pas navrant, alors que l'industrie et le commerce parisiens ne peuvent plus recruter de main-d'œuvre, de voir à longueur de journée des jeunes gens, dont le devoir social serait d'apprendre ou d'exercer un métier, guetter et obséder par esprit de lucre, dans les escaliers ou couloirs de métropolitain(...)",obséder
1893,"et, comment jouir, ensuite, de ses vacances, avec cette obséder.te idée que l'on vient de perdre uti3 année toute entière, et que, par une inconcevable paresse ou va, peut-être, briser son avenir(...)",obséder
1915,"critiques d'art (de quel droit ?), et leurs articles souvent fort bien écrits et d'une indiscutable habileté professionnelle contribuent par la réclame intensive, éhontée, ininterrompue, par les noms prononcés chaque jour et à tout propos des élus désignés pour le lancement, à obséder et hynoptiser le public, finissant par établir et sacrer pour'la masse moutonnière de' fausses gloires et d'extraordinaires talents,vo\re desgénies qui presque toujours hélas(...)",obséder
1932,Ils examinent les faits sans se laisser obséder par des formules,obséder
1863,"Mais pourquoi le souvenir de Disdéri pereiste-t-il à m'obseder 7 Où oui,-je(...)",obseder
1864,"Votre poursuite jusqu'à présent a pu m'obséder, mais elle n'avait rien d'inconvenant",obséder
1901,pensée n'avait cessé d'obséder l'esprit dû cher malade : son retour(...),obséder
1929,"Sydney Hurle resté seul, seul à Crichy. dans un hôtel meublé de la Jne Martre, la sexualité commence à l'obséder comme 'un cancer",obséder
1935,"Je veux vous dire une pensée qui me préoccupe, qui commence même à m’obséder depuis quelque temps",obséder
1902,"s'écria-l-on de tous côtés. — Cela suffit, dit le maire, que les compliments commençaient à obséder. ■— Vous devez(...)",obséder
1870,"Un soir de bonne musique, un fâcheux s'était glissé, je ne sais comment, dans notre petit cénacle, et, questionneur intrépide, ne cessait de nous obséder",obséder
1920,"C’est un bel acteur qui fut très applaudi, trop applaudi même, puisqu’à la fin cela paraissait l’obséder",obséder
1909,"Noire but est trop haut, notre méthode trop positive pour que nous nous laissions absorber ou obséder par des querelles personnelles- S'il n'y avait qu'elles pour semer la discorde, le bon sens français aurait vigoureusement inspiré la paix",obséder
1926,Nous sommes à une heure où les théories d'économie politique ne doivent plus nous obséder au point de nous rendre inertes,obséder
1891,"Du reste, celle offre de cadenas est une persécution qui va l'obséder jusqu'au soir",obséder
1917,"J'ai vu cet homme que le sort rendait sympathique s'acharner à la conquête de cette jeune femme, l'obséder sans répit de son amour coupable, à l'affût de la minute propice, de la faiblesse toujours possible",obséder
1886,"Faites-lui entendre qu'il court quelque risque en s'opiniâtrant à obséder une enfant qui légalement, lui est étrangère. — L'expédient m'a réussi autrefofs, fit le curé aArec un accent de vanité mal réprimée",obséder
1879,"C'est chose en soi si fugitive, Le bonheur, qu'à le posséder Toujours une peur instinctive En secret vient vous obséder(...)",obséder
1839,"si une fois dans ta vie il t'arrive de te voir entraîner dans ce flot si séduisant de la vie , si mille tentations viennent t'obseder, si tu n'as qu'à demander pour avoir, si ton pinceau devient jamais comme a été le mien , la baguette magique d'une fée qui faît naître des trésors et des palais(...)",obseder
1948,"Puis, c’est la fin, nous remontons au jour, ouf î cette vision commençait à nous obséder",obséder
1891,"De Beloy, que cette persistance avait fini par obséder, évitait de ren^- contrer le chasseur, qui, naturellement, mettait d'autant plus d'obstination à se trouver avec lui",obséder
1866,"Comme il voulait l'emporter sur Plotin, il le traita avec mépris, et s'acharna contre lui au point qu'il essaya de l'obséder en recourant à des opérations magiques",obséder
1948,Depuis bien longtemps déjà l’idée d’un grand spectacle auquel collaboreraient les chefs indiens pacifiés ne cessait de l’obséder,obséder
1888,"Son petit livre regorge aussi d'anecdotes, de récits et de faits bien . présentés dont le crescendo jette la lumière sur les parties les plus obscures du thème et finit par obséder",obséder
1851,"On croit qu'il ne va pas en être quitte à bon marché. mais le Maure se entente de le et lui fait grâce de la vie, à la condition qu'il cessera d'obséder Julia de ses madrigaux oiseux",obséder
1826,"approcher, Sont des maux plus légers que l’éternel supplice D’obséder Apollon sans le rendre propice",obséder
1873,"Il s’agit des nombreux mendiants qui, tous les jours, vont obséder le g étrangers à domicile",obséder
1923,"Au lieu de se laisser obséder, comme on le fait le plus souvent, soit par les inconvénients qu'il présente, soit par les bienfaits qu'il a produits et qu'on en escompte, en le considérant, d'ailleurs comme acquis, comme hors de discussion, peutêtre serait-il ojDportun de se demander s'il n'est pas jmssible de concevoir et de réaliser(...)",obséder
1913,"Son visage virginal prit une expression angélique et elle répondit : (( Moi, je veux un vieux monsieur, très riche et très galant, (pii satisfasse tous mes moindres désirs, sans pourtant m’obséder des siens",obséder
1923,"L'une, d'origine américaine, consiste à obséder le passant en plaçant - J continuellement sous ses yeux de gigantesques inscriptions",obséder
1853,"vous rassurer complèle- uons comme une nivcu. ment sur des craintes qui paraissent beaucoup vent que dans 1 âme de quelques pi tics, - ^ ^ vous obséder(...)Elle a des ennemis patents ou secrets, mais trop vous obséder « Nous avons, ainsi parle Votre(...)",obséder
1892,"hantise de son crime avait commencé de l’obséder. — Après avoir couru de café eu café, il avait senti redbubler son épouvante, à l’heure ou tous les débits fermaient, et ou il allait se trouver seul",obséder
1897,"C'était un philosophe : sa chanson, qui lui occupait l'esprit, prenait la place dos pensées inquiètes, puis effrayantes, puis affolantes qui auraient pu l'obséder",obséder
1892,accusation ne cessa plus de l’obséder,obséder
1916,"les manifestations sympathiques l'avaient vivement touché, avant de l'obséder un peu. , '1' 'l' l 'd l '1 Et demain il n'y aurait plus rien que le vide, le silence, la nuit",obséder
1867,IJne autre supposition venait encore obséder ma pensée,obséder
1886,"Souvent les voyageurs se plaignent des importunités de ces derniers qui durant le trajet de Bastia à Corté ne cessent de les obséder de leurs instances pour les engager à descendre à l’hôtel Paoli, dans un but intéressé",obséder
1832,Vous calmerez les terreurs dont elle se laisse par fois obséder,obséder
1932,opinion personnelle d'un savant qui serait obsédé par la pensée d’un péril plus ou moins imaginaire ou qui aurait inventé un masque qu’il tiendiait à répandre dans le commerce,obsédé
1932,"établissements publics et forains installés sur une place publique sous la condition que leurs auditions ne pourront être de nature à obséder les voisins, ni à occasionner des rassemblements sur la voie publique",obséder
1887,"Celui dont tu peins le haut front ridé, D'un penser amer sans cesse obsédé, 1 Maudit sa simplesse, En songeant qu'il a dix ans, soupiré Nuit et jour, prié, pleuré, déliré Pour une drôlesse",obsédé
1887,"Une idée fixe semblait l'absorber, l'obséder, la poursuivre sans répit",obséder
1864,Qui nous vient obséder(...),obséder
1850,"La dame se fâche. — Quand finirez-vous de m'obséder ainsi , monsieur",obséder
1807,"Ce moyen suborneur n'ayant pas réussi , on eut l'infamie de la faire obséder par des malheureux , habitués à faire rougir la pudeur, et l'on ne réussit pas mieux : la véritable vertu est inébranlable",obséder
1878,"En voyant tant de charmes et tant de grâce, quels tristes pensers n'ont pas dû obséder son cerveau malade(...)",obséder
1836,"c Cependant les parens de Péterman de Temringer c ne tardèrent pas à l'obséder pour qu'il prît une s femme de leur choix, et qu'il laissât sur la terre un 1 héritier de son nom et de ses biens",obséder
