year,sentence,key_word
1894,"Le président de la République a été frappé d’un coup de poignard dans le trajet de la Chambre de Commerce au Grand Théâtre(...)L’assassin a été arrêté aussitôt, il tenait un placet d’une main et un poignard de l’autre",poignard
1832,"poignard n'a jamais servi qu'à faire flré les gens de bon sens qui savent que chaque fois que l'on écrit poignard, il faut lire canif ou couteau rond",poignard
1832,"Allons il est midi mon chapeau, mon poignard et mon parapluie",poignard
1908,Larnaudien (Musée de Saint-Germain) (fig. 68). \ Lame de poignard à douille(...)Morgien (Musée d'Artillerie). r Poignard avec trous de rivets à la poignée,poignard
1908,Long poignard avec trous de rivets à la poignée(...)Poignard à 2 rivets à la poignée,poignard
1908,Pointe de lance et lame de poignard à rivets(...)Poignard trouvé à Choisy-le-Roi (École d'Anthropologie(...),poignard
1908,"Lame de poignard trouvée, en .1880, à Bougival, dans les travaux de la nouvelle écluse(...)Lame de poignard avec soie percée de trous de rivets recueillie dans le déblaiement du sol supérieur du dolmen des Mur eaux",poignard
1908,"I Lame de poignard à deux rivets (fig. 77(...)Larnaudien. > Lame, de poignard à petite languette, avec deux trous(...)",poignard
1908,"234 — Lame de poignard à languette et à crans, très usée (fig, 82(...)",poignard
1908,"78. — Lame de poignard à deux rivets(...)Lame, de poignard à deux rivets (fig. 78(...)",poignard
1908,"Une hache et un poignard provenant des dragages de la Seine à Ris-Orangis (École d'Anthropologie(...)poignard assez plate, toute unie, tin peu triangulaire, à la base équarrie, longueur 9 centimètres(...)",poignard
1908,"Lame de poignard à douille, avec fragment de(...)Lame de poignard à languette et à crans. t dragages de la Seine, en amont de Villeneuve-Saint-Georges. j.Fig. 83. — Morgien",poignard
1908,"4 lames de poignards triangulaires de 32 centimètres, 34 centimètres, 35 centimètres, 40 centimètres de longueur, à trois trous de rivets à la poignée",poignards
1908,"I Poignards, épées et- agrafes trouvés dans des cercueils fcen pierre, avec des vases en terre, à Osmoy, canton de Inoudan(...)",poignards
1908,"Une scie, ou âme de poignée de poignard",poignard
1908,"50 de profondeur un bassin I de fontaine de l'époque romaine d'un mètre de diamètre et divers I objets, parmi lesquels des épées et un poignard de l'âge du li bronze",poignard
1927,"René Pommier, avocat à la Cour, a, sur un bref et très probant rapport de M. Daniel Poignard, adopté le principe de cette addition(...)c Il pourrait venir à l'esprit, ajoute M. Daniel Poignard « dans son rapport, que cette addition serait inutile, étant « donnés les termes du paragraphe 4 de l'article 345 du Code « pénal ainsi conçu : c Seront punis de la réclusion(...)",poignard
1894,"36« Année. - N° 2656 \4 Q Sâléir""' 22 Juillet 1894 CASERIO SANTO LE POIGNARD QUI A SERVI A COMMETTRE LE CRIME Nous avons l'honneur de prévenir nos abonnés et nos correspondants, que depuis le 1er juillet, pour la commodité et la régularité des services, nos bureaux sont transférés à l'imprimerie même du journal: 64, rue Amelot, à. Paris",poignard
1894,"nous y joignons le dessin rigoureusement exact du poignard avec lequel il a commis le crime(...)Pieschi en 1835, Pianori en 1855, Orsini en 1858, Caserio en 1894, sont venus jouer chez nous de la bombe ou du poignard",poignard
1833,"J'avais deux pistolets croisés à ma ceinture, Un poignard bien trempé... — la nuit était obscure(...)montagnard, J'allais rêveur, les doigts posés sur mon poignard. — Oh(...)",poignard
1833,"cherché dans notre sein Un poignard , pour monter au rôle d'assassin, Quand là justice aux pieds des rois est abattue, Dieu nomme une Judith, l'envoie et lui dit : TUE",poignard
1833,"s indices et des soupçons, par Je sabre et les balles, le poignard est le corollaire et la contre-partie des assassinats prétendus(...)",poignard
1916,"N° 691. — 14 e Année, 10 Décembre 1916. - lO Centimes - La Jeunesse illustrée LE POIGNARD RÉVÉLATEUR, par QUESNE Dans une de nos colonies d’Afrique, un espion allemand habitait depuis fort longtemps sous un faux nom, et avait habilement conquis l’estime générale(...)Pour s’entretenir plus à l’aise d’un plan d’attaque qu’ils élaboraient... ... spéciale, sur la lame d’un poignard enduite d’un liquide fortement coloré",poignard
1916,"2 LA JEUNESSE ILLUSTRÉE LE POIGNARD RÉVÉLATEUR (Ffo) Malgré la torture qu’il subit, l’Allemand parvint à tirer les cinq balles de son revolver sur la bête qui lâcha prise et ne tarda pas à expirer(...)Ce poignard lui révèle qu’elle aimait un espion(...)",poignard
1886,"milieu d'eux, écartant là foulé à coups de mailehe de poignard(...)L'homme au poignard se retourna vivement. — Celui qui porte la bague, reprit Man-hop, sort en ce moment(...)",poignard
1886,"Quant à l'homme au poignard, qui n'était autre que le Ye^ko, à peine eut-il entendu les paroles du géant qu'il remit son poignard dans sa gaiiie, et fendit la foule",poignard
1886,"Pinson n'avait pas eu le temps de tirer son poignard, tant l'élan du Ye-ko avait été foudroyant(...)Enfin, ils se trouvèrent en face l'un de l'autre et engagèrent leurs poignards",poignard
1886,"soit, dit-il, puisque tu viens jusqu'ici braver mon poignard, tu n'échapperas pas à la mort que tu mérites(...)On a sans doute été surpris de voir Pinson, muni de la bague impériale, se présenter aux lieu et place du missionnaire au poignard do Fo-hi",poignard
1886,"ce poignard-'qui a frappe lé prêtre, ce poignard ""cherchait le coeur 'dû Fils du Ciel",poignard
1886,"Puis, il se jeta sur le corps du Ye-ko, qui se tordait, lui arracha le poignard des mains, et le lui plongea à plusieurs reprises dans le coeur(...)Le poignard sous lequel avait expiré le Ye-ko était resté plongé dans la poitrine du cadavre",poignard
1846,"La cour rovale évoquait un 1 drame sanglant, où In jalousie s’,offrait le poignard h la main",poignard
1846,"le même poignard qui venait do briller aux regard.- de la dame’)..., lui avait percé le cœur.) ""i La dame D(...)que le poignard qui avait servi à celui-ci pour commettre lo crime lui nppaiteuait(...)",poignard
1947,"ce poignard, que lui avait confié Varinah — Et il était l'ennemi de la grande 'prêtresse, dit le brahme. — Il l’avait abusée, s’était fait passer pour un arqi(...)Elle a confié ce poignard à l'un de ses ennemis, qui te l'a donné ensuite, et(...)",poignard
1947,Poignard étincelant,poignard
1849,"puis le captif prendra la "" fuite. s Georges, en parlant ainsi, présentait à sa compagne un poignard à double tranchant, dont la lame avait été récemment aiguisée",poignard
1849,"Bianca, en prononçant, ces mots, coupait avec la lame de son poignard les liens qui garrottaient le prisonnier(...)et son agitation diI minuait encore ses Forces. —Donnez-moi vôtre poignard : dit le. chef aragonais. dont la main droite avait",poignard
1849,"dit. don Pablo à safilleen lui niontrant lé poignard.- . — Un protecteur de plus(...)Ii — Vous m'avez pris mon poignard, dit I i la jeune espagnole à voix basse, si c'est pour vous défaire de moi, attendez un moment, de j < plus(...)",poignard
