year,sentence,key_word
1987,BON DE DÉPART VERS LE SOLEIL Nom : Prénom : Adresse(...)BON DE DÉPART VERS LE SOLEIL Nom : Prénom : Adresse(...)BON DE DÉPART VERS LE SOLEIL Nom : Prénom : Adresse(...),prénom
1987,Nom : Prénom : Adresse(...),prénom
2007,"Diana recopie son prénom, dessous, dessus, à droite à gauche(...)sol de son prénom(...)doigt les lettres de son prénom",prénom
2007,"Elle est fière de montrer que maintenant elle sait écrire son prénom en majuscules Elle fait aussi de superbes dessins plein de couleurs. - Clocharde, on t'a vue faire la manche* en ville(...)Ils ne lui parlent pas, ils ne savent même pas son prénom. * faire la manche : mendier, demander de l’argent aux passants",prénom
2007,"Du coup, ils ont appris son prénom, ils ne la traitent plus de clocharde",prénom
2007,Dis-nous les chansons que tu aimes écouter ou chanter : Nom : Prénom Adresse : Né(e) le : Code postal : Ville : email : O Je reçois déjà la Lettre de Tapori Pays : O Je ne reçois pas la Lettre de Tapori Bulletin d’abonnement Prénom : Nom : Adresse complète : Né(e) le Pays : O Je m’abonne (ou je me réabonne) à la lettre de Tapori,prénom
1921,"PROJET DE LOI ADOPTÉ PAR LA CHAMBRE DES DÉPUTÉS Portant ratitication du décret du 7 août 1920 introduisant dans les départements du Bas-Rhin, du du Haut-Rhin et de la Moselle les lois et règlements français relatifs aux changements de nom et de prénom et au surnom, PRÉSUIRRÉ AU NOM DE M",prénom
1921,a — Haut-Rhin et de la Moselle les lois et règlements français relatifs aux changements de nom et de prénom et au surnom,prénom
1921,"Est ratifié le décret du 7 août i920 portant introduction dans les départements du Bas-Rhin, du Haut-Rhin et de la Moselle des lois et règlements français relatifs aux changements de nom et de prénom et au surnom",prénom
1982,"ADRESSES: 1er parieur:N°. .rue code postal ville 2ème parieur:No..rue code postal ville 1er témoin:Prénom Nom adresse complète 2ème témoin:Prénom Nom adresse complète SIGNATURES: 1er parieur: 2ème parieur: 1er témoin: 2ème témoin : (N'oubliez pas de renvoyer ce contrat à ""PARI-TAPORI"" 95480 - P1ERRELAYE(...)",prénom
1982,"3136540 M La Source Je m'abonne o Je me réabonne o J'abonne un(e), ami(e), il(elle) s'appelle : prénom nom âge",prénom
1845,"pour Acé, prénom Justine, pour Joséphine prénom Ursule et pour toutes deux nom patronimique(...)",prénom
1845,"prénom, pour la mère, Marie, pour la fille Rosalie, nom patronimique Jacob(...)prénoms, pour la mère, Euphrosine et pour la fille Galiste(...)prénoms, pour la mère, Nathalie, et pour la fille Cécile, nom patronimique Geinbosier(...)",prénom
1845,"prénom de la mère, Eulalie , celui de la fille,, Elisabeth, et nom patro- nimique , pour toutes deux, Mandillon(...)prénom de la mère, Cécile, celui de la fille , Félicité, nom patroniinique, pour toutes deux, Yonel(...)",prénom
1845,"lequel conservera le même prénom ei prendra le nom patronimique de Pomaré qui est celui de sa mèie , affranchie par arreté du 5 avril dernier(...)même prénom, nom patronimique Elmè- - par son frere, le sieur Elmès, maître charpentier, demeurant au même lieu",prénom
1845,"mêmes prénom et nom(...)même prénom , nom patronimique Félix",prénom
1845,"mêmes prénoms , et nom patronimique, pour tous deux, Delphin(...)prénoms Jean-César et nom patronimique üonique , et 2 0 Emilie, de 3 ans, née à la Goyave, numéro matricule 891(...)",prénoms
1845,"3° Hégésippe dit Oscar, non immatriculé, de 5 ans , les impétrants frère et sœurs , nés et demeurant aux Ahymes , prendront les prénoms de Joséphine , Fulvie(...)prénom Jérôme, nom patronimique(...)",prénoms
1845,"pour Acé, prénom Justine, pour Joséphine prénom Ursule et pour toutes(...)prénom de la mère, Eulalie, celui de la fille, Elisabeth, et nom patronimique, pour toutes deux, Mandillon",prénom
1845,"conservera le même prénom et prendra le nom patronimique de Pomaré qui est celui de sa mère, affranchie par arrêté du 3 avril dernier(...)4^9 i même prénom, "" :f - patroiui.sifjue Silene(...)",prénom
1845,"prénom Joseph et nom patronimique Sincire , 4° Francisque, noir, de 2 5 ans, immatriculé sous le 11. iiy5(...)prénom François et nom patronimique Yilon : tous quatre domestiques de maison, nés et domiciliés à Saint-François(...)",prénom
1845,"même prénom , nom patronimique Félix(...)mêmes prénoms, et nom patronimique, pour tous deux, Delphin",prénom
1845,"laquelle prendra le prénom de Magdeleine et le nom patronimique de Petit-Frère(...)3° Hégésippe dit Oscar , non immatriculé , de 5 ans , les impétrants frère et sœurs , nés et demeurant aux Abymes, prendront les prénoms de Joséphine , Fulvie et Periclès, et le nom patronimique de Mæsta(...)",prénom
1845,"pour Ac-, prénom Justine, pour Joséphine prénom Ursule et pour toutes deux nom patronimique Morandet(...)prénom de la mère, Eulalie, celui de la fille, Elisabeth, et nom patronimique(...)",prénom
1845,"prénom de la mère, Cécile, celui de la fdle, Félicité, nom patronimique, pour toutes deux, \011el(...)prénom François et nom patronimique Vilon : tous quatre domestiques de maison , nés et domicilies à Saint-François(...)",prénom
1845,"nom usuel (Alexis) pour prénom, nom patronimique Eidole(...)",prénom
1845,"pour prénoms les noms usuels ci-dessus , nom patronimique Sainte-Luce(...)même prénom",prénoms
1845,"prénoms pour la première Elisabeth, pour la seconde Anne-Adélaïde, et nom patronimique(...)prénom , pour la mère, Joséphine , mêmes prénoms pour les enfants, exceptée Mimine qui s’appellera Magdelaine, nom patronimique Fifine(...)",prénoms
1845,"prénoms , pour la mère, Thérèse, et pour la fille, I rsule, nom patronimique Mayène(...)prénom , pour la mère, Joséphine , mêmes prénoms pour les cillants, exceptée Mimine qui s’appellera Magdelaine, nom patronimique Fifine(...)",prénoms
1845,"prénoms Jean- Baptiste(...)56’4i du registre 6 mêmes prénoms, nom patronimique Onagre(...)",prénoms
1845,"prénom Pauline, nom patronimique Avantine(...)prénoms pour Jojotte, Jean-François, pour Petit-Frère , Jean-Nicolas(...)",prénom
1845,"prénom Charles, nom patronimique Chou(...)prénom Augustin , nom patronimique Dutel(...)même prénom, nom patronimiqueMinianthe",prénom
1845,"noms usuels (Marie-Marguerite) pour prénoms , nom patronimique Rubcria(...)noms usuels ( Claire, Marie, Gédéon, J .-Baptiste et Saint-Eloi ) pour prénoms, nom patronimique Talaba(...)",prénoms
1845,"mêmes prénoms, nom patronixnique Onagre(...)prénoms pour Jojotte, Jean-François, pour Petit-Frère , Jean-Aieolas(...)",prénoms
1845,"mêmes prénoms, nom patronimique Jéricault(...)prénom Joseph , nom patronimique Léonardiu(...)même prénom , nom patronimique Planbeau(...)",prénoms
