year,sentence,key_word
1881,Nos deux voyageurs font repaître leurs montures,repaître
1878,"princesse de M... et ne sachant comment parvenir jusqu’à elle, s’était déguisé en garçon jardinier et LES FOURNISSEURS Ainsi accommodé, il peut se repaître de la vue des curiosités de la capitale",repaître
1919,Est-il vrai que ces lectures donnent la mort A l’âme do ceux qui ont lo malheur do s’en repaître(...),repaître
1891,"de renfermer les enfants pour les empêcher d'aller se repaître de terre, La cause première de cette alimentation semble être le défaut d'autre nourriture, et aussi l'indolence propre aux habitants des pays chauds(...)",repaître
1890,"Mère dévouée, ton fils n'a déjà que trop de penchants mauvais : loin de lui le camarade, loin de lui le livre qui pourrait repaître sa curiosité'et lui donner une science mille fois pire que l'ignorance",repaître
1826,"Et le noble faubourg vient par-delà les ponts, * Se repaître à prix d'or de l'oonui des bouffons(...)Venir par-delà les ponts , se repaître de l'ennui des bouffons(...)",repaître
1919,"malsains, corrupteurs du journal impie, aussi antifrançais qu’antichrétien, véritable lléau national, dans sa campagne contre tout ce qui est grand et noble : s’en repaître, c’est s’anémier, s’y abonner, c’est trahir(...)",repaître
1915,"Tandis que, sur nos frontières, ses soldats qui n'ont môme pas pu voir à l'horizon les forts de Paris, pourrissent dans leurs tranchées, fauchés par nos soixante-quinze, et que penché sur son échiquier démesuré, notre Joffre travaille à le faire mat, au loiu, à l'Orient, le regard aperçoit comme un immeuse nuage noir, les innombrables corbeaux du Kremlin qui viennent se repaître de chair allemande",repaître
1898,Et se rëpâitré de l'horrible spectacle de ces chairs arrachées(...)Vous dites que j'ai dû me repaître avec i joie de la vue de ces pauvres membres arrachés et sanglants(...),rëpâitré
1898,"Et jamais je ne retrouverai une occasion pareille... une occasion où je pourrai, sans être vu, repaître tous mes yeux de l'illumination de sa beauté",repaître
1899,"Leur unique plaisir était, le soir, de se repaître de musique",repaître
1903,"I r Echappé d’une ménagerie, un boa affamé aperçoit venir à lui un cycliste, Dans une ornière il se tapit immédiatement, Le cycliste sans défiance s’y engage, 1 LOOPING 'THE LO OP, par Cadet Ce qui permet au serpent de se repaître tout en se payant un petit spectacle fort apprécié du public",repaître
1901,"Mais l’œil peut se repaître plus agréablement de symétrie dans les belles lignes dü Louvre, ou de l’arc de l’Etoile",repaître
1925,"Un œil noir qui, comme dans Carmen r n’â cessé de se repaître de lui pendant une corrida, lui fait savoir qu’il n’aurait rien à lui refuser",repaître
1865,"la théologie d'Homère et ces innombrables maximes, répandues ça et là dans les poètes, invitant l'homme à repaître ses appétits grossiers à l'instar des dieux qui devaient certainement être les meilleurs juges en fait de bonheur",repaître
1916,"A une heure où il y a tant de dévouement, tant d’héroïsme, tant d’actions d’éclat sur le front, dans nos hôpitaux, à une heure où notre France se couvre de gloire, pourquoi remuer un boue presque toujours mêlée de sang, pourquoi repaître notre jeunesse d’actes passionnels ou criminels qui sont la honte de l’humanité",repaître
1916,"ceux qui lancent les films connaissent les basses convoitises du cœur humain, ils n’hésitent pas à favoriser les mauvaises passions, à repaître l’imagination des curiosités les plus malsaines, à donner en pâture des exploits de brigands dont il met en vedette l’habileté à dépister la justice et qui deviennent pour une jeunesse incapable de réfléchir des héros à imiter",repaître
1877,Heureusement que Galilée et moi avions eu la précaution d'aller nous repaître dans le fin fond de Neuilly,repaître
1900,s S'il était nommé et qu'il puisse se repaître à cette nouvelle auge on pour(...),repaître
1894,"repaître les étudiants de la rue Mazarine, envoient une de leurs pensionnaires porter des. couronnes derrière le char dû cadavre impérial",repaître
1895,"vaulourssuivant les armées pour se repaître de tout, ce qui leur tombe sous la griffe(...)",repaître
1856,Mais ce n'était là que le prologue de la tragédie sanglante dont il voulait repaître ses yeux,repaître
1856,"Avec ces ordures il fera de l'argent, ce pauvre alchimiste, et avec cet argent il trouvera de quoi se repaître",repaître
1865,"si nous en croyons J. Denizet, on va repaître 250 personnes avec un kilo de l’extrait de bœuf préparé selon la formule de M",repaître
1889,repaître de bonne musique Esnaransa,repaître
1882,"Son oeuvre achevée en France, elle pas* sa les Pyrénées et recommença à se repaître de victimes humaines",repaître
1866,"Laissons ces natures prosaïques se repaître de matière et se livrer à leurs appétits grossiers, il nous faut à nous des mets plus en rapport avec l'élévation de notre esprit",repaître
1856,"Chacun, pour se repaître De l'ivresse du maître, N'attendait que son tour",repaître
1878,Repaître son esprit d'une vaine parole,repaître
1881,"Mais plongez vos regards au sein de cette foule Dont le flot bigarré par les portes s'écoule : Le peuple atroce et vil murmure, menaçant, Car il ne pourra pas se repaître de sang, Et dans un spasme plein de langueur infinie, Avaler à longs traits une longue agonie(...)",repaître
1879,"Que vos belluaires ouvrent la cage des lions pour qu’ils viennent se repaître de nos membres palpitants(...)Toi et tou Galerius (le secrétaire précité) vous ne songez qu’à bâter le moment de vous repaître de notre chair, de vous enivrer de notre sang, tigres altérés, affamés de carnage 1 — Mais sac à papier 1 reprit Dioclétien, à qui en avez-vous(...)",repaître
1878,"_ ft _ répandait une odeur réellement cadavérique, j'ai vu des Lucilia Goesar et des Sarcophaga carnaria se poser sur cette plaie, se repaître des humeurs et y déposer leurs oeufs ou leurs pupes(...)",repaître
1809,Danger dé s'en repaître avant leur maturité(...),repaître
1891,"et canards se jeter sur ce friand morceau et s'en repaître avec avidité. i A quelques jours de là me souvenant de ce qui s'était passé, je voulus m'offrir le spectacle d'une chasse à courre par ma meute de'volailles(...)",repaître
1881,"Le cher homme n'a pas attendu pour dormir que l'éteignoir soit posé sur sa modeste chandelle, car il a hâte de se repaître de sommeil(...)",repaître
1820,"tous les poetis sont d'accord sur un point, ils nous présagent un avenir fortuné, et le besoin que nous avons de nous repaître d'un espoir",repaître
1881,"Nous pourrons un jour facilement voir à Marseille comme nous pourrons y entendre, et repaître nos yeux du doux soleil du Midi, et de la luxuriante végétation de Nice, en grelottant sous la neige de janvier, au milieu des feuilles mortes et des branches chargées de givre",repaître
1906,"Chicot aussi lient, à se repaître, mais plus royalement que le pauvre moine",repaître
1829,"chemin, et se repaître encore des souvenirs dupasse, et des illusions",repaître
1905,MARIK.- - Tu veux te repaître du malheur des autres(...),repaître
1906,ils ne peuvent se dispenser de s'en repaître les yeux,repaître
1832,"3' isolée, ou caché derrière l'épais et flexible feuillage d'un saule pleureur, vous aviez aperçu ce groupe, certes vous auriez rêvé de quelques noirs vampires venant «se repaître de cadavres, pâture arrachée aux vers",repaître
