year,sentence,key_word
1894,Rossignol et Raguin expriment le même avis(...)Pruès demande la parole pour indiquer qu'il se rallie à la proposition de M. Rossignol,rossignol
1894,"Larmet croit qu'il y aurait intérêt à le tenir avant, et M. Rossignol ajoute que puisque les deux Congrès doivent se tenir à la même époque, il y a intérêt, au point de vue économique pour ceux qui doivent assister aux deux, de tenir le Grand Conseil immédiatement avant ou après(...)Rossignol dit qu'il y a inconvénient à ce que les délégués du Grand Conseil arrivent au Congrès avec une opinion faite",rossignol
1894,Pruès n'apporte aucun document nouveau à la question et déclare se rallier à la manière de voir de M. Rossignol(...)Rossignol demande(...),rossignol
1894,"21 juillet i881 relativement à l'inspection des foires et marchés. — MM. Guerrapain, Rossignol, Labully, Le- febvre, Meurant, Gaignard, Larmet, Raguin, prennent part à la discussion(...)",rossignol
1894,Rossignol indique(...),rossignol
1894,Après quelques observations de MM. Rossignol et Gaignard cette question est ajournée par la majorité des membres du Grand Conseil,rossignol
1894,"Rossignol dit qu'il a constaté qu'à Marseille, à Alger,à Rennes et ailleurs,il y a toujours eu un très petit nombre de vétérinaires et que la Société de Rennes n'est même pas représentée aujourd'hui",rossignol
1894,Rossignol pour la société pratique(...),rossignol
1894,Rossignol proteste contre les chinoiseries administratives(...),rossignol
1894,"Celle de M. Rossignol , que les élèves qui sortent diplômés soient incorporés dans un régiment de cavalerie(...)Loi contre Vempirisme M. Rossignol ne croit pas qu'il soit utile de chercher à faire modifier le projet de loi(...)",rossignol
1894,"Rossignol conseilla,il y a un an,à M.Chassaing d'abandonner son projet(...)Rossignol trouve que le projet de la Commission est plus mauvais que celui du Gouvernement",rossignol
1894,Rossignol dit qu'il faut se préoccuper dès maintenant de trouver des défenseurs pour combattre le projet de la Commission et défendre le projet du Gouvernement,rossignol
1896,319 CAUSERIE Encore les viandes malsaines. — Un jugement trop débonnaire. — A propos de la décoration de M. Rossignol. — Lettre ouverte de M,rossignol
1896,"Garnier énumère, tout au long, en cette lettre, les titres que possède M. Rossignol, pour obtenir, haut la main,, cette distinction, qu'on lui fait attendre, comme à plaisir(...)Rossignol, se soit montrée à ce point indifférente à l'égard de ce praticien, dont les services sont hautement reconnus par tous, qu'il faille que ses confrères, ses amis, soient obliges(...)",rossignol
