year,sentence,key_word
1885,de faire trébucher lavertU'du digne jeùne'-hoiïime,trébucher
1885,un violent désîr:de faire trébucher la vertu,trébucher
1879,"le vin vous fait trébucher à chaque pas. — Pas du tout, je n’ai pas tort de boire, répom- dit l’ivrogne",trébucher
1918,"Viennent les coups de la tentation qui, à l’instar du palet se glissent et frappent en bas, l’âme peut un instant trébucher mais sous l’action de la prière et, des sacrements elle se icaresse soudain : Chômez la galoche, c’est-à-diie Sursum corda(...)",trébucher
1926,"Surpris et poursuivi dans la montagne par d'habiles skieurs, il Unit par trébucher dans un ravin et se tue",trébucher
1915,Le vin le fait trébucher(...),trébucher
1903,"En faisant sa tournée de garde, une branche a fait trébucher votre pauvre cher papa, et le fusil qu'il tenait, accroché par je ne sais quoi, s'est déchargé sur lui",trébucher
1958,Je songe: à cette danseuse polonaise qui trébucha comme seulement peut trébucher une jeune Polonaise. (Ce qu'on n'aurait jamais remarqué si l'on n(...),trébucher
1916,"sans fléchir, sans chanceler : Il dira volontiers : Mettez-en encore un peu plus, je peux en porter davantage, mais si vous mettez le même fardeau sur les épaules d’un ouvrier qui est faible, vous le verrez bientôt trébucher, s’affaisser sous ce poids trop lourd pour lui",trébucher
1941,"de trébucher à chaque pas, pour avancer sans crainte, relisons ces pages que Lénine écrivait on 1920",trébucher
1923,"Et pourtant le fait se produit pour l'Allemagne comme si le destin voulait l'inviter à tirer profit de l'expérience récente. > Va-t-on comprendre en Allemagne que nous sommes de nouveau sur le point de trébucher aveuglément, indociles aux leçons de l'expérience, sur le même obstacle, et de nous précipiter dans le même abîme(...)Pourtant nous voici sur le point de trébucher de nouveau, à la même place qu'en 1918, avec beaucoup plus de maladresse encore",trébucher
1859,"Les souliers, trop grand ou trop petits, à votre volonté, pour son pied, le faisaient bien trébucher et cogner du nez contre tous Us coins(...)Au contraire, cet entêtement à trébucher avec une chaussure impossible intéressa quelques bonnes âmes, qui",trébucher
1886,"Aussi lorsqu'un obstacle le fit trébucher, sa frayeur fut-elle au comble. - Me voilà tombé pour le moins au milieu d'une troupe de Bédouins, pensat-ii(...)obstacle qui l'avait fait trébucher",trébucher
1889,On se demande seulement s'il se heurtera îout de suite à un obstacle qui le fera trébucher dés le premier pas,trébucher
1882,"En même temps, il se levait d'une table, où il avait dû se livrer à de fréquentes rasades, car on le vit presque aussitôt trébucher et rouler dessous",trébucher
1855,"main une torche enflammée et brandissant dans l'autre une arquebuse, un homme que l'ivresse fait trébucher rou",trébucher
