year,sentence,key_word
1893,"La première fois que j'y goûtai, le palais en feu, leB entrailles en révolution, je crus que j'allais trépasser",trépasser
1884,Il avait d'autres raisons pour trépasser,trépasser
1863,"une quinte traîtresse, certain joueur de viole, trop ami de la pinte, venait de trépasser",trépasser
1887,Il vient de trépasser .omine un idiot(...),trépasser
1865,"Comm' ce s'rait un' injustice De ne pas récompenser L'art de se fair' trépasser : Je veux, dit maître Maurice, Un' somm' de cinquant' miil' francs, A litre d'encourag'ments",trépasser
1913,"1 Quand j'entends une femme de Ion embonpoint § — de ton appétissant embonpoint — parler de la § sorte, je crains toujours de trépasser dans une crise de fou rire(...)",trépasser
1865,"bruit mat d'un corps qui tombe Dans l'eau qui roule au long du quai : Là-bas, près de la Tour de Nesle, Quelqu'un vient-il de trépasser",trépasser
1916,"PROVERBES Octobre glaçé Fait vermine trépasser. * * An En octobre qui ne fume bien Ne récolte rien Qui sème à la Saint Denis Contemplera ses amis * # * Bel automne, printemps pluvieux",trépasser
1838,"Tels, a- vant de trépasser, comme disait hier M. Royer-Collard, la fouine(...)",trépasser
1838,"coryphée de l’incapacité, de la corruption et de la servilités va trépasser",trépasser
1878,"Elle arriva trop tard, triste coïncidence, Il faisait sombre et lui venait de trépasser, On entendait au loin une fête, une danse, La Gaité ne voyait pas la Mort se dresser",trépasser
1892,"une lettre d'un notaire de province, le prévenant qu'un de ses parents fort éloigné venait de trépasser, le laissant seul héritier d'une petite fortune assez rondelette",trépasser
1923,le .tripotage malprope des denrées alimentaires.nous devrions tous trépasser à là fleur de l'âge,trépasser
1853,"Maïs à quoi hbn tant amasser, Me dis-je ensuite""en ma raison grossière, s ■ Puisqu'il faut toujours trépasser Et s'en(...)",trépasser
1853,dans quelques jours. ' ■ ■ ï ItoMiio-ColleuilIe. — Les acteurs croque- j morts continuent à exhumer de la tombe des vau- 1 t devilles trépassés depuis cinquante ans,trépassés
1875,"Ce beau «adet ne s'est point jeté dans la rivière pour y trépasser volontairement, j'imagine, puisqu'il se débattait tout à l'heure comme Un diable dans un bénitier(...)",trépasser
1875,"c'est bien dommage,foi de Joson, de trépasser vilainement quand on est si jeune et si gentille que ça",trépasser
1846,"Si, près de trépasser, pauvre auteur, H doit craindre D'avoir porté trois noms pour n'en laisser aucun",trépasser
1862,"et alors je cherchais parmi mes parents, celui qui pour me faire son héritier, aurait eu l'extrême obligeance de trépasser",trépasser
1875,"Ce délit étrange a consisté à apprendre brusquement à une vieille dame la mort de son fils, ce qui l'a fait trépasser sur le coup",trépasser
