year,sentence,key_word
1903,LA CÈNE PEINTURE SUR VOLET ÉCOLE DE L'AMIÉNOIS (XV* SIÈCLE,volet
1903,"LA CÈNE PEINTURE SUR VOLET ÉCOLE DE L'AMIÉNOIS (XVE SIÈCLE) 0 ETTE œuvre d'art et les six autres qui vont suivre, proviennent de l'ancienne Chartreuse de Saint-Honoré au faubourg Thuison-lès-Abbeville(...)Ces peintures étaient appliquées sur les deux faces de quatre volets (H. 1""7 ; L. Om5I), qui ornaient le grand autel",volet
1903,L'ASCENSION PEINTURE SUR VOLET ÉCOLE DE L'AMIÉNOIS (XVE SIÈCLE) Même provenance,volet
1903,L'ASCENSION PEINTURE SUR VOLET ÉCOLE DE L'AMIÉNOIS (XVE SIÈCLE) Même provenance(...),volet
1903,LA PENTECOTE PEINTURE SUR VOLET ÉCOLE DE L'AMIÉNOIS (XVe SIÈCLE) Même provenance,volet
1903,LA PENTECOTE PEINTURE SUR VOLET ÉCOLE DE L'AMIÉNOIS (Xye SIÈCLE) Même provenance(...),volet
1903,LA VIERGE & L'ENFANT JÉSUS PEINTURE SUR VOLET ÉCOLE DE L'AMIÉNOIS (XVI* SIÈCLE,volet
1903,"LA VIERGE & L'ENFANT JÉSUS PEINTURE SUR VOLET ÉCOLE DE L'AMIÊNOIS (XVIe SIÈCLE(...)ETTE peinture et les trois suivantes continuent, avec les précédentes, la série des tableaux peints sur quatre volets qui proviennent de la Chartreuse de Saint-Honoré(...)",volet
1903,SAINT HUGUES ÉVÊQUE DE LINCOLN PEINTURE SUR VOLET ÉCOLE DE L'AMIÉNOIS (XVIe SIÈCLE,volet
1903,SAINT HUGUES ÉVÊQUE DE LINCOLN PEINTURE SUR VOLET ECOLE DE L'AMIENOIS (XVIe SIÈCLE(...),volet
1903,SAINT JEAN - BAPTISTE 1 PEINTURE SUR VOLET ÉCOLE DE L'AMIÉNOIS (XVIe SIÈCLE,volet
1903,"SAINT JEAN-BAPTISTE PEINTURE SUR VOLET ÉCOLE DE L'AMIÉNOIS (XVI' SIÈCLE(...)ETTE figure, avant le dédoublement des volets, correspondait à celui de la Pentecôte sur la face opposée",volet
1903,SAINT HONORÉ PEINTURE SUR VOLET ÉCOLE DE L'AMIÉNOIS (XVI- SIÈCLE,volet
1903,"SAINT HONORÉ PEINTURE SUR VOLET ÉCOLE DE L'AMIÉNOIS (XVIE SIÈCLE(...)EST SOUS le patronage de ce saint né, au vie siècle à Port-le-Grand à proximité d'Abbeville, que la Chartreuse de Thuison avait été fondée au xive siècle et sa représentation devait nécessairement figurer sur ces volets",volet
1978,"Les deux premiers volets sont conservés par le club, le troisième volet est remis au titulaire. - La photo est supprimée",volets
1978,"FÉDÉRATION FRANÇAISE D'ATHLÉTISME 10, rue du Fgb-Poissonnière 75480 PARIS CEDEX 10 Téléphone : 770-90-61 ATTESTATION LICENCE-ASSURANCE (à conserver par l'intéressé) VOLET 1 VOLET 2",volet
1896,"Sur le volet de gauche : id'o j saint Basile, saint Grégoire, saint Phocas, saint Biaise, I saint Nicolas et saint Sévérien(...)Sur le volet de droite(...)",volet
1893,"Afin de retenir le volet d, et d'empêcher toute rotation du bloc b dans cet anneau pendant les mouvements 3-4 et 4-5, le bloc porte (fig. 9 et 10) une rainure coudée 'mjmjn^ en prise avec un cliquet m du volet d (fig. 4 et S(...)On remarque que le volet d porte un bras i, qui, pendant le virage, passe de la position indiquée en traits pleins (fig. 23) à la position poinlillée, de manière à maintenir ensuite l'axe ct dans sa position supérieure",volet
1893,"Ce volet est alors entraîné dans le pivotement du levier C de manière qu'il ouvre complètement la culasse comme en figure 76. - L'aiguille de mise en feu g est armée, lors de la fermeture du canon, par un levier K, pourvu d'un dispositif(...)Au retour, le volet D se renclanche d'abord par k avec la culasse",volet
1893,"Le bloc est retenu dans le volet par sa rainure circulaire I, et le piston J, qui en limite la rotation(...)En même temps que la culasse s'ouvre, le volet b repousse d'abord lentement par",volet
1906,OBTURATEUR A SIMPLE VOLET L'obturateur à volet (fig. 3) se compose d'une(...),volet
1906,"De même pour la détermination de la position la plus avantageuse du volet(...)36o° représente là vitesse de rotation '■ 6 y N. :ÏG0"" ^ du volet supposée uniforme (nombre de tours à la seconde(...)",volet
1906,"Pour diminuer cette disproportion exagérée, il y a intérêt à rapprocher le volet de l'objectif, à allonger le volet, à remonter la charnière(...)D'ailleurs, dès que le volet commence à s'ouvrir, les poussières qui sont devant l'objectif s'illuminent en haut comme en bas et envoient, avant que les faisceaux de l'horizon et du ciel ne soient démasqués, des rayons nuisibles qui voilent les parties correspondantes de la plaque, et ont d'autant plus d'influence que la pose est plus courte",volet
1906,"bU NORD DÉ LA FRANCE 73 Ces considérations nous amènent tout naturellement aux conclusions suivantes : L'obturateur à simple volet, excellent pour l'atelier, doit être proscrit pour le paysage",volet
1934,"NOVEMBRE 1934.N° 186 L'AÉRONAUTIQUE 265 IL Vue arrière, volets d'intrados abaissés, du P.Z. L(...)26, à l'attache sur le segment central, volet - de-fente en position ouverte",volets
