year,sentence,key_word
2014,"Au  port  de  Mohammedia  ,  aucun  bateau  de  la  Samir  n'  a  pu  accoster  depuis  deux  semaines  .",accoster
2014,"Mais  à  l'  heure  où  nous  mettions  sous  presse  ,  un  seul  bateau  sur  les  quatre  en  rade  a  pu  accoster  au  quai  de  déchargement  .",accoster
2014,Et  les  efforts  devaient  se  poursuivre  pour  faire  accoster  un  second  pétrolier  .,accoster
2014,Ces  bateaux  n'  ont  pas  pu  non  plus  accoster  à  cause  de  la  forte  houle  .,accoster
2014,"""  On  nous  alors  annoncé  que  le  bateau  n'  était  pas  en  mesure  d'  accoster  au  quai  ""  ,  raconte  le  journaliste  à  l'  hebdomadaire  ,  le  Nord-Est  ,  de  Sept-Îles  ,  Martin  Bélanger  et  également  passager  du  Camille-Marcoux  .",accoster
2014,"Arrivé  à  11  h  40  le  2  janvier  ,  le  navire  BRITISH  CORMORANT  est  le  premier  navire  océanique  en  provenance  d'  un  port  étranger  à  accoster  à  un  quai  situé  sur  le  plan  d'  eau  du  Port  de  Québec  en  cette  nouvelle  année  .",accoster
2014,"Battant  pavillon  Île  de  Man  ,  ce  navire  citerne  de  251,5  mètres  de  longueur  et  d'  une  jauge  brute  de  63  462  tonneaux  a  accosté  au  quai  87  appartenant  à  la  raffinerie  Jean-Gaulin  située  à  Lévis  sur  la  Rive-Sud  de  Québec  .",accosté
2014,Cette  tradition  de  l'  industrie  maritime  veut  qu'  un  trophée  soit  remis  au  capitaine  du  premier  navire  de  l'  année  à  accoster  à  un  quai  situé  sur  le  plan  d'  eau  du  Port  de  Québec  .,accoster
2014,"Le  navire-citerne  de  plus  de  250  mètres  battant  pavillon  de  l'  Île  de  Man  a  accosté  jeudi  matin  à  11  h  40  au  quai  87  appartenant  à  la  raffinerie  Jean-Gaulin  ,  à  Lévis  .",accosté
2014,"Le  Federal  Spey  a  accosté  au  quai  46  ,  au  terminal  opéré  par  Logistec  ,  une  autre  entreprise  canadienne  ayant  son  siège  social  à  Montréal  .",accosté
2014,"Après  34  heures  de  vol  ,  Laurent  Campana  est  arrivé  dans  ce  pays  et  a  récupéré  la  Toyota  n  °  448  ,  embarquée  fin  novembre  sur  le  paquebot  ""  Grand  Roma  ""  ,  qui  a  accosté  à  Port  Campana  (  une  similitude  de  nom  et  peut-être  bon  présage  )  .",accosté
2014,"Tous  les  grands  armements  de  croisière  d'  Europe  et  du  monde  y  accosteront  ,  avec  de  prestigieux  ambassadeurs  des  mers  tels  que  le  ""  Queen  Mary  II  ""  et  l'  ""  Aida  Sol  ""  .",accosteront
2014,Le  navire  a  finalement  accosté  à  2  h  dans  la  nuit  du  1  er  janvier  .,accosté
2014,Un  navire  accosté  à  Port-Alfred  attend  que  la  Garde  côtière  canadienne  l'  escorte  pour  sortir  du  fjord  .,accosté
2014,"L'  ancien  joueur  brésilien  du  Paris  Saint-Germain  ,  Néné  ,  qui  joue  actuellement  dans  un  club  qatari  a  été  accosté  par  un  supporter  algérien  ,  (  le  frère  de  cheb  Toufik  )  qui  portait  le  maillot  du  Mouloudia  d'  Alger  .",accosté
2014,"Mieux  encore  ,  en  balade  dans  le  quartier  traditionnel  de  Doha  ,  Souk  Wakef  ,  le  comédien  algérien  a  été  accosté  par  de  nombreuses  familles  algériennes  qui  voulaient  prendre  une  photo  souvenir  .",accosté
2014,"Le  nombre  de  bateaux  ayant  accosté  dans  ses  quais  a  atteint  les  10.600  ,  loin  des  12.000  enregistrés  en  2012  .",accosté
2014,"Une  adolescente  de  17  ans  qui  se  trouvait  à  un  arrêt  de  bus  ,  rue  de  la  République  à  Gières  ,  peu  avant  20  heures  dimanche  ,  a  été  accostée  par  deux  jeunes  femmes  qui  se  trouvaient  à  bord  d'  une  Peugeot  206  ,  conduite  par  un  homme  .",accostée
2014,"En  effet  ,  l'  un  des  deux  manifestants  ,  le  militant  local  Sean  Devlin  ,  a  soutenu  que  sa  collègue  et  lui-même  n'  avaient  jamais  été  accostés  par  la  sécurité  avant  de  monter  sur  scène  .",accostés
2014,Le  navire  a  toutefois  eu  de  la  difficulté  à  accoster  à  Godbout  en  raison  du  vent  et  des  glaces  .,accoster
2014,"La  force  des  glaces  a  rompu  les  amarres  du  Thalassa  Desgagnés  ,  un  pétrolier  qui  était  accosté  au  port  .",accosté
2014,Les  navires  ne  sont  pas  en  mesure  d'  accoster  au  quai  et  doivent  attendre  le  déglaçage  pour  prendre  livraison  des  rouleaux  de  papier  .,accoster
2014,"Pour  sa  part  ,  Archambault  s'  est  fait  accoster  par  une  jeune  femme  atteinte  du  syndrome  de  Williams  après  la  projection  ,  passionnée  par  l'  histoire  ,  mais  visiblement  déçue  de  ne  pouvoir  serrer  la  main  de  ladite  Gabrielle  .",accoster
2014,Ces  nouvelles  normes  l'  obligent  à  compléter  les  travaux  déjà  entrepris  sur  le  paquebot  afin  qu'  il  puisse  disposer  des  autorisations  nécessaires  pour  accoster  en  Europe  du  Nord  ainsi  qu'  en  Amérique  .,accoster
2014," Accosté  au  quai  de  Matane  ,  il  n'  a  pas  effectué  de  sortie  en  mer  depuis  lundi  .",accosté
2014,"D'  habitude  ,  les  navires  accostent  au  petit  matin  et  lèvent  l'  ancre  vers  17  heures  .",accostent
2014,"Le  8  janvier  ,  le  porte-avions  a  enfin  accosté  .",accosté
2014,"Le  temps  passé  sur  place  est  le  même  à  Nérac  où  ,  du  1  er  avril  au  31  octobre  ,  750  bateaux  ont  accosté  avec  près  de  900  personnes  dont  beaucoup  ont  fréquenté  les  boutiques  ,  les  restaurants  ,  les  piscines  ...  visité  la  région  à  partir  d'  un  kit  d'  accueil  que  leur  proposait  le  chargé  de  mission  .",accosté
