year,sentence,key_word
2014,"Et  aujourd  '  hui  encore  ,  alors  que  nous  sommes  parfaitement  accoutumés  à  l'  univers  wilsonnien  ,  fatigués  même  par  une  esthétique  figée  ,  par  des  spectacles  que  le  metteur  en  scène  produits  désormais  à  la  chaîne  et  dont  il  confie  le  plus  souvent  la  réalisation  ,  voire  la  conception  ,  à  des  assistants  ,  cette  immense  fresque  composite  qu'  est  ""  Einstein  on  the  Beach  ""  exerce  sur  le  spectateur  le  même  étrange  effet  de  sidération  .",accoutumés
2014,"Il  disait  qu'  ainsi  ,  quand  il  aurait  atteint  un  âge  avancé  ,  les  gens  se  seraient  déjà  accoutumés  à  l'  aimer  sous  des  traits  de  vieillard  .",accoutumés
2014,"Dans  un  de  ses  cours  consacrés  aux  mécanismes  cérébraux  impliqués  dans  la  lecture  ,  Stanislas  Dehaene  ,  professeur  au  Collège  de  France  ,  citait  cet  extrait  de  Feu  pâle  ,  de  Vladimir  Nabokov  :  ""  Nous  sommes  absurdement  accoutumés  au  miracle  de  quelques  signes  écrits  capables  de  contenir  une  imagerie  immortelle  ,  des  tours  de  pensée  ,  des  mondes  nouveaux  avec  des  personnes  vivantes  qui  parlent  ,  pleurent  ,  rient  .",accoutumés
2014,"Et  visiblement  ,  de  nombreux  internautes  commencent  à  s'  accoutumer  à  ce  nouveau  mode  de  consommation  .",accoutumer
2014,"Mais  les  constructeurs  se  sont  accoutumés  à  écarteler  les  segments  ,  à  faire  voler  en  éclats  les  catégories  ,  qui  dérivent  et  franchissent  les  marges  .",accoutumés
2014,"Quentin  Tarantino  penserait  également  à  l'  acteur  Bruce  Dern  ,  77  ans  et  accoutumé  aux  seconds  rôles  de  méchants  .",accoutumé
2014,"Ce  n'  est  pas  le  plaisir  ,  ce  n'  est  pas  la  nature  ,  ce  ne  sont  pas  les  sens  qui  sont  corrupteurs  ;  ce  sont  les  calculs  auxquels  la  société  nous  accoutume  ,  et  les  réflexions  que  l'  expérience  fait  naître  .",accoutume
2014,"Le  cadre  était  posé  et  le  vent  du  boulet  est  passé  tout  près  des  Allemands  qui  ,  accoutumés  à  batailler  entre  eux  ,  ont  bien  vu  qu'  un  concurrent  asiatique  très  sérieux  était  né  .",accoutumés
2014,"Quant  à  la  direction  by-wire  ,  il  faudra  s'  accoutumer  à  l'  absence  de  feeling  et  à  des  réactions  parfois  imprévisibles  ,  notamment  lorsque  l'  on  tourne  le  volant  en  freinant  .",accoutumer
2014,Sans  manipulation  génétique  mais  par  sélections  successives  le  batracien  s'  accoutume  à  une  alimentation  inerte  et  séchée  et  perd  ses  instincts  carnivores  .,accoutume
2014,"Aussi  pertinent  qu'  impertinent  ,  il  en  infère  donc  ,  en  guise  de  conclusion  :  ""  Ainsi  ,  une  des  conséquences  du  Dandysme  ,  un  de  ses  principaux  caractères  (  ...  )  est-il  de  produire  toujours  l'  imprévu  ,  ce  à  quoi  l'  esprit  accoutumé  au  joug  des  règles  ne  peut  pas  s'  attendre  en  bonne  logique  .",accoutumé
2014,"Les  noms  de  personnes  impliquées  dans  ces  agissements  mafieux  ,  n'  étonnent  point  ,  puisque  l'  opinion  publique  s'  est  accoutumée  aux  dossiers  scandaleux  qui  finissent  ,  après  dénonciation  ,  au  fond  des  tiroirs  des  services  judiciaires  et  juridiques  ,  par  la  force  ""  d'  instructions  influentes  ""  Tel  est  le  cas  des  unités  de  garde  et  le  gardiennage  payé  pour  les  points  de  vente  dont  la  plupart  ont  été  fermés  et  bradés  légalement  avec  la  connivence  de  ""  mains  algériennes  ""  .",accoutumée
2014,"L'  arrivée  de  l'  ex-  ""  Magpie  ""  ,  unique  recrue  du  PSG  lors  du  mercato  hivernal  qui  se  referme  samedi  1  er  février  ,  ne  représente  pas  un  ""  coup  ""  pour  un  club  accoutumé  depuis  trois  saisons  à  attirer  des  vedettes  internationales  et  à  flamber  sur  le  marché  des  transferts  .",accoutumé
2014,Des  demandeurs  d'  emploi  parfois  intimidés  devant  ces  locaux  nettement  plus  modernes  que  ceux  auxquels  ils  étaient  accoutumés  jusqu'  alors  et  qui  n'  ont  plus  qu'  à  prendre  ce  nouvel  outil  en  main  pour  en  tirer  le  meilleur  parti  possible  .,accoutumés
2014,"Les  policiers  municipaux  ont  été  invités  à  rendre  visite  aux  commerçants  du  front  de  mer  même  si  ,  a  priori  ,  ceux-ci  sont  accoutumés  à  ce  type  de  phénomène  .",accoutumés
2014,"Malheureusement  ,  les  Forces  canadiennes  ne  nous  ont  pas  accoutumés  à  faire  de  grands  gestes  pour  se  débarrasser  cette  perception  d'  une  institution  réfractaire  au  français  à  moins  d'  y  être  contrainte  .",accoutumés
2014,"Ils  ont  beau  venir  d'  une  région  ""  où  les  conditions  météorologiques  sont  comparables  ""  ,  ""  ils  ne  sont  tout  simplement  pas  accoutumés  à  ce  type  de  mauvais  temps  sur  une  période  aussi  prolongée  ""  ,  a  ajouté  l'  une  de  ses  collègues  .",accoutumés
2014,"Ce  qui  m'  a  étonné  ,  moi  ,  ce  fut  la  surprise  du  naïf  spécialiste  ,  car  cette  simultanéité  est  une  ruse  ,  une  adresse  ,  une  manigance  ou  ,  si  vous  préférez  ,  une  matoiserie  qui  appartient  à  la  panoplie  accoutumée  des  politiciens  .",accoutumée
2014,"Il  s'  était  avéré  à  l'  époque  que  des  sur-tapis  non  homologués  avaient  entravé  le  bon  fonctionnement  de  la  pédale  dans  certains  cas  et  que  ,  dans  d'  autres  ,  les  conducteurs  peu  accoutumés  à  l'  utilisation  d'  un  régulateur  de  vitesse  s'  étaient  affolés  alors  que  les  freins  étaient  toujours  capables  d'  arrêter  la  voiture  .",accoutumés
2014,"Elles  se  sont  accoutumées  à  leur  corps  défendant  ou  de  guerre  lasse  ,  à  les  rejeter  d'  un  trait  de  plume  ,  à  n'  en  faire  absolument  pas  cas  de  ces  montées  au  créneau  qui  émergent  à  la  veille  de  chaque  échéance  cruciale  de  notre  pays  .",accoutumées
