year,sentence,key_word
2014,"Cela  donne  lieu  à  une  scène  à  la  fois  absurde  et  horrifiante  ,  ponctuée  par  un  hurlement  ,  où  la  femme  de  Monsieur  H.  (  Uma  Thurman  )  débarque  avec  ses  trois  enfants  chez  sa  rivale  et  les  oblige  à  regarder  le  secret  d'  alcôve  (  chapitre  3  ,  Madame  H.  )  .",alcôve
2014,"Son  autoportrait  ne  trompe  pas  ,  placé  dans  une  alcôve  discrète  de  la  galerie  .",alcôve
2014,"Dans  cette  nébuleuse  de  la  ""  High  Tech  ""  ,  du  haut  de  gamme  tous  azimuts  ,  dans  ces  laboratoires  mondiaux  qui  fonctionnent  comme  des  secrets  d'  alcôve  ,  on  ne  s'  accorde  ni  répit  ,  ni  cadeau  .",alcôve
2014,"Les  26  alcôves  successives  et  parallèles  que  composent  cet  abri  seront  investies  chacune  par  un  artiste  ou  collectif  différent  ,  qui  présenteront  une  trentaine  d'œuvre  s  :  DJs  ,  VJs  ,  performers  audio-vidéos  ,  mêlant  musique  ,  arts  visuels  et  arts  numériques  ,  proposeront  diverses  installations  .",alcôves
2014,"Dans  ce  déport  ,  ce  changement  de  statut  ,  incontrôlable  ,  et  qui  nous  aliène  en  ""  rendant  public  ""  (  ou  semi-public  )  ce  qui  aurait  du  rester  de  l'  ordre  du  ""  privé  ""  ;  dans  ce  qui  de  la  même  manière  ramène  à  l'  étroitesse  d'  une  alcôve  numérique  privative  un  ensemble  d'  expressions  ,  de  comportements  ,  d'  opinions  qui  auraient  eu  d'abord  vocation  à  dessiner  ma  sociabilité  ""  publique  ""  .",alcôve
2014,Quel  intérêt  autre  que  financier  y  avait-il  à  lever  ce  secret  d'  alcôve  ?  Une  dimension  politique  ?  La  belle  affaire  !  C'  est  ce  que  cherche  à  faire  valoir  le  magazine  en  posant  hypocritement  la  question  de  la  sécurité  présidentielle  .,alcôve
2014,"Nos  confrères  nous  savent  friands  de  secrets  d'  alcôves  ,  ils  n'  hésitent  jamais  à  nous  confier  ceux  qu'  ils  découvrent  .",alcôves
2014,"Moins  charitable  ,  le  Daily  Telegraph  affirme  que  M.  Hollande  ""  fait  face  à  une  nouvelle  crise  ""  :  ""  Avec  une  impopularité  record  ,  la  dernière  dont  le  président  socialiste  a  besoin  est  un  autre  scandale  d'  alcôve  ""  .",alcôve
2014,"En  2001  ,  un  groupe  de  huit  artistes  (  Zoubir  Hellal  ,  Noureddine  Ferroukhi  ,  Ammar  Bouras  ,  Karim  Sergoua  ,  Adlane  Djeffal  ,  Kheira  Slimani  ,  Myriam  Aït  el  Hara  et  Djaoudet  Guessouma  )  ,  dénommé  ""  Essebaghine  ""  ,  avait  investi  les  alcôves  du  Palais  du  Dey  avec  une  exposition  au  titre  phonétique  ""  Cenékunregar  ""  .",alcôves
2014,Ils  demandent  surtout  à  leurs  gouvernants  des  résultats  et  les  jugent  à  cette  aune  plutôt  qu'  à  travers  le  prisme  des  secrets  d'  alcôve  .,alcôve
2014,Mais  les  affaires  d'  alcôve  prennent  d'autant  plus  de  relief  et  ont  d'autant  plus  d'  impact  que  l'  action  publique  en  manque  .,alcôve
2014,"Dans  un  premier  temps  ,  les  politiques  de  tout  bord  ont  fait  bloc  autour  de  François  Hollande  ,  refusant  de  se  répandre  sur  le  secret  d'  alcôve  dévoilé  .",alcôve
2014,"Ce  qui  nous  gêne  un  peu  ,  sans  souscrire  aux  excès  de  la  presse  à  sensation  ,  c'  est  que  ces  ""  initiés  ""  semblent  surtout  ulcérés  d'  avoir  été  dépossédés  de  leur  ""  petit  secret  d'  alcôve  ""  par  un  vilain  canard  people  .",alcôve
2014,"Après  Nicolas  Sarkozy  et  ses  ennuis  conjugaux  avec  Cécilia  ,  au  tour  de  François  Hollande  d'  être  emporté  dans  la  tourmente  rose  des  histoires  d'  alcôve  .",alcôve
2014,L'  Histoire  de  nos  monarques  nous  a  appris  à  nous  méfier  des  alcôves  où  s'  élaborait  parfois  la  politique  du  pays  .,alcôves
2014,"Ses  nuits  ne  sont  guère  plus  propices  à  la  discrétion  ,  puisque  notre  professeur  les  passe  dans  son  chalet  en  compagnie  de  sa  sœur  (  Karin  Viard  ,  somptueuse  ,  flippante  ,  bizarre  ,  sexy  )  qui  en  surveille  chaque  alcôve  et  entre  sans  frapper  .",alcôve
2014,"Son  intérêt  ne  tient  pas  tant  à  l'  histoire  d'  alcôve  elle-même  ,  mais  à  ce  qu'  elle  a  potentiellement  impliqué  pour  que  le  Président  puisse  vivre  cette  relation  .",alcôve
2014,"Que  dire  de  l'  esquive  sur  ""  l'  affaire  Closer  ""  :  l'  alcôve  nuit  gravement  à  la  santé  de  la  République  !  Et  attention  aux  mots  à  employer  désormais  quand  il  s'  agira  d'  évoquer  les  ""  saillies  ""  du  Président  .",alcôve
2014,"""  Il  s'  agissait  de  montrer  la  nette  séparation  entre  les  affaires  d'  alcôve  et  les  affaires  d'  Etat  .",alcôve
2014,"Au-delà  des  histoires  d'  alcôves  ,  comment  analyser  cette  conférence  de  presse  ?  Est-elle  réussie  ?",alcôves
2014,"Si  l'  Histoire  est  indulgente  pour  les  secrets  d'  alcôve  ,  la  politique  l'  est  beaucoup  moins  .",alcôve
2014,"Si  l'  Histoire  est  indulgente  à  ces  secrets  d'  alcôve  qui  tôt  ou  tard  font  partie  du  grand  roman  national  ,  et  se  confondent  avec  lui  ,  il  n'  en  est  pas  de  même  pour  la  politique  ,  ici  et  maintenant  .",alcôve
2014,On  préfère  gloser  sur  des  histoires  d'  alcôves  plutôt  que  sur  la  relation  avec  Angela  Merkel  .,alcôves
2014,L'  histoire  des  présidents  de  la  République  en  France  est  émaillée  de  nombreux  scandales  d'  alcôve  .,alcôve
2014,"Nous  vivons  une  incroyable  séquence  politico-dramatique  ,  faite  de  tensions  ,  de  fausses  rumeurs  ,  de  confidences  d'  alcôve  ,  de  bulletins  médicaux  de  comptoir  .",alcôve
