year,sentence,key_word
2014,"Pour  commencer  l'  année  en  beauté  ,  les  salles  de  cinéma  alternent  entre  le  sulfureux  ,  le  romantique  ,  l'  angoisse  et  l'  émotion  .",alternent
2014,"Dans  ses  premiers  disques  ,  elle  alterne  lyrique  et  genres  populaires  :  habanera  ,  guajira  ,  son  ,  bolero  ...",alterne
2014," Alternant  les  analyses  de  fond  et  des  enquêtes  d'  une  qualité  rare  ,  tous  les  ingrédients  sont  réunis  pour  en  faire  un  incontournable  et  une  référence  pour  tout  journaliste  digne  de  ce  nom  .",alternant
2014,Alors  comment  éviter  les  excès  ?  En  alternant  boissons  avec  et  sans  alcool  .,alternant
2014,"""  Tout  va  bien  si  vous  y  alternez  [  une  photo  ]  pour  le  public  et  une  [  photo  ]  pour  vous-même  .",alternez
2014,"Nouvelle  venue  sur  ARTE  ,  Leïla  Kaddour-Boudadi  alterne  avec  Marie  Labory  une  semaine  sur  deux  pour  l'  animer  .",alterne
2014,"Sur  toutes  les  autres  régions  ,  après  une  matinée  encore  grise  du  Nord-est  au  Morvan  en  passant  par  l'  Île-de-France  le  Poitou  et  la  Bretagne  ,  avec  quelques  averses  au  nord  de  la  Seine  ,  c'  est  un  temps  variable  qui  prédomine  ,  alternant  passages  nuageux  et  éclaircies  parfois  belles  l'  après-midi  au  nord  de  la  Loire  ...  mais  déjà  se  profile  sur  l'  Atlantique  les  prémices  d'  une  nouvelle  dégradation  attendue  en  soirée  avec  les  premières  pluies  sur  le  Finistère  accompagnées  d'  un  nouveau  renforcement  du  vent  ....",alternant
2014,La  circulation  alternée  pourra  être  activée  lors  des  pics  de  pollution,alternée
2014,"A  l'  occasion  de  la  3  ème  réunion  du  Comité  interministériel  de  la  qualité  de  l'  air  (  CIQA  )  ,  le  ministre  de  l'  Ecologie  Philippe  Martin  a  annoncé  la  possible  mise  en  place  de  la  circulation  alternée  à  partir  de  2014  .",alternée
2014,"Pour  répondre  aux  situations  d'  urgence  comme  l'  épisode  de  pollution  qu'  ont  connu  76  départements  ce  mois-ci  ,  le  ministre  de  l'  Ecologie  a  proposé  d'  élargir  à  l'  ensemble  des  polluants  réglementés  le  dispositif  de  circulation  alternée  afin  qu'  au-delà  de  la  pollution  à  l'  ozone  ,  celui-ci  puisse  être  déclenché  lors  des  pics  de  pollution  aux  particules  fines  .",alternée
2014,La  circulation  alternée  fait  partie  des  mesures  d'  urgence  pouvant  être  prises  dans  les  situations  de  dépassement  du  seuil  d'  alerte  pour  limiter  l'  ampleur  des  pointes  de  pollutions  .,alternée
2014,Le  principe  de  la  circulation  alternée  fonctionnera  sur  l'  alternance  des  numéros  d'  immatriculation  pairs  et  impairs  .,alternée
2014,Cette  circulation  alternée  avait  déjà  été  testée  en  France  en  1997  mais  n'  avait  pas  connu  de  suites  .,alternée
2014,Celui-ci  faisant  office  d'  accompagnateur  du  repas  !  A  vous  de  décider  si  vous  servirez  un  vin  unique  tout  au  long  du  repas  ou  si  vous  alternerez  en  commençant  par  les  vins  blancs  ou  les  rouges  légers  avant  de  proposer  des  crus  plus  charpentés  .,alternerez
2014,"Animée  par  deux  membres  du  collectif  ,  elle  s'  est  poursuivie  dans  une  ambiance  festive  ,  en  alternant  projections  multimédia  ,  présentation  et  exposés  des  trois  experts  ,  Yitskhok  Niborski  ,  Jean  Baumgarten  et  Michèle  Tauber  .",alternant
2014,"BALAYTHOUS  (  2  )  Alternant  le  bon  et  le  moins  bon  ,  ce  concurrent  âgé  de  8  ans  avait  effectué  un  retour  gagnant  à  la  compétition  la  saison  dernière  sur  l'  hippodrome  de  Saint-Cloud  .",alternant
2014,"Depuis  ,  les  Landais  ont  alterné  le  bon  et  le  moins  bon  .",alterné
2014,"Quatre-vingts  artistes  ont  répondu  présent  ,  alternant  danse  ,  musique  et  spectacle  .",alternant
2014,Ils  alternent  les  phases  maniaques  aigües  délirantes  et  les  phases  de  dépression  profondes  .,alternent
2014,"Limoges  resta  en  zone  mais  derrière  un  Andrew  Albicy  étincelant  ,  Paris  poursuivit  sa  balade  en  alternant  parfaitement  jeu  intérieur  et  tirs  de  loin  .",alternant
2014,"En  service  de  19  h  à  7  h  du  matin  ,  le  surveillant  alterne  les  postes  de  garde  au  cours  de  la  nuit  ,  entre  miradors  et  rondes  extérieures  .",alterne
2014,"Cette  fiction  romanesque  qui  alterne  globalement  deux  récits  :  le  premier  largement  ancré  dans  la  période  qui  a  précédé  la  Révolution  algérienne  avec  les  nombreuses  victimes  enrôlées  dans  les  contingents  français  pour  servir  de  chair  à  canon  durant  la  Seconde  Guerre  mondiale  ,  raconte  la  vie  dans  un  petit  village  où  un  enfant  ,  fils  d'  un  marabout  respecté  de  la  région  ,  devient  un  brillant  instituteur  .",alterne
2014,"En  2010  ,  une  équipe  anglaise  expliquait  dans  la  revue  Nature  par  exemple  que  les  thons  ,  les  marlins  ,  les  requins  ou  encore  les  poissons  lunes  alternaient  entre  un  mouvement  brownien  et  une  marche  de  Lévy  pour  chasser  .",alternaient
2014,"Qawl  ,  Ya  Mohamed  Noore  Mujsem  ,  Ya  Mustafa  et  Lal  Meri  Pat  ,  sont  les  quatre  pièces  interprétées  dans  des  gammes  pentatoniques  et  des  rythmes  binaires  à  plusieurs  mouvements  ,  alternés  par  les  appels  -pour  assurer  les  transitions-  d'  Amjad  Farid  Sabri  ,  ténor  à  la  voix  très  présente  ,  dotée  de  puissance  et  d'  un  vibrato  remarquable  ,  qui  a  hérité  son  métier  d'  artiste  de  son  père  ,  le  célèbre  Ghulam  Farid  Sabri  .",alternés
2014,"La  circulation  a  été  momentanément  alternée  ,  le  temps  pour  les  pompiers  de  sécuriser  d'  autres  arbres  dont  des  branches  menaçaient  de  tomber  .",alternée
2014,"A  Tokyo  ,  le  Nikkei  225  a  fini  sur  une  note  stable  (  +  0,03  %  )  après  avoir  alterné  en  séance  entre  un  nouveau  pic  de  six  ans  à  16.232,69  points  et  un  recul  de  plus  de  0,6  %  .",alterné
2014,"Aujourd  '  hui  ,  Jamie  alterne  le  raffiné  et  le  classique  :  dorade  à  la  marocaine  sur  son  lit  de  semoule  ,  suivie  de  hamburgers  maison  et  leur  salade  mêlée  ...",alterne
2014,"Pendant  une  demi-heure  ,  CR  7  alterne  les  bains  chauds  entre  38  et  44  degrés  pendant  cinq  minutes  et  les  bains  froids  durant  trois  minutes  .",alterne
2014,"Quand  vous  travaillez  sur  vos  épaules  ,  alternez  étirements  passifs  ,  je  suis  dans  une  posture  et  je  la  tiens  pendant  au  moins  20  secondes  et  étirements  actifs  ou  mouvements  .",alternez
2014,"Depuis  le  2  janvier  ,  en  fin  d'après  -midi  ,  une  circulation  alternée  a  été  mise  en  place  .",alternée
2014,"Suite  au  passage  d'  un  expert  géotechnicien  ,  une  piste  d'  environ  trois  mètres  a  été  dégagée  afin  de  désenclaver  le  village  grâce  à  une  circulation  alternée  .",alternée
2014,"Touche-à-tout  ,  elle  sait  choisir  ses  rôles  avec  soin  et  alterne  grosses  productions  et  films  indépendants  et  audacieux  .",alterne
2014,"New-Yorkais  travaillant  au  Japon  ,  il  alterne  la  marche  et  le  stop  quand  il  pleut  ,  à  raison  de  35  km  par  jour  .",alterne
2014,Daniel  Thani  se  bat  pour  la  garde  alternée  de  ses  trois  enfants  et  a  décidé  d'  afficher  son  combat  en  4  x  3  sur  des  panneaux  publicitaires  .,alternée
2014,Il  veut  obtenir  la  garde  alternée  de  ses  trois  enfants  .,alternée
2014,"Capable  d'  alterner  passes  courtes  ou  longues  ,  il  a  simplifié  son  jeu  pour  donner  moins  de  sueurs  froides  à  son  entraîneur  ,  même  s'  il  s'  autorise  toujours  quelques  gestes  techniques  devant  sa  défense  .",alterner
2014,Les  listes  devront  obligatoirement  comporter  trente-trois  noms  et  alterner  rigoureusement  un  homme  avec  une  femme  .,alterner
2014,"Son  gros  avantage  ?  aucune  éviction  sociale  ,  contrairement  au  laser  fractionné  qui  lui  fait  gonfler  et  rougir  la  zone  pendant  quelques  jours  .  2  séances  ,  à  alterner  avec  les  séances  de  mésolift  ,  suffisent  .",alterner
2014,Ils  choisissent  la  résidence  chez  la  mère  dans  trois  quarts  des  cas  ;  la  garde  alternée  dans  19  %  ;  la  résidence  chez  le  père  dans  10  %  .,alternée
2014,Les  escarmouches  ont  alterné  avec  les  affrontements  sanglants  .,alterné
2014,C'  est  un  peu  notre  problème  depuis  le  début  de  la  saison  :  réussir  à  alterner  comme  il  faut  .,alterner
2014,"À  défaut  de  quoi  ,  le  Stade  alterne  les  succès  à  domicile  avec  les  défaites  à  l'  extérieur  en  championnat  ...",alterne
2014,"Au  programme  ,  les  plats  classiques  et  les  petites  recettes  méconnues  alternent  pour  stimuler  les  papilles  .",alternent
2014,"En  moins  d'  une  minute  ,  cet  habile  artisan  débarrasse  la  sole  de  son  squelette  ,  dispose  sur  la  porcelaine  blanche  et  chaude  quatre  jolis  filets  en  faisant  alterner  les  blancs  et  les  dorés  ,  essuie  le  bord  de  l'  assiette  à  l'  aide  d'  un  grand  torchon  .",alterner
2014,"Avec  la  nouvelle  année  ,  les  murs  de  Quimper  (  Finistère  )  se  sont  habillés  de  17  affiches  format  4  x  3  réclamant  la  garde  alternée  des  enfants  après  séparation  des  parents  .",alternée
2014,"En  effet  ,  en  alternant  plats  raisonnables  et  moins  sains  ,  en  diversifiant  systématiquement  les  aliments  et  en  ne  dépassant  jamais  les  2.000  calories  par  jour  ,  il  est  possible  de  suivre  un  semblant  de  régime  équilibré  ,  même  dans  un  fast-food  .",alternant
2014,"""  Les  rires  partent  en  rafales  dès  la  première  vanne  ""  et  la  salle  reste  hilare  tout  au  long  du  spectacle  ,  qui  alterne  sketches  (  dont  certains  sont  racontés  )  et  réflexions  personnelles  sur  l'  actualité  .",alterne
2014,Ariël  Jacobs  a  choisi  d'  alterner  dans  les  buts  à  l'  occasion  de  ce  32  e  de  finale  de  Coupe  de  France  ce  soir  à  Rennes  (  coup  d'  envoi  à  20  h  45  )  .,alterner
2014," Alternant  le  bon  et  le  moins  bon  ,  l'  Espagnol  a  surtout  su  serrer  la  visse  après  la  perte  de  la  seconde  manche  dans  un  tie-break  où  Monfils  avait  été  conquérant  .",alternant
2014,"Pitroipa  (  4  )  :  Alternant  le  bon  et  le  moins  bon  ,  il  a  donné  de  bons  ballons  mais  a  aussi  gâché  quelques  coups  .",alternant
2014,"Des  Pyrénées  au  bassin  parisien  aux  Ardennes  et  aux  Flandres  ,  la  tendance  est  à  l'  amélioration  malgré  un  risque  d'  averse  en  matinée  ,  avec  la  généralisation  d'  un  ciel  variable  où  alternent  nuages  et  éclaircies  ,  les  pluies  attendent  le  soir  pour  revenir  sur  ces  régions  .",alternent
2014,"Sur  ce  début  de  championnat  ,  les  joueurs  ont  alterné  le  bon  et  le  moins  bon  .",alterné
2014,Mais  la  seule  mesure  qu'  il  a  annoncée  en  réponse  à  la  pression  européenne  est  la  mise  en  place  de  la  circulation  alternée  lors  des  pics  de  pollution  aux  particules  fines  et  aux  oxydes  d'  azote  selon  les  numéros  de  plaques  d'  immatriculation  .,alternée
2014,"Mise  en  œuvre  à  Athènes  depuis  1982  ,  la  circulation  alternée  a  été  contournée  par  les  habitants  qui  ont  acheté  une  seconde  voiture  .",alternée
2014,"La  route  ,  qui  conduit  notamment  aux  stations  de  ski  Isola  2000  et  Auron  ,  est  ouverte  en  demi-chaussée  durant  la  journée  ,  mais  sera  fermée  pour  la  nuit  à  partir  de  17  h  30  -  18  h.  Plusieurs  autres  éboulements  ou  effondrements  ont  touché  l'  arrière-pays  grassois  (  Alpes-Maritimes  )  mais  aussi  le  Var  ,  entraînant  des  mesures  de  circulations  alternées  et  des  fermetures  de  routes  du  réseau  secondaire  .",alternées
2014,"Son  registre  est  varié  et  il  alterne  comédies  ,  drames  historiques  et  films  d'  horreur  .",alterne
2014,"Et  surtout  ,  Valentin  Porte  confirmait  une  fois  de  plus  ses  excellentes  dispositions  en  arrière  droit  ,  le  Toulousain  alternant  avec  un  égal  bonheur  les  prises  d'  intervalle  pour  marquer  ou  les  passes  décisives  ,  dont  une  géniale  à  Nikola  Karabatic  entre  trois  Danois  se  demandant  encore  où  le  ballon  avait  pu  passer  .",alternant
2014,"Le  tracé  a  alterné  entre  petites  collines  recouvertes  d'  une  végétation  de  maquis  ,  une  grande  plaine  agricole  et  deux  chaines  de  montagnes  ,  les  sierras  de  Cordoba  et  de  San  Luis  .",alterné
2014,"PARIS  -  Le  Stade  toulousain  ,  qui  alterne  cette  saison  le  bon  et  le  moins  bon  ,  s'  est  offert  hier  soir  une  victoire  19  -  12  sur  le  leader  du  Top  14  ,  Clermont  ,  qui  permet  aux  joueurs  de  Guy  Novès  de  rester  dans  le  groupe  des  six  premiers  du  championnat  ,  virtuellement  qualifiés  pour  les  phases  finales  .",alterne
2014,"Depuis  le  début  de  l'  opération  ,  Bangui  alterne  des  périodes  violentes  -  attaques  ,  règlements  de  comptes  ,  lynchages  -  et  des  temps  plus  calmes  .",alterne
2014,"La  journaliste  de  Newsweek  ,  installée  depuis  10  ans  dans  le  huppé  VIe  arrondissement  ,  alterne  clichés  et  fausses  affirmations  qui  ont  amusé  les  internautes  .",alterne
2014,"Gervinho  et  Ljajic  encadrent  ainsi  Totti  ,  qui  alterne  son  pressing  entre  Pirlo  et  Bonucci  .",alterne
2014,"Depuis  les  années  1960  ,  le  marché  du  logement  nous  avait  ,  en  effet  ,  habitués  à  des  cycles  réguliers  d'  une  douzaine  d'  années  ,  alternant  hausse  et  baisse  ,  corrélées  à  celles  des  revenus  des  ménages  ,  dans  une  amplitude  jamais  supérieure  à  10  %  .",alternant
2014,La  circulation  sur  la  route  départementale  6  entre  Les  Mesneux  et  le  carrefour  avec  la  D  26  (  Villedommange  )  est  actuellement  alternée  .,alternée
2014," Alternant  des  fonctions  dans  le  journalisme  et  les  services  de  renseignement  depuis  une  dizaine  d'  années  ,  certains  de  ses  collègues  se  sont  montrés  très  méfiants  à  son  égard  .",alternant
2014,"Elle  alterne  clichés  et  fausses  affirmations  ,  qui  ont  amusé  ou  irrité  les  internautes  .",alterne
2014,"Façonné  dans  des  dimensions  contemporaines  de  42  mm  ,  le  boîtier  en  acier  dessine  des  courbes  très  actuelles  ,  alternant  finitions  polies  et  brossées  .",alternant
2014,"Marion  Séris-Mahé  de  Taury  ,  docteur  en  droit  ,  nous  parle  de  la  résidence  alternée  à  la  résidence  de  l'  enfant  fixée  chez  l'  un  des  deux  parents  :",alternée
2014,Celle  qui  avait  conduit  au  choix  de  la  résidence  alternée  de  l'  enfant  entre  les  deux  domiciles  des  parents  déjà  séparés  peut  être  modifiée  pour  des  raisons  matérielles  et  /  ou  personnelles  .,alternée
2014,"Par  exemple  ,  le  déménagement  de  l'  un  des  deux  parents  à  la  suite  d'  une  mutation  professionnelle  en  France  ou  à  l'  étranger  ,  la  scolarisation  de  l'  enfant  dans  un  nouvel  établissement  (  école  ,  collège  ,  lycée  )  peuvent  entraîner  l'  abandon  de  la  résidence  alternée  devenue  impossible  à  maintenir  .",alternée
2014,"Mais  ""  dans  certaines  circonstances  ,  des  responsables  gouvernementaux  américains  font  référence  à  ce  pays  (  sous  le  nom  )  de  Myanmar  ,  par  courtoisie  diplomatique  ""  ,  a  argumenté  Marie  Harf  ,  citant  la  visite  sur  place  du  président  Barack  Obama  en  décembre  2012  lorsqu'  il  avait  alterné  l'  usage  des  deux  appellations  .",alterné
2014,Les  éclaircies  alterneront  avec  les  nuages  mardi  après-midi  .,alterneront
2014,"Les  deux  leaders  qui  se  haïssent  et  alternent  au  pouvoir  depuis  vingt  ans  ,  la  Première  ministre  et  sa  rivale  du  BNP  ,  Khaleda  Zia  ,  n'  ont  pas  voulu  jusqu'  ici  entamer  de  dialogue  ,  seule  solution  pour  faire  baisser  la  pression  dans  le  huitième  pays  au  monde  par  sa  population  (  154  millions  d'  habitants  )  .",alternent
2014," Alternant  entre  les  thèmes  de  la  santé  mentale  ,  de  la  guerre  ,  du  syndrome  post-traumatique  et  de  l'  histoire  ,  le  film  réalisé  par  Arnaud  Desplechin  se  veut  par-dessus  tout  une  ode  à  la  compassion  humaine  ,  selon  ce  que  l'  on  peut  ressentir  de  la  bande-annonce  .",alternant
2014,"Un  rôle  de  couteau  ...  suisse  qu'  il  remplit  à  merveille  ,  alternant  longues  courses  et  longues  transversales  avec  la  régularité  du  métronome  qu'  il  est  devenu  au  cours  des  saisons  passées  dans  le  Calcio  .",alternant
2014,"L'  établissement  propose  depuis  une  dizaine  d'  années  ,  dans  le  cadre  d'  un  dispositif  co-financé  par  l'  Education  nationale  et  le  Fonds  social  européen  (  FSE  )  ,  ""  des  actions  de  remobilisation  sur  mesure  ""  à  l'  intention  des  jeunes  collégiens  exclusivement  ,  qui  alternent  pendant  28  semaines  stages  en  entreprise  et  cours  dans  le  lycée  .",alternent
2014,"Tirée  par  l'  injection  massive  de  liquidités  par  la  Banque  d'  Angleterre  et  la  reprise  de  la  consommation  et  du  marché  immobilier  ,  elle  a  rebondi  très  fortement  depuis  début  2013  ,  après  avoir  alterné  trimestres  de  croissance  et  de  contraction  en  2012  .",alterné
2014,"Dans  cette  compétition  amicale  ,  les  Bleus  ont  alterné  le  bon  et  le  moins  bon  .",alterné
2014,Une  nouveauté  qui  remplace  le  tandem  formé  par  Luc  Monnet  et  la  première  adjointe  Joëlle  Dupriez  les  années  précédentes  pour  présenter  le  bilan  de  façon  alternée  .,alternée
2014,"Révélation  du  Masters  1000  de  Paris-Bercy  en  2012  (  finaliste  )  ,  le  Polonais  de  2,03  m  ,  capable  d'  alterner  services  de  plombs  et  amorties  du  fond  de  court  ,  peut  faire  des  ravages  en  indoor  ou  sur  gazon  (  demi-finales  à  Wimbledon  en  juin  dernier  )  .  21  mondial  ,  il  manque  cependant  encore  de  régularité  pour  concurrencer  durablement  les  meilleurs  et  intégrer  le  Top  10  .",alterner
2014,"Dans  un  décor  d'  époque  ,  le  spectacle  se  met  alors  à  alterner  dans  un  rythme  effréné  les  scènes  principales  de  la  pièce  (  et  la  pièce  originale  en  compte  plus  de  cinquante  )  et  les  échanges  entre  les  trois  personnages  chez  l'  auteur  Edmond  Rostand  .",alterner
2014,"Conscient  du  mécontentement  populaire  ,  le  pouvoir  a  alterné  répressions  a  minima  et  promesses  de  réformes  ,  puis  a  laissé  la  rue  s'  exprimer  .",alterné
2014,L'  idée  est  qu'  il  alterne  les  compétitions  (  deux  semaines  )  et  les  périodes  de  repos  et  d'  entraînement  (  une  ou  deux  semaines  )  .,alterne
2014,"Durant  l'  opération  des  secours  ,  les  policiers  béthunois  ont  été  contraints  de  mettre  en  place  une  circulation  alternée  dans  la  rue  de  Lille  ce  qui  ,  à  cette  heure  ,  a  occasionné  quelques  ralentissements  .",alternée
