year,sentence,key_word
2014,"Historiquement  ,  elles  l'  ont  toujours  été  ""  ,  relève  Christophe  Donay  ,  responsable  de  l'  allocation  d'  actifs  chez  Pictet  ,  qui  anticipe  du  reste  une  accélération  de  la  croissance  américaine  en  2014  .",anticipe
2014,"Dans  un  contexte  marqué  par  la  montée  du  populisme  dans  l'  Union  européenne  ,  et  alors  que  la  Grèce  prend  mercredi  pour  six  mois  une  présidence  tournante  de  l'  UE  marquée  par  les  élections  européennes  ,  certains  commentateurs  laissent  cependant  entendre  que  le  gouvernement  de  M.  Samaras  ,  qui  aura  sans  doute  à  organiser  en  outre  assez  rapidement  des  élections  générales  anticipées  ,  pourrait  bénéficier  de  la  part  de  la  troika  dans  les  prochains  mois  d'  une  certaine  compréhension  .",anticipées
2014,"Néanmoins  ,  le  Daily  Express  ,  la  publication  la  plus  virulente  sur  ce  sujet  ,  a  anticipé  que  ""  des  dizaines  de  milliers  de  Roumains  qui  gagnent  40  livres  [  48  euros  ]  par  mois  franchiront  la  frontière  d'  un  pays  où  le  salaire  minimum  est  de  6.31  livres  [  7,57  euros  ]  de  l'  heure  ""  ,  ce  qui  est  ""  scandaleux  ""  !  Et  l'  Institut  Démocratique  Britannique  a  estimé  qu'  environ  385  0  0  0  de  Roumains  et  de  Bulgares  entreront  dans  le  Royaume-Uni  d'  ici  2020  .",anticipé
2014,Le  bonus  est  octroyé  à  celui  qui  poursuit  pendant  plus  d'  une  année  son  activité  professionnelle  après  la  date  à  laquelle  il  peut  obtenir  une  pension  anticipée  ou  qu'  il  poursuit  son  activité  professionnelle  après  l'  âge  de  65  ans  et  qu'  il  prouve  une  carrière  d'  au  moins  40  années  civiles  .,anticipée
2014,"Dans  son  budget  2014  ,  la  Région  a  ainsi  anticipé  39  millions  d'  euros  grâce  à  la  meilleure  perception  attendue  de  ces  taxes  .",anticipé
2014,"Il  ne  s'  agit  pas  de  prévoir  tous  mes  achats  précisément  ,  ça  serait  ennuyeux  et  impossible  à  tenir  tant  la  mode  doit  rester  spontanée  ,  mais  plutôt  d'  anticiper  les  dépenses  prévisibles  .",anticiper
2014,"""  La  première  conclusion  que  l'  on  peut  tirer  ,  c'  est  que  la  demande  était  beaucoup  plus  élevée  que  ce  que  la  province  anticipait  ,  a-t-il  déclaré  .",anticipait
2014,"Que  ce  soit  dans  le  jeu  ,  les  night-clubs  ou  les  distractions  d'  adultes  en  tout  genre  ,  la  stratégie  est  toujours  la  même  :  changer  ,  anticiper  ,  innover  plus  vite  que  le  voisin  .",anticiper
2014,"Et  pour  anticiper  sur  2014  ,  Jean  Echenoz  est  d'  ores  et  déjà  invité  en  avril  par  le  92  nd  Street  Y  ,  haut-lieu  littéraire  new-yorkais  ,  pour  la  sortie  en  anglais  de  ""  14  ""  .",anticiper
2014,"Quant  à  la  version  intégrale  du  volume  2  (  les  deux  versions  intégrales  doivent  durer  5,30  heures  contre  4  heures  pour  les  versions  annoncées  en  France  )  ,  elle  n'  est  pas  datée  ,  manière  discrète  d'  anticiper  au  cas  où  le  Festival  de  Cannes  serait  preneur  ...",anticiper
2014,"Toute  l'  année  ,  Dassault  Aviation  a  tenté  de  convaincre  l'  Inde  d'  acheter  126  exemplaires  de  son  avion  de  combat  Rafale  avant  la  possible  organisation  d'  élections  générales  anticipées  en  Inde  .",anticipées
2014,"""  Le  progrès  ,  c'  est  aussi  de  faire  dans  les  moments  difficiles  des  choix  courageux  pour  préserver  l'  emploi  ,  pour  anticiper  les  mutations  industrielles  et  c'  est  ce  qu'  a  fait  Gerhard  Schröder  ,  ici  ,  en  Allemagne  ""  ,  déclarait-il  ,  lors  des  célébrations  des  150  ans  du  parti  social-démocrate  allemand  (  SPD  )  à  Leipzig  ,  en  mai  dernier  ,  au  risque  de  prendre  sa  majorité  à  contre-pied  .",anticiper
2014,"Pour  2014  ,  la  BNB  anticipe  une  croissance  à  1,1  %  .",anticipe
2014,"Côté  route  ,  84  %  des  personnes  interrogées  pensent  que  les  voitures  pourront  anticiper  les  accidents  et  fournir  des  alertes  météorologiques  .",anticiper
2014,La  préfecture  du  Nord  ne  s'  arrête  pas  là  et  anticipe  sur  d'  éventuels  incidents  d'  une  autre  nature  .,anticipe
2014,"Dans  les  entreprises  ,  c'  est  le  branle-bas  de  combat  car  la  mesure  a  été  ""  mal  anticipée  ""  confie-t-on  dans  les  milieux  patronaux  qui  affirment  que  le  rapport  de  forces  avantage  les  syndicats  ,  car  les  24  heures  s'  appliqueront  par  défaut  .",anticipée
2014,"Le  budget  2014  a  dû  être  bouclé  à  même  les  surplus  anticipés  de  2,6  M  $  du  surplus  de  l'  exercice  2013  .",anticipés
2014,"Sans  anticiper  sur  les  résultats  à  venir  ,  le  processus  de  soin  élaboré  par  le  Cetev  constitue  à  ce  jour  le  seul  espoir  pour  les  42  0  0  0  platanes  d'  échapper  à  la  tronçonneuse  à  l'  échéance  d'  une  vingtaine  d'  années  .",anticiper
2014,"Reste  à  imaginer  la  suite  ,  très  peu  anticipée  .",anticipée
2014,"De  plus  ,  cette  décision  permettra  aux  dirigeants  barcelonais  d'  anticiper  l'  arrivée  d'  un  nouveau  portier  .",anticiper
2014,"Techniquement  ,  en  données  journalières  ,  si  les  moyennes  mobiles  sont  encore  orientées  à  la  baisse  ,  la  réaction  positive  depuis  les  39.05  EUR  permet  d'  anticiper  un  rebond  de  plus  grande  ampleur  en  direction  des  41.8  EUR  .",anticiper
2014,"Cette  dernière  a  ,  comme  anticipé  ,  laissé  ses  taux  inchangés  et  réitéré  son  engagement  à  les  maintenir  à  un  bas  niveau  ""  bien  après  ""  le  passage  sous  6,5  %  du  taux  de  chômage  .",anticipé
2014,"En  conséquence  ,  nous  anticipons  un  rebond  sur  les  64  EUR  .",anticipons
2014,"Dès  lors  la  résistance  horaire  se  situe  à  4160  points  sur  le  CAC  40  ,  et  nous  n'  anticipons  pas  de  nouvelle  accélération  haussière  à  court  terme  .",anticipons
2014,"Il  faudra  une  commission  d'  enquête  parlementaire  indépendante  ,  parlementaire  ou  autre  pour  déterminer  les  causes  de  ces  attaques  ,  quels  son  sont  ces  assaillants  [  ...  ]  ,  quelles  sont  les  ramifications  et  surtout  comment  les  services  ont  réagi  ou  n'  ont  pas  pu  anticiper  .",anticiper
