year,sentence,key_word
2020,"Or  ,  au  Maroc  ,  on  ne  badine  pas  avec  la  sécurité  .",badine
2020,"Dans  la  Rome  impériale  ,  en  effet  ,  se  la  souhaiter  faste  était  un  usage  avec  lequel  on  ne  badinait  pas  ,  d'autant  que  le  mois  de  janvier  était  celui  de  Janus  ,  le  dieu  aux  deux  visages  qui  veille  sur  les  portes  du  ciel  et  sans  l'  autorisation  duquel  même  Jupiter  ne  peut  sortir  .",badinait
2020,"Les  présentateurs  plaisantent  ,  les  hommes  politiques  badinent  ,  les  chauffeurs  de  taxi  galèjent  ,  même  les  pilotes  d'  avion  et  les  conducteurs  de  train  tentent  des  annonces  comiques  au  micro  .",badinent
2020,"La  guinguette  ""  sérieuse  ""  comme  elle  se  définit  avec  une  pointe  d'  ironie  ne  badine  certainement  pas  avec  les  horaires  .",badine
2020,Lire  aussi  :  Retour  à  l'  envoyeur  :  le  maire  de  Laigneville  ne  badine  pas  avec  les  dépôts  sauvages,badine
2020,"Chez  Radio  Mars  ,  on  ne  badine  pas  avec  le  patriotisme  sportif  .",badine
2020,"Comme  l'  avait  souligné  Hafi  lors  d'  une  conférence  de  presse  que  ""  l'  Etat  ne  va  point  badiner  pour  ces  élections  ""  ,  voilà  on  vient  de  le  confirmer  à  Dar  Noor  ce  soir  .",badiner
2020,"Un  autre  effet  secondaire  du  ""  cyber  amour  ""  devrait  attirer  tout  autant  notre  attention  :  en  prenant  de  plus  en  plus  l'  habitude  d'  aller  sur  la  toile  pour  badiner  ou  rencontrer  l'  âme  sœur  ,  l'  espace  public  pourrait  bien  disparaître  comme  terrain  de  séduction  .",badiner
2020,"De  la  prison  pour  tout  le  monde  ,  histoire  de  montrer  que  l'  on  ne  badine  pas  avec  ce  genre  de  choses  .",badine
2020,Celui  qui  badine  avec  l'  actualité  souvent  cocasse  et  absurde  fait  preuve  en  agissant  de  la  sorte  d'  une  grande  humilité  devant  un  travail  qu'  il  place  avant  tout  .,badine
2020,"""  Et  dormir  un  peu  ""  ,  a-t-elle  badiné  .",badiné
2020,"Les  présentateur  plaisantent  ,  les  hommes  politiques  badinent  ,  les  chauffeurs  de  taxi  galéjent  ,  même  les  pilotes  d'  avion  tentent  des  blagues  au  micro  ""  ,  écrit-il  dans  son  livre  ,  dont  la  couverture  ,  dénuée  de  titre  ,  est  floquée  d'  un  large  ""  smiley  ""  hilare  .",badinent
2020,On  ne  badine  pas  avec  les  banh  mi  .,badine
2020,"Apparemment  ,  Kocc  Barma  ne  badine  pas  quand  il  dit  qu'  il  signe  son  retour  avec  de  nouvelles  vidéos  .",badine
2020,"""  Il  ne  faut  pas  badiner  avec  la  douleur  des  personnes  ""  ,  s'  indigne  Driss  Jaydane  ,  philosophe  ,  écrivain  et  chroniqueur  radiophonique  ,  qui  tient  à  rappeler  que  l'  impact  de  l'  individualisation  qui  caractérise  de  plus  en  plus  la  société  marocaine  entrave  sérieusement  le  quotidien  de  bien  des  personnes  .",badiner
2020,"""  Son  expérience  et  ses  compétences  en  ont  fait  une  des  élues  clefs  de  l'  équipe  sortante  ""  ,  affirme  Thierry  Rogister  qui  ne  badine  pas  avec  les  superlatifs  .",badine
2020,"Jusqu'  à  cette  année  ,  le  Collège  d'  Anjou  ne  badinait  pas  avec  les  règles  .",badinait
2020,"Cage-sas  ,  obligation  de  se  découvrir  le  visage  ,  ce  premier  distributeur  nordiste  ne  badine  pas  avec  la  sécurité  .",badine
2020,"Intouchable  certes  ...  sauf  pour  l'  administration  du  quai  d'  Orsay  ,  qui  ne  badine  pas  avec  le  devoir  de  réserve  des  ambassadeurs  .",badine
2020,Il  faut  dire  qu'  on  ne  badine  pas  avec  la  couronne  .,badine
2020,"On  ne  badine  pas  avec  l'  histoire  et  les  hommages  rendus  par  la  ville  ,  autrefois  ,  aux  hommes  et  aux  femmes  de  bonne  volonté  .",badine
2020,"Je  suis  dans  une  équipe  très  compétitive  ,  et  quand  je  regarde  les  jeunes  ,  comment  ils  s'  entraînent  dans  mon  équipe  pour  arriver  au  même  niveau  que  moi  ,  ça  me  décourage  pas  mal  !  ""  a-t-il  badiné  .",badiné
2020,S'  il  y  a  un  autre  volet  avec  lequel  les  autorités  rwandaises  ne  badinent  pas  c'  est  celui  de  la  sécurité  .,badinent
2020,"Dans  la  foulée  ,  le  prince  Harry  a  très  vite  compris  qu'  on  ne  badine  pas  avec  la  couronne  .",badine
2020,Mais  c'  est  sans  compter  sur  l'  intransigeance  de  la  Fédération  qui  ne  badine  pas  avec  les  règles  .,badine
2020,Olivier  Ratsi  offre  ainsi  une  scénographie  à  l'  esthétique  léchée  qui  badine  avec  l'  héritage  du  Quattrocento  (  la  perspective  )  et  les  anamorphoses  .,badine
2020,"Outre  Manche  ,  on  ne  badine  pas  avec  le  règlement  .",badine
