year,sentence,key_word
2014,"""  On  l'  a  aménagé  avec  du  matériel  comme  par  exemple  un  matelas  à  coquille  ,  un  brancard  ou  encore  un  brancard  pliant  qui  permet  de  mettre  un  deuxième  blessé  dans  l'  ambulance  .",brancard
2014,La  Bretagne  rue  dans  les  brancards  .,brancards
2014,"Cela  dit  ,  la  capacité  d'  Anelka  à  ruer  dans  les  brancards  a  tout  de  même  ses  limites  .",brancards
2014,"En  fonction  de  ses  missions  ,  la  soute  peut  accueillir  :  116  soldats  ou  parachutistes  armés  ,  66  brancards  pour  les  opérations  d'  évacuation  sanitaire  .",brancards
2014,"Allongé  sur  un  brancard  depuis  plus  de  cinq  heures  ,  Boutou  Ali  ,  70  ans  ,  diabétique  et  amputé  des  deux  jambes  risque  de  succomber  à  tout  moment  .",brancard
2014,La  victime  est  alors  placée  sur  un  brancard  et  transportée  par  l'  ambulance  aux  urgences  de  Calais  .,brancard
2014,23.11  -  1.12  :  Ne  vous  laissez  pas  envahir  par  la  routine  ;  osez  ruer  dans  les  brancards  et  soignez  votre  autonomie  .,brancards
2014,"En  extirpant  leur  passager  couché  sur  un  brancard  ,  l'  un  des  ambulanciers  désigne  le  véhicule  occupant  déjà  la  rampe  d'  accès  dédiée  .",brancard
2014,"""  Aujourd  '  hui  ,  le  temps  est  clément  ,  mais  par  temps  de  pluie  c'  est  pareil  ""  explique  le  brancardier  en  poussant  malade  et  brancard  vers  le  bâtiment  ...",brancard
2014,"Des  images  des  chaînes  de  télévision  japonaise  ont  montré  des  pompiers  transportant  des  victimes  sur  des  brancards  ,  au  milieu  des  débris  de  toutes  sortes  éparpillés  par  le  souffle  de  la  déflagration  .",brancards
2014,La  télévision  ukrainienne  a  montré  plusieurs  personnes  transportées  sur  des  brancards  vers  une  ambulance  .,brancards
2014,Des  images  diffusées  par  la  télévision  ukrainienne  montrent  des  personnes  transportées  sur  des  brancards  .,brancards
2014,La  télévision  ukrainienne  a  montré  plusieurs  personnes  transportées  sur  des  brancards  vers  une  ambulance  à  la  suite  des  heurts  qui  ont  éclaté  entre  la  police  et  les  manifestants  .,brancards
2014,"Face  à  un  Likoud  qui  rue  dans  les  brancards  ,  Ariel  Sharon  claque  la  porte  et  part  ,  à  77  ans  ,  créer  un  nouveau  parti  Kadima  (  en  Avant  )  .",brancards
2014,"Ruer  dans  les  brancards  ,  c'  est  son  manifeste  .",brancards
2014,"Au  sein  de  la  formation  ,  habituellement  très  disciplinée  ,  ils  sont  de  plus  en  plus  nombreux  à  ruer  dans  les  brancards  .",brancards
2014,Ces  derniers  ont  demandé  l'  intervention  des  policiers  pour  l'  immobiliser  sur  un  brancard  à  l'  aide  de  sangles  .,brancard
2014,"Mais  ,  au  moment  où  Vahid  rue  dans  les  brancards  pour  crier  au  complot  afin  de  le  pousser  à  la  démission  par  médias  interposés  ,  Wilmots  demande  un  temps  de  réflexion  .",brancards
2014,22.6  -  1.7  :  L'  atmosphère  est  électrique  et  vous  plongez  dans  un  climat  incertain  ;  ne  ruez  pas  dans  les  brancards  .,brancards
2014,"Dans  cet  esprit  ,  il  y  aura  un  secteur  de  patients  debout  ,  avec  un  circuit  de  prise  en  charge  court  ,  et  un  secteur  de  patients  couchés  .  ""  Concrètement  ,  le  patient  capable  de  se  tenir  debout  sera  pris  en  charge  dans  un  circuit  ambulant  ,  libérant  ainsi  un  brancard  pour  une  personne  dont  l'  état  nécessite  d'  être  couchée  .",brancard
2014,"Un  socialiste  dévoué  qui  avait  déjà  assez  mal  vécu  d'  avoir  été  borduré  par  Marcel  Germe  au  secrétariat  de  section  ,  mais  qui  là  a  furieusement  rué  dans  les  brancards  en  apprenant  dans  la  presse  l'  arrivée  de  Stéphane  Filipovitch  vécue  comme  une  insupportable  et  autoritaire  prise  de  pouvoir  carvinoise  .",brancards
2014,"Vers  22  h  ,  sur  la  bien  nommée  place  de  l'  Europe  ,  jouxtant  le  champ  de  bataille  ,  des  manifestants  continuaient  d'  être  évacués  sur  des  brancards  ,  tandis  que  des  policiers  ,  arrosés  de  cocktails  Molotov  ,  s'  allumaient  comme  des  torches  ,  dans  une  danse  effrayante  annonçant  une  nuit  sombre  .",brancards
2014,"Ce  ,  au  grand  dam  de  nos  valeurs  cardinales  de  ""  Kerssa  ""  ,  ""  Soutoura  ""  ,  ""  Diome  ""  ...  qui  en  prennent  un  sacré  coup  !  Les  gardiens  du  temple  au  Sénégal  ruent  dans  les  brancards  !  Aidons  leur  à  arrêter  ces  gens-là  qui  constituent  une  tumeur  dans  le  corps  du  Sénégal  déjà  malade  !",brancards
2014,"Le  ""  mariage  pour  tous  ""  a  rempli  cette  fonction  l'  an  dernier  ,  alors  que  déjà  ,  les  Verts  et  la  gauche  du  PS  commençaient  à  ruer  dans  les  brancards  .",brancards
2014,"Parti  sur  un  brancard  ,  il  a  dû  être  endormi  de  suite  par  les  pompiers  avant  d'  être  évacué  vers  les  urgences  .",brancard
2014,"Le  secrétaire  général  de  la  section  rue  dans  les  brancards  ,  les  choses  se  compliquent  et  le  contentieux  atterrit  devant  l'  inspecteur  du  travail  .",brancards
2014,"Si  sa  plume  caresse  dans  le  sens  du  poil  ,  il  sera  pris  entièrement  en  charge  durant  sa  mission  ,  s'  il  rue  dans  les  brancards  et  fait  montre  d'  un  soupçon  d'  objectivité  ou  d'  impartialité  ,  il  sera  débarqué  comme  un  malpropre  et  se  contentera  de  suivre  de  loin  les  péripéties  d'  une  tournée  .",brancards
2014,"11.4  -  20.4  :  La  planète  Mars  vous  secoue  ,  ne  ruez  pas  dans  les  brancards  pour  un  oui  ou  un  non  ;  maîtrisez  vos  impulsions  .",brancards
2014,"Les  interventions  les  plus  spectaculaires  frappent  les  mémoires  :  un  avion  sur  le  tarmac  d'  un  aérodrome  perdu  aux  confins  de  la  planète  ,  des  brancards  ,  un  médecin  et  une  infirmière  en  blouse  blanche  ...",brancards
2014,"Face  à  cette  stratégie  d'  étouffement  ,  le  M  5  S  rue  dans  les  brancards  et  fera  tout  pour  annuler  les  efforts  de  ses  adversaires  ,  avec  l'  espoir  de  paralyser  le  Parlement  et  de  provoquer  ,  si  possible  ,  des  élections  anticipées  .",brancards
2014,"Ces  interventions  sont  réalisées  à  l'  aide  de  moyens  matériels  spécifiques  ,  cordes  ,  brancards  ...  et  de  techniques  propres  à  la  spécialité  s'  inspirant  largement  de  l'  alpinisme  et  de  la  spéléologie  ""  ,  a  souligné  M.  Malek  Kessal  .",brancards
2014,"du  secrétaire  général  du  FLN  et  ses  attaques  contre  le  DRS  et  son  chef  ,  qu'  il  accuse  d'  être  responsables  de  tous  les  maux  du  maintien  et  de  la  perpétuation  du  ""  système  ""  ,  oubliant  qu'  il  est  lui-même  un  pur  produit  du  système  qui  l'  a  propulsé  jusqu'  à  devenir  ,  sous  le  règne  de  Abdelaziz  Bouteflika  ,  le  troisième  personnage  de  l'  Etat  quand  il  présidait  l'  Assemblée  populaire  nationale  ?  Aujourd  '  hui  ,  zélé  serviteur  du  clan  présidentiel  dont  il  ne  cache  pas  l'  appartenance  ,  il  se  met  à  ""  ruer  dans  les  brancards  ""  et  se  découvre  une  vocation  ""  anti-système  ""  de  grand  démocrate  devant  l'  Eternel  .",brancards
2014,"En  face  ,  le  MNLA  ,  dont  les  rapports  avec  leurs  anciens  alliés  d'  Ansar  Dine  sont  désastreux  ,  a  rué  dans  les  brancards  en  constatant  ce  rapprochement  diplomatique  algéro-malien  .",brancards
2014,"Placé  sous  oxygène  par  le  médecin  du  groupe  ,  le  jeune  homme  est  immédiatement  redescendu  ,  en  brancard  à  roulette  .",brancard
2014,"Mais  ces  derniers  qui  crient  et  ruent  dans  les  brancards  ,  craignent-ils  pour  leurs  avantages  personnels  qui  risquent  de  disparaitre  avec  la  mort  des  régions  ,  ou  veulent-ils  sauvegarder  les  intérêts  des  populations  qu'  ils  dirigent  ?  En  tout  cas  ,  les  régions  n'  ont  pas  connu  un  envol  économique  depuis  qu'  elles  ont  été  instituées  en  1996  .",brancards
2014,"Alors  qu'  un  lecteur  l'  interrogeait  à  propos  de  ces  mouvements  ,  Benoît  Poelvoorde  ,  en  pleine  promo  du  film  ""  Les  rayures  du  zèbre  ""  ,  a  rué  dans  les  brancards  en  ces  termes  :",brancards
2014,"Wanted  !  Imaginons  une  société  qui  désignerait  chaque  jour  à  la  vindicte  celles  ou  ceux  qu'  il  convient  de  punir  ,  après  qu'  un  jury  de  quelques  dizaines  de  milliers  d'  internautes  ait  rué  dans  les  brancards  ,  sonné  l'  hallali  et  convoqué  les  juges  !  Une  justice  2.0  .",brancards
2014,"Le  brancard  étant  conçu  pour  un  poids  maximum  de  300  kg  ,  les  ambulanciers  ont  fait  appel  aux  pompiers  afin  de  faire  sortir  le  patient  par  la  fenêtre  du  premier  étage  .",brancard
2014,"Il  redescendra  accompagné  du  médecin  de  l'  équipe  ,  Bruno  ,  toujours  en  sévère  déficit  d'  oxygène  ,  et  qui  devra  être  évacué  sur  brancard  quelques  heures  plus  tard  .",brancard
2014,Mais  la  tâche  a  été  plus  que  difficile  pour  les  ambulanciers  dont  le  brancard  était  conçu  pour  un  poids  maximum  de  300  kg  .,brancard
2014,"De  temps  à  autre  ,  un  brancard  portant  un  manifestant  inconscient  fend  la  foule  en  direction  de  Maïdan  (  la  place  de  l'  Indépendance  )  ,  où  la  douce  euphorie  proeuropéenne  de  décembre  s'  est  depuis  longtemps  dissipée  .",brancard
2014,"Une  femme  était  allongée  sur  un  brancard  dans  une  ambulance  ,  tandis  qu'  un  volontaire  du  Croissant  rouge  transportait  une  chaise  roulante  dans  un  bus  .",brancard
2014,"Là  ,  une  femme  allongée  sur  un  brancard  et  transportée  vers  une  ambulance  .",brancard
2014,"Il  n'  en  fallu  pas  plus  pour  que  ,  cette  fois-ci  ,  ce  soit  le  tonitruant  Secrétaire  général  de  la  Ligue  des  Masses  ,  Cheikh  Sidiya  Diop  ,  de  ruer  dans  les  brancards  !  A  travers  une  correspondance  au  vitriol  ,  adressée  au  Coordonateur  de  Boloo  taxawu  askanwi  ,  Mamadou  Diop  Decroix  -  avec  ampliation  à  tous  les  partis  membres  de  cette  coalition  de  l'  opposition  -  il  fustige  vigoureusement  ces  propos  du  député  Modou  Diagne  Fada  ,  qu'  il  considère  comme  ""  contradictoires  aux  dispositions  de  (  leur  )  coalition  en  ce  qu'  ils  constituent  une  entorse  manifeste  à  (  leur  )  Code  de  conduite  ""  .",brancards
2014,"Par  exemple  ,  s'  il  y  a  eu  de  nouveau  des  engagements  du  Premier  ministre  sur  le  fait  qu'  un  certain  nombre  de  réformes  de  la  loi  Famille  seront  bien  mises  en  oeuvre  ,  c'  est  parce  qu'  une  partie  de  la  majorité  -  le  groupe  écologiste  et  une  partie  du  groupe  socialiste  -  a  rué  dans  les  brancards  .",brancards
2014,"Au  lieu  de  se  remettre  en  cause  et  de  faire  leur  introspection  ,  les  concernés  se  mettent  en  transes  et  ruent  dans  les  brancards  pour  parler  d'  acharnement  et  de  jalousie  .",brancards
2014,"Il  ne  peut  retenir  ses  larmes  sur  le  brancard  ,  car  il  laisse  ses  coéquipiers  terminer  le  match  à  10  contre  11  contre  l'  Espagne  (  défaite  4  -  0  )  .",brancard
2014,"""  J'  étais  sur  le  brancard  dans  le  couloir  et  une  patiente  me  demandait  ce  qu'  elle  faisait  avec  son  ordonnance  et  ...  comment  faire  avec  ses  lunettes  !  ...",brancard
2014,"Les  images  diffusées  par  l'  agence  sud-coréenne  Yonhap  ont  montré  des  étudiants  blessés  transportés  sur  des  brancards  après  avoir  été  extraits  de  la  structure  ,  principalement  métallique  ,  du  plafond  qui  était  complètement  tordue  .",brancards
2014,"Gravement  blessé  aux  jambes  depuis  plusieurs  jours  ,  incapable  de  tenir  debout  ,  épuisé  moralement  et  physiquement  ,  le  sous-lieutenant  Chapelant  avait  alors  été  ficelé  sur  son  brancard  et  celui-ci  posé  le  long  d'  un  arbre  pour  qu'  on  puisse  le  fusiller  .",brancard
2014,"Au  contraire  ,  Le  crocodile  du  Botswanga  rue  dans  les  brancards  avec  une  liberté  de  ton  revendiquée  ,  un  art  consommé  de  l'  humour  potache  et  de  la  punchline  .",brancards
2014,"Emballé  dans  du  papier  ,  le  Christ  en  Croix  a  passé  les  portes  du  CHR  de  la  Citadelle  mardi  sur  un  brancard  ,  sous  les  regards  curieux  des  passants  .",brancard
2014,Certains  ont  été  évacués  sur  des  brancards  .,brancards
2014,Certains  occupants  ont  été  évacués  sur  des  brancards  .,brancards
2014,"L'  ancien  Premier  ministre  ,  qui  ne  veut  pas  de  ""  parti  godillot  ""  ,  pourrait  ruer  dans  les  brancards  .",brancards
2014,"Ils  ont  protégé  leur  recul  par  des  tirs  soutenus  de  balles  en  caoutchouc  qui  ont  blessé  une  dizaine  de  manifestants  ,  aussitôt  chargés  sur  des  brancards  et  évacués  vers  les  infirmeries  de  fortune  de  l'  opposition  .",brancards
2014,"Les  blessés  ont  été  emmenés  là  par  dizaines  ,  couchés  sur  des  brancards  ou  à  même  le  sol  .",brancards
2014,"Pris  de  convulsions  ,  il  est  emmené  sur  un  brancard  .",brancard
2014,"En  plus  de  toutes  les  dernières  technologies  ,  ces  nouveaux  véhicules  sont  équipés  de  brancard  à  suspension  pneumatique  et  d'  une  climatisation  indépendante  entre  la  cellule  et  la  cabine  de  pilotage  à  l'  avant  assurant  ainsi  à  la  fois  le  confort  des  victimes  et  celui  du  personnel  en  intervention  .",brancard
2014,Ukraine  :  ballet  de  brancards  place  Maïdan,brancards
2014,"Dans  l'  étroite  entrée  de  l'  hôpital  17  ,  deux  rangées  de  brancards  attendent  de  chaque  côté  .",brancards
2014,"A  l'  hôpital  17  ,  le  ballet  des  brancards  se  poursuit  .",brancards
2014,"La  place  Maïdan  ,  haut  lieu  de  la  contestation  ,  voit  défiler  un  ballet  incessant  de  brancards  .",brancards
2014,"Des  secouristes  transportaient  des  corps  sur  des  brancards  à  travers  des  rangées  de  manifestants  scandant  ""  Héros  ,  Héros  ""  ,  en  hommage  aux  morts  .",brancards
2014,Elle  a  été  évacuée  sur  un  brancard  mais  restait  parfaitement  consciente  .,brancard
2014,"L'  équipe  de  France  a  abandonné  dès  le  premier  relais  après  le  malaise  vagal  de  Marie-Laure  Brunet  ,  évacuée  sur  un  brancard  .",brancard
2014,"Le  nez  dans  la  neige  ,  elle  a  rapidement  été  secourue  avant  d'  être  évacuée  sur  un  brancard  .",brancard
2014,"Il  y  a  aussi  une  activité  de  survie  en  forêt  d'  une  durée  de  cinq  heures  ,  pendant  laquelle  les  participants  devront  construire  un  abri  et  fabriquer  un  brancard  .",brancard
2014,"20  h  49  Confusion  ,  un  homme  appel  des  médecins  et  des  brancards  pour  secourir  des  personnes  victimes  de  malaises  .",brancards
2014,"13.7  -  22.7  :  Attention  sur  le  plan  sentimental  ,  les  instabilités  sont  au  programme  ;  ne  ruez  pas  dans  les  brancards  ,  jouez  zen  .",brancards
2014,Evreux  rue  dans  les  brancards  par  Drouault  .,brancards
2014,"Piquante  et  énervée  ,  la  blonde  de  Virgin  Radio  et  de  ""  Touche  pas  à  mon  poste  ""  aime  à  ruer  dans  les  brancards  et  n'  est  jamais  avare  de  critiques  chargées  à  la  chevrotine  ,  deux  qualités  s'  il  en  est  à  l'  horizon  d'  un  PAF  par  trop  aseptisé  .",brancards
2014,"A  l'  image  du  divorce  entre  le  monde  de  la  critique  et  les  acteurs  du  film  Les  3  frères  ,  Didier  Bourdon  ,  Pascal  Légitimus  et  Bernard  Campan  ,  qui  ont  rué  dans  les  brancards  .",brancards
2014,Le  module  arrière  peut  également  accueillir  deux  brancards  pour  transporter  des  personnes  qui  auraient  besoin  de  soins  d'  urgence  .,brancards
2014,"Consciente  ,  la  Française  a  ensuite  été  évacuée  sur  un  brancard  .",brancard
2014,Daan  ne  ruera  pas  non  plus  dans  les  brancards  .,brancards
2014,"Elle  est  placée  dans  un  fauteuil  devant  les  brancards  ,  en  face  du  poste  de  l'  infirmière  d'  accueil  ,  qui  souhaite  pouvoir  la  surveiller  .",brancards
2014,"Il  faut  par  exemple  que  le  véhicule  soit  prévu  pour  accueillir  un  compartiment  pour  une  bouteille  d'  oxygène  ,  des  casiers  pour  ranger  le  matériel  médical  ,  un  brancard  .",brancard
2014,"Des  gens  ont  tiré  sur  eux  ,  des  agents  de  la  Croix  rouge  sont  passés  les  prendre  sur  des  brancards  .",brancards
2014,"Convaincu  que  l'  espace  politique  est  assez  réduit  pour  un  PS  solitaire  ,  le  chef  de  l'  Etat  est  aujourd  '  hui  sûr  qu'  il  a  tout  intérêt  à  préserver  cette  alliance  avec  les  écologistes  et  qu'  ils  sont  ,  au  final  ,  plus  utiles  -  même  s'  ils  ruent  dans  les  brancards  ,  s'  ils  posent  leurs  conditions-  au  sein  dispositif  gouvernemental  qu'  à  l'  extérieur  où  leurs  critiques  seraient  alors  beaucoup  plus  radicales  .",brancards
2014,"Dans  le  camp  filloniste  ,  où  certains  sont  pourtant  régulièrement  montés  au  créneau  pour  critiquer  l'  absence  de  transparence  financière  ,  seul  le  député  Lionel  Tardy  a  rué  dans  les  brancards  jeudi  avec  son  tweet  affirmant  que  ""  tout  le  monde  savait  ""  .",brancards
2014,"""  Elle  la  place  dans  un  fauteuil  de  la  zone  d'  attente  couchée  ,  devant  les  brancards  ,  peut-on  lire  dans  le  rapport  .",brancards
2014,"À  un  horaire  indéterminé  (  que  nous  supposons  être  entre  21  h  20  et  21  h  50  )  ,  une  interne  prenant  en  charge  un  patient  couché  sur  un  brancard  ,  situé  derrière  la  patiente  ,  la  voit  endormie  et  respirant  .",brancard
