year,sentence,key_word
2014,"De  son  côté  ,  Caproni  avait  entre  autres  dédié  à  Agamben  un  poème  du  recueil  le  Comte  de  Kevenhüller  (  1979  -  1986  )  ,  qui  s'  achève  par  ces  mots  :  ""  Le  lieu  /  est  exempt  du  bruissement  /  de  la  bête  en  fuite  ,  qui  toujours  /  -  dit-on  -  est  dans  la  parole  ""  et  qui  lui  fut  inspiré  par  une  phrase  du  philosophe  :  ""  La  bête  en  fuite  ,  que  nous  croyons  entendre  bruire  dans  les  mots  ,  est  -  nous  a-t-on  dit  -  notre  voix  ""  (  la  Fin  de  la  pensée  )  .",bruire
2014,"Et  les  réseaux  sociaux  ,  eux  ,  se  mettent  à  bruire  ...",bruire
2014,"Le  tweet  de  Fabius  sur  l'  Etat  islamique  au  Levant  et  son  ""  califat  ""  (  le  27  août  ,  ci-contre  )  a  fait  bruire  la  tweetosphère  ,  à  juste  titre  puisque  formellement  il  appelle  à  violer  et  décapiter  .",bruire
2014,Les  rumeurs  de  recrutement  de  défenseurs  centraux  n'  en  finissent  plus  de  bruire  .,bruire
2014,"Des  ""  Atride  ""  au  ""  Comte  de  Monte  Cristo  ""  ,  en  passant  par  ""  Othello  ""  et  ""  Macbeth  ""  ,  la  littérature  ne  cesse  de  bruire  de  vengeances  politiques  passionnées  .",bruire
2014,"D'ailleurs  à  ce  sujet  ,  la  situation  libyenne  était  tellement  préoccupante  que  la  presse  ne  cesse  de  bruire  ,  de  temps  en  temps  ,  des  rumeurs  les  plus  folles  .",bruire
2015,"À  cinq  minutes  de  la  fin  de  la  cérémonie  ,  un  mouvement  fait  bruire  l'  assistance  .",bruire
2015,"Et  les  rumeurs  malsaines  ont  commencé  à  bruire  dans  les  cafés  ,  pour  réduire  cette  affaire  grave  à  un  fait  divers  personnel  ,  une  affaire  de  mœurs  ,  une  simple  dispute  ...",bruire
2015,"Ce  marché  international  porte  décidément  bien  son  nom  ,  on  y  entend  bruire  toutes  les  langues  du  monde  .",bruire
2015,À  moins  de  les  faire  bruire  et  pianoter  sur  l'  atmosphérique  Matelots  &  frères  .,bruire
2015,"""  Car  ,  lorsque  dans  quelques  années  ,  nous  entendrons  bruire  une  jeune  forêt  que  nous  aurions  plantée  de  nos  propres  mains  ,  nous  sentirons  que  le  climat  lui-même  est  un  peu  en  notre  pouvoir  ,  et  que  si  dans  mille  ans  ,  l'  homme  doit  être  heureux  ,  ce  sera  un  peu  grâce  à  nous  ,  a-t-il  conclu  .",bruire
2015,"Une  lecture  locomotive  ,  dont  la  puissance  allait  entraîner  toutes  les  autres  à  sa  suite  ,  desquelles  je  suis  redevable  des  êtres  nouveaux  qu'  elles  engendreront  à  la  tonne  et  dont  j'  entends  bruire  l'  existence  à  travers  la  mienne  .",bruire
2015,"La  lumière  ,  provenant  de  diodes  électroluminescentes  (  LED  )  ,  tire  entre  le  blanc  et  le  fuchsia  ;  des  ventilateurs  font  bruire  les  feuilles  et  de  petits  tuyaux  glougloutent  consciencieusement  pour  nourrir  les  plantes  .",bruire
2015,Korika  aima  le  changement  de  tempo  et  sentit  son  être  bruire  de  toute  son  intensité  .,bruire
2015,"Mais  j'  imagine  qu'  il  l'  espérait  ,  clairement  ou  vaguement  ,  et  quand  c'  est  arrivé  ,  sans  croire  à  l'  impossible  ,  il  a  sans  doute  entendu  pendant  quelques  secondes  bruire  dans  le  silence  l'  écho  rare  de  la  paix  des  étoiles  .",bruire
2015,"Toute  une  forêt  profonde  ,  matricielle  et  labyrinthique  ,  pleine  de  créatures  étonnantes  ,  se  met  à  bruire  et  à  parler  .",bruire
2015,"Le  dernier  sondage  qui  fait  bruire  La  Rochelle  -  Ipsos  ,  Le  Monde  ,  France  Inter  -  la  donne  11  points  derrière  François  Hollande  au  premier  tour  de  la  primaire  .",bruire
2016,"C'  est  la  présomption  à  laquelle  invitent  la  confusion  et  le  profil  bas  affiché  par  les  autorités  au  lendemain  de  cet  élan  de  solidarité  insoupçonné  qui  a  fait  bruire  les  réseaux  sociaux  et  ,  plus  tard  ,  la  place  elle-même  .",bruire
2016,"grande  escaille  de  tortuë  ,  &  une  façon  de  tambour  de  la  grandeur  d'  un  tambour  de  basque  ,  composé  d'  un  cercle  large  de  trois  ou  quatre  doigts  ,  &  de  deux  peaux  roidement  estenduës  de  part  &  d'  autre  ,  dans  quoy  estoient  des  grains  de  bled  d'  Inde  ,  ou  petits  caillous  pour  faire  plus  de  bruit  :  le  diamettre  des  plus  grands  tambours  est  de  deux  palmes  ou  environ  ,  ils  le  nomment  en  Montagnais  Chichigouan  ;  ils  ne  le  battent  pas  comme  on  faict  par  deça  mais  ils  le  tournent  &  remuent  ,  pour  faire  bruire  les  caillous  qui  sont  dedans  ,  &  en  frappent  la  terre  tantost  du  bord  ,  tantost  quasi  du  plat  ,  pendant  que  tout  le  monde  dance  .",bruire
2016,"Ils  soustiennent  bien  qu'  il  sont  vivants  ,  mais  ils  ne  sçavent  pas  comme  ils  sont  faits  ,  s'  ils  sont  hommes  ,  ou  animaux  ,  ny  de  quelle  espece  ,  &  disent  qu'  ils  les  entendent  parler  ,  ou  bruire  ,  notamment  à  leur  venue  ,  sans  pouvoir  distinguer  ce  qu'  ils  disent  ,  pour  leur  demeure  ,  ils  partagent  le  monde  entr  '  eux  ,  l'  un  se  tenant  d'  un  costé  ,  l'  autre  de  l'  autre  ,  &  quand  le  temps  de  leur  station  ,  qui  est  aux  deux  bouts  du  monde  ,  est  expiré  ,  l'  un  passe  en  la  place  de  l'  autre  ,  se  succedant  mutuellement  .",bruire
2016,"Pendant  qu'  on  chante  ,  il  y  a  des  pierres  qui  rougissent  au  feu  ,  lesquelles  le  medecin  empoigne  &  manie  entre  ses  mains  ,  puis  masche  des  charbons  ardans  ,  faict  le  demon  deschaisné  ,  &  de  ses  mains  si  eschauffées  ,  frotte  &  souffle  avec  un  sifflement  ,  qu'  il  faict  bruire  entre  ses  dents  ,  les  parties  dolentes  du  patient  ,  ou  crache  sur  le  mal  de  son  charbon  masché  .",bruire
2016,"Nos  Religieux  en  avoient  un  en  vie  ,  enfermé  dans  un  coffre  &  attaché  à  un  filet  ,  mais  il  ne  faisoit  que  bruire  ,  &  se  tourmenter  là  dedans  ;  bien  qu'  il  eut  des  fleurs  &  confitures  à  manger  ,  &  au  bout  de  quelques  jours  il  mourut  ,  car  il  n'  y  a  moyen  aucun  d'  en  pouvoir  nourrir  ny  conserver  long-temps  en  vie  ,  autrement  nous  en  eussions  apporté  pour  nos  amis  .",bruire
2016,"L'  affaire  du  projet  de  réalisation  de  trois  statues  dans  la  ville  de  Béjaïa  ,  qui  fait  bruire  la  rue  et  les  réseaux  sociaux  depuis  quelques  jours  ,  frôle  le  scandale  .",bruire
2016,"Ils  entendent  ""  bruire  ""  la  Grande  Eau  .",bruire
