year,sentence,key_word
2014,"Concert  ,  calèche  du  père  Noël  ,  spectacles  ,  etc  .",calèche
2014,"Le  31  ,  une  collision  se  produit  sur  la  D  160  entre  Carvin  et  Oignies  ,  entre  une  voiture  et  une  calèche  .",calèche
2014,"Le  conducteur  de  la  calèche  Eric  Bessant  ,  figure  bien  connue  et  appréciée  du  milieu  associatif  ,  trouve  la  mort  dans  l'  accident  .",calèche
2014,"Dernièrement  ,  le  porte-parole  du  collectif  ""  Equitation  en  péril  ""  est  allé  remettre  en  calèche  ,  une  pétition  de  50.000  signataires  à  l'  Elysée  :  ""  nous  nous  battons  pour  l'  équitation  sociale  ,  la  ruralité  ,  pour  la  survie  des  centres  équestres  qui  sont  les  derniers  lieux  de  vie  dans  les  campagnes  ""  !",calèche
2014,"La  calèche  du  Père  Noël  tournait  dans  la  ville  avec  enfants  ,  parents  et  grands-parents  et  La  Ferme  en  balade  a  enchanté  une  fois  de  plus  petits  et  grands  .",calèche
2014,"Pour  les  enfants  ,  un  atelier  maquillage  ,  un  jeu  de  bulles  ,  barbe  à  papa  ,  la  promenade  en  calèche  du  Père  Noël  ,  sans  oublier  les  manèges  ,  attractions  et  poneys  au  jardin  des  Vigneaux  ,  offert  par  la  ville  et  l'  Association  des  commerçants  et  artisans  bagnérais  .",calèche
2014,"C'  est  ainsi  que  l'  espace  Saint-Exupéry  accueillera  pendant  ces  deux  journées  de  nombreux  professionnels  ,  que  ce  soit  dans  le  domaine  des  tenues  vestimentaires  :  robes  de  mariée  ,  costumes  ...  mais  également  un  rayon  traiteurs  ou  encore  les  locations  de  salle  ,  les  coiffeurs  ,  les  esthéticiennes  ,  les  animateurs  de  soirée  ,  les  voitures  de  prestige  ,  les  calèches  ...",calèches
2014,"Pour  terminer  ,  les  enfants  ont  accompagné  le  Père  Noël  pour  une  balade  en  calèche  dans  les  rues  .",calèche
2014,"Aujourd  '  hui  ,  quand  j'  ai  10  livres  en  poche  ,  je  suis  content  ""  ,  affirme  ce  conducteur  de  calèche  ,  père  de  quatre  garçons  .",calèche
2014,"Et  d'  ajouter  que  parmi  les  340  conducteurs  de  calèches  de  Louxor  ,  20  ont  vu  leur  animal  mourir  de  faim  .",calèches
2014,"Louxor  aujourd  '  hui  est  une  ville  fantôme  :  le  tarmac  de  l'  aéroport  est  désespérément  vide  ,  calèches  et  taxis  sont  à  l'  arrêt  devant  des  hôtels  où  personne  ne  descend  .",calèches
2014,En  calèche  avec  le  Père  Noël,calèche
2014,"Une  fois  n'  est  pas  coutume  ,  tous  les  enfants  de  la  commune  l'  ont  entendu  arriver  au  loin  sur  le  chemin  ,  car  en  l'  absence  de  neige  en  plaine  ,  le  Père  Noël  avait  troqué  son  traîneau  pour  une  calèche  attelée  aux  chevaux-vapeur  de  Jean-Bernard  ,  apprenti  lutin  recruté  pour  la  circonstance  .",calèche
2014,Autre  activité  proposée  et  très  prisée  :  la  promenade  en  calèche  .,calèche
2014,"A  l'  entrée  des  grandes  serres  du  Muséum  national  d'  histoire  naturelle  ,  posée  sur  un  bassin  d'  eau  ,  une  calèche  vêtue  d'  une  dentelle  de  coquillages  semble  tout  droit  sortie  des  pages  d'  un  livre  animé  .",calèche
2014,"A  l'  occasion  du  premier  dimanche  de  l'  épiphanie  ,  la  boulangerie  avait  organisé  un  pot  ,  fait  venir  une  calèche  pour  les  enfants  et  même  un  accordéoniste  .",calèche
2014,"Les  Auchatraire  ont  marqué  ,  depuis  ses  débuts  ,  toute  l'  aventure  automobile  ,  des  calèches  d'  Eugène  aux  Chenard  et  Walcker  ,  Simca  ,  Fiat  ,  Alfa  Romeo  et  F  1  de  Jean  .",calèches
2014,"Pour  les  Auchatraire  ,  dont  le  nom  est  aujourd  '  hui  indissolublement  lié  à  Clermont-Ferrand  ,  tout  a  commencé  ...  à  Guéret  ,  avec  Eugène  ,  qui  loue  des  calèches  avant  d'  embrasser  ,  au  sortir  de  la  Grande  guerre  ,  la  mode  du  siècle  :  il  devient  concessionnaire  Citroën  .",calèches
2014,"Il  l'  habille  comme  un  prince  ,  lui  fait  construire  une  calèche  et  une  maison  à  sa  taille  .",calèche
2014,"""  Les  calèches  sont  formellement  interdites  sur  les  voies  goudronnées  ,  mais  ils  peuvent  emprunter  les  voies  latérites  .",calèches
2014,"J'  ai  ,  en  effet  ,  besoin  d'  une  calèche  ,  pourvu  qu'  elle  soit  solide  et  roule  bien  .",calèche
2014,"Posée  à  l'  entrée  des  grandes  serres  du  Jardin  des  plantes  ,  sur  un  bassin  d'  eau  ,  une  calèche  en  métal  habillée  d'  une  dentelle  de  coquillages  attend  probablement  le  retour  des  mariés  partis  en  voyage  dans  une  forêt  tropicale  .",calèche
2014,Les  calèches  de  la  Grand-Place  au  chômage  technique,calèches
2014,"À  la  mi-septembre  ,  était  lancé  ,  en  grande  pompe  ,  un  service  de  tour  en  calèche  dans  le  centre  historique  de  Bruxelles  ,  au  départ  de  la  Grand-Place  .  20.000  €  avaient  été  investis  dans  la  construction  de  deux  attelages  ,  spécialement  conçus  pour  se  faufiler  dans  les  étroits  piétonniers  de  la  zone  Unesco  .",calèche
2014,"En  cause  ,  un  revirement  des  services  de  police  qui  avait  approuvé  l'  itinéraire  des  calèches  .",calèches
2014,De  nouveaux  panneaux  (  sept  ou  huit  )  seront  apposés  d'  ici  la  mi-février  pour  permettre  aux  calèches  de  ne  plus  être  en  infraction  .,calèches
