year,sentence,key_word
2014,"Quatre  d'  entre  eux  sont  revenus  en  nageant  pour  demander  de  l'  aide  mais  il  n'  y  avait  pas  de  canots  de  sauvetage  immédiatement  disponibles  ""  ,  a-t-il  ajouté  .",canots
2014,"Une  submersion  des  plages  sur  les  côtes  Nord  et  Ouest  comme  sur  le  littoral  de  Sainte  Suzanne  ,  de  Boucan  Canot  ,  ou  en  baie  de  Saint  Paul  ,  une  élévation  du  niveau  d'  eau  dans  les  lagons  pourront  être  observées  .",canot
2014,"-  à  Saint-Paul  :  l'  Etang  Saint-Paul  (  quartier  de  la  Ravine  La  Plaine  et  rue  Jacquot  )  ,  la  baie  de  Saint-Paul  ,  la  Saline-les-Bains  ,  L'  Ermitage-les-Bains  ,  Boucan  Canot  ,  Roches  noires  ,  Grand  Fond  Saint-Gilles  ,  Cap  Homard  ,  Cap  Marianne  ,  Trou  d'  eau  ;",canot
2014,"Plusieurs  activités  nautiques  permettent  d'  observer  la  faune  :  baignade  ,  pêche  ,  canot  ,  SUP  ...  tranquillité  garantie  !",canot
2014,"Sur  la  RD  54  Rte  de  Bras  Canot  à  St  Benoit  ,  sur  tout  l'  itinéraire  radiers  submergés  ,  présence  d'  arbre  sur  la  chaussée  et  des  nids  de  poule  .",canot
2014,"Sur  la  RN  1  A  entre  Saint-Paul  ville  et  Boucan  Canot  ,  un  éboulis  est  intervenu  au  Cap  La  Houssaye  .",canot
2014,"Le  plancher  en  bois  du  dщbarcadшre  a  volщ  en  щclats  ,  la  mairie  annexe  de  la  Saline  a  щtщ  sщrieusement  endommagщe  par  les  inondations  ,  et  du  cЇtщ  des  plages  ,  la  houle  a  dщtruit  la  faчade  de  cinq  postes  de  maюtre-nageurs-sauveteurs  ,  de  Boucan  Canot  jusqu'  р  l'  Ermitage  .",canot
2014,Et  ceux  qui  se  lancent  en  canot  à  glace  au  beau  milieu  du  fleuve  Saint-Laurent  .,canot
2014,"Au  final  ,  les  froids  intenses  ne  freinent  pas  trop  les  amateurs  de  canot  à  glace  .",canot
2014,"""  Du  point  de  vue  du  canot  en  tant  que  tel  ,  c'  est  similaire  à  des  sorties  normales  .",canot
