year,sentence,key_word
2014,"Pour  ces  addicts  (  et  parfois  rêveurs  )  ,  sont  à  prévoir  les  scanners  rétiniens  ,  les  projecteurs  intégrés  ,  la  réalité  augmentée  et  les  écrans  3  D.  Enfin  regardant  le  détail  ,  chacun  y  va  de  son  idée  !  Avenir  rime  aussi  avec  avoir  une  application  pour  faire  ses  corvées  :  prendre  un  bain  ,  tondre  la  pelouse  ou  faire  la  lessive  ...",corvées
2014,"Donc  pour  atténuer  cette  ""  corvée  ""  je  voudrais  installer  une  chaudière  à  bois  (  bûches  de  50  cm  )  qui  stockerait  dans  son  compartiment  250  kWh  environ  .",corvée
2014,"Une  corvée  consensuelle  qu'  il  fallait  expédier  en  limitant  la  casse  ,  rien  de  plus  .",corvée
2014,"Lâcher  le  volant  et  se  laisser  conduire  ,  Mercedes  le  propose  déjà  aux  clients  privilégiés  de  sa  Classe  S.  Son  système  ""  Stop  &  Go  Pilot  ""  ,  une  option  à  2700  €  ,  a  pour  vocation  première  de  décharger  le  conducteur  de  la  corvée  que  représente  la  circulation  dans  les  embouteillages  ,  mais  un  premier  pas  décisif  vient  d'  être  franchi  .",corvée
2014,"Les  entreprises  ,  de  plus  en  plus  ,  encouragent  leurs  employés  à  s'  engager  auprès  des  bonnes  oeuvres  ,  soit  par  l'  implication  bénévole  pour  l'  organisation  de  corvées  (  travaux  de  peinture  ,  aménagement  paysager  et  rénovations  )  ou  par  la  fourniture  gratuite  de  services  professionnels  spécialisés  .",corvées
2014,"""  Organiser  une  corvée  ,  ce  n'  est  pas  simple  .",corvée
2014,"Ou  plutôt  non  ,  faisons-leur  comprendre  que  les  tâches  familiales  -  et  donc  l'  éducation  et  tous  ses  petits  plaisirs  parallèles  -  ne  sont  pas  que  des  corvées  à  partager  mais  aussi  ,  et  surtout  ,  une  ambition  de  vie  tout  aussi  valorisante  pour  la  collectivité  qu'  une  promotion  au  boulot  .",corvées
2014,"Mais  un  jour  ,  Geoffrey  ,  un  garçon  d'  écurie  qui  effectue  les  corvées  du  monastère  tout  en  espérant  devenir  chevalier  ,  découvre  l'  existence  de  l'  animal  .",corvées
2014,"Pour  éviter  d'  abandonner  l'  entraînement  ,  les  experts  recommandent  aux  athlètes  en  devenir  d'  apprendre  à  apprécier  les  périodes  d'  entraînement  afin  que  celles-ci  ne  soient  pas  vues  comme  des  corvées  .",corvées
2014,Une  manière  aussi  de  vérifier  si  les  enfants  se  sont  lavés  les  dents  (  même  s'  ils  sont  généralement  assez  malins  pour  trouver  des  astuces  pour  éviter  ce  qui  est  souvent  considéré  comme  une  corvée  ...  )  .,corvée
2014,"C'  est  une  présentatrice  britannique  qui  l'  affirme  :  les  femmes  adorent  les  corvées  ménagères  comme  le  repassage  parce  que  ""  ça  les  garde  saines  d'  esprit  ""  .",corvées
2014,L'  Alençonnais  Lucas  Corvée  nommé  parmi  les  futures  révélations  2014  (  Ouest-France  ),corvée
2014,Le  badiste  Lucas  Corvée  a  été  nommé  parmi  les  futures  révélations  de  l'  année  2014  sur  un  célèbre  site  internet  .,corvée
2014,"Grâce  à  sa  très  belle  année  2013  ,  l'  Alençonnais  Lucas  Corvée  ,  20  ans  ,  a  été  nommé  dans  la  catégorie  ""  Prix  Spécale  Melty  Talents  House  (  avec  des  vrais  morceaux  de  talent  dedans  )  ""  .",corvée
2014,"Une  véritable  épée  de  Damoclès  sur  nos  tête  ""  ,  explique  un  trentenaire  ,  alangui  par  une  longue  journée  de  corvée  .",corvée
