year,sentence,key_word
2014,"Après  un  repas  de  fête  dans  la  salle  de  réception  du  bâtiment  ,  les  enfants  ont  profité  du  beau  temps  et  de  l'  espace  pour  se  dégourdir  les  jambes  avant  de  se  diriger  ,  en  petits  groupes  ,  vers  la  poussinière  ,  l'  enclos  des  dindons  ,  des  canards  ,  le  bâtiment  des  lapins  ,  les  ruches  ,  la  basse-cour  ,  l'  abri  des  ânes  ...  des  chèvres  .",dindons
2014,"""  Alors  comme  ça  ,  tu  n'  as  pas  16  ans  et  tu  es  déjà  vaniteux  comme  un  dindon  .",dindon
2014,"Un  détour  par  la  boulangerie  où  là  aussi  le  bon  étiquetage  tient  une  large  place  ,  et  les  agents  n'  auront  plus  qu'  à  envoyer  leur  rapport  ,  distillant  quelques  conseils  ou  avertissements  afin  que  les  clients  ne  deviennent  pas  les  dindons  de  la  farce  .",dindons
2014,"Cette  année  ,  à  l'  image  de  la  saison  passée  à  Boulogne-sur-Mer  (  National  ,  1  -  0  )  ,  Toulouse  ne  sera  pas  le  dindon  de  la  farce  -  comme  il  le  fut  ,  rappelons-le  ,  à  maintes  reprises  dans  des  éditions  récentes  (  2012  et  2011  ,  2010  en  16  es  )  .",dindon
2014,"Si  tout  le  monde  tire  la  ficelle  collective  à  soit  ,  alors  autant  ne  pas  être  les  dindons  de  la  farce  et  en  faire  autant  .",dindons
2014,Les  vrais  dindons  de  la  farce  sont  ceux  qui  à  force  d'  avoir  tiré  la  corde  à  eux  ont  fait  chavirer  le  navire  France  .,dindons
2014,"Au  bout  du  compte  ,  celui  qui  propose  un  caméscope  à  un  prix  trop  élevé  car  il  emploie  des  composants  coûteux  est  le  dindon  de  la  farce  ,  car  la  concurrence  est  en  mesure  de  proposer  des  produits  de  qualité  (  supposée  )  égale  à  moindre  coût  .",dindon
2014,"Poules  ,  pigeons  ,  lapins  ,  canards  ,  coqs  ,  dindons  ...  les  visiteurs  vont  découvrir  toute  la  richesse  et  la  variété  des  races  .",dindons
2014,"J'  ai  le  sentiment  ,  dans  cette  affaire  ,  qu'  il  est  le  dindon  de  la  farce  .",dindon
2014,"Et  dans  le  cas  d'  espèce  ,  Kampala  et  Kigali  ont  ,  à  maintes  reprises  ,  fait  étalage  de  leur  mauvaise  foi  dans  les  relations  de  bon  voisinage  avec  Kinshasa  ,  lequel  s'  en  sort  toujours  avec  la  gratification  de  dindon  de  la  farce  .",dindon
2014,"Aujourd  '  hui  que  des  indices  évidents  attestent  de  la  résurgence  du  M  23  ,  Kinshasa  risque  de  se  retrouver  -  comme  dans  bien  d'  autres  circonstances  d'ailleurs  -  faisant  le  dindon  de  la  farce  .",dindon
2014,"Ce  bestiaire  !  Ce  poulailler  avec  ses  dindons  ,  ses  oies  !  C'  est  pathétique  !  """,dindons
2014,"Les  citoyens  ,  qui  refusent  d'  être  les  dindons  de  la  farce  ,  ne  comptent  pas  rester  les  bras  croisés  face  à  cet  état  de  fait  pénalisant  .",dindons
