year,sentence,key_word
2014,"Après  un  déjeuner  offert  par  l'  association  Idaousemlale  en  l'  honneur  des  400  invités  qui  se  sont  déplacés  par  la  suite  à  La  Maison  de  la  culture  où  a  eu  lieu  une  conférence  scientifique  autour  du  livre  susdit  .  Une  occasion  pour  les  participants  d'  évoquer  les  différents  aspects  de  la  vie  du  cheikh  sidi  Mohamed  Ben  Slimane  Aljazouli  de  la  tribune  d'  Idaousemlale  ,  pionnier  de  la  zaouïa  (  confrérie  )  et  l'  un  des  sept  fameux  hommes  de  la  ville  de  Marrakech  .",déjeuner
2014,"Dès  la  pause  déjeuner  ,  les  joueurs  de  Laurent  Blanc  se  sont  évaporés  par  petits  groupes  aux  quatre  coins  de  la  ville  pour  assurer  diverses  opérations  de  promotion  montées  par  Qatar  Tourism  Authority  (  QTA  )  ou  certains  de  leurs  sponsors  tel  Ooredoo  ,  l'  opérateur  de  téléphonie  qatarien  ,  qui  s'  affiche  sur  les  maillots  et  a  donné  son  nom  au  centre  d'  entraînement  de  Saint-Germain-en-Laye  contre  13  M  €  annuels  .",déjeuner
2014,Les  frères  Herbert  ont  pris  pour  thème  l'  amour  :  un  petit  déjeuner  au  lit  romantique  .,déjeuner
2014,La  brouillade  d'  oeufs  avec  saucisse  turque  et  feta  constitue  un  déjeuner  délicieux  .,déjeuner
2014,Règle  numéro  2  :  on  ne  saute  pas  les  petits  déjeuners ,déjeuners
2014,"En  plus  du  petit-déjeuner  complet  ,  on  revoit  sa  conception  du  déjeuner  et  du  dîner  .",déjeuner
2014,"Le  midi  ,  on  déjeune  environ  100  g  de  viande  maigre  ou  150  g  de  poisson  accompagné  de  150  g  de  féculents  (  l'  idéal  des  céréales  ou  des  légumes  secs  pour  les  sucres  lents  )  et  de  200  g  de  légumes  suivi  d'  un  yaourt  non  sucré  (  entre  0  et  20  %  )  pour  le  dessert  .",déjeune
2014,Les  fruits  n'  ont  pas  leur  place  au  déjeuner  et  au  dîner  .,déjeuner
2014,"Le  Lambersartois  sort  du  lycée  Saint-Jean-Baptiste-de-la-Salle  ,  à  Lille  ,  et  part  déjeuner  ,  en  face  de  la  gare  .",déjeuner
2014,"A  Toulouse  ,  les  halles  Victor-Hugo  sont  ouvertes  ce  matin  ,  ainsi  que  les  petits  restos  à  l'  étage  où  l'  on  peut  déjeuner  dans  une  atmosphère  conviviale  et  pittoresque  .",déjeuner
2014,"Au  déjeuner  :  des  crudités  ,  de  la  viande  ou  du  poisson  ou  deux  œufs  ,  des  légumes  ,  huit  cuillères  à  soupe  de  féculents  cuits  ,  un  laitage  ,  un  fruit  ,  20  g  de  matières  grasses  .",déjeuner
2014,"""  On  déjeunait  ensemble  ,  mais  je  ne  me  rendais  pas  compte  qu'  il  me  faisait  la  cour  .",déjeunait
