year,sentence,key_word
2014,L'  essieu  avant  est  attaché  au  châssis  par  les  ressorts  et  le  pont  arrière  y  est  fixé  directement  par  des  boulons  qui  traversent  les  bossages  .,essieu
2014,"Le  moteur  sera  celui  de  la  Coccinelle  ,  placé  à  l'  arrière  et  refroidi  à  air  ,  la  cabine  est  perchée  sur  les  essieux  avant  et  ,  entre  les  deux  ,  un  volume  utile  le  plus  vaste  possible  destiné  à  tous  types  d'  usages  .",essieux
2014,"""  Il  s'  agit  d'  un  rail  utilisé  particulièrement  dans  les  zones  montagneuses  avec  des  courbes  serrées  ou  pour  permettre  le  passage  de  convois  lourdement  chargés  à  27  tonnes  par  essieu  ""  ,  explique  Gérard  Glas  ,  président  de  la  division  rail  du  sidérurgiste  indien  ,  qui  précise  que  ces  grandes  longueurs  sont  destinées  au  marché  européen  .",essieu
2014,"Le  quai  Duguay-Trouin  a  été  recouvert  d'  eau  pour  moitié  et  plusieurs  automobilistes  qui  n'  avaient  pas  donné  crédit  aux  panneaux  de  prévention  posés  depuis  deux  jours  ont  eu  la  mauvaise  surprise  de  retrouver  leurs  véhicules  ,  les  essieux  baignant  dans  l'  eau  salée  .",essieux
2014,"Mais  l'  occasion  est  trop  belle  pour  s'  emparer  d'  un  morceau  de  moteur  ,  d'  une  roue  ou  d'  un  essieu  .",essieu
2014,"La  Wallonie  ,  elle  ,  espère  dès  cette  année  une  augmentation  de  5  %  de  ses  recettes  en  la  matière  (  40  millions  d'  euros  )  ,  notamment  au  travers  d'  opérations  conjointes  avec  les  douanes  ,  les  agents  fédéraux  de  la  Mobilité  (  temps  de  conduite  des  transporteurs  ,  surcharge  )  ,  les  zones  de  police  locale  ou  encore  la  police  domaniale  wallonne  (  surcharge  par  essieu  )  .",essieu
2014,"Après  avoir  poursuivi  son  périple  ,  ""  mais  avec  des  Mercedes  et  des  caravanes  double  essieu  ""  ,  M.  Wattebled  a  rappelé  que  la  municipalité  avait  dépensé  plus  de  60  0  0  0  €  en  dispositif  anti-intrusion  face  aux  installations  de  gens  du  voyage  .",essieu
2014,"En  accord  avec  le  MTQ  ,  A  30  Express  a  donc  augmenté  son  tarif  de  50  cents  pour  une  voiture  de  promenade  et  de  35  cents  par  essieu  pour  les  camions  lourds  .",essieu
2014,"La  future  A  4  est  attendue  équipée  du  système  de  désactivation  des  cylindres  ,  ainsi  que  d'  une  transmission  e-quattro  ,  qui  disposera  d'  un  essieu  arrière  électrique  .",essieu
2014,"Baisse  de  la  taxe  à  l'  essieu  ,  généralisation  des  44  tonnes  en  janvier  2013  ,  exonération  de  contribution  carbone  et  réhabilitation  des  projets  routiers  dans  les  contrats  de  plan  État-région  ,  les  transporteurs  routiers  jouissent  de  multiples  privilèges  ,  que  leur  octroie  l'  Etat  alors  même  qu'  ils  figurent  parmi  les  premiers  émetteurs  de  gaz  à  effet  de  serre  .",essieu
2014,Question  :  a-t-on  vérifié  si  le  rayon  de  l'  anneau  correspondait  bien  au  braquage  des  essieux  des  véhicules  lourds  ?,essieux
2014,"PLASTER  ROCK  ,  -  Des  enquêteurs  se  penchaient  sur  le  système  de  freins  et  les  essieux  d'  un  train  de  marchandises  du  Canadien  National  (  TSX  :  CNR  )  transportant  du  pétrole  brut  qui  a  déraillé  mardi  soir  dans  le  nord-ouest  du  Nouveau-Brunswick  .",essieux
2014,"Le  BST  a  aussi  relaté  qu'  une  équipe  avait  déterminé  ,  après  inspection  ,  que  le  13  e  wagon  derrière  les  locomotives  avait  déraillé  ,  et  que  son  système  d'  essieux  était  brisé  .",essieux
2014,"Sur  la  nature  des  taxes  elles-mêmes  ,  on  trouve  la  fameuse  ""  taxe  à  l'  essieu  ""  pour  les  camions  ,  la  plus  étonnante  ""  taxe  sur  la  farine  importée  ""  ,  ou  encore  les  historiques  ""  taxe  sur  les  pavés  ""  ou  ""  taxe  sur  le  balayage  ""  .",essieu
2014,"Jim  Feeny  ,  porte-parole  du  CN  ,  explique  qu'  une  défaillance  soudaine  d'  une  roue  ou  d'  un  essieu  s'  est  produite  sur  le  13  e  wagon  et  a  eu  pour  effet  de  faire  dérailler  16  autres  wagons  près  de  l'  arrière  du  train  .",essieu
2014,Il  est  donc  possible  que  ce  soit  cette  roue  qui  ait  causé  l'  accident  et  non  un  essieu  brisé  comme  on  le  croyait  initialement  .,essieu
2014,"Coincé  par  l'  essieu  de  son  poids-lourd  ,  ce  routier  s'  est  vu  mourir  sur  un  parking  ,  frappé  par  la  vague  polaire  .",essieu
2014,"Mais  il  fait  -40  ,  et  le  camion  s'  affaisse  légèrement  ,  coinçant  le  malheureux  sous  l'  essieu  .",essieu
2014,"Pour  les  camions  ,  le  droit  de  passage  augmentera  de  1,15  $  à  1,50  $  par  essieu  ,  soit  un  bond  d'  un  peu  plus  de  30  %  .",essieu
2014,"Pour  un  camion-remorque  ordinaire  de  53  pieds  ,  qui  roule  sur  sept  essieux  ,  cette  hausse  représentera  un  coût  additionnel  de  2,45  $  par  passage  .",essieux
2014,"Selon  la  préfecture  ,  un  essieu  du  wagon  qui  transportait  du  combustible  usé  entre  la  centrale  nucléaire  de  Nogent-sur-Seine  et  l'  usine  Areva  de  La  Hague  était  sorti  du  rail  mais  l'  accident  n'  avait  pas  provoqué  de  fuite  radioactive  .",essieu
2014,"Le  Bureau  de  la  sécurité  des  Transports  (  BTS  )  du  Canada  a  rapporté  que  le  déraillement  s'  est  produit  à  la  suite  du  bris  d'  un  essieu  à  l'  avant  du  train  ,  ce  qui  a  causé  un  ""  freinage  non  désiré  ""  et  forcé  un  arrêt  soudain  .",essieu
2014,"Il  en  coûtera  désormais  deux  dollars  pour  les  automobiles  ,  soit  un  dollar  par  essieu  au  lieu  de  75  cents  .",essieu
2014,"Pour  les  camions  ,  le  passage  sera  majoré  de  35  cents  l'  essieu  .",essieu
