year,sentence,key_word
2014,En  1988  il  joue  le  rôle  d'  un  examinateur  pour  le  permis  de  conduire  dans  Licensed  to  drive  .,examinateur
2014,"Elle  a  également  fait  l'  objet  de  procédures  d'  évaluation  complètes  ,  au  cours  desquelles  des  examinateurs  indépendants  ont  vérifié  les  lingots  de  1  0  0  0  oz  en  argent  pur  et  en  ont  déterminé  la  teneur  .",examinateurs
2014,"Les  trois  examinateurs  ,  complices  de  la  fraude  ,  écopent  eux  des  peines  de  2  à  3  ans  avec  sursis  et  à  des  amendes  de  8  à  10  0  0  0  euros  .",examinateurs
2014,"Sur  une  quarantaine  d'  ouvrages  publiée  tous  au  Cameroun  au  cours  des  dernières  années  ,  seuls  six  d'  entre  eux  avaient  reçu  l'  onction  et  attiré  l'  attention  des  examinateurs  sous  la  houlette  du  dramaturge  Guillaume  Oyono  Mbia  ,  pour  l'  ultime  étape  .",examinateurs
2014,"Les  applications  ont  été  mises  à  l'  essai  au  début  du  mois  de  décembre  dernier  ,  et  ensuite  elles  ont  été  testées  par  un  panel  composé  de  journalistes  en  technologies  ,  de  consultants  et  d'  examinateurs  .",examinateurs
2014,"N'  oublions  pas  que  les  examens  ne  durent  en  général  qu'  une  ou  deux  heures  tout  au  plus  ,  et  ne  sont  pas  corrigés  par  des  examinateurs  .",examinateurs
2014,"Exclusif  -  À  cinq  reprises  au  cours  de  2013  ,  des  Britanno-Colombiens  qui  tentaient  d'  obtenir  leur  permis  de  conduire  et  qui  avaient  failli  leur  test  pratique  ont  offert  des  pots-de-vin  à  leur  examinateur  pour  qu'  il  leur  donne  une  note  de  passage  .",examinateur
2014,"Dans  un  des  cas  documentés  ,  l'  examinateur  qui  venait  de  faire  échouer  un  chauffeur  pour  conduite  dangereuse  s'  est  vu  offrir  300  $  pour  changer  son  verdict  .",examinateur
2014,"Si  celui-ci  me  vaut  d'  être  diplômé  ,  mes  appréciations  sur  le  grand  résistant  ""  pourraient  être  jugées  comme  diffamatoires  par  les  membres  de  sa  famille  ,  légitimement  attachés  à  défendre  sa  mémoire  ""  ,  estime  un  examinateur  .",examinateur
2014,"Avec  ""  mes  mains  moites  sur  le  volant  ""  de  ""  peur  de  me  tromper  ""  ,  ""  de  pas  aller  bien  loin  ""  face  à  l'  examinateur  ...",examinateur
2014,Elle  l'  a  réussi  du  premier  coup  mais  doit  réviser  ses  créneaux  lui  souffle  son  examinateur  .,examinateur
2014,Les  rapports  d'  émission  des  armateurs  devront  être  approuvés  par  un  examinateur  indépendant  .,examinateur
2014,"Mais  si  ,  le  père  de  la  jeune  fille  dont  tombe  le  héros  dégivré  d'  Hibernatus  ,  c'  est  lui  !  Le  colonel  examinateur  du  Gendarme  se  marie  et  du  Gendarme  en  balade  ,  c'  est  toujours  lui  ...",examinateur
2014,Les  examinateurs  de  l'  organisation  de  recherche  indépendante  Cochrane  estiment  que  60  %  des  données  ont  fait  l'  objet  de  rétention  de  la  part  de  Roche  .,examinateurs
2014,Puis  malaxé  en  bouche  où  j'  envoie  des  bataillons  de  tanins  soyeux  tapisser  les  papilles  et  les  moindres  capteurs  gustatifs  de  mes  examinateurs  épicuriens  .,examinateurs
2014,"Le  11  février  2009  ,  un  examinateur  présente  un  document  américain  (  USA  )  dans  lequel  est  mentionné  le  nom  de  M.  Lauzon  en  tant  qu'  inventeur  de  ce  ventilateur  axial  haute  performance  .",examinateur
2014,"Les  stratégies  d'  observation  de  Plato  ont  ainsi  été  qualifiées  ""  excellentes  ""  par  les  examinateurs  .",examinateurs
2014,"Durant  toutes  ces  semaines  ,  je  me  suis  beaucoup  investi  dans  les  TPE  ,  j'  ai  toujours  fais  de  mon  mieux  pour  arriver  à  un  résultat  finale  qui  me  plairait  tout  comme  aux  examinateurs  .",examinateurs
2014,"Par  ailleurs  ,  le  président  de  la  fédération  a  évoqué  certains  problèmes  auxquels  font  face  les  auto-écoles  ,  notamment  le  manque  de  circuits  et  d'  examinateurs  .",examinateurs
2014,"""  L'  Aviation  Civile  et  des  examinateurs  de  la  DGAC  ont  formellement  confirmé  qu'  Igor  Bogdanoff  n'  avait  jamais  piloté  sans  licence  ""  et  ""  qu'  elle  était  valide  depuis  1980  sans  discontinuité  ""  ,  explique  Serge  Conti  .",examinateurs
2014,"Quand  Tarik  a  répondu  qu'  il  n'  avait  jamais  connu  son  père  ,  l'  examinateur  a  inscrit  illico  sur  la  feuille  posée  devant  lui  les  lettres  N.A.  (  non  admis  )  en  rouge  .",examinateur
2014,"Il  intervenait  simplement  en  tant  qu'  expert  ,  juge  et  examinateur  .",examinateur
2014,"Face  à  un  examinateur  ,  ils  effectuent  un  test  officiel  en  participant  à  un  jeu  de  rôle  .",examinateur
2014,"C'  est  une  mise  en  situation  ""  ,  explique  Carine  Bigot  ,  examinatrice  .",examinatrice
2014,C'  est  l'  ange  examinateur  .,examinateur
