year,sentence,key_word
2020,"Aujourd  '  hui  ,  René  Leynaud  ,  résistant  ,  ami  d'  Albert  Camus  ,  fusillé  par  les  nazis  .",fusillé
2020,"Ses  camarades  tentèrent  en  vain  de  l'  en  sortir  ;  conduit  à  la  prison  de  Montluc  puis  ,  le  13  juin  ,  aux  abords  d'  un  bois  ,  dans  l'  Ain  ,  l'  armée  allemande  le  fusilla  dans  le  dos  aux  côtés  de  dix-huit  autres  résistants  .",fusilla
2020,"Le  ballon  est  revenu  en  retrait  dans  les  pieds  de  Pepe  ,  qui  a  fusillé  David  De  Gea  d'  une  lourde  frappe  du  gauche  en  première  intention  .",fusillé
2020,"Le  père  de  Robert  a  été  fusillé  par  les  allemands  alors  qu'  il  avait  deux  ans  ""  ,  affirme  Lise  .",fusillé
2020,"On  joue  la  94  e  minute  entre  Manchester  City  et  les  Queens  Park  Rangers  quand  Sergio  ""  AGUEROOOOO  ""  s'  appuie  sur  Mario  Balotelli  ,  efface  Taye  Taiwo  et  fusille  Paddy  Kenny  d'  une  frappe  au  premier  poteau  .  3  -  2  .",fusille
2020,"Trois  jours  plus  tard  ,  le  25  décembre  1989  ,  le  dictateur  était  jugé  lors  d'  un  procès  expéditif  et  fusillé  .",fusillé
2020,"Mais  avec  la  baisse  des  revenus  du  pays  ,  suite  à  la  chute  des  prix  de  pétrole  depuis  2014  ,  le  gouvernement  a  été  contraint  de  geler  plusieurs  projets  du  secteur  notamment  les  Tramways  d'  Annaba  ,  de  Batna  et  l'  extension  du  Tramway  d'  Alger  reliant  les  fusillés  à  Bir  Mourad  Rais  .",fusillés
2020,"En  juin  1984  ,  dans  un  procès  rendu  public  ,  sept  personnes  accusées  d'  avoir  fomenté  un  complot  sont  condamnées  à  être  fusillées  ,  quatre  autres  à  des  peines  de  vingt  années  de  prison  .",fusillées
2020,Charles  Faye  de  TFM  fusille  Ousmane  Sonko  et  défend  Macky  Sall  ...,fusille
2020,"Condamné  à  mort  ,  il  aura  la  chance  d'  éviter  l'  application  de  sa  peine  ,  contrairement  à  M.  Ouandié  ,  fusillé  sur  la  place  publique  en  1971  .",fusillé
2020,Il  aurait  été  fusillé  .,fusillé
2020,"Le  gabonais  Aymar  Mboumba  Mbina  ,  commandant  du  navire  Tropic  de  Satram  a  été  fusillé  par  les  assaillants  .",fusillé
2020,"Mais  le  reste  était  aussi  capital  :  la  première  pleurait  son  mari  ,  le  physicien  Mikhaïl  Bronstein  ,  arrêté  ,  fusillé  ,  dont  la  mort  ne  lui  sera  signifiée  qu'  après  le  Dégel  ,  la  seconde  cherchait  désespérément  à  faire  libérer  Liova  ,  son  fils  ,  qu'  elle  a  eu  avec  le  poète  Nikolaï  Goumiliov  .",fusillé
2020,Son  ex-compagne  le  fusille  du  regard  .,fusille
2020,"Quand  enfin  la  femme  se  rendit  compte  de  ce  qui  se  passait  ,  elle  fusilla  du  regard  son  mari  .",fusilla
2020,Jacky  Laplume  pense  que  ce  chiffre  expliquerait  les  quarante-deux  fusillés  lors  du  massacre  de  la  carrière  des  grises  à  Prémilhat  le  14  août  1944  .,fusillés
2020,"Le  ballon  est  mal  repoussé  par  Lacour  et  arrive  dans  les  pieds  de  Dembélé  ,  qui  fusille  le  gardien  adverse  à  bout  portant  (  0  -  2  ,  41  e  )  .",fusille
2020,"""  Pendant  trois  heures  ,  ils  ont  fusillé  des  Français  ""  (  Albert  Camus  )",fusillé
2020,"Après  la  tuerie  d'  Ascq  (  1  er  avril  1944  )  ,  le  journal  clandestin  Combat  publie  un  texte  intitulé  ""  Pendant  trois  heures  ,  ils  ont  fusillé  des  Français  ""  .",fusillé
2020,Là  on  les  fusille  .,fusille
2020,Vingt-six  autres  hommes  sont  également  fusillés  dans  leur  domicile  ou  à  leurs  abords  .,fusillés
2020,"En  plus  de  ces  86  fusillés  ,  il  y  a  un  certain  nombre  de  blessés  .",fusillés
2020,"Dans  un  premier  temps  ,  la  femme  qui  avait  pris  connaissance  de  ce  qui  se  passait  ,  a  d'abord  fusillé  son  mari  du  regard  .",fusillé
2020,Le  jeune  milieu  de  18  ans  a  profité  d'  une  remise  de  la  tête  d'  Origi  pour  fusiller  le  gardien  d'  Everton  d'  une  frappe  enveloppée  qui  a  touché  la  transversale  avant  de  se  loger  en  pleine  lucarne  .,fusiller
2020,Châteaubriant  est  connu  pour  ses  fusillés  qui  ont  marqué  l'  Histoire  .,fusillés
2020,"Blessé  ,  le  papa  s'  est  tenu  le  coude  et  s'  est  aussitôt  levé  en  fusillant  du  regard  sa  progéniture  .",fusillant
2020,Une  saison  à.  ..  se  faire  fusiller  au  cœur  de  la  19  e  défense  de  Premier  League  .,fusiller
2020,"Il  avait  été  traumatisé  par  la  mort  de  ses  oncles  ,  fusillés  après  dénonciation  par  un  curé  franquiste  .",fusillés
2020,"Des  amis  résistants  ont  été  fusillés  ,  la  précarité  faisait  partie  de  nos  vies  et  nous  survivions  grâce  au  troc  .",fusillés
2020,"Kelly  Vedovelli  (  TPMP  )  fusillée  par  un  collègue  :  ""  ben  t'  es  une  merde  """,fusillée
2020,Mais  aussi  les  émouvants  sites  du  Mont  Valérien  et  du  mémorial  de  la  Shoah  à  Drancy  où  les  parcours  des  résistants  fusillés  et  des  déportés  juifs  ont  été  présentés  avec  beaucoup  de  pédagogie  et  de  précision  par  les  différents  guides  .,fusillés
2020,"Le  bras  touché  ,  monsieur  Tsitsipas  s'  est  immédiatement  levé  pour  regagner  les  tribunes  en  se  tenant  le  coude  ,  fusillant  son  fils  du  regard  .",fusillant
2020,"Ailleurs  sur  le  webÀ  Château-  L’  Abbaye  ,  pendant  la  guerre  ,  «  on  a  failli  être  fusillées  »",fusillées
2020,"Au  Cameroun  furent  aussi  assassinés  Ruben  Um  Nyobe  et  Felix  Moumié  ,  présidents  de  l'  UPC  (  Union  des  populations  du  Cameroun  )  tandis  que  Ernest  Ouandié  était  fusillé  en  1971  après  un  procès  politique  et  à  la  demande  de  Jacques  Foccart  qui  préparait  le  voyage  du  président  Pompidou  .",fusillé
2020,"Et  tant  d'  autres  payèrent  de  leur  vie  le  combat  pour  la  liberté  et  l'  indépendance  !  Amilcar  Cabral  en  Guinée  Bissau  ,  Samora  Machel  au  Mozambique  ,  Steve  Biko  et  Dulcie  September  en  Afrique  du  Sud  ,  sans  oublier  les  fusillés  du  massacre  de  Thiaroye  au  Sénégal  ,  et  au  Congo  Pierre  Mulele  ,  les  Pendus  de  la  Pentecôte  et  ,  voici  deux  décennies  à  peine  ,  Laurent  Désiré  Kabila  ,  André  Kisasse  Ngandu  ,  et  ,  encore  plus  récemment  ,  Mamadou  Ndala  ...",fusillés
2020,"Si  Apsotolos  a  fusillé  son  fils  du  regard  au  moment  de  rejoindre  les  tribunes  en  se  tenant  le  bras  ,  sa  mère  n'  a  pas  hésité  à  lui  dire  ce  qu'  elle  pensait  de  ce  geste  ...",fusillé
