year,sentence,key_word
2014,"Selon  le  The  Economist  ,  la  révolte  gronde  contre  les  élites  ""  geeks  ""  de  la  Silicon  Valley  .",gronde
2014,"La  rue  turque  a  grondé  vendredi  soir  à  Istanbul  et  Ankara  ,  où  la  police  est  intervenue  ,  ainsi  que  dans  une  dizaine  d'  autres  villes  du  pays  pour  disperser  plusieurs  milliers  de  personnes  venues  exiger  le  départ  du  gouvernement  et  la  tête  de  son  chef  .",grondé
2014,"A  Bordeaux  ,  La  Rochelle  ,  le  tonnerre  a  grondé  en  cette  journée  de  Noël  .",grondé
2014,La  Côte-  d'  Azur  a  également  entendu  gronder  le  tonnerre  ...,gronder
2014,"Au  chapitre  des  regrets  ,  ce  1,6  diesel  gronde  lors  des  fortes  accélérations  ,  mais  il  est  très  silencieux  en  croisière  ,  où  les  bruits  de  roulement  prédominent  .",gronde
2014,Jean-Jacques  Bourdin  grondé  par  sa  femme  sur  RMC  :  un  entre-soi  qui  me  met  mal  à  l'  aise,grondé
2014,"Alors  je  vais  encore  une  fois  dire  tout  le  mal  que  je  pense  de  l'  histoire  ,  a  priori  assez  marrante  ,  de  Jean-Jacques  Bourdin  ,  qui  s'  est  sévèrement  fait  gronder  par  sa  femme  .",gronder
2014,"Il  récupère  15  millions  pour  un  joueur  acheté  3  fois  moins  quelques  mois  plus  tôt  .  6  mois  plus  tard  ,  il  a  11  points  d'  avance  au  classement  sur  l'  équipe  qui  a  fanfaronné  tout  l'  été  !  A  la  compta  Micheline  grondait  .",grondait
2014,"Qu'  on  le  gronde  ou  qu'  on  le  prie  ,  rien  à  faire  ,  le  mulet  n'  en  fait  qu'  à  sa  tête  .",gronde
2014,"La  France  gronde  ,  les  Français  sont  en  ""  colère  ""  .",gronde
2014,"Pour  Hollande  ,  comme  pour  la  droite  républicaine  ,  il  n'  y  a  guère  de  raison  de  penser  qu'  à  la  colère  qui  gronde  ,  ne  succédera  pas  ,  demain  ,  une  de  ces  sanctions  dont  on  ne  pourra  pas  dire  qu'  elle  est  venue  par  surprise  .",gronde
2014,"Elle  a  honoré  la  Tournée  de  la  victoire  qui  en  résulte  ,  objet  du  deuxième  épisode  de  la  saga  ,  lors  de  laquelle  elle  a  découvert  la  révolte  qui  gronde  dans  le  pays  contre  l'  autoritaire  Capitole  ,  siège  du  pouvoir  .",gronde
2014,Vœux  présidentiels  :  la  colère  gronde  dans  le  camp  socialiste,gronde
