year,sentence,key_word
2014,"D'après  les  premiers  éléments  de  l'  enquête  ,  la  passagère  d'  un  véhicule  s'  est  faite  insulter  par  un  passant  qui  avait  trop  bu  .",insulter
2014,"Les  colons  continuent  à  venir  ici  régulièrement  pour  essayer  de  rentrer  dans  le  bâtiment  ou  simplement  pour  nous  insulter  ""  .",insulter
2014,"En  fermant  illico  le  bureau  pour  aller  voir  un  médecin  ,  l'  agent  a  dit  avoir  ""  craqué  ""  après  s'  être  sentie  ""  insultée  ""  .",insultée
2014,"Après  avoir  insulté  les  gendarmes  ,  il  avait  sorti  un  couteau  et  menacé  de  se  suicider  .",insulté
2014,"Avec  la  controverse  suscitée  par  sa  chanson  Fermont  ,  Vincent  Vallières  a  pu  se  voir  pour  la  première  fois  au  Bye  Bye  grâce  à  François  Morency  ,  alors  qu'  il  présentait  quelques  chansons  de  son  faux  nouvel  album  ""  Insultons  le  Québec  ""  .",insultons
2014,"Après  avoir  giflé  un  journaliste  au  Camp  des  Loges  en  2001  ,  demandé  à  un  sélectionneur  des  Bleus  de  s'  agenouiller  devant  lui  (  Jacques  Santini  en  2003  )  ,  insulté  un  autre  (  Raymond  Domenech  à  la  Coupe  du  monde  2010  )  ou  encore  mimé  des  menottes  après  un  but  pour  protester  contre  la  suspension  de  18  matchs  que  lui  avait  infligée  la  FFF  ,  Nicolas  Anelka  enrichit  donc  son  palmarès  .",insulté
2014,"La  ""  lutte  des  clashs  ""  se  mène  sur  les  plateaux  ,  où  l'  on  s'  insulte  ,  s'  invective  ,  se  crie  dessus  ,  que  l'  on  soit  intellectuel  ,  star  du  showbiz  ,  politique  ou  anonyme  .",insulte
2014,"Provocateur  dans  ses  rares  interviews  ,  Anelka  est  allé  trop  loin  en  Afrique  du  Sud  en  insultant  publiquement  dans  le  vestiaire  le  sélectionneur  qui  lui  demandait  de  changer  son  jeu  .",insultant
2014,"Avant  son  nouveau  dérapage  du  jour  ,  sa  dernière  prise  de  position  l'  avait  amené  à  défendre  Samir  Nasri  et  justifier  le  comportement  de  l'  autre  enfant  terrible  du  foot  français  ces  dernières  années  ,  qui  avait  insulté  à  deux  reprises  des  journalistes  lors  de  l'  Euro-  2012  .",insulté
2014,Un  jeune  Equeurdrevillais  de  16  ans  empêché  d'  entrer  en  discothèque  a  insulté  et  menacé  de  mort  les  policiers  venus  en  renfort  .,insulté
2014,"""  Le  portier  a  dès  lors  de  manière  très  responsable  et  conformément  aux  consignes  qui  leur  sont  données  appelé  les  services  de  police  qui  ont  interpellé  cet  Equeurdrevillais  de  16  ans  qui  insultait  et  menaçait  de  mort  un  policier  intervenant  ""  .",insultait
2014,"Il  y  a  des  décennies  de  cela  ,  vouloir  prénommer  son  nouveau-né  du  patronyme  Jugurtha  relevait  du  parcours  du  combattant  ,  autant  dire  défier  l'  Empire  du  nihilisme  !  Par  ricochet  ,  des  familles  entières  furent  rabrouées  ,  humiliées  et  insultées  ...",insultées
2014,"""  Lorsque  Nicolas  Sarkozy  n'  était  pas  populaire  ,  qu'  il  se  faisait  insulter  ,  je  n'  ai  pas  eu  envie  de  partir  ""  ,  dit-il  .",insulter
2014,"A  tous  ceux  qui  me  suivent  ,  à  tous  ceux  qui  m'  encouragent  ,  à  tous  ceux  qui  m'  insultent  :  #  JOYEUX_NOËL  et  vive  la  #  VIE  !  --  Christine  Boutin  (  @  christineboutin  )",insultent
2014,"Sur  le  propre  site  de  l'  émission  ,  la  plupart  des  internautes  l'  insultent  ,  lui  et  ses  journalistes  ...",insultent
2014,"Lorsque  nous  étions  engagés  dans  la  Résistance  (  au  Liban  )  ,  les  trois  quarts  du  monde  extérieur  nous  insultaient  .",insultaient
2014,"Ce  n'  est  certainement  pas  parce  qu'  il  y  a  des  gens  qui  ne  font  rien  d'  autre  du  matin  au  soir  que  nous  insulter  ,  nous  insulter  ,  nous  insulter  ...",insulter
2014,"Eh  bien  ,  que  tu  aies  un  différend  avec  quelqu  '  un  ,  soit  ,  tu  peux  l'  attaquer  verbalement  et  il  t'  attaque  verbalement  ,  tu  te  moques  de  lui  et  il  se  moque  de  toi  ,  peut-être  même  que  tu  l'  insultes  et  il  t'  insulte  ...",insulte
2014,"En  France  on  peut  insulter  jusqu'  à  plus  soif  les  Arabes  et  par  extension  leur  religion  ,  on  ne  risque  rien  .",insulter
2014,"Enfin  ,  Christelle  ,  le  bonnet  rouge  ,  a  dérapé  dans  la  rue  d'  Isle  ,  insultant  également  des  passants  .",insultant
2014,Un  homme  remonte  la  queue  en  se  faisant  régulièrement  insulter  .,insulter
2014,"En  m'  insultant  publiquement  d'  ""  ennemie  de  l'  intérieur  ""  M.  Perez  a  franchi  un  pas  qu'  aucun  républicain  responsable  n'  aurait  osé  franchir  .",insultant
