year,sentence,key_word
2014,"Des  milliers  de  militants  de  l'  AKP  ont  ainsi  accueilli  Erdogan  à  Istanbul  vêtus  de  linceuls  ,  symboles  de  leur  dévouement  à  leur  leader  ""  jusqu'  à  la  mort  ""  .",linceuls
2014,"Je  pris  ,  ni  une  ni  deux  ,  le  bus  n  °  2  pour  la  Source  et  grimpai  quatre  à  quatre  les  escaliers  jusqu'  à  ta  chambre  ;  j'  ouvris  délicatement  la  grande  porte  et  entrai  :  tu  étais  affaissé  sur  ton  lit  et  les  draps  blancs  ressemblaient  déjà  à  un  linceul  .",linceul
2014,"Certains  me  reprocheraient  ,  sans  bien  comprendre  le  sens  de  mon  acte  ,  de  m'  être  mis  à  l'  abri  face  à  des  agents  déchainés  contre  moi  ,  alors  que  j'  affirmais  régulièrement  que  je  me  promène  avec  mon  linceul  .",linceul
2014,Une  peluche  a  été  posée  sur  le  linceul  recouvrant  son  corps  .,linceul
2014,"Quand  ,  en  écho  à  la  mort  de  Lautréamont  dont  le  corps  ,  enveloppé  dans  son  linceul  de  mots  et  aussi  ,  nous  apprend-il  ,  dans  ceux  de  l'  étrange  absoute  dite  par  un  abbé  Sabattier  massacré  quelques  jours  plus  tard  par  les  communards  ,  ne  fut  jamais  retrouvé  ,  il  imagine  son  propre  cadavre  jeté  dans  le  Grand  Canal  par  un  mari  jaloux  mais  remontant  ,  lui  ,  un  beau  matin  ,  recouvert  d'  une  carapace  portant  les  signes  d'  une  écriture  indéchiffrable  ,  puis  quand  il  s'  amuse  ,  ensuite  ,  des  ""  experts  ""  requis  par  la  direction  des  musées  de  Venise  pour  se  pencher  sur  le  mystère  de  ce  nouveau  linéaire  B  et",linceul
2014,Une  image  de  quelques  secondes  le  prouve  :  un  corps  immobile  sous  un  linceul  blanc  se  met  soudainement  à  gigoter  .,linceul
2014,"Pendant  qu'  en  France  ,  l'  Exécutif  et  le  Judiciaire  se  sont  mobilisés  pour  condamner  fermement  et  arbitrairement  l'  humoriste  franco-camerounais  Dieudonné  Mbala  Mbala  pour  propos  et  gestes  (  quenelles  )  antisémites  (  lire  l'  article  de  notre  collaborateur  Moustapha  Boye  )  ,  François  Hollande  ,  David  Cameron  ,  Tony  Blair  ,  Angela  Merkel  ,  Barack  Obama  et  Ban  Ki-moon  couvrent  d'  un  linceul  blanc  le  Juif  le  plus  sanguinaire  qu'  Israël  ait  jamais  connu  et  veulent  inscrire  ,  au  mépris  de  la  dignité  du  peuple  palestinien  opprimé  et  réprimé  ,  sur  l'  épitaphe  de  sa  tombe  ""  Ariel  Sharon  ,  homme  de  paix  ,  homme  de  dialogue  ""  .",linceul
2014,"Pour  Me  Carrega  ,  les  choses  sont  claires  :  c'  est  en  multipliant  les  linceuls  ,  qu'  elle  l'  a  étouffé  ,  puis  dissimulé  .",linceuls
2014,"Plus  tard  ,  elle  ressurgit  dans  un  faible  rayon  de  lumière  ,  enveloppée  dans  ce  qui  ressemble  à  un  linceul  ,  une  peau  ,  un  cocon  .",linceul
2014,"Car  arrive  un  temps  de  son  voyage  ,  où  la  danseuse  abuse  un  peu  de  l'  usage  du  linceul  .",linceul
