year,sentence,key_word
2014,"L'  observateur  lambda  ,  lui  ,  davantage  navré  de  la  cote  d'  alerte  atteinte  par  le  rugby  basque  et  de  la  sécheresse  de  celui  actuellement  produit  par  le  Stade  toulousain  ,  aura  préféré  noyer  son  ennui  au  comptoir  .",navré
2014,"Mais  a  priori  ,  non  ,  aussi  navré  que  je  sois  pour  ceux  que  ses  propos  blessent  .",navré
2014,"""  Leur  regard  aussi  navré  que  consterné  parle  à  lui  seul  .",navré
2014,"Il  ne  peut  pas  ,  il  n'  arrive  pas  ,  il  est  navré  ,  il  est  nul  ...",navré
2014,"""  Il  n'  y  a  plus  de  gratuité  je  sais  ,  je  suis  navrée  mais  son  mari  ne  lui  donne  pas  d'  argent  et  je  n'  ai  rien  sur  moi  .",navrée
2014,Je  suis  navrée  pour  la  règle  de  la  participation  mais  c'  est  comme  ça  .,navrée
2014,"Je  suis  navré  d'  en  parler  en  pensant  à  la  tristesse  et  à  la  révolte  des  victimes  de  l'  Holocauste  et  de  leurs  descendants  ,  et  je  les  prie  de  m'  excuser  ,  mais  je  ne  pouvais  pas  passer  à  côté  d'  un  ressort  important  du  spectacle  de  cet  individu  .",navré
2014,"""  Je  suis  navrée  d'  annoncer  que  je  ne  serai  pas  en  mesure  de  concourir  à  Sotchi  ""  ,  écrit-elle  sur  son  compte  Facebook  .",navrée
2014,"Je  suis  désolée  ,  je  suis  une  femme  d'  une  trentaine  d'  années  ,  et  si  mes  deux  seules  perspectives  sont  de  me  retrouver  à  autant  de  femmes  que  d'  hommes  dans  un  bureau  ...  ou  de  devenir  une  tête  de  gondole  pour  jouer  l'  alibi  des  Messieurs  Sérieux  à  Haut  Pouvoir  de  Décision  ...  alors  je  suis  navrée  de  le  dire  ,  mais  c'  est  loin  d'  être  à  la  hauteur  de  mes  ambitions  .",navrée
2014,Des  stocks  d'  armes  chimiques  ont  quitté  ce  mercredi  le  port  de  Lattaquié  à  bord  d'  un  navre  danois  .,navre
2014, Navré  monsieur  Compagnon  .,navré
2014,"""  explique-t-il  ,  navré  .",navré
2014,"Pour  l'  instant  ,  il  n'  y  a  pas  le  début  du  commencement  d'  un  projet  ,  j'  en  suis  vraiment  navré  ,  mais  c'  est  la  crise  malgré  le  Louvre-Lens  juste  à  côté  ...",navré
