year,sentence,key_word
2014,"Seuls  deux  dirigeants  du  monde  occidental  -  Barack  Obama  et  Christiane  Taubira  -  ont  utilisé  son  nom  africain  -  ""  Madiba  ""  -  ,  cette  manière  originale  de  le  nommer  ayant  fait  glisser  l'  oraison  du  registre  politique  à  celui  de  l'  intime  ,  de  l'  histoire  familiale  ,  de  l'  identité  .",oraison
2014,"La  Collectivité  Léboue  apprécie  hautement  la  promptitude  avec  laquelle  le  chef  de  l'  Etat  a  procédé  au  rapatriement  de  nos  compatriotes  résidants  en  République  Centrafricaine  ,  et  dont  les  vies  étaient  en  péril  ,  en  raison  des  regrettables  soubresauts  fratricides  qui  agitent  toujours  cette  contrée  ,  et  pour  lesquels  les  Imams  et  les  Grands  Dignitaires  de  la  Collectivité  Léboue  ne  cessent  de  formuler  de  pieuses  oraisons  ,  pour  un  retour  à  une  paix  durable  .",oraisons
2014,"L'  oraison  pour  sa  fête  demande  la  grâce  de  l'  intelligence  et  de  l'  amour  :  ""  Répands  sur  nous  ,  Seigneur  ,  l'  esprit  d'  intelligence  et  d'  amour  dont  tu  as  rempli  sainte  Geneviève  ,  pour  qu'  attentifs  à  te  servir  et  cherchant  à  lui  ressembler  ,  nous  sachions  te  plaire  par  notre  foi  et  toute  notre  vie  .",oraison
2014,Il  semble  que  cette  oraison  funèbre  ait  eu  raison  des  velléités  d'  autres  auteurs  à  se  lancer  dans  un  genre  qui  pourrait  déparer  l'  ensemble  de  l'  œuvre  littéraire  du  bon  écrivain  suisse  .,oraison
2014," Oraison  ,  à  l'  ombre  du  FN  :  ""  Bientôt  les  élections  .",oraison
2014,"Le  panneau  d'  Oraison  :  ""  Une  ville  à  la  campagne  ""  (  Béatrice  Bantman  )",oraison
2014,"A  quarante  minutes  de  l'  opulente  Aix-en-Provence  (  Bouches-du-Rhône  )  ,  tout  près  de  l'  autoroute  ,  Oraison  ,  dans  les  Alpes-de-Haute-Provence  ,  affiche  sa  différence  :  ""  Une  ville  à  la  campagne  ""  ,  signalent  ses  panneaux  .",oraison
2014,"Mais  le  slogan  sonne  juste  ,  qui  rappelle  la  Belle  Epoque  ,  quand  Oraison  ,  une  des  villes  les  plus  actives  du  canton  ,  déplaçait  les  foules  pour  son  marché  aux  bestiaux  .",oraison
2014,"Aujourd  '  hui  encore  ,  vue  de  Lurs  ,  Oraison  est  un  semis  de  lumières  dans  la  nuit  .",oraison
2014,"Une  ville  morte  à  la  campagne  ,  plaisantent  pourtant  certains  ,  qui  regrettent  qu'  Oraison  ne  soit  plus  qu'  une  ville  dortoir  .  5  400  habitants  ,  une  population  qui  a  triplé  depuis  les  années  70  et  en  fait  la  quatrième  ville  des  Alpes  de  Haute-Provence  .",oraison
2014,"Et  si  Lurs  reproduit  plus  ou  moins  fidèlement  le  vote  national  ,  Oraison  ,  à  7  km  de  là  ,  raconte  une  toute  autre  histoire  :  une  histoire  très  à  droite  .",oraison
2014,"Quand  je  suis  arrivé  à  Oraison  ,  le  Parti  Communiste  était  puissant  .",oraison
2014,"A  Oraison  ,  la  délinquance  est  quasi-inexistante  :  quatre  ou  cinq  cambriolages  par  an  (  dont  le  dernier  ,  à  la  Grande  Bastide  qui  participe  à  l'  opération  Voisins  vigilants  )  ,  pas  de  violences  ,  pas  de  viols  .",oraison
2014,"Restait  donc  à  sommer  les  intéressés  de  mettre  en  musique  -et  en  sango  ,  langue  la  plus  répandue  de  RCA-  ,  au  terme  d'  une  session  délocalisée  ,  l'  oraison  funèbre  des  condamnés  .",oraison
2014,"Des  deux  livres  de  miss  Adler  qui  firent  date  et  ne  pouvaient  être  que  sans  lendemain  ,  comme  le  sont  les  performances  et  les  oraisons  funèbres  ,  Muriel  Spark  écrivit  qu'  ils  forment  ""  un  genre  en  soi  ,  une  narration  discontinue  à  la  première  personne  ""  .",oraisons
2014,"Symboliquement  ,  ils  ont  déposé  une  gerbe  et  lu  une  ""  oraison  funèbre  ""  .",oraison
2014,"Que  d'  oraisons  et  de  discours  se  sont  gravés  dans  la  conscience  israélienne  ,  dont  chacun  dessine  un  portrait  possible  de  Sharon  .",oraisons
2014,"C'  est  un  commerçant  qu'  on  menace  ,  comme  à  Oraison  ,  d'  infidélités  ,  ""  si  tu  ne  fais  pas  ce  que  je  te  demande  ""  .",oraison
2014,"A  Oraison  ,  où  Michel  Vittenet  brigue  un  quatrième  mandat  ,  face  à  deux  listes  -  une  de  gauche  ,  une  d'  extrême  droite  -  ,  un  candidat  dit  qu'  aux  vœux  du  maire  ,  la  semaine  dernière  ,  ""  la  haine  était  palpable  ""  .",oraison
2014,"En  effet  ,  dans  le  film  ,  Stéphane  Guillon  interprétait  Paul  ,  un  écrivain  spécialisé  dans  les  oraisons  funèbres  ,  alors  que  Julie  jouait  la  veuve  d'  un  défunt  .",oraisons
2014,"En  présence  de  Yahia  Abbaza  ,  président  de  l'  assemblée  populaire  communale  de  Ghardaïa  ,  le  docteur  Mustapha  Badjou  ,  qui  a  lu  l'  oraison  funèbre  ,  a  imploré  Dieu  de  ""  ramener  le  calme  dans  cette  région  et  faire  en  sorte  que  la  haine  disparaisse  à  jamais  des  cœurs  des  Algériens  ""  .",oraison
2014,Paul  a  une  profession  étrange  :  il  écrit  des  oraisons  funèbres  pour  ceux  qui  ne  trouvent  pas  les  bons  mots  pour  décrire  leur  disparu  .,oraisons
2014,Mais  un  écrivain  public  un  peu  spécial  :  il  n'  écrit  que  des  oraisons  funèbres  .,oraisons
2014,Prestations  des  chorales  religieuses  et  oraisons  funèbres  ont  été  au  rendez-vous  pour  cette  cérémonie  .,oraisons
2014,"Après  les  sermons  et  les  oraisons  ,  ces  êtres  fauchés  par  surprise  sont  ensevelis  en  présence  de  leurs  proches  et  amis  .",oraisons
2014,La  charité  pour  les  pauvres  et  l'  attrait  pour  l'  oraison  marquèrent  son  enfance  .,oraison
2014,"Toute  la  semaine  ,  les  différents  points  de  presse  de  Manning  au  New  Jersey  donnaient  l'  impression  d'  assister  en  quelque  sorte  à  des  oraisons  funèbres  où  il  devait  évaluer  ce  qu'  il  allait  laisser  à  ses  fidèles  une  fois  l'  heure  de  la  retraite  arrivée  .",oraisons
2014,"Bref  ,  on  le  croyait  à  l'  agonie  ,  mais  le  Canadien  vient  de  signifier  à  tous  qu'  il  est  encore  trop  tôt  pour  commencer  à  rédiger  son  oraison  funèbre  .",oraison
2014,"Et  s'  il  est  en  passe  de  conserver  Digne  ,  Villeneuve  et  même  Château-Arnoux  par  procuration  ,  gagner  Manosque  ,  Sisteron  ou  Oraison  relève  de  la  fiction  tandis  que  la  perte  de  Pierrevert  n'  est  pas  qu'  une  vue  de  l'  esprit  .",oraison
2014, Oraison  funèbre  pour  la  chaîne  russe  Dojd,oraison
2014,"La  question  agite  le  milieu  médiatique  russe  depuis  plusieurs  jours  :  Dojd  va-t-elle  devoir  remiser  micros  et  caméras  ?  Dans  les  studios  de  la  chaîne  ,  situés  dans  le  quartier  le  plus  branché  de  Moscou  ,  les  journalistes  sont  venus  en  nombre  ,  mardi  ,  assister  à  son  oraison  funèbre  .",oraison
2014,"L'  oraison  funèbre  ne  l'  a  pas  empêchée  de  ""  boire  du  champagne  ""  à  l'  annonce  du  report  de  la  loi  Famille  .",oraison
2014,"Pour  conclure  cette  oraison  ,  un  peu  funèbre  ,  l'  étude  montre  que  le  quart  des  sites  Web  a  connu  une  baisse  d'  au  moins  28  %  et  la  moitié  un  affaiblissement  de  7,7  %  ou  plus  .",oraison
2014,"""  Ciao  ,  mon  ami  ""  ,  aurait  prononcé  M.  Skrecec  en  guise  d'  oraison  funèbre  .",oraison
2014,"Cameroun  -  Obsèques  de  Abanda  Kpama  :  le  texte  intégral  de  l'  oraison  funèbre  qui  a  sorti  de  ses  gong  Tsimi  Evouna  du  RDPC  contre  Vincent  Sosthène  Fouda  ,  Joshua  Osih  ,  Anicet  Ekané  et  bien  d'  autres  membres  de  l'  opposition  au  régime  Biya",oraison
