year,sentence,key_word
2014,"Le  proverbe  dit  que  la  pomme  ne  tombe  jamais  loin  de  l'  arbre  et  rien  n'  est  plus  vrai  dans  le  cas  de  Mlle  Rousseau  ,  dont  la  mère  était  couturière  .",proverbe
2014,"Comme  dit  le  proverbe  algérien  :  ""  Il  suffit  de  passer  une  nuit  avec  les  poules  (  au  sens  gallinacé  du  terme  )  pour  qu'  on  se  mette  à  caqueter  ""  .",proverbe
2014,"Même  morts  ,  ils  font  encore  mentir  le  proverbe  latin  ""  Verba  volant  ,  scripta  manent  ""  .",proverbe
2014,"Bien  qu'  il  ne  soit  pas  mentionné  en  couverture  ,  le  genre  littéraire  de  l'  ouvrage  en  question  ,  le  contenu  semble  s'  épancher  sur  la  signification  de  l'  authenticité  en  laissant  de  grandes  marges  à  la  question  identitaire  puisque  l'  auteur  affectionne  particulièrement  les  proverbes  ,  dictons  et  autres  sentences  morales  qui  nous  éclairent  sur  la  mentalité  kabyle  .",proverbes
2014,"Le  proverbe  ""  loin  des  yeux  ,  loin  du  cœur  ""  est  mis  à  mal  par  une  étude  publiée  dans  le  Journal  of  Sex  and  Marital  Therapy  .",proverbe
2014,"Enfin  ,  en  2014  ,  le  vieux  proverbe  ne  change  pas  non  plus  :  un  sou  est  un  sou  .",proverbe
2014,"Un  proverbe  occitan  que  les  anciens  connaissent  sur  le  bout  des  doigts  ,  jardiniers  ou  non  ,  dit  en  substance  :  ""  Luna  mercruda  ,  femna  morruda  é  bélà  maïre  mostachuda  ,  cada  cent  ans  n'  i  a  pron  amb  una  ""  ,  traduction  :  ""  Lune  du  mercredi  ,  femme  renfrognée  et  belle-mère  moustachue  ,  il  y  a  assez  d'  une  tous  les  cent  ans  ""  .",proverbe
2014,Un  proverbe  africain  qui  en  disait  long  sur  les  craintes  du  président  Kagame  de  voir  ses  conseillers  se  retourner  contre  lui  .,proverbe
2014,"Midi  Madagascar  cite  un  vieux  proverbe  malgache  ,  celui  du  crabe  et  du  renard  .",proverbe
2014,"Ainsi  ,  le  proverbe  selon  lequel  lâavarice  perd  tout  en  voulant  tout  gagner  deviendra  une  leÃ  §  on  regrettable  aux  tenants  de  la  mouille  artificielle  du  coton  avant  la  vente  .",proverbe
2014,"""  Si  tu  ne  peux  pas  être  étoile  au  firmament  soit  une  lampe  chez  toi  ""  Proverbe  arabe",proverbe
2014,"Ce  film  japonais  ,  actuellement  à  l'  affiche  ,  démolit  ,  pendant  deux  heures  ,  cette  expression  ,  bête  comme  un  proverbe  ,  qui  est  devenue  son  titre  .",proverbe
2014,"Et  le  programme  à  venir  est  déjà  tracé  par  le  proverbe  :  ""  Là  où  il  y  a  une  volonté  ,  il  y  a  un  chemin  ""  .",proverbe
2014,"Saviez-vous  que  ""  le  pangolin  est  supérieur  à  l'  éléphant  car  l'  éléphant  est  visible  sur  les  feuilles  de  bananiers  ""  ,  ou  que  ""  si  la  cuillère  peut  sortir  de  la  bouche  ,  c'  est  parce  qu'  elle  est  ingénieuse  ""  ?  Ce  sont  là  deux  des  nombreux  proverbes  qui  jalonnent  l'  exposition  ""  Secrets  d'  ivoire  ,  l'  art  des  Lega  d'  Afrique  centrale  ""  que  le  musée  du  Quai-Branly  consacre  à  ce  peuple  installé  au  milieu  des  forêts  de  l'  actuelle  République  démocratique  du  Congo  .",proverbes
2014,"Toujours  associés  à  un  objet  sculpté  ou  assemblé  à  partir  d'  éléments  récupérés  ,  ces  proverbes  constituent  un  véritable  système  métaphorique  ,  très  caractéristique  des  Lega  .",proverbes
2014,"Calibre  ,  le  nom  est  tout  trouvé  pour  ce  clan  à  la  gâchette  facile  qui  a  fait  fortune  dans  le  commerce  d'  ustensiles  pour  la  chasse  au  canard  et  dont  la  pensée  se  résume  au  drapeau  étoilé  d'  une  Amérique  ultra  conservatrice  et  à  quelques  proverbes  bodybuildés  ,  d'  une  rusticité  de  corps  de  garde  .",proverbes
2014,"""  Mieux  vaut  se  venger  sans  mépris  ,  que  de  pardonner  en  méprisant  ""  ,  dit  le  proverbe  kurde  .",proverbe
2014,"Utilisant  le  même  modèle  mathématique  ,  ils  se  sont  intéressés  à  un  vieux  proverbe  d'après  lequel  ""  une  pomme  par  jour  éloigne  le  médecin  .",proverbe
2014,"Selon  un  proverbe  grec  ,  de  poursuivre  l'  orateur  ,  ""  une  société  atteint  la  grandeur  lorsque  les  Anciens  plantent  des  arbres  en  sachant  qu'  ils  ne  profiteront  jamais  de  leur  ombre  .",proverbe
2014,"""  L'  illustration  parfaite  de  ce  proverbe  est  l'  Office  du  Niger  .",proverbe
2014,Vous  connaissez  le  proverbe  qui  voudrait  que  c'  est  dans  les  vieux  pots  qu'  on  fait  les  meilleures  soupes  ?  Bullshit  .,proverbe
2014,"""  Il  y  a  un  proverbe  qui  dit  qu'  il  vaut  mieux  avoir  ce  type  de  conversation  deux  ans  trop  tôt  qu'  un  jour  trop  tard  ""  ,  rappelle  Stewart  Alexander  .",proverbe
