year,sentence,key_word
2014,"De  la  croche  à  la  ronde  en  passant  par  la  noire  et  la  blanche  pointée  ,  toutes  les  notes  de  musique  ont  compté  double  au  concert  de  jazz  manouche  organisé  à  la  Rotonde  par  le  Lions  club  de  Béthune  Beffroi  .",rotonde
2014,Le  magasin  Intermarché  la  Rotonde  devrait  déménager  dans  les  locaux  libérés  par  le  concessionnaire  .,rotonde
2014,"S'  agissant  des  affaires  ,  je  me  rappelle  des  agriculteurs  qui  avaient  démoli  la  Rotonde  en  2009  .",rotonde
2014,"Le  Groupe  Partouche  n'  a  pas  l'  intention  de  céder  tout  ou  partie  des  activités  du  Domaine  du  Lyon  Vert  (  qui  intègre  la  casino  ,  le  restaurant  gastronomique  La  Rotonde  ,  et  l'  hôtel  spa  Pavillon  de  la  Rotonde  (  CA  consolidé  estimé  à  22  millions  d'  euros  pour  240  salariés  )  .",rotonde
2014,"De  gros  travaux  de  rénovation  seront  entrepris  pour  la  réfection  de  la  cantine  scolaire  et  de  quatre  classes  ,  la  salle  de  la  Rotonde  sera  rénovée  ,  trois  logements  communaux  seront  réalisés  dans  l'  immeuble  cédé  en  partie  à  la  Caisse  d'  épargne  pour  le  transfert  de  l'  agence  ,  enfin  ,  la  deuxième  tranche  de  viabilisation  du  lotissement  Jeandemay  sera  lancée  .",rotonde
2014,Fin  des  travaux  à  l'  école  maternelle  de  La  Rotonde  à  Nevers,rotonde
2014,"L'  école  maternelle  de  La  Rotonde  ,  partie  intégrante  du  Groupe  scolaire  Raymond  Frébault  ,  a  rouvert  ses  portes  lundi  6  janvier  dans  des  locaux  soit  totalement  neufs  ,  soit  complètement  rénovés  .",rotonde
2014,"L'  expo  se  tient  au  Palais  d'  Iéna  ,  siège  de  la  3  e  assemblée  française  (  après  l'  Assemblée  nationale  et  le  Sénat  )  ,  le  Conseil  économique  ,  social  et  environnemental  (  CESE  )  ,  un  bâtiment  de  béton  d'  apparence  classique  avec  sa  rotonde  ,  construit  par  Perret  en  1939  .",rotonde
2014,"Biennale  Charleroi  /  Danses  ,  du  12  au  30  -  11  ,  ""  Early  Works  ""  de  Trisha  Brown  dans  la  rotonde  du  PBA  le  16  -  11  et  ""  Grand  répertoire  ""  dans  la  grande  salle  du  PBA  le  19  /  11  .",rotonde
2014,"Le  salon  du  mariage  de  Béthune  (  Festisalons  )  se  déroule  ce  week-end  ,  aujourd  '  hui  samedi  de  14  h  à  19  h  ,  et  demain  dimanche  de  11  h  à  19  h  ,  à  la  salle  Olof-Palme  (  Auchan  La  Rotonde  ,  1  er  étage  )  .",rotonde
2014,Le  Salon  du  mariage  à  la  Rotonde  est  la  principale  manifestation  du  week-end  .,rotonde
2014,"Pour  sa  troisième  édition  ,  le  rendez-vous  de  la  Rotonde  accueille  une  dizaine  de  nouveaux  exposants  .",rotonde
2014,La  rotonde  du  jardin  Vauban  va  perdre  des  marronniers,rotonde
2014,"Lorsque  Perfidus  prend  possession  du  corps  de  Rotonde  Sphéria  ,  sa  voix  devient  un  mix  des  voix  des  deux  personnages  ...",rotonde
2014,Nous  reviendrons  sur  ce  chantier  qui  doit  débuter  demain  et  la  réflexion  qui  doit  être  engagée  pour  préparer  le  devenir  de  cette  rotonde  .,rotonde
