year,sentence,key_word
2014,"Et  à  43  ans  ,  toisant  les  jeunes  loups  qui  le  talonnent  ,  il  va  leur  en  donner  pour  leur  argent  .",toisant
2014,"Mais  à  chaque  fois  qu'  il  lui  arrive  de  se  faire  toiser  ,  ce  peuple  sait  ,  promptement  et  subtilement  ,  reprendre  la  main  pour  s'  inventer  un  autre  destin  .",toiser
2014,"Imposantes  villas  qui  toisent  ,  d'  un  air  snobinard  ,  le  village  promis  à  devenir  le  nouveau  terrain  de  jeu  pour  les  excavateurs  de  Kolubara  .",toisent
2014,"Et  la  fillette  vous  toise  ,  du  haut  de  ses  treize  ans  ,  idiote  ignorante  victime  à  son  insu  .",toise
2014,"""  J'  ai  mis  vingt  ans  à  le  faire  ""  souffle  le  collectionneur  toisant  le  mannequin  en  kilt  .",toisant
2014,"En  mai  2009  ,  The  Economist  avait  publié  une  drôle  de  couverture  avec  un  grand  Nicolas  Sarkozy  sur  un  podium  ,  toisant  Angela  Merkel  en  contrebas  ,  et  un  pauvre  Gordon  Brown  ,  alors  premier  ministre  britannique  ,  en  train  de  disparaître  de  la  page  ...",toisant
2014,"Loin  derrière  lui  se  toisent  le  Portugais  José  Mourinho  (  Chelsea  )  et  l'  Italien  Marcelo  Lippi  (  Guangzhou  )  avec  des  salaires  estimés  à  10,3  et  10  M  €  annuels  .",toisent
2014,"Des  hommes  qu'  elle  toise  de  son  physique  de  nageuse  et  de  sa  ""  belle  intelligence  .",toise
2014,"Ensuite  ,  vous  pourrez  choisir  parmi  les  multiples  activités  proposées  par  Acropolis  (  bowling  ,  billard  ,  lasergame  ...  )  et  bien  sûr  vous  opterez  pour  le  bowling  ,  car  à  n'  en  pas  douter  ,  ces  dix  quilles  blanches  là-bas  au  bout  de  la  piste  vous  toisent  d'  un  air  déplaisant  .",toisent
2014,"Il  lui  reprochait  ,  à  tort  sûrement  ,  de  le  toiser  et  de  se  moquer  de  lui  .",toiser
2014,"Au  matin  du  troisième  jour  ,  c'  est  pourtant  un  mur  ,  une  falaise  de  près  de  300  mètres  de  dénivelé  et  entièrement  à  l'  ombre  ,  qui  nous  toise  .",toise
2014,"Ils  se  toisent  ,  se  provoquent  et  même  parfois  s'  insultent  :  au  siège  de  l'  ONU  à  Genève  où  se  déroulent  les  négociations  entre  le  régime  syrien  et  l'  opposition  ,  une  âpre  bataille  médiatique  oppose  partisans  et  détracteurs  de  Bachar  al-Assad  .",toisent
2014,"Avec  Pharrell  Williams  toujours  à  l'  aise  ,  ici  accompagné  de  Monsieur  Stevie  Wonder  ,  et  Nile  Rodgers  ,  toujours  drôle  à  toiser  ,  avec  ses  longues  dred  et  ce  sourire  dont  il  ne  se  dépare  jamais  ,  le  morceau  que  tout  le  monde  connaît  fonctionne  encore  mieux  .",toiser
2014,"Sans  détour  ,  le  vice-procureur  Georges  Borg  ,  toisant  l'  agriculteur  a  déclaré  :  ""  Ma  conviction  est  que  monsieur  est  un  personnage  acariâtre  qui  pense  avoir  subi  une  atteinte  intolérable  à  son  droit  inaliénable  de  propriétaire  ""  .",toisant
2014,"Au  contraire  ,  actrice  marine  et  verte  ,  toisée  par  des  hauteurs  au  manteau  de  neige  ,  filmée  en  hiver  .",toisée
2014,"Mais  surtout  pas  la  compassion  des  parents  lorsque  ceux-ci  ,  présents  dans  la  salle  d'  audience  ,  comme  ce  fut  le  cas  hier  à  Cahors  ,  éprouvent  les  pires  difficultés  à  contenir  leurs  larmes  quand  l'  auteur  de  gestes  abjects  sur  leur  petit  ,  ose  les  toiser  et  regretter  les  faits  du  bout  des  lèvres  seulement  .",toiser
2014,Le  cadet  toise  l'  aîné  avant  de  lui  envoyer  un  coup  de  poing  au  visage  et  de  le  saisir  par  la  taille  .,toise
2014,"Ici  ,  le  dimanche  ,  les  tracts  virevoltent  ,  les  candidats  se  toisent  et  les  noms  d'  oiseau  fusent  .",toisent
2014,"Maintenant  ,  la  structure  qui  toise  moins  l'  Afrique  propose  avec  un  pragmatisme  nouveau  des  accompagnements  financiers  intrinsĂ  ¨  quement  intĂŠressants  et  porteurs  .",toise
2014,"Simkin  toisant  à  1,70  ,  ils  forment  un  couple  de  danseurs  miniatures  et  l'  extrême  raffinement  de  leur  art  emporte  le  spectateur  dans  une  poésie  brillante  ,  sans  poids  et  sans  âge  .",toisant
2014,Les  Champenois  sont  désormais  sixièmes  à  trois  points  de  l'  OM  mais  toise  l'  OL  ou  encore  Bordeaux  .,toise
2014,"Dans  le  bus  ,  l'  agresseur  a  menacé  de  mort  la  victime  par  geste  avant  de  sortir  un  couteau  et  de  jouer  avec  en  toisant  son  opposant  .",toisant
2014,"L'  occasion  d'  échanger  avec  ses  pairs  ,  de  toiser  -  ou  non  -  les  favoris  ,  prendre  le  pouls  des  tendances  et  surtout  ,  se  prêter  au  concours  d'  élégance  .",toiser
2014,"Le  chef  du  DFAE  l'  a  alors  toisé  ,  en  lui  disant  -  en  allemand  cette  fois  -  que  c'  était  ""  parfois  bien  ""  de  parler  la  langue  de  Molière  à  Berne  .",toisé
2014,"altTu  es  si  coquette  et  tu  subjugues  ces  milliers  de  cités  contemporaines  qui  nous  éblouissent  par  leurs  multiples  feux  ,  leurs  innombrables  gratte-ciel  ,  leurs  ronds-points  avec  des  fontaines  éclairées  ,  leur  incroyable  vacarme  dans  une  euphorie  de  klaxons  à  vous  assourdir  ,  leur  infernal  va  et  vient  qui  ôte  tout  sommeil  et  qui  vous  rend  paranoïaque  ,  leurs  menus  préfabriqués  qui  vous  coupent  tout  appétit  ,  l'  empressement  de  leurs  locataires  qui  vous  toisent  à  peine  et  leurs  habitants  qui  vous  croisent  sans  daigner  saluer  .",toisent
2014,"Il  se  dit  contre  sa  fermeture  ,  comme  la  grande  majorité  des  habitants  de  la  commune  .  |  (  LP  /  Matthieu  de  Martignac  .  )  ""  Pardon  ?  !  ""  toise  la  maire  de  Fessenheim  sur  le  dessin  .",toise
2014,La  R  1200  GS  toise  la  famille  des  trails  et  il  n'  y  a  pas  de  raison  que  la  niche  des  crossover  soit  laissée  à  la  concurrence  .,toise
2014,"Armé  d'  une  inébranlable  foi  en  lui  ,  le  perchiste  français  ,  au  physique  pas  forcément  propice  au  saut  à  la  perche  ,  a  gravi  patiemment  les  marches  vers  le  sommet  d'  où  il  toise  désormais  la  légende  Sergeï  Bubka  .",toise
2014,"Drax  toise  le  spectateur  de  ses  yeux  fous  ,  puis  le  rythme  s'  accélère  ,  les  sabres  sont  dégainés  en  un  bruit  sec  ,  jouant  comme  un  petit  air  de  Star  Wars  ,  dans  une  atmosphère  qui  indéniablement  s'  en  rapproche  .",toise
2014,"Assise  dans  son  bureau  ,  je  l'  ai  toisée  sans  mot  dire  ,  incarnation  du  jugement  ,  incapable  de  me  contraindre  à  la  libérer  .",toisée
2014,"Au  large  ,  dans  leur  petite  barque  ,  les  jeunes  officiers  ,  bien  formés  ,  trilingues  et  pointilleux  dans  leur  travail  ingrat  ,  toisent  de  loin  les  côtes  ouest  qui  abritent  les  résidences  du  Club  des  Pins  et  de  Moretti  où  se  trament  les  complots  ,  le  Centre  de  repos  familial  de  Sidi  Fredj  où  logent  quelques  gros  bonnets  de  l'  armée  et  du  DRS  ,  et  à  côté  ,  pas  loin  ,  la  résidence  médicalisée  du  chef  de  l'  Etat  .",toisent
2014,"A  coups  de  joutes  verbales  sur  les  femmes  ,  le  sexe  ,  l'  écriture  ,  la  littérature  ,  la  postérité  ,  l'  Angleterre  ,  deux  générations  s'  affrontent  ,  deux  mâles  se  toisent  .",toisent
2014,"Après  la  tour  Burj  Khaiffa  toisant  Dubaï  de  828  mètres  ,  la  forme  inspirée  des  jeunes  pousses  de  feuilles  de  palmier  de  la  Kingdom  Tower  ,  en  construction  à  Djeddah  (  Arabie  saoudite  )  ,  flirtera  avec  les  stratus  à  plus  d'  un  kilomètre  du  sol  !  Quand  il  sera  achevé  en  2019  ,  le  bâtiment  propulsera  en  1  minute  12  secondes  ses  occupants  au  sommet  où  ,  grâce  à  des  amortisseurs  et  à  sa  forme  aérodynamique  ,  le  balancement  ne  dépassera  pas  deux  mètres  .",toisant
2014,L'  art  de  la  pose  et  de  l'  esprit  se  toisent  pour  mieux  rivaliser  d'  élégance  .,toisent
2014,"Plus  prompt  à  le  devenir  en  tous  cas  ,  même  si  c'  était  d'  un  cheveu  ,  que  les  Jeunes  Turcs  de  la  Nouvelle  Vague  ,  qui  le  toisent  admiratifs  depuis  l'  autre  rive  de  la  Seine  .",toisent
2014," Toisant  les  timides  qui  attendent  l'  accalmie  pour  traverser  ,  elle  se  lance  ,  à  quelque  distance  que  se  trouve  le  prochain  véhicule  .",toisant
2014,"Le  Grand  nous  toise  avec  ce  dédain  qui  n'  appartient  qu'  aux  lève-tôt  incompris  :  ""  Sache  ,  petit  con  ,  que  cette  perle  des  arts  ménagers  nous  a  procuré  nos  premiers  émois  gustatifs  .",toise
2014,"Un  greffier  nous  glisse  entre  les  jambes  ,  un  taulier  cireux  vient  nous  toiser  sous  le  nez  .",toiser
2014,"Trop  intelligents  ou  trop  idiots  ,  précoces  ou  puérils  ,  parfois  littéralement  handicapés  (  le  meilleur  ami  de  Malcolm  est  en  fauteuil  )  ,  ses  personnages  toisent  la  ligne  de  démarcation  entre  dominants  et  dominés  et  envisagent  férocement  à  chaque  épisode  les  meilleurs  manières  de  contourner  la  norme  .",toisent
2014,"Patrick  Balkany  ,  cigarette  à  la  main  ,  se  tient  devant  sa  permanence  et  toise  la  bruyante  cohorte  ,  quand  l'  un  de  ses  collaborateurs  en  vient  aux  mains  avec  un  membre  du  collectif  .",toise
2014,"Mais  à  l'  image  de  ce  bateau  échoué  sur  un  bras  du  Rhône  ,  elle  sombre  depuis  des  années  :  centre-ville  paupérisé  ,  cité  des  années  60  perchée  à  l'  extérieur  ,  étalement  pavillonnaire  de  petits  salaires  qui  travaillent  à  Nîmes  ,  25  %  de  chômage  ,  seulement  un  tiers  des  foyers  imposables  et  des  populations  de  diverses  origines  qui  vivent  en  parallèle  ou  se  toisent  dans  les  ruelles  .",toisent
2014,"Les  bras  croisés  et  le  menton  levé  ,  il  toise  le  président  Simoens  qui  lit  des  faits  que  ,  dans  un  premier  temps  ,  il  niera  .",toise
2014,Ce  n'  est  que  pour  mieux  bondir  sur  ses  proies  qu'  il  toise  en  ajustant  ses  lunettes  .,toise
2014,Une  forme  de  coquetterie  et  d'  élégance  rares  qui  lui  permettait  de  toiser  la  nature  humaine  avec  amusement  .,toiser
2014,"À  partir  de  2016  ,  l'  imposant  bâtiment  qui  toise  la  plage  sud  de  Berck  doit  accueillir  pas  moins  de  260  appartements  ,  en  plus  d'  un  spa  ,  d'  un  restaurant  ,  de  commerces  ,  d'  un  complexe  hôtelier  ,  d'  une  crèche  et  d'  une  ""  maison  des  arts  aériens  ""  (  lire  ci-dessous  )  .",toise
2014,"Conçu  suivant  les  mêmes  plans  que  L'  Austral  ,  Le  Boréal  et  ,  en  2015  ,  Le  Lyrial  ,  ce  superbe  navire  de  142  mètres  et  de  262  passagers  est  aussi  agréable  à  toiser  qu'  à  naviguer  .",toiser
2014,"Quand  je  suis  arrivée  dans  les  entrepôts  tous  les  hommes  m'  ont  toisée  du  regard  ,  ni  un  bonjour  ni  un  au  revoir  .",toisée
2014,"Puis  ,  toisant  le  journaliste  de  La  Presse  ,  elle  avait  prévenu  :  ""  Ne  me  mettez  pas  en  contradiction  avec  M.  Péladeau  !",toisant
2014,"Il  ne  s'  est  pas  gêné  pour  toiser  directement  les  deux  condamnés  de  28  et  29  ans  ,  originaires  du  Congo  et  de  Haïti  ,  et  leur  rappeler  que  leur  pays  d'  accueil  leur  avait  fait  confiance  .",toiser
2014,"Après  sa  libération  ,  M.  Titus  Edzoa  s'  est  exactement  comporté  comme  Dany  ,  le  personnage  de  Séverin  Cécile  Abéga  dans  les  Bimanes  qui  ,  du  haut  de  son  baccalauréat  ,  ""  toisa  son  village  ""  qui  n'  était  qu'  une  ""  entaille  faite  à  la  forêt  ""  ,  dépourvue  de  commodités  équivalentes  à  son  magistère  .",toisa
2014,"Avec  un  dédain  proportionnel  à  celui  de  ce  personnage  de  roman  ,  M.  Edzoa  a  donc  toisé  la  presse  camerounaise  .",toisé
2014,Qui  sont-ils  ces  trois  déjetés  qui  nous  toisent  ?  Personne  .,toisent
2014,"""  C'  était  pour  une  simple  conversation  !  ""  évacue  ,  amusé  ,  un  proche  du  président  ,  qui  se  demande  s'  il  ne  l'  a  pas  fait  exprès  pour  détourner  l'  attention  sur  le  futur  remaniement  .  ..  La  garde  des  Sceaux  ,  reçue  au  palais  par  le  chef  de  l'  Etat  pour  un  rendez-vous  calé  de  longue  date  ,  est  d'ailleurs  ressortie  en  toisant  les  médias  .",toisant
2014,"Régulièrement  ,  il  toise  Jean-Charles  et  ses  sœurs  et  crie  :  ""  Je  n'  ai  pas  tué  Agnès  Le  Roux  !",toise
2014,"Ce  n'  est  pas  pour  vous  manquer  de  respect  ;  mais  sous  votre  leadership  ,  le  peuple  des  chèvres  se  déprécie  et  se  meurt  par  manque  de  considération  par  tous  :  même  les  moutons  et  les  veaux  ,  ces  peuples  à  l'  air  bien  bovin  ,  nous  toisent  maintenant  de  haut  .",toisent
