year,sentence,key_word
2014,"La  3  e  raquette  mondiale  Li  Na  a  vaincu  la  Russe  Vera  Zvonareva  7  -  5  ,  6  -  3  à  l'  Omnium  de  Shenzhen  ,  en  Chine  ,  samedi  .",vaincu
2014,"Elle  y  sera  opposée  à  la  neuvième  tête  de  série  Dominika  Cibulkova  ,  qui  a  vaincu  la  Japonaise  de  43  ans  Kimiko  Date-Krumm  6  -  3  ,  1  -  6  ,  6  -  3  .",vaincu
2014,"Chez  les  hommes  ,  Lleyton  Hewitt  a  vaincu  le  qualifié  australien  Thanasi  Kokkinakis  6  -  3  ,  7  -  5  ;  la  sixième  tête  de  série  Feliciano  Lopez  s'  est  imposé  6  -  4  ,  6  -  4  contre  le  Kazakh  Mikhail  Kukushkin  ;  et  le  no  8  Jeremy  Chardy  a  battu  son  compatriote  français  Adrian  Mannarino  7  -  6  (  4  )  7  -  5  .",vaincu
2014,"Pennetta  a  vaincu  Stosur  6  -  4  ,  6  -  4  en  simple  avant  que  Tomic  ne  crée  l'  égalité  avec  une  victoire  de  4  -  6  ,  6  -  3  ,  6  -  2  contre  Seppi  .",vaincu
2014,"Au  sprint  féminin  ,  la  Norvégienne  Ingvild  Flugstad  Oestberg  a  vaincu  sa  compatriote  Astrid  Uhrenholdt  Jacobsen  pour  se  hisser  en  tête  du  classement  général  aux  dépens  d'  une  autre  Norvégienne  ,  Marit  Bjoergen  .",vaincu
2014,"C'  est  en  unissant  nos  forces  que  nous  pourrions  avec  courage  et  détermination  ,  affronter  et  vaincre  les  grands  défis  de  notre  temps  .",vaincre
2014,"L'  objectif  de  ce  marathon  des  neiges  unique  en  France  ,  réunissant  chaque  hiver  plus  d'  une  centaine  d'  équipes  qui  skient  en  relais  pendant  24  h  non-stop  ,  est  de  collecter  un  max  de  dons  ,  au  profit  ,  cette  année  de  l'  association  Objectif  Vaincre  l'  Autisme  .",vaincre
2014,"Tomas  Holmstrom  a  inscrit  le  seul  but  de  la  séance  de  tirs  de  barrage  et  les  anciens  joueurs  des  Red  Wings  de  Detroit  ont  vaincu  ceux  des  Maple  Leafs  de  Toronto  6  -  5  ,  mardi  soir  ,  devant  une  foule  de  33  425  spectateurs  réunis  au  Comerica  Park  ,  le  domicile  des  Tigers  de  Detroit  .",vaincu
2014,"Jubia  et  Lisana  ont  été  vaincues  par  Erza  et  contre  toute  attente  ,  Mirajane  a  été  battue  par  Elfman  et  Evergreen  ...",vaincues
2014,"Vainqueurs  ou  vaincus  ,  les  Européens  sortiront  du  conflit  ruinés  économiquement  ,  politiquement  et  moralement  ,  laissant  émerger  une  nouvelle  superpuissance  économique  ,  et  bientôt  militaire  et  politique  ,  qui  dominera  le  20  e  siècle  :  les  Etats-Unis  .",vaincus
2014,"Par  ailleurs  ,  du  côté  des  dames  ,  la  Bélarusienne  Victoria  Azarenka  (  no  2  )  a  vaincu  l'  Australienne  Casey  Dellacqua  en  deux  manches  identiques  de  6  -  1  .",vaincu
2014,"L'  adversaire  de  Federer  en  quarts  sera  l'  Australien  Marinko  Matosevic  ,  qui  a  vaincu  l'  Américain  Sam  Querrey  5  -  7  ,  7  -  6  (  3  )  ,  6  -  4  .",vaincu
2014,"Stephens  a  vaincu  Cornet  7  -  5  ,  6  -  0  lors  du  premier  simple  ,  puis  Tsonga  a  battu  Isner  7  -  6  (  1  )  ,  6  -  3  .",vaincu
2014,Et  vu  la  situation  de  leur  club  :  malheur  au  vaincu  .,vaincu
2014,"Loin  d'  être  impériaux  ,  les  Citizens  n'  ont  pas  eu  à  forcer  leur  talent  pour  vaincre  une  équipe  de  Swansea  trop  hésitante  (  2  -  3  )  ,  en  ouverture  de  la  20  e  journée  .",vaincre
2014,"Pr  Khayat  :  ""  On  vaincra  le  cancer  ...  mais  pas  demain  """,vaincra
2014,On  la  vaincra  mais  pas  demain  .,vaincra
2014," Vaincre  les  Bretons  à  Barran  ,  ce  sera  obligatoire  !",vaincre
2014,"Au  mois  de  juillet  dernier  ,  Marie-Dominique  Simonet  ,  la  ministre  de  l'  Enseignement  ,  annonçait  qu'  elle  quittait  son  poste  pour  livrer  la  plus  difficile  bataille  de  sa  vie  :  vaincre  un  cancer  du  sein  .",vaincre
2014,"Mais  s'  il  affiche  un  moral  d'  acier  et  d'  une  volonté  de  vaincre  ,  il  n'  en  n'  est  pas  moins  psychologiquement  fragile  .",vaincre
2014,"Comme  si  son  équipe  avait  perdu  la  veille  ,  au  lieu  de  vaincre  les  États-Unis  3  -  2  et  s'  emparer  du  premier  rang  dans  son  groupe  à  l'  issue  du  tour  préliminaire  .",vaincre
2014,"Elle  oppose  Marcus  ,  fils  bâtard  d'  un  soldat  romain  ,  à  Arminius  ,  enfant  d'  un  chef  barbare  vaincu  ...",vaincu
2014,"Son  adversaire  en  quarts  sera  la  Tchèque  Barbora  Zahlavova  Strycova  ,  qui  a  vaincu  Zheng  Jie  6  -  0  ,  7  -  6  (  6  )  .",vaincu
2014,"Honneur  aux  deux  lauréats  du  Prix  littéraire  du  Monde  :  avec  Heureux  les  heureux  ,  Yasmina  Reza  fait  du  rire  l'  arme  dont  chacun  d'  entre  nous  dispose  pour  vaincre  l'  usure  du  temps  ,  les  blessures  de  la  solitude  ;  dans  Yellow  Birds  ,  Kevin  Powers  ,  vétéran  du  conflit  irakien  ,  décrit  la  guerre  comme  une  maladie  qui  continue  de  ronger  les  hommes  même  quant  les  armes  se  sont  tues  .",vaincre
2014,"Les  Kings  ,  vaincus  par  les  Blackhawks  de  Chicago  lundi  ,  compléteront  leur  voyage  de  quatre  matchs  jeudi  contre  les  Blues  à  St  .",vaincus
2014,"Les  Blackhawks  ont  vaincu  les  Bruins  de  Boston  en  finale  de  la  coupe  Stanley  ,  à  l'  issue  du  sixième  match  .",vaincu
2014,Les  passionnés  d'  escalade  ne  s'  avouent  pas  vaincus  .,vaincus
2014,Vous  allez  affronter  un  ennemi  que  vous  avez  déjà  vaincu  et  fait  passer  sous  le  joug  ...,vaincu
2014,"Tout  y  retrace  le  souvenir  des  cruautés  de  ce  peuple  barbare  ;  nos  lois  ,  nos  mœurs  ,  nos  villes  ,  tout  encore  porte  l'  empreinte  française  ;  que  dis-je  ?  il  existe  des  Français  dans  notre  Isle  ,  et  vous  vous  croyez  libres  et  indépendants  de  cette  République  qui  a  combattu  toutes  les  nations  ,  il  est  vrai  ;  mais  qui  n'  a  jamais  vaincu  celles  qui  ont  voulu  être  libres  .",vaincu
2014,"Eh  quoi  !  victimes  pendant  quatorze  ans  de  notre  crédulité  et  de  notre  indulgence  ,  vaincus  non  par  des  armées  françaises  ,  mais  par  la  piteuse  éloquence  des  proclamations  de  leurs  agents  :  quand  nous  lasserons-nous  de  respirer  le  même  air  qu'  eux  ?  Qu'  avons-nous  de  commun  avec  ce  peuple  bourreau  ?  Sa  cruauté  comparée  à  notre  patiente  modération  ,  sa  couleur  à  la  nôtre  ,  l'  étendue  des  mers  qui  nous  séparent  ,  notre  climat  vengeur  ,  nous  disent  assez  qu'  ils  ne  sont  pas  nos  frères  ,  qu'  ils  ne  le  deviendront  jamais  ,  et  que  s'  ils  trouvent  un  asile  parmi  nous  ,  ils  seront  encore  les  machinateurs  de  nos  troubles  et",vaincus
2014,Quel  peuple  a  combattu  pour  nous  !  quel  peuple  voudrait  recueillir  les  fruits  de  nos  travaux  ?  Et  quelle  déshonorante  absurdité  que  de  vaincre  pour  être  esclaves  .,vaincre
2014,Esclaves  !  ...  laissons  aux  Français  cette  épithète  qualificative  ;  ils  ont  vaincu  pour  cesser  d'  être  libres  .,vaincu
2014,"Sur  sa  lancée  ,  Kamke  continuait  à  jouer  crânement  sa  chance  et  ne  s'  avouait  vaincu  qu'  au  8  e  jeu  en  perdant  sa  mise  en  jeu  .",vaincu
2014,Les  Foreurs  avaient  vaincu  leurs  rivaux  de  l'  Abitibi  5  -  4  en  fusillade  la  veille  .,vaincu
