year,sentence,key_word
2014,"L'  objectif  est  de  restaurer  l'  autorité  de  l'  Etat  ,  sécuriser  la  population  pour  que  cette  dernière  vaque  tranquillement  à  ses  occupations  .",vaque
2014,"La  militante  de  Sud  arpente  les  couloirs  de  la  bourse  du  travail  ,  rameute  les  quelques  adultes  vaquant  dans  le  dortoir  improvisé  ,  pousse  jusqu'  aux  deux  caravanes  garées  contre  le  flanc  du  bâtiment  ,  où  deux  fillettes  font  de  la  corde  à  sauter  .",vaquant
2014,Mais  le  gouvernement  ne  s'  y  enferme  pas  :  la  porte  est  grande  ouverte  et  le  regard  du  spectateur  vaque  à  travers  la  fenêtre  sur  la  campagne  et  le  monde  alentour  .,vaque
2014,"Dans  une  allocution  télévisée  prononcée  peu  après  11  h  30  (  heure  de  Kinshasa  )  ,  le  porte-parole  du  gouvernement  ,  Lambert  Mende  a  appelé  la  population  à  vaquer  à  ses  occupations  ,  qualifiant  les  assaillants  de  ""  terroristes  ""  .",vaquer
2014,"""  Nous  n'  avons  pas  l'  impression  que  les  assaillants  aient  eu  un  autre  objectif  ,  avec  un  armement  aussi  réduit  et  un  nombre  pauvre  ,  que  celui  de  semer  la  panique  et  la  terreur  à  la  veille  de  la  célébration  des  fêtes  de  nouvel  an  ""  ,  a-t-il  expliqué  ,  invitant  les  habitants  de  Kinshasa  à  ""  vaquer  normalement  à  leurs  occupations  ""  pour  faire  échec  à  ""  l'  objectif  de  cette  agression  ""  .",vaquer
2014,"Alors  que  leur  mère  vaque  à  ses  occupations  au  rez-de-chaussée  de  l'  habitation  ,  vers  16  ?  h  ?  45  ,  trois  des  enfants  -  un  garçon  et  deux  filles  -  montent  à  l'  étage  .",vaque
2014,"Et  les  mesures  de  sécurité  ont  été  renforcées  pour  que  la  population  vaque  à  ses  occupations  ,  sans  souci  ,  en  cette  fin  d'  année  .",vaque
2014,"Ainsi  ,  au  nom  du  Gouvernement  ,  a-t-il  invité  les  kinoises  et  kinois  à  vaquer  librement  à  leurs  occupations  .",vaquer
2014,"""  Le  Gouvernement  appelle  les  populations  à  vaquer  librement  à  leurs  occupations  ""  ,  a-t-il  déclaré  sur  les  antennes  de  RTNC  .",vaquer
2014,"Le  ciel  est  bleu  ,  les  paysans  vaquent  tranquillement  à  leurs  affaires  ,  lorsque  ,  vers  13  heures  ,  cette  quiétude  est  perturbée  par  un  énorme  coup  de  canon  ,  puis  un  deuxième  .",vaquent
2014,L'  occasion  pour  les  deux  comédiens  de  quitter  la  série  et  de  vaquer  à  d'  autres  projets  professionnels  .,vaquer
2014,"Pour  vaquer  aux  affaires  du  palais  ,  il  garde  ses  sneakers  noires  .",vaquer
2014,"Dans  un  premier  temps  ,  on  observe  un  groupe  de  personnes  vaquant  simplement  à  ses  occupations  tandis  qu'  un  élément  perturbateur  gigote  comme  un  aliéné  .",vaquant
2014,"Nous  nous  sommes  dits  que  nous  avions  simplement  vaqué  à  nos  obligations  ,  c'est-à-dire  à  nos  prières  .",vaqué
2014,"Les  employés  du  consulat  d'  Espagne  à  Oran  ont  été  obligés  d'  évacuer  les  lieux  ,  le  siège  abritant  le  consulat  ,  aux  fins  de  permettre  aux  agents  de  la  Protection  civile  de  vaquer  à  une  mission  qui  ,  au  départ  ,  n'  apparais-sait  pas  facile  ,  notamment  lorsque  l'  alerte  maximale  a  été  donnée  .",vaquer
2014,"Dans  leur  ferme  des  ""  Fontaines  ""  à  Baignes  ,  Bénédicte  et  Gil-Hugues  Garnier  vaquent  à  leurs  occupations  .",vaquent
2014,"Dignes  dans  leur  pauvreté  ,  les  habitants  de  Sidi-Larbi  ,  le  visage  émacié  ,  vaquent  à  leurs  occupations  quotidiennes  .",vaquent
2014,On  va  pouvoir  apprécier  à  nouveau  la  chaleur  humaine  qui  règne  dans  ces  pays  et  vaquer  à  nos  occupations  dès  qu'  on  le  pourra  à  Buenos  Aires  .,vaquer
2014,"Je  suis  heureux  d'  être  là  ,  en  pleine  croissance  molle  ,  vaquant  à  mes  affaires  sous  une  pesanteur  accrue  ,  dans  cette  boue  tiède  .",vaquant
2014,"Augustin  Osumaka  appelle  les  habitants  de  Kisangani  à  vaquer  librement  à  leurs  occupations  ,  assurant  qu'  il  n'  y  a  pas  de  danger  dans  la  ville  .",vaquer
2014,"Selon  elle  ,  un  air  dit  acceptable  ne  perturbe  pas  le  quotidien  des  Montréalais  :  ""  C'  est  vraiment  juste  pour  informer  les  gens  d'  une  détérioration  possible  ,  d'  une  augmentation  des  polluants  dans  l'  air  ,  mais  on  veut  pas  empêcher  les  gens  de  vaquer  à  leurs  occupations  ""  .",vaquer
2014,"En  consÃ  ©  quence  ,  les  Ministres  en  charge  de  lâEducation  invitent  tous  les  travailleurs  en  gÃ  ©  nÃ  ©  ral  et  les  enseignants  et  les  personnels  de  lâadministration  scolaire  en  particulier  Ã  vaquer  normalement  Ã  leurs  occupations  professionnelles  .",vaquer
2014,"On  met  du  temps  ,  pour  peu  que  l'  on  ne  sache  rien  du  sujet  ,  à  comprendre  de  quoi  souffrent  les  enfants  qui  vaquent  librement  dans  les  salles  et  couloirs  de  ce  grand  bâtiment  de  briques  .",vaquent
2014,"Ou  en  tout  cas  ,  tout  le  monde  s'  attendait  logiquement  a  leurs  inculpations  compte  tenu  de  leurs  statuts  et  que  au  finish  ,  depuis  plus  de  quinze  mois  ,  on  voit  leurs  subordonnés  arrêtés  et  qu'  eux  vaquent  tranquillement  a  leurs  occupations  sous  la  présumée  légitimité  qu'  ils  détiendraient  des  révélations  susceptibles  de  secouer  l'  Etat  a  son  plus  haut  sommet  .",vaquent
2014,"Et  le  week-end  ,  rien  de  plus  simple  que  de  s'  enfuir  en  brousse  et  de  rejoindre  le  parc  naturel  d'  Akanda  ,  tout  proche  ,  qui  abrite  des  milliers  d'  oiseaux  et  d'  orchidées  ,  ou  encore  le  lodge  de  Nyonié  ,  où  vaquent  gorilles  et  éléphants  ,  entre  forêt  et  océan  .",vaquent
2014,"Mais  au  finish  ,  depuis  plus  de  quinze  mois  ,  on  voit  leurs  subordonnés  arrêtés  alors  qu'  eux  vaquent  tranquillement  à  leurs  occupations  sous  la  présumée  légitimité  qui  détiendraient  des  révélations  susceptibles  de  secouer  l'  Etat  à  son  plus  sommet  .",vaquent
2014,De  nombreux  services  et  établissement  publics  ont  en  effet  ouvert  leurs  portes  et  les  employés  ont  vaqué  à  leur  préoccupation  comme  si  rien  n'  était  .,vaqué
2014,"Les  enseignants  en  grande  majorité  ,  ont  vaqué  à  leur  préoccupation  .",vaqué
2014,"""  On  peut  ainsi  vaquer  à  ses  occupations  sans  être  rivé  à  son  écran  de  télévision  ""  ,  explique  le  président-fondateur  de  cette  jeune  pousse  ,  Pierre  Lebeau  .",vaquer
2014,"De  tels  exemples  sont  nombreux  dans  le  Sud  où  des  imposteurs  ont  ""  arraché  ""  la  chefferie  ,  quitte  à  l'  abandonner  plus  tard  ,  en  confiant  la  gestion  à  n'  importe  qui  ,  pour  finalement  vaquer  à  d'  autres  occupations  .",vaquer
2014,"Grace  à  la  politique  de  dissuasion  mis  en  place  par  le  ministre  Alassane  SOUMANOU  ,  les  collèges  et  lycées  à  travers  le  pays  sont  restés  ouverts  et  les  enseignants  ont  volontairement  (  pour  la  plupart  )  vaqué  à  leurs  occupations  dans  les  établissements  .",vaqué
2014,"Les  citoyens  véhiculés  ,  eux  ,  ont  dû  faire  de  grands  détours  pour  pouvoir  vaquer  à  leurs  occupations  .",vaquer
2014,"C'  est  au  lit  avec  son  amie  à  moitié  nue  que  le  Marquis  reçoit  ses  enfants  ,  et  c'  est  en  jupes  mi-longues  et  jambes  nues  que  les  nonnes  ,  ne  portant  qu'  occasionnellement  le  voile  ,  vaquent  à  leurs  occupations  .",vaquent
2014,Le  public  est  invité  à  dénoncer  les  auteurs  de  ces  rumeurs  à  la  Police  et  à  la  sécurité  et  à  vaquer  à  ses  occupations  habituelles  sans  aucune  crainte  .,vaquer
2014,"Serge  Dassault  peut  continuer  à  vaquer  à  ses  multiples  occupations  :  patron  du  Figaro  ,  sénateur  ,  hommes  d'  affaires  ,  chasseur  et  bienfaiteur  local  .",vaquer
2014,"Les  participants  ne  doivent  sous  aucun  prétexte  se  parler  ,  invités  au  contraire  à  vaquer  à  leurs  occupations  habituelles  (  lecture  papier  ou  sur  tablette  ,  couture  ,  etc  .  )  .",vaquer
2014,Ils  sont  plutôt  invités  à  vaquer  à  leurs  occupations  habituelles  .,vaquer
