year,sentence,key_word
2014,"Avec  sa  disparition  ,  la  Numidie  devint  orpheline  et  végéta  sous  la  botte  romaine  pendant  six  siècles  .",végéta
2014,"Néanmoins  ,  et  en  dépit  de  cette  étiquette  ,  le  club  végète  dans  les  profondeurs  du  classement  puisqu  '  il  occupe  une  peu  reluisante  avant-dernière  place  ,  devancé  par  des  formations  de  seconde  zone  .",végète
2014,"Resté  à  Montpellier  cet  été  malgré  les  sollicitations  ,  Rémy  Cabella  peine  à  reprendre  son  envol  avec  le  club  héraultais  ,  qui  végète  aux  bords  de  la  zone  rouge  à  la  mi-championnat  .",végète
2014,"Ainsi  l'  ancien  joueur  du  FC  Porto  Alvaro  Pereira  ,  qui  végète  aujourd  '  hui  à  l'  Inter  Milan  ,  pourrait  débarquer  sur  la  Canebière  pour  tenter  de  se  relancer  dans  l'  optique  du  Mondial  2014  au  Brésil  .",végète
2014,"Initié  par  Philippe  Douste-Blazy  en  2004  ,  le  DMP  a  été  relancé  par  Roselyne  Bachelot  en  2008  après  avoir  végété  pendant  quatre  ans  ,  rappelle  le  Parisien  .",végété
2014,"Et  au  cabinet  de  la  ministre  ,  Marisol  Touraine  ,  on  est  bien  embarrassé  de  récupérer  un  serpent  de  mer  initié  par  Philippe  Douste-Blazy  en  2004  puis  relancé  en  2008  par  Roselyne  Bachelot  après  avoir  végété  pendant  quatre  ans  .",végété
2014,"Initié  par  Philippe  Douste-Blazy  en  2004  puis  relancé  par  Roselyne  Bachelot  en  2008  après  avoir  végété  pendant  quatre  ans  ,  le  DMP  a  finalement  été  mis  en  place  en  2011  .",végété
2014,"Quoi  qu'  il  en  soit  et  en  attendant  une  prise  en  charge  effective  de  ce  problème  de  santé  publique  ,  les  habitants  du  quartier  Aïssat  Idir  continuent  de  végéter  dans  une  décharge  publique  au  beau  milieu  du  chef-lieu  de  la  wilaya  .",végéter
2014,Il  végète  désormais  à  West  Bromwich  Albion  .,végète
2014,"Certains  textes  ont  été  rejetés  ,  notamment  dans  l'  Etat  de  Washington  ,  où  un  projet  de  loi  n'  a  été  battu  qu'  à  2  %  des  voix  près  ,  d'  autres  sont  mort-nés  ou  végètent  dans  des  commissions  parlementaires  .",végètent
2014,"Ce  que  l'  on  sait  moins  ,  c'  est  que  son  président  ,  Uli  Hoeness  ,  fan  de  NBA  ,  a  décidé  ,  en  2009  ,  d'  injecter  huit  millions  d'  euros  dans  la  section  basket  du  club  ,  pour  que  celle-ci  ,  qui  végétait  alors  en  2  division  d'  allemande  ,  fasse  à  terme  comme  les  footballeurs  .",végétait
2014,"Septième  la  saison  dernière  ,  la  Lazio  ,  que  Reja  avait  laissée  à  la  4  e  place  du  classement  à  son  départ  en  2012  ,  végète  en  10  e  position  avant  la  18  e  journée  ,  à  21  points  de  l'  ennemi  juré  ,  la  Roma  .",végète
2014,"""  Cette  activité  va  permettre  de  contribuer  à  l'  amélioration  des  conditions  de  vie  de  des  jeunes  détenus  qui  végètent  dans  la  l'  oisiveté  et  le  désœuvrement  ""  ,  souligné  le  chef  d'  antenne  régionale  du  Fonds  d'  Appui  à  la  Formation  Professionnelle  et  à  l'  Apprentissage  (  FAFPA  )  du  Centre-Est  à  Tenkodogo  ,  Boukaré  Kaboré  .",végètent
